date,Open,High,Low,Close,Volume
2019-08-20,67.13,67.32,66.45,67.1,2966024.0
2019-08-21,67.58,68.59,67.09,67.76,2686487.0
2019-08-22,68.33,68.91,67.09,67.67,3092852.0
2019-08-23,66.93,67.74,65.6,66.0,4571900.0
2019-08-26,66.51,66.98,63.6,64.26,5761600.0
2019-08-27,64.55,65.48,63.76,63.96,4451100.0
2019-08-28,63.6,64.62,63.28,64.06,6097700.0
2019-08-29,64.96,66.1,64.96,65.77,2813400.0
2019-08-30,67.77,69.37,67.32,67.93,3869300.0
2019-09-03,67.21,67.6,66.58,67.45,2217100.0
2019-09-04,69.0,69.0,67.97,68.48,2201600.0
2019-09-05,69.24,70.1,68.9,68.94,3365600.0
2019-09-06,69.28,69.51,68.31,69.22,1812300.0
2019-09-09,69.39,70.85,68.91,70.51,2791300.0
2019-09-10,70.89,71.96,70.64,71.4,4044900.0
2019-09-11,71.23,71.87,70.62,71.55,2901300.0
2019-09-12,72.0,72.21,70.71,71.29,3166000.0
2019-09-13,71.59,73.77,71.52,73.54,3831500.0
2019-09-16,73.02,73.77,72.07,72.14,4241100.0
2019-09-17,71.98,72.57,70.97,71.25,5795000.0
2019-09-18,71.04,72.01,70.54,71.99,2305400.0
2019-09-19,72.25,72.79,70.9,71.06,2256000.0
2019-09-20,70.89,71.94,70.82,71.6,5327900.0
2019-09-23,70.53,71.74,70.5,70.92,4631300.0
2019-09-24,71.01,71.65,70.22,70.32,3362100.0
2019-09-25,70.55,71.22,70.17,70.91,3102100.0
2019-09-26,70.89,70.89,69.67,70.1,3025700.0
2019-09-27,69.97,71.05,69.69,70.25,1958500.0
2019-09-30,70.55,71.39,70.3,71.31,2798500.0
2019-10-01,71.73,71.85,67.91,67.95,3370900.0
2019-10-02,66.66,67.48,65.71,67.24,4754000.0
2019-10-03,67.39,68.16,66.3,68.12,2624400.0
2019-10-04,68.14,68.6,67.66,68.15,3386400.0
2019-10-07,67.84,67.93,66.69,66.7,4609800.0
2019-10-08,65.87,65.96,64.82,64.92,5206500.0
2019-10-09,65.72,65.86,64.57,64.81,4790900.0
2019-10-10,64.86,64.96,62.87,63.14,7573900.0
2019-10-11,63.83,65.89,63.63,65.16,4957700.0
2019-10-14,64.75,65.37,64.52,64.8,2247600.0
2019-10-15,64.84,66.3,64.53,65.56,2704700.0
2019-10-16,65.53,67.82,65.36,66.61,4206900.0
2019-10-17,66.89,67.44,66.18,66.23,2257100.0
2019-10-18,66.26,66.64,65.37,65.53,2181700.0
2019-10-21,66.01,66.52,65.62,65.94,2666800.0
2019-10-22,65.94,66.1,64.55,65.87,3076800.0
2019-10-23,66.18,66.78,65.4,66.64,3607400.0
2019-10-24,66.99,68.14,64.71,66.26,4443900.0
2019-10-25,66.32,67.68,65.74,66.85,2799700.0
