date,Open,High,Low,Close,Volume
2019-08-20,152.05,152.59,151.12,152.1,1583702.0
2019-08-21,154.35,155.25,153.61,154.86,1855215.0
2019-08-22,155.51,156.22,153.05,155.37,1717095.0
2019-08-23,151.0,153.82,146.3,147.02,2994795.0
2019-08-26,150.34,151.9,148.28,150.81,1864103.0
2019-08-27,151.59,152.68,149.65,150.1,1249088.0
2019-08-28,149.49,153.47,148.97,152.72,1483433.0
2019-08-29,155.25,157.77,155.0,156.48,1620732.0
2019-08-30,158.22,158.49,154.76,154.91,1636497.0
2019-09-03,153.76,153.76,150.06,150.82,2060529.0
2019-09-04,151.42,152.0,151.05,151.72,1563577.0
2019-09-05,152.78,157.2,152.33,156.3,1675670.0
2019-09-06,157.03,157.82,156.12,156.52,1083179.0
2019-09-09,156.7,159.18,156.68,158.36,1718436.0
2019-09-10,158.89,164.04,158.32,164.04,2702942.0
2019-09-11,164.1,165.19,162.78,165.15,2210415.0
2019-09-12,162.11,163.69,159.64,163.26,2732675.0
2019-09-13,164.93,166.59,163.15,165.42,1789258.0
2019-09-16,164.14,165.48,162.9,164.59,1164676.0
2019-09-17,162.99,164.25,162.3,163.99,1349934.0
2019-09-18,163.47,165.63,162.82,165.38,1219677.0
2019-09-19,165.15,166.0,163.7,164.44,986245.0
2019-09-20,164.83,166.7,162.88,164.07,2954268.0
2019-09-23,162.89,166.08,162.76,165.21,1450027.0
2019-09-24,165.61,166.31,163.95,165.96,3183471.0
2019-09-25,165.68,166.24,164.43,165.19,2816157.0
2019-09-26,165.17,166.92,164.75,166.41,1819916.0
2019-09-27,166.5,167.31,165.0,166.26,1613090.0
2019-09-30,166.78,169.03,166.66,168.68,1841382.0
2019-10-01,169.6,170.21,164.65,165.5,2312431.0
2019-10-02,164.0,164.98,161.08,163.25,2659033.0
2019-10-03,163.21,165.19,160.61,164.83,1379066.0
2019-10-04,164.8,167.78,164.15,167.69,1253672.0
