date,Open,High,Low,Close,Volume
2019-08-20,137.88,138.69,136.56,137.21,1254646.0
2019-08-21,139.96,140.37,137.94,138.79,1975559.0
2019-08-22,138.61,140.19,138.29,139.74,1688674.0
2019-08-23,139.1,139.64,136.27,136.99,1500439.0
2019-08-26,138.28,139.3,137.7,139.22,1478622.0
2019-08-27,140.0,140.38,138.68,138.75,1969056.0
2019-08-28,138.51,141.76,138.0,141.03,2445959.0
2019-08-29,151.62,157.44,151.1,156.09,6858995.0
2019-08-30,156.62,158.91,154.61,156.09,2689005.0
2019-09-03,155.41,157.88,155.21,155.63,2384633.0
2019-09-04,157.41,158.18,156.47,157.8,1737089.0
2019-09-05,159.84,161.09,158.97,159.82,1536635.0
2019-09-06,159.92,162.19,159.69,161.54,1584746.0
2019-09-09,162.04,162.34,159.79,160.76,1936088.0
2019-09-10,158.23,158.28,155.31,157.09,3187978.0
2019-09-11,156.17,158.67,155.24,156.01,2529896.0
2019-09-12,158.11,158.8,155.98,157.1,1740726.0
2019-09-13,156.46,158.23,156.26,157.78,1579451.0
2019-09-16,156.63,156.99,152.36,153.17,1884660.0
2019-09-17,153.9,156.84,153.34,156.82,2138170.0
2019-09-18,156.96,157.36,154.69,156.7,1572308.0
2019-09-19,157.44,157.55,155.87,156.81,1281839.0
2019-09-20,157.39,158.6,156.22,156.23,1926382.0
2019-09-23,157.73,160.67,157.56,158.71,1392707.0
2019-09-24,159.68,160.86,156.96,158.81,1416226.0
2019-09-25,158.77,160.06,157.52,159.15,1466472.0
2019-09-26,159.57,160.44,158.22,159.5,1330587.0
2019-09-27,160.5,160.57,158.78,160.02,1364823.0
2019-09-30,159.68,160.78,158.69,158.94,2040494.0
2019-10-01,159.73,160.78,157.0,159.04,1756538.0
2019-10-02,157.71,158.59,156.11,157.62,1657739.0
2019-10-03,157.61,158.14,155.29,157.41,1541167.0
2019-10-04,157.01,161.35,157.01,160.97,1948543.0
2019-10-07,159.98,161.08,158.33,160.01,1686014.0
2019-10-08,158.94,161.55,157.98,159.84,1464419.0
2019-10-09,160.1,161.66,160.0,160.85,1228626.0
2019-10-10,160.43,160.76,158.86,160.52,1727700.0
2019-10-11,161.9,164.29,161.1,162.25,1486582.0
2019-10-14,162.8,163.06,161.04,161.21,1828095.0
2019-10-15,162.79,163.26,161.55,162.07,1171068.0
2019-10-16,161.74,162.5,160.74,162.24,1091193.0
2019-10-17,162.55,163.42,162.03,162.87,1633291.0
2019-10-18,163.12,164.97,162.34,164.41,1760023.0
2019-10-21,164.97,165.47,163.43,164.35,1290309.0
2019-10-22,164.51,166.65,164.39,165.8,1241902.0
2019-10-23,166.09,166.98,162.17,162.98,1512080.0
2019-10-24,163.21,164.18,162.04,162.91,1277164.0
2019-10-25,162.52,163.52,161.73,162.18,764376.0
2019-10-28,162.38,163.09,161.25,162.64,1060323.0
2019-10-29,162.39,162.94,160.54,160.62,1082711.0
2019-10-30,160.33,162.05,160.02,161.63,828645.0
2019-10-31,161.14,161.66,159.33,160.34,1451388.0
2019-11-01,161.47,161.9,159.37,159.9,1072788.0
2019-11-04,160.48,160.71,156.71,158.21,1696571.0
2019-11-05,158.16,160.17,157.97,159.69,1413731.0
2019-11-06,159.63,160.44,158.88,159.61,1025325.0
2019-11-07,160.34,161.1,158.81,159.23,1211986.0
2019-11-08,159.23,159.9,156.38,157.86,1314397.0
2019-11-11,157.72,157.74,155.64,157.0,1001035.0
2019-11-12,156.96,162.53,156.5,156.98,1373640.0
2019-11-13,156.34,158.06,154.59,157.99,2238729.0
2019-11-14,158.5,160.91,157.94,159.49,1564664.0
2019-11-15,160.36,160.36,158.0,160.14,2034353.0
2019-11-18,160.07,160.73,159.37,159.98,1230255.0
2019-11-19,159.13,160.19,157.18,158.43,1618982.0
2019-11-20,159.82,162.1,159.22,160.95,1974577.0
2019-11-21,160.49,162.05,160.25,160.78,1332387.0
2019-11-22,161.35,161.74,159.77,159.79,1300388.0
2019-11-25,159.89,161.01,159.72,159.92,2652130.0
2019-11-26,156.29,160.32,155.42,158.47,3974253.0
2019-11-27,158.65,159.01,157.6,158.42,1834037.0
2019-11-29,157.99,158.31,157.09,157.36,1105525.0
2019-12-02,158.28,158.43,154.53,154.68,3709519.0
2019-12-03,153.41,154.02,152.72,153.0,4841272.0
2019-12-04,154.63,155.73,153.18,153.55,3610228.0
2019-12-05,155.56,156.05,152.0,155.1,5711926.0
2019-12-06,155.91,156.5,153.8,154.72,3190640.0
2019-12-09,154.26,155.54,153.2,154.82,2480031.0
2019-12-10,154.38,155.54,153.89,154.37,1877539.0
2019-12-11,154.22,154.84,153.86,154.51,1724247.0
2019-12-12,154.16,156.29,154.13,155.58,1895302.0
2019-12-13,155.07,155.25,152.95,154.63,2243666.0
