date,Open,High,Low,Close,Volume
2019-08-20,102.34,102.34,101.4,101.44,733982.0
2019-08-21,102.04,103.29,101.75,103.15,883529.0
2019-08-22,103.3,103.6,102.03,102.62,938813.0
2019-08-23,102.57,103.67,101.23,101.6,1759411.0
2019-08-26,102.14,102.26,100.88,101.31,980400.0
2019-08-27,101.89,102.24,100.46,100.46,806895.0
2019-08-28,100.25,101.14,100.11,100.93,862745.0
2019-08-29,101.86,102.48,101.11,102.35,898647.0
2019-08-30,102.55,103.58,102.15,102.37,1416465.0
2019-09-03,101.58,102.41,101.33,102.28,748216.0
2019-09-04,102.95,103.06,102.07,102.73,539948.0
2019-09-05,103.69,103.69,102.23,102.72,703077.0
2019-09-06,102.84,104.4,102.12,104.21,1542517.0
2019-09-09,104.51,105.23,103.35,105.01,1395160.0
2019-09-10,104.93,105.32,103.9,104.55,1164611.0
2019-09-11,104.76,105.0,102.79,103.93,1012233.0
2019-09-12,104.73,105.32,103.96,104.97,1219230.0
2019-09-13,105.33,106.0,104.28,104.4,819757.0
2019-09-16,103.74,105.73,103.74,105.67,484492.0
2019-09-17,105.61,106.56,105.49,106.25,801837.0
2019-09-18,106.26,106.42,105.44,106.22,641751.0
2019-09-19,106.54,106.92,105.51,105.72,411688.0
2019-09-20,105.98,107.97,105.87,107.42,1237120.0
2019-09-23,106.82,107.44,106.58,106.82,750835.0
2019-09-24,107.3,107.42,105.85,106.41,786107.0
2019-09-25,106.36,106.45,105.13,105.66,738447.0
2019-09-26,106.21,106.62,105.36,106.46,811617.0
2019-09-27,107.0,107.0,104.81,105.49,789770.0
2019-09-30,105.62,107.37,105.5,107.03,755362.0
2019-10-01,107.43,107.73,106.14,106.32,702092.0
2019-10-02,105.72,105.92,104.63,105.34,955628.0
2019-10-03,104.32,104.39,101.92,103.46,1121951.0
2019-10-04,103.69,104.75,103.42,104.75,1107852.0
2019-10-07,104.43,105.21,104.14,104.67,1114084.0
2019-10-08,104.15,104.15,101.94,102.14,695715.0
2019-10-09,102.77,103.58,102.43,103.25,453849.0
2019-10-10,103.37,103.7,102.66,103.0,644168.0
2019-10-11,103.89,104.9,103.48,103.52,488161.0
2019-10-14,103.53,104.25,103.15,103.73,391829.0
2019-10-15,104.66,105.34,104.11,104.81,732741.0
2019-10-16,105.03,105.99,104.59,105.82,750957.0
2019-10-17,105.89,106.23,104.61,104.73,1106797.0
2019-10-18,104.83,104.83,102.0,102.66,1655117.0
2019-10-21,102.83,103.0,102.0,102.28,1476916.0
2019-10-22,102.2,102.27,100.13,100.75,2670773.0
2019-10-23,101.19,103.73,100.81,102.92,1230306.0
2019-10-24,102.49,102.81,99.57,100.29,1181135.0
2019-10-25,100.54,101.19,99.94,100.63,772754.0
2019-10-28,101.0,101.97,100.37,100.39,648629.0
2019-10-29,100.34,101.92,100.15,100.96,1157262.0
2019-10-30,100.98,101.85,100.61,101.72,518892.0
2019-10-31,101.4,101.83,100.05,101.25,796102.0
2019-11-01,101.9,102.62,101.49,101.59,846463.0
2019-11-04,102.0,102.0,100.72,101.14,884404.0
2019-11-05,101.57,102.14,100.76,100.82,1026281.0
2019-11-06,101.0,101.96,100.74,101.11,762306.0
2019-11-07,101.11,101.63,100.19,101.61,936601.0
2019-11-08,101.64,101.84,101.06,101.57,831284.0
2019-11-11,101.08,101.78,100.58,100.82,495869.0
2019-11-12,100.81,101.98,100.6,101.92,733102.0
2019-11-13,101.92,102.57,101.54,102.33,618487.0
2019-11-14,102.08,102.8,102.02,102.8,510199.0
2019-11-15,103.04,104.59,102.43,104.22,967956.0
2019-11-18,104.13,105.3,103.85,103.98,807412.0
2019-11-19,104.0,104.83,103.77,104.48,777997.0
2019-11-20,104.17,104.88,104.02,104.88,726673.0
2019-11-21,104.67,105.1,104.25,104.85,800967.0
2019-11-22,105.16,106.32,104.96,105.91,990769.0
2019-11-25,105.92,106.57,105.55,106.53,901017.0
2019-11-26,106.69,107.46,106.28,107.43,1304213.0
2019-11-27,107.51,108.3,106.74,107.13,885629.0
2019-11-29,106.85,107.15,106.4,106.55,403813.0
2019-12-02,106.49,107.28,106.1,106.5,822310.0
2019-12-03,106.37,106.47,105.04,105.61,837796.0
2019-12-04,105.57,106.78,105.43,106.3,754332.0
2019-12-05,106.41,106.45,105.43,106.15,637710.0
2019-12-06,106.75,107.24,106.29,106.92,635710.0
2019-12-09,106.43,106.57,105.2,105.23,611683.0
2019-12-10,105.23,105.75,104.93,104.94,496641.0
2019-12-11,104.87,105.37,104.37,104.73,874898.0
2019-12-12,104.63,105.9,104.55,105.32,941268.0
2019-12-13,104.77,105.38,104.56,105.2,652970.0
2019-12-16,105.81,106.47,105.1,106.18,904308.0
2019-12-17,106.15,107.17,106.07,106.75,967496.0
2019-12-18,107.01,107.26,106.5,107.21,949773.0
2019-12-19,107.95,108.95,107.77,107.99,1069139.0
2019-12-20,108.54,108.66,106.96,107.12,1644605.0
2019-12-23,106.7,107.33,106.54,107.26,711337.0
2019-12-24,107.4,107.76,107.12,107.22,169458.0
2019-12-26,107.31,107.31,106.05,106.49,430405.0
2019-12-27,106.54,106.85,106.03,106.85,360375.0
2019-12-30,106.8,106.85,106.18,106.35,377464.0
2019-12-31,106.05,106.82,105.82,106.79,466811.0
2020-01-02,106.76,106.82,104.97,105.73,1020948.0
2020-01-03,104.27,105.7,104.09,105.11,679132.0
2020-01-06,104.85,105.74,104.72,105.68,505183.0
2020-01-07,104.4,104.81,103.99,104.47,629369.0
2020-01-08,104.0,105.41,103.37,104.9,700894.0
2020-01-09,105.52,106.36,104.91,106.19,652883.0
2020-01-10,106.24,106.93,105.72,106.85,671670.0
2020-01-13,106.33,107.01,106.21,106.56,512524.0
2020-01-14,106.48,106.77,105.11,106.5,733519.0
2020-01-15,106.42,107.65,106.16,106.73,666363.0
2020-01-16,107.26,107.81,106.89,107.11,495624.0
2020-01-17,106.93,107.1,105.72,107.06,1328961.0
2020-01-21,106.83,107.67,106.64,107.34,958419.0
2020-01-22,107.78,108.7,107.36,108.54,684502.0
2020-01-23,108.41,108.43,107.12,107.99,650034.0
2020-01-24,108.25,108.26,106.51,107.79,764688.0
2020-01-27,106.96,109.65,106.75,109.47,1517022.0
2020-01-28,109.63,110.99,108.94,110.82,999875.0
