date,Open,High,Low,Close,Volume
2019-08-20,26.55,26.73,26.37,26.4,1563020.0
2019-08-21,26.4,26.63,25.9,26.5,2513481.0
2019-08-22,26.51,26.805,26.25,26.26,2024906.0
2019-08-23,26.07,26.32,25.22,25.33,2857992.0
2019-08-26,25.62,25.79,25.41,25.57,2346631.0
2019-08-27,25.67,25.7,24.85,24.89,2745933.0
2019-08-28,24.87,25.455,24.7,25.37,3268872.0
2019-08-29,25.6,26.39,25.6,26.11,1734223.0
2019-08-30,26.32,26.49,25.83,26.03,2545769.0
2019-09-03,25.78,25.96,25.22,25.44,2753658.0
2019-09-04,25.62,25.86,25.12,25.54,2846439.0
2019-09-05,25.79,25.91,25.6,25.77,3560627.0
2019-09-06,25.86,26.215,25.64,25.67,2934505.0
2019-09-09,25.77,26.08,25.63,25.76,2874342.0
2019-09-10,25.77,26.88,25.77,26.88,3552796.0
2019-09-11,26.79,27.02,26.25,26.97,2403972.0
2019-09-12,27.02,27.02,26.08,26.51,3529047.0
2019-09-13,26.59,27.08,26.28,26.3,2759086.0
2019-09-16,26.21,26.36,25.99,26.32,2818929.0
2019-09-17,26.18,26.42,25.33,25.62,3706808.0
2019-09-18,25.53,25.53,24.895,25.46,4596384.0
2019-09-19,25.41,25.5419,24.88,24.93,2184325.0
2019-09-20,25.04,25.06,24.36,24.37,7628453.0
2019-09-23,24.4,24.77,24.04,24.7,2495236.0
2019-09-24,24.91,25.07,24.22,24.45,3141055.0
2019-09-25,24.38,24.91,24.38,24.72,2337162.0
2019-09-26,24.72,24.72,24.19,24.45,2031458.0
2019-09-27,24.52,24.83,24.43,24.71,2082027.0
2019-09-30,24.73,25.03,24.6,24.62,2160438.0
2019-10-01,24.7,25.04,24.57,24.79,2182708.0
2019-10-02,24.64,24.83,24.09,24.64,2903244.0
2019-10-03,24.55,25.09,24.36,25.055,3447516.0
2019-10-04,25.15,25.36,24.98,25.16,2965562.0
2019-10-07,24.96,25.66,24.9,25.44,1341818.0
2019-10-08,25.25,25.3,24.94,24.96,2079405.0
2019-10-09,25.18,25.37,24.99,25.205,1370398.0
2019-10-10,25.24,25.67,25.15,25.57,2650262.0
2019-10-11,25.86,26.375,25.78,26.095,2373958.0
2019-10-14,26.01,26.01,25.7,25.83,1957730.0
2019-10-15,25.85,26.155,25.6,25.94,2985505.0
2019-10-16,25.86,26.22,25.49,25.87,2139927.0
2019-10-17,25.92,26.03,25.33,25.98,1947649.0
