date,Open,High,Low,Close,Volume
2019-08-20,124.01,124.54,122.81,123.09,702003.0
2019-08-21,123.16,124.0,122.54,123.29,463009.0
2019-08-22,123.36,124.0,122.07,122.87,617886.0
2019-08-23,123.22,123.57,120.27,120.72,750500.0
2019-08-26,121.36,121.92,120.26,121.19,579092.0
2019-08-27,121.84,122.33,120.31,120.34,989039.0
2019-08-28,120.67,121.64,120.34,121.28,659795.0
2019-08-29,122.01,124.09,121.85,123.6,727985.0
2019-08-30,124.14,124.44,123.25,123.63,770991.0
2019-09-03,123.34,125.54,122.79,125.53,1244750.0
2019-09-04,126.15,126.65,125.55,126.45,1022934.0
2019-09-05,126.38,126.9,125.2,126.67,1437948.0
2019-09-06,126.99,128.68,126.49,128.62,1123501.0
2019-09-09,128.62,128.71,127.43,128.09,1761829.0
2019-09-10,127.81,127.97,126.24,127.65,1620774.0
2019-09-11,126.77,128.72,126.52,128.5,1307598.0
2019-09-12,127.25,129.57,126.46,126.53,1944911.0
2019-09-13,126.22,126.83,124.0,124.32,2232369.0
2019-09-16,124.1,126.77,123.98,126.39,1801597.0
2019-09-17,126.78,128.33,126.78,128.08,1086189.0
2019-09-18,128.64,129.0,123.98,125.3,1600053.0
2019-09-19,125.03,127.01,123.78,123.83,2924996.0
2019-09-20,124.32,125.56,124.03,125.03,2222002.0
2019-09-23,124.72,126.83,124.72,126.31,1894454.0
2019-09-24,126.97,128.04,126.53,127.56,1830960.0
2019-09-25,127.68,128.03,126.83,127.67,1183251.0
2019-09-26,128.1,129.05,127.78,128.53,1440365.0
2019-09-27,128.72,129.5,128.25,128.85,1696801.0
2019-09-30,128.87,130.1,128.55,129.81,984193.0
2019-10-01,129.61,129.86,128.53,129.06,1222565.0
2019-10-02,129.39,129.87,126.16,127.66,1780639.0
2019-10-03,127.82,130.67,127.82,129.65,1783512.0
2019-10-04,129.89,130.37,129.25,130.27,1286792.0
2019-10-07,129.67,130.08,127.88,128.26,1688380.0
2019-10-08,128.56,130.32,127.63,129.0,1461471.0
2019-10-09,129.6,131.15,129.36,130.66,1405925.0
2019-10-10,130.2,130.77,129.34,130.65,877347.0
2019-10-11,131.0,131.1,129.23,129.31,944365.0
2019-10-14,129.69,130.66,129.39,129.85,785398.0
2019-10-15,129.99,130.2,128.87,129.79,1548012.0
2019-10-16,129.83,130.62,128.59,130.6,860417.0
2019-10-17,130.57,132.32,130.49,131.77,973378.0
2019-10-18,131.77,133.08,130.75,132.98,813074.0
2019-10-21,132.89,134.41,132.39,134.33,868760.0
2019-10-22,134.54,135.11,133.88,134.81,836322.0
2019-10-23,135.22,136.32,134.21,135.74,1052473.0
2019-10-24,136.01,136.01,133.94,134.35,681857.0
2019-10-25,134.19,134.19,132.54,132.82,1009552.0
2019-10-28,132.94,132.94,131.73,132.28,973054.0
2019-10-29,132.42,134.25,126.51,130.59,3003152.0
2019-10-30,129.04,130.13,123.25,129.41,7840725.0
2019-10-31,129.2,129.41,126.43,127.04,2384348.0
2019-11-01,127.4,127.77,125.47,126.8,1499501.0
2019-11-04,126.76,126.92,123.8,124.07,1670895.0
2019-11-05,123.72,124.0,122.2,123.33,1624393.0
2019-11-06,123.72,124.33,122.25,122.7,1541173.0
2019-11-07,122.34,122.69,118.02,118.68,2692520.0
2019-11-08,117.05,118.43,116.18,116.57,2595746.0
2019-11-11,116.56,117.52,116.24,116.66,2027562.0
2019-11-12,116.81,118.42,116.01,116.1,3393615.0
2019-11-13,116.52,116.82,115.75,116.13,1972453.0
2019-11-14,116.29,117.22,115.95,117.12,1741702.0
2019-11-15,117.61,118.92,117.03,118.87,1674178.0
