date,Open,High,Low,Close,Volume
2019-08-20,95.81,95.99,93.49,93.63,1512447.0
2019-08-21,95.84,96.23,94.88,96.08,1556872.0
2019-08-22,96.03,97.43,95.95,97.21,1355023.0
2019-08-23,96.92,98.09,94.83,95.16,2533329.0
2019-08-26,96.35,96.59,94.52,95.87,2595966.0
2019-08-27,96.37,97.97,95.88,96.75,2292666.0
2019-08-28,96.45,99.87,96.2756,99.6,2963169.0
2019-08-29,102.5,104.24,96.68,97.67,6131275.0
2019-08-30,98.25,101.93,97.91,101.53,3975403.0
2019-09-03,101.19,102.15,99.875,101.99,2110933.0
2019-09-04,102.86,105.18,102.5068,105.0,2570467.0
2019-09-05,106.43,108.29,106.19,107.63,2448533.0
2019-09-06,107.68,109.72,107.17,109.62,2531158.0
2019-09-09,109.87,110.72,107.705,108.9,2687108.0
2019-09-10,108.55,110.015,106.81,109.93,1826153.0
2019-09-11,111.02,112.65,110.42,111.36,3242855.0
2019-09-12,111.83,112.91,111.01,111.94,1550339.0
2019-09-13,111.89,113.12,111.51,112.86,1801589.0
2019-09-16,112.1,112.135,109.51,109.56,1746594.0
2019-09-17,109.74,111.1,109.25,111.04,1247804.0
2019-09-18,111.36,112.27,110.38,112.26,1748303.0
2019-09-19,112.46,112.92,111.68,111.74,1576588.0
2019-09-20,111.96,113.6661,111.04,111.07,2574954.0
2019-09-23,111.1,113.94,111.1,113.42,1994105.0
2019-09-24,113.67,114.51,111.82,113.37,1694622.0
2019-09-25,113.37,114.16,111.85,112.95,1352368.0
2019-09-26,113.51,113.58,111.33,112.46,1392119.0
2019-09-27,113.29,114.42,112.6,114.3,1840219.0
2019-09-30,114.46,115.7895,113.8601,114.16,2026362.0
2019-10-01,115.09,115.09,113.0,113.25,1658272.0
2019-10-02,112.25,113.37,111.01,113.07,2460576.0
2019-10-03,112.77,113.14,110.65,112.92,1947156.0
2019-10-04,113.21,116.59,113.15,115.725,2596205.0
2019-10-07,115.13,115.655,111.83,112.16,1777012.0
2019-10-08,111.11,114.1,110.81,112.48,1747850.0
2019-10-09,113.16,114.69,112.92,112.99,1545864.0
2019-10-10,113.25,114.03,112.3,113.91,1115153.0
2019-10-11,115.0,116.59,114.8001,115.19,2202706.0
2019-10-14,115.35,115.98,114.93,115.02,1162701.0
2019-10-15,115.0,116.63,115.0,116.51,1241212.0
2019-10-16,116.66,116.99,115.8,116.9,1645488.0
2019-10-17,117.27,117.62,116.7066,117.37,1124662.0
2019-10-18,117.2,118.04,116.86,116.98,1334668.0
2019-10-21,117.26,117.505,115.95,116.69,1346236.0
2019-10-22,117.45,119.71,117.44,118.44,2013812.0
2019-10-23,117.86,118.1,115.51,116.63,1378873.0
2019-10-24,116.24,116.74,115.0,115.6,1172464.0
2019-10-25,115.21,116.2,114.02,114.55,1439216.0
2019-10-28,114.92,115.4,113.37,113.42,1687263.0
2019-10-29,113.73,114.34,112.54,112.58,1150388.0
2019-10-30,112.36,112.67,110.8,112.06,1200906.0
2019-10-31,111.71,112.06,109.25,110.4,1812494.0
2019-11-01,111.14,112.4,110.67,111.74,1290436.0
2019-11-04,112.06,112.89,111.52,112.21,1105918.0
2019-11-05,111.84,114.07,111.82,113.28,1260637.0
2019-11-06,113.08,113.39,112.29,112.79,830135.0
2019-11-07,113.37,114.83,112.4,112.47,1265135.0
2019-11-08,112.31,112.85,109.99,110.35,1299776.0
2019-11-11,109.79,109.83,107.91,108.93,1450912.0
2019-11-12,108.5,109.0,107.6,107.69,1697854.0
2019-11-13,107.69,108.46,106.22,108.4,1601632.0
2019-11-14,108.82,109.33,107.45,108.75,1311696.0
2019-11-15,109.37,109.45,107.76,108.85,1223258.0
2019-11-18,108.54,109.5,108.29,109.06,1428464.0
2019-11-19,108.78,109.28,106.59,106.88,1262487.0
2019-11-20,107.25,108.35,106.42,107.26,1339665.0
2019-11-21,107.32,109.49,107.0,107.995,1540978.0
2019-11-22,108.55,110.16,108.03,109.04,2030744.0
2019-11-25,109.83,113.35,109.75,112.39,3381895.0
2019-11-26,95.7635,98.98,92.6499,95.26,23935232.0
2019-11-27,94.5,94.68,92.85,93.03,7360008.0
2019-11-29,92.76,93.05,91.2,91.46,3004817.0
2019-12-02,91.5,91.5894,89.09,89.47,8045327.0
2019-12-03,88.54,90.08,88.26,88.65,3511169.0
2019-12-04,89.36,90.1,88.68,89.26,3946487.0
2019-12-05,89.95,91.59,89.44,90.8,4687879.0
2019-12-06,91.43,92.59,91.17,92.24,3195445.0
2019-12-09,92.1,93.42,91.87,93.2,3066662.0
2019-12-10,93.04,94.26,91.18,91.55,2658523.0
2019-12-11,91.51,91.68,89.88,91.5,2259201.0
2019-12-12,91.46,93.0,91.245,92.55,2865654.0
2019-12-13,92.39,93.92,91.92,93.59,3749954.0
2019-12-16,94.0,94.57,92.57,94.22,3070309.0
2019-12-17,94.48,94.94,92.02,92.04,3266295.0
2019-12-18,92.28,92.38,91.14,91.83,2366467.0
2019-12-19,91.87,92.64,91.52,92.1,2245781.0
2019-12-20,92.52,94.12,92.0987,94.06,3744768.0
2019-12-23,94.11,94.5,92.3,92.44,2413921.0
2019-12-24,92.76,93.39,92.46,93.23,952893.0
2019-12-26,93.3,93.3,91.8358,92.08,1617232.0
2019-12-27,92.11,92.96,91.94,92.84,2768333.0
2019-12-30,92.81,94.008,92.34,93.49,3409578.0
2019-12-31,93.67,94.38,93.38,94.05,1873467.0
2020-01-02,94.69,94.69,93.3,93.78,2157095.0
2020-01-03,93.01,93.58,92.5,93.03,2103443.0
2020-01-06,91.59,93.06,90.8801,93.03,3431928.0
2020-01-07,92.61,93.39,91.77,91.93,2975340.0
2020-01-08,91.95,91.95,89.79,89.79,5915431.0
2020-01-09,89.27,91.16,89.12,91.06,4132667.0
2020-01-10,91.36,91.98,90.64,91.35,2682390.0
2020-01-13,90.76,91.52,90.46,90.77,3496500.0
2020-01-14,89.83,90.73,88.62,90.57,4549207.0
2020-01-15,90.04,90.92,89.86,90.75,3945175.0
2020-01-16,91.17,91.92,90.83,91.08,2142335.0
2020-01-17,91.0,91.73,90.87,91.55,2447311.0
2020-01-21,91.24,91.55,89.45,89.5,9618826.0
2020-01-22,89.96,90.75,89.69,89.87,3153779.0
2020-01-23,89.2,89.55,87.91,87.94,3679702.0
2020-01-24,88.0,88.65,87.34,87.71,4061341.0
2020-01-27,86.73,88.88,86.19,88.4,2805527.0
2020-01-28,88.52,88.91,86.64,86.76,3821484.0
2020-01-29,87.13,87.4,86.04,86.11,2028715.0
2020-01-30,85.7,87.75,85.37,87.61,2497032.0
2020-01-31,87.42,87.55,86.23,87.07,2704686.0
2020-02-03,87.56,88.25,87.14,87.51,1906023.0
2020-02-04,88.25,89.54,87.86,88.31,1588072.0
2020-02-05,88.84,89.08,88.13,88.71,1314958.0
2020-02-06,88.98,88.98,87.87,87.94,1815663.0
2020-02-07,87.89,87.89,86.66,87.14,1286510.0
2020-02-10,87.18,87.4183,86.77,87.18,1201925.0
2020-02-11,87.3,88.71,87.3,88.19,1708171.0
2020-02-12,88.49,89.63,88.25,89.52,1370609.0
2020-02-13,89.21,89.46,88.04,89.27,1200367.0
2020-02-14,88.89,88.95,88.01,88.68,1690303.0
2020-02-18,88.9,91.17,88.9,91.08,2078829.0
2020-02-19,91.11,92.55,90.52,91.99,2154874.0
2020-02-20,91.91,93.61,91.7959,93.22,1979469.0
2020-02-21,92.71,94.08,92.4,93.89,2279182.0
2020-02-24,92.34,92.72,90.095,91.04,2805325.0
2020-02-25,91.62,92.36,88.51,88.67,2739614.0
2020-02-26,89.45,89.87,87.66,87.75,2372200.0
2020-02-27,86.76,88.19,84.81,85.3,3271132.0
2020-02-28,83.37,83.74,80.69,83.03,4580498.0
2020-03-02,83.23,84.71,80.91,84.56,3936858.0
2020-03-03,84.1,84.75,80.71,81.82,3248608.0
2020-03-04,81.22,82.49,78.07,78.91,7807304.0
2020-03-05,78.63,79.73,77.51,77.99,4237254.0
2020-03-06,76.0,80.54,75.56,80.24,3880012.0
2020-03-09,75.44,84.66,75.1201,83.51,5052676.0
2020-03-10,85.08,88.95,84.32,88.06,4897218.0
2020-03-11,86.32,87.79,83.06,83.67,3447296.0
2020-03-12,78.48,81.9,70.1,70.35,6504178.0
2020-03-13,73.23,74.85,69.485,74.7,5591647.0
2020-03-16,68.57,74.91,66.85,67.02,5182719.0
2020-03-17,68.55,77.98,68.0,76.45,5021610.0
2020-03-18,73.09,77.342,60.2,65.57,4340881.0
2020-03-19,65.63,77.64,64.26,70.87,4218428.0
2020-03-20,72.078,78.77,71.32,75.97,5334657.0
2020-03-23,76.71,83.76,73.19,76.37,4496210.0
2020-03-24,82.2,82.99,77.03,79.66,3509263.0
2020-03-25,79.83,82.8,76.13,76.37,3022471.0
2020-03-26,76.77,79.54,76.06,78.14,3507770.0
2020-03-27,76.58,78.79,75.23,77.05,2863585.0
2020-03-30,77.0,80.56,77.0,79.85,2910513.0
2020-03-31,76.87,77.63,72.76,73.47,5923906.0
2020-04-01,71.4504,75.0,70.58,72.94,4847000.0
2020-04-02,72.12,72.94,68.81,70.46,4696718.0
2020-04-03,70.52,71.39,68.43,70.24,2416755.0
2020-04-06,72.4,76.41,71.3066,76.28,3555734.0
2020-04-07,78.04,80.12,75.72,76.24,2967901.0
2020-04-08,76.62,80.3,76.35,79.22,2425567.0
2020-04-09,79.64,80.72,76.97,77.56,2498619.0
2020-04-13,77.22,77.43,75.01,76.17,2374272.0
2020-04-14,77.4506,80.43,77.02,79.88,2313641.0
2020-04-15,78.52,78.61,76.58,78.09,1726121.0
2020-04-16,77.68,82.19,77.68,80.43,2056964.0
2020-04-17,81.82,81.97,79.26,81.73,2609676.0
2020-04-20,80.24,80.85,79.0,79.19,1832206.0
2020-04-21,77.98,78.73,76.47,77.74,2556491.0
2020-04-22,79.05,79.11,77.11,77.25,1466681.0
2020-04-23,76.22,76.49,74.06,74.93,4372926.0
2020-04-24,75.65,75.8,74.28,74.54,2541880.0
2020-04-27,75.29,81.7,75.11,80.27,3092067.0
2020-04-28,81.71,82.89,79.83,80.79,1985150.0
2020-04-29,81.87,82.0,79.68,80.86,1539966.0
2020-04-30,80.23,80.58,78.315,79.67,2300174.0
2020-05-01,78.5,79.39,76.995,77.39,1665434.0
2020-05-04,76.94,77.96,76.33,77.82,1529749.0
2020-05-05,77.94,78.9,76.15,76.55,1712276.0
2020-05-06,77.01,78.145,75.31,75.66,1943439.0
2020-05-07,75.96,78.525,75.96,76.69,2598680.0
2020-05-08,77.97,79.17,77.8,78.05,1884981.0
2020-05-11,78.0,78.58,76.63,77.91,2205645.0
2020-05-12,77.82,78.86,75.97,76.33,1895691.0
2020-05-13,76.09,76.42,73.5527,74.46,1840088.0
2020-05-14,75.33,75.56,72.12,75.53,2216528.0
2020-05-15,75.28,76.21,74.65,75.07,1975016.0
2020-05-18,77.41,78.89,76.875,78.59,2976309.0
2020-05-19,78.73,81.2,78.71,79.99,2072967.0
2020-05-20,80.6,81.63,79.51,79.61,2381058.0
2020-05-21,79.16,81.26,78.825,81.22,1636307.0
2020-05-22,81.41,82.41,79.78,81.7,2403903.0
2020-05-26,84.15,85.43,83.58,85.2,3584232.0
2020-05-27,87.0,88.17,85.88,87.53,4501491.0
2020-05-28,96.86,99.8221,95.05,97.64,13552068.0
2020-05-29,97.02,99.31,96.06,97.87,3935073.0
2020-06-01,97.41,98.0,95.58,96.25,3060765.0
2020-06-02,96.75,99.61,96.75,96.98,3926426.0
2020-06-03,97.73,98.08,94.54,94.57,2375588.0
2020-06-04,94.26,95.96,92.24,93.26,2674844.0
2020-06-05,94.8,95.25,92.34,92.9,3719781.0
2020-06-08,92.73,94.05,91.81,93.73,3192689.0
2020-06-09,93.74,93.96,92.265,92.58,2432557.0
2020-06-10,92.66,93.0,91.04,91.47,2687771.0
2020-06-11,90.47,90.94,88.85,89.1,2505664.0
2020-06-12,89.85,90.25,86.13,87.77,2800081.0
2020-06-15,86.01,89.75,85.51,89.11,2414127.0
2020-06-16,91.0,91.88,89.47,91.13,2352760.0
2020-06-17,91.57,91.82,88.98,89.085,1849086.0
2020-06-18,88.91,90.93,88.6,90.69,2603322.0
2020-06-19,91.125,91.94,88.5,88.8,2866831.0
2020-06-22,88.09,90.36,87.88,90.29,1569868.0
2020-06-23,90.76,90.95,89.155,89.75,1797319.0
2020-06-24,89.38,90.33,87.58,90.1,2738265.0
2020-06-25,90.0,93.23,88.7025,93.11,3134867.0
2020-06-26,93.48,96.2,92.11,92.62,4310619.0
2020-06-29,92.93,94.81,91.41,93.67,1880200.0
2020-06-30,92.82,93.53,90.65,92.68,3582300.0
2020-07-01,92.18,93.84,92.04,93.39,2399700.0
2020-07-02,93.76,94.34,92.9,93.61,2606500.0
2020-07-06,94.98,95.24,89.27,89.78,3456800.0
2020-07-07,89.75,91.04,88.96,90.5,2224700.0
2020-07-08,90.23,90.48,89.68,90.29,1790000.0
2020-07-09,91.26,92.0,89.66,91.34,1962800.0
2020-07-10,91.04,91.93,90.48,91.87,1555900.0
2020-07-13,92.24,94.11,91.76,92.31,2261400.0
2020-07-14,91.11,94.51,91.01,94.36,1882900.0
2020-07-15,94.97,95.99,94.59,95.71,1997100.0
2020-07-16,97.25,99.0,96.12,96.63,2813400.0
2020-07-17,96.77,96.91,95.41,95.46,1445000.0
2020-07-20,97.18,98.88,95.47,97.12,2210834.0
2020-07-21,97.23,98.31,95.67,96.07,1906899.0
2020-07-22,95.52,97.28,95.051,97.12,1288836.0
2020-07-23,96.98,97.27,95.93,96.32,1754069.0
2020-07-24,96.41,97.25,95.34,95.6,1205495.0
2020-07-27,95.9839,95.9839,94.085,95.42,1298261.0
2020-07-28,95.31,95.9,94.54,95.64,1359291.0
2020-07-29,95.87,96.59,94.75,95.02,1559369.0
2020-07-30,94.16,95.11,93.79,93.95,1682629.0
2020-07-31,93.71,93.71,92.23,93.35,1805690.0
2020-08-03,94.01,94.63,92.74,94.51,1516680.0
2020-08-04,94.63,96.24,94.42,95.9,1976211.0
2020-08-05,96.3192,97.105,95.44,95.82,1010892.0
2020-08-06,95.75,95.95,94.86,95.6,1080530.0
2020-08-07,96.17,97.03,95.64,96.49,1345214.0
2020-08-10,96.49,97.93,96.25,97.74,1797599.0
2020-08-11,97.88,98.5151,95.9132,96.49,1345377.0
2020-08-12,96.82,99.4,95.87,99.21,2326895.0
2020-08-13,98.57,98.835,96.86,97.27,1909096.0
2020-08-14,97.21,99.64,96.7401,98.84,1864149.0
2020-08-17,99.66,101.8826,99.64,100.87,1697108.0
2020-08-18,101.31,101.4901,97.81,99.24,1627494.0
2020-08-19,100.05,100.52,99.04,99.75,1844949.0
2020-08-20,99.27,99.6438,98.6926,98.91,1212606.0
