date,Open,High,Low,Close,Volume
2019-08-20,231.96,233.36,225.06,232.43,1086306.0
2019-08-21,233.08,234.14,228.89,231.52,701772.0
2019-08-22,231.15,231.98,226.58,231.85,635451.0
2019-08-23,231.32,233.42,225.51,226.15,745952.0
2019-08-26,227.79,228.94,224.87,227.69,614578.0
2019-08-27,227.99,228.44,220.9,222.45,1134721.0
2019-08-28,221.81,226.9,221.81,225.85,754741.0
2019-08-29,227.47,228.81,224.98,225.26,534354.0
2019-08-30,226.31,226.94,224.01,226.84,510315.0
2019-09-03,224.57,228.84,223.4,226.87,1225091.0
2019-09-04,228.24,241.19,228.0,239.06,1667630.0
2019-09-05,241.56,245.88,240.74,244.83,1116480.0
2019-09-06,245.11,246.33,236.42,237.35,1057566.0
2019-09-09,238.14,241.16,235.87,239.2,704421.0
2019-09-10,239.23,243.58,231.85,243.57,666784.0
2019-09-11,243.6,249.39,242.12,249.09,746177.0
2019-09-12,248.04,249.14,245.87,246.79,735814.0
2019-09-13,247.1,247.7,243.73,245.05,740777.0
2019-09-16,245.54,246.47,243.08,244.79,1064611.0
2019-09-17,243.85,245.2,237.66,243.54,662610.0
2019-09-18,244.15,245.21,242.49,245.0,500165.0
2019-09-19,244.38,247.7,243.1,247.01,465183.0
2019-09-20,248.13,248.8,245.81,247.62,736086.0
2019-09-23,247.32,248.11,245.54,246.26,802497.0
2019-09-24,247.35,248.21,242.53,242.97,831988.0
2019-09-25,242.66,243.72,239.81,241.45,840735.0
2019-09-26,240.95,240.95,237.12,239.46,613104.0
2019-09-27,238.51,240.96,238.51,240.46,396048.0
2019-09-30,240.56,244.88,240.5,244.59,772405.0
2019-10-01,245.13,246.44,243.24,245.77,594352.0
2019-10-02,244.0,245.75,241.3,241.75,1000235.0
2019-10-03,240.16,243.89,240.16,243.35,677167.0
2019-10-04,247.94,249.0,241.3,242.13,910764.0
2019-10-07,242.29,247.22,241.4,242.21,2020935.0
2019-10-08,230.5,258.0,227.5,253.48,6538461.0
