date,Open,High,Low,Close,Volume
2019-08-20,33.66,33.68,32.94,32.96,1856772.0
2019-08-21,33.11,33.34,32.98,33.18,1677714.0
2019-08-22,33.24,33.46,33.05,33.44,1986434.0
2019-08-23,33.43,33.58,32.74,32.83,1477677.0
2019-08-26,33.06,33.16,32.78,33.14,879724.0
2019-08-27,33.34,33.5,32.88,32.9,1656657.0
2019-08-28,32.9,33.19,32.8,33.09,1135612.0
2019-08-29,33.29,33.45,33.18,33.3,837736.0
2019-08-30,33.34,33.43,33.17,33.27,1539677.0
2019-09-03,33.02,33.53,32.99,33.46,1249150.0
2019-09-04,33.72,33.82,33.48,33.74,1691374.0
2019-09-05,33.69,33.77,33.28,33.4,1792392.0
2019-09-06,33.46,33.56,33.12,33.32,2010861.0
2019-09-09,33.48,33.48,32.98,33.16,1479665.0
2019-09-10,33.02,33.02,32.08,32.29,2863839.0
2019-09-11,32.23,32.32,31.9,32.12,2564223.0
2019-09-12,32.46,32.62,32.24,32.39,2178314.0
2019-09-13,32.38,32.76,31.99,32.26,1764017.0
2019-09-16,32.31,32.95,32.21,32.93,1636837.0
2019-09-17,32.97,33.44,32.82,33.43,2225740.0
2019-09-18,33.48,33.52,32.89,33.27,3285528.0
2019-09-19,33.32,33.54,33.2,33.36,3118775.0
2019-09-20,33.42,33.55,33.24,33.35,3734396.0
2019-09-23,33.23,33.63,32.79,33.49,1454015.0
2019-09-24,33.61,33.78,33.34,33.52,2491360.0
2019-09-25,33.36,33.75,33.36,33.66,2963424.0
2019-09-26,33.82,34.14,33.54,34.1,1780651.0
2019-09-27,34.2,34.24,33.75,34.04,2178654.0
2019-09-30,34.01,34.24,33.96,33.97,2147430.0
2019-10-01,33.92,34.03,33.47,33.65,2303246.0
2019-10-02,33.54,33.82,33.5,33.78,2077311.0
2019-10-03,33.76,34.24,33.7,34.11,2102171.0
2019-10-04,34.21,34.44,34.11,34.26,2196240.0
2019-10-07,33.89,34.16,33.72,33.83,2345008.0
2019-10-08,33.71,34.07,33.41,33.81,2213436.0
2019-10-09,34.04,34.12,33.45,33.53,1470744.0
2019-10-10,33.46,33.58,33.29,33.33,2442723.0
2019-10-11,33.45,33.68,33.3,33.55,3303117.0
2019-10-14,33.55,33.55,33.18,33.35,1614197.0
2019-10-15,33.33,33.53,33.2,33.51,1953870.0
2019-10-16,33.43,33.54,33.18,33.46,2599137.0
2019-10-17,33.46,33.95,33.41,33.94,2511138.0
2019-10-18,33.96,34.04,33.72,33.97,1721815.0
2019-10-21,33.95,34.31,33.9,34.29,1005155.0
2019-10-22,34.38,34.38,33.9,34.05,1358534.0
2019-10-23,34.05,34.24,33.86,34.19,1978861.0
2019-10-24,34.27,34.49,34.1,34.46,2242847.0
2019-10-25,34.52,34.6,34.31,34.56,2172206.0
2019-10-28,34.69,35.43,34.69,35.25,6420420.0
2019-10-29,35.2,35.72,35.08,35.14,3105179.0
2019-10-30,35.29,35.58,35.16,35.49,2921754.0
2019-10-31,35.86,36.04,35.1,35.14,3160547.0
2019-11-01,35.23,35.34,34.89,35.34,3090049.0
2019-11-04,35.34,35.55,35.06,35.36,2503409.0
2019-11-05,35.21,35.28,34.63,34.71,2174054.0
2019-11-06,34.82,35.05,34.66,34.9,2211787.0
2019-11-07,34.87,34.89,34.47,34.62,2078310.0
2019-11-08,34.55,34.81,34.49,34.59,1688514.0
2019-11-11,34.67,34.88,34.47,34.76,1630090.0
2019-11-12,34.74,35.2,34.72,34.9,2875861.0
2019-11-13,34.73,34.99,34.56,34.84,1755058.0
2019-11-14,34.94,35.06,34.77,34.99,1958672.0
2019-11-15,35.01,35.17,34.91,35.15,1745964.0
2019-11-18,35.2,35.3,34.99,35.08,2427807.0
2019-11-19,35.05,35.42,34.92,35.33,1788080.0
2019-11-20,35.27,35.41,35.07,35.19,1245703.0
2019-11-21,35.1,35.1,34.71,34.77,1907365.0
2019-11-22,34.85,34.86,34.4,34.63,995952.0
2019-11-25,34.71,34.9,34.45,34.51,2852860.0
2019-11-26,34.56,35.25,34.51,35.25,5622806.0
2019-11-27,35.21,35.33,35.02,35.28,1811766.0
2019-11-29,35.28,35.44,35.14,35.18,1382829.0
2019-12-02,35.16,35.16,34.59,34.64,2444586.0
2019-12-03,34.55,34.9,34.55,34.74,3287977.0
2019-12-04,34.69,35.24,34.6,35.07,2175304.0
2019-12-05,35.0,35.24,34.8,35.23,2599159.0
2019-12-06,35.24,35.45,35.14,35.17,1411228.0
2019-12-09,35.17,35.18,34.88,35.15,1213265.0
2019-12-10,35.21,35.28,34.83,35.16,1444382.0
2019-12-11,35.22,35.26,34.7,34.82,1526681.0
2019-12-12,34.8,35.09,34.26,34.31,2735930.0
2019-12-13,34.3,34.48,33.89,34.21,2747666.0
2019-12-16,34.27,34.49,33.92,34.44,1995136.0
2019-12-17,34.53,34.57,33.95,34.06,1574416.0
2019-12-18,34.15,34.28,33.92,34.2,1527530.0
2019-12-19,34.17,34.28,34.05,34.28,1848183.0
2019-12-20,34.31,34.45,34.22,34.24,4280472.0
2019-12-23,34.4,34.48,33.96,34.02,1149737.0
2019-12-24,34.04,34.16,33.95,34.1,319514.0
2019-12-26,34.15,34.28,34.06,34.25,659814.0
2019-12-27,34.36,34.47,34.17,34.34,804808.0
2019-12-30,34.26,34.38,34.14,34.38,1085428.0
2019-12-31,34.41,34.68,34.32,34.67,2174119.0
2020-01-02,34.89,34.89,33.99,34.37,3052400.0
2020-01-03,34.12,35.04,34.1,35.0,3005279.0
2020-01-06,34.8,34.9,34.48,34.62,2951370.0
2020-01-07,34.32,34.5,33.98,34.4,1869601.0
2020-01-08,34.36,34.67,34.21,34.6,3240715.0
2020-01-09,34.56,34.66,34.37,34.43,2580590.0
2020-01-10,34.57,34.95,34.48,34.92,3677898.0
2020-01-13,34.93,35.4,34.9,35.37,2295776.0
2020-01-14,35.38,35.38,34.77,34.99,2590705.0
2020-01-15,35.05,35.38,35.05,35.15,2703334.0
2020-01-16,35.2,35.46,35.19,35.39,2277387.0
2020-01-17,35.42,35.68,35.34,35.67,2482863.0
2020-01-21,35.66,35.94,35.55,35.94,1890395.0
2020-01-22,36.05,36.13,35.54,35.61,2151559.0
2020-01-23,35.53,35.96,35.4,35.96,1927415.0
2020-01-24,36.01,36.28,35.88,36.1,1677346.0
2020-01-27,35.94,36.14,35.82,36.01,1648105.0
2020-01-28,36.0,36.32,35.9,36.22,1762664.0
2020-01-29,36.21,36.52,36.1,36.38,3189601.0
2020-01-30,36.19,36.91,36.19,36.73,2737230.0
2020-01-31,36.74,36.82,36.26,36.31,3875107.0
2020-02-03,36.48,36.48,36.12,36.31,2787939.0
2020-02-04,36.41,36.8,36.33,36.68,1754656.0
2020-02-05,36.68,36.89,36.53,36.69,1594375.0
2020-02-06,36.76,36.9,36.69,36.75,1596719.0
2020-02-07,36.86,36.91,36.58,36.63,1088769.0
2020-02-10,36.79,37.3,36.71,37.29,1653343.0
2020-02-11,37.48,37.66,37.32,37.62,1997192.0
2020-02-12,37.66,37.99,37.48,37.86,2573228.0
2020-02-13,37.63,38.0,37.6,37.94,1841007.0
2020-02-14,38.06,38.49,37.88,38.48,1532550.0
2020-02-18,38.54,38.58,38.09,38.52,2179439.0
2020-02-19,38.55,38.55,38.12,38.36,2146812.0
2020-02-20,38.34,38.75,38.13,38.67,2004913.0
2020-02-21,38.67,38.88,38.51,38.83,2879111.0
2020-02-24,38.34,38.45,37.67,37.72,2656237.0
2020-02-25,37.81,37.93,36.49,36.53,2579228.0
2020-02-26,36.55,37.13,36.18,36.2,3125365.0
2020-02-27,35.55,35.89,33.88,33.88,3217772.0
2020-02-28,33.13,33.15,31.47,32.47,6102690.0
2020-03-02,32.69,33.91,32.36,33.9,4391046.0
2020-03-03,34.04,35.0,33.65,34.12,4621296.0
2020-03-04,34.66,35.85,34.66,35.77,2324931.0
2020-03-05,34.88,35.41,34.22,34.64,2189690.0
2020-03-06,33.64,34.37,32.71,33.95,3146725.0
2020-03-09,32.4,32.98,31.13,31.16,4336272.0
2020-03-10,31.93,32.73,30.68,32.71,3869373.0
2020-03-11,31.77,31.77,30.16,30.36,3941816.0
2020-03-12,28.08,29.74,26.88,27.44,4101651.0
2020-03-13,28.96,31.9,27.67,31.88,3705513.0
2020-03-16,28.4,30.18,26.13,26.15,4889342.0
2020-03-17,26.94,29.69,25.61,29.11,3453302.0
2020-03-18,27.11,29.68,26.75,29.12,3934816.0
2020-03-19,28.39,29.95,27.5,28.23,4728241.0
2020-03-20,28.42,29.25,26.28,26.99,4590647.0
2020-03-23,27.0,27.12,25.19,26.25,3352620.0
2020-03-24,27.44,29.27,26.87,29.01,3652549.0
2020-03-25,28.74,30.42,28.25,28.52,3103866.0
2020-03-26,28.67,30.92,28.16,30.64,2476717.0
2020-03-27,29.63,33.03,29.2,32.08,2958200.0
2020-03-30,32.51,33.42,31.0,33.05,2977716.0
2020-03-31,32.56,33.04,31.53,32.38,4358008.0
2020-04-01,30.75,31.17,28.71,30.18,2882756.0
2020-04-02,29.72,30.76,29.5,30.03,3449244.0
2020-04-03,29.62,30.41,29.17,29.59,2960638.0
2020-04-06,31.24,32.46,31.0,32.2,2368357.0
2020-04-07,33.6,34.05,31.46,31.52,3338619.0
2020-04-08,32.04,33.7,31.52,33.42,4845535.0
2020-04-09,34.08,35.68,33.66,35.56,3348646.0
2020-04-13,35.04,35.55,33.77,33.9,3107258.0
2020-04-14,34.42,35.98,34.42,35.61,2474455.0
2020-04-15,34.67,35.04,33.28,33.7,2065034.0
2020-04-16,33.86,34.28,33.52,34.03,1963502.0
2020-04-17,34.8,35.12,34.2,34.92,2086995.0
2020-04-20,34.33,34.82,33.72,33.76,2131549.0
2020-04-21,32.97,33.76,32.79,33.39,2554048.0
2020-04-22,34.04,34.57,33.51,34.16,1989541.0
2020-04-23,34.13,34.58,33.42,33.44,2622025.0
2020-04-24,33.6,34.4,33.49,34.3,1794964.0
2020-04-27,34.72,35.76,34.45,35.72,1905039.0
2020-04-28,36.42,37.11,36.02,36.2,2221553.0
2020-04-29,36.53,36.74,35.32,35.5,3390978.0
2020-04-30,34.93,34.93,33.15,34.7,3066813.0
2020-05-01,33.96,34.06,33.05,33.3,2973528.0
2020-05-04,32.93,33.32,32.39,32.81,1654224.0
2020-05-05,33.22,33.45,32.89,32.92,2131193.0
2020-05-06,33.06,33.46,32.81,32.93,1985539.0
2020-05-07,33.27,33.64,33.1,33.23,2137979.0
2020-05-08,33.81,34.05,33.37,33.92,1879447.0
2020-05-11,33.51,34.23,33.34,33.89,2143087.0
2020-05-12,33.89,34.11,31.61,31.65,3165598.0
2020-05-13,31.17,31.36,30.31,30.41,3010053.0
2020-05-14,29.88,30.49,28.8,30.49,3391508.0
2020-05-15,30.18,31.12,29.58,30.83,8012922.0
2020-05-18,31.97,32.71,31.95,32.45,3407438.0
2020-05-19,32.32,32.61,31.84,31.87,1787280.0
2020-05-20,32.72,32.95,32.36,32.66,3516045.0
2020-05-21,32.48,33.37,32.48,33.04,2196227.0
2020-05-22,32.97,33.35,32.9,33.28,1685944.0
2020-05-26,34.49,34.64,33.81,34.12,2029300.0
