date,Open,High,Low,Close,Volume
2019-08-20,91.03,91.54,90.67,91.18,3611263.0
2019-08-21,90.47,91.29,90.09,91.24,2754409.0
2019-08-22,91.29,92.11,90.5,91.32,1945546.0
2019-08-23,91.45,91.67,90.26,90.74,3153865.0
2019-08-26,90.93,91.39,90.57,91.35,2037100.0
2019-08-27,91.77,92.84,91.66,92.15,3668124.0
2019-08-28,92.41,93.15,91.9,92.3,2637784.0
2019-08-29,92.76,92.8,91.53,92.76,2231369.0
2019-08-30,93.0,93.35,92.61,92.74,2157900.0
2019-09-03,92.5,93.72,92.33,93.67,2620212.0
2019-09-04,93.9,94.18,93.23,93.97,2102616.0
2019-09-05,93.5,93.85,92.81,93.41,2721230.0
2019-09-06,93.63,94.29,93.37,93.76,2578043.0
2019-09-09,93.56,93.84,93.08,93.72,2769770.0
2019-09-10,93.26,94.54,93.24,93.94,3179521.0
2019-09-11,93.55,94.54,93.25,94.49,2753098.0
2019-09-12,95.16,95.7,94.67,94.96,2339393.0
2019-09-13,94.49,95.0,93.66,93.9,3322228.0
2019-09-16,93.83,93.98,92.74,93.12,2934608.0
2019-09-17,93.33,94.2,93.16,93.87,2636717.0
2019-09-18,94.29,94.68,93.52,94.26,3067572.0
2019-09-19,94.55,94.56,93.76,94.49,2054883.0
2019-09-20,95.21,95.44,94.24,95.27,5117756.0
2019-09-23,95.29,95.72,95.08,95.4,2340575.0
2019-09-24,95.66,96.8,95.55,96.28,3190626.0
2019-09-25,96.18,96.63,95.74,96.0,2488300.0
2019-09-26,96.01,96.61,95.88,96.2,1990795.0
2019-09-27,96.29,96.46,95.67,96.26,1960696.0
2019-09-30,96.25,96.49,95.59,95.86,2561245.0
2019-10-01,95.57,96.2,95.25,96.19,2010423.0
2019-10-02,96.21,96.35,94.61,94.71,3049881.0
2019-10-03,95.0,95.61,94.76,95.1,3634011.0
2019-10-04,95.46,97.37,95.31,97.17,3151563.0
2019-10-07,96.75,97.25,96.4,96.92,2466893.0
2019-10-08,96.96,97.06,95.99,96.09,2570701.0
2019-10-09,96.28,96.56,95.97,96.03,2635755.0
2019-10-10,95.87,96.46,95.51,96.29,2384630.0
2019-10-11,96.29,96.6,95.45,95.97,2323456.0
2019-10-14,96.16,96.16,94.84,95.13,2494223.0
2019-10-15,95.14,95.47,94.66,95.0,1951149.0
2019-10-16,94.73,95.15,94.41,95.13,2618800.0
2019-10-17,95.11,95.61,94.94,95.17,2499538.0
2019-10-18,94.95,95.59,94.5,95.35,3041858.0
2019-10-21,95.16,95.4,94.66,95.33,1589009.0
2019-10-22,95.5,95.61,95.08,95.32,1818205.0
2019-10-23,95.53,96.18,95.27,96.17,2218576.0
2019-10-24,96.05,96.5,95.96,96.07,1768732.0
2019-10-25,96.27,96.36,94.99,95.43,1817076.0
2019-10-28,95.03,95.25,93.88,94.1,2761627.0
2019-10-29,93.79,93.94,93.33,93.53,2675052.0
2019-10-30,93.65,94.37,93.43,94.01,1831224.0
2019-10-31,93.9,94.44,93.58,94.26,2454054.0
2019-11-01,94.3,94.55,93.78,94.38,2647147.0
2019-11-04,94.34,94.42,93.06,93.64,3105451.0
2019-11-05,93.04,93.58,92.4,93.15,2625610.0
2019-11-06,93.2,93.69,93.05,93.36,2186910.0
2019-11-07,93.0,93.3,91.75,92.58,4124954.0
2019-11-08,91.7,91.78,89.22,89.95,6146231.0
2019-11-11,89.98,90.0,87.47,87.6,4870996.0
2019-11-12,87.8,88.11,87.23,87.59,3843000.0
2019-11-13,88.0,88.69,87.31,88.53,5468105.0
2019-11-14,87.7,88.82,87.52,88.25,3905708.0
2019-11-15,88.64,88.72,88.09,88.58,3566992.0
2019-11-18,88.9,89.72,88.42,88.65,4273817.0
2019-11-19,87.04,87.46,86.52,87.03,16085025.0
2019-11-20,86.98,87.61,86.52,87.13,6414856.0
2019-11-21,87.54,87.56,86.43,86.66,7570712.0
2019-11-22,87.25,87.34,86.36,87.14,5762969.0
2019-11-25,87.2,87.67,86.73,87.6,6254259.0
2019-11-26,87.48,88.42,87.45,88.2,6569934.0
2019-11-27,88.13,88.78,88.02,88.56,3229461.0
