date,Open,High,Low,Close,Volume
2019-08-20,163.44,169.4599,162.47,168.28,1160250.0
2019-08-21,170.0,173.4,168.61,173.19,812514.0
2019-08-22,173.33,175.49,171.08,174.37,817340.0
2019-08-23,174.74,176.59,172.445,173.55,1201836.0
2019-08-26,175.0,175.5,172.85,174.69,779101.0
2019-08-27,176.16,178.35,174.45,175.0,876443.0
2019-08-28,172.88,178.45,172.0,175.19,766907.0
2019-08-29,177.8,177.8,171.51,172.06,1336477.0
2019-08-30,172.39,173.03,169.08,171.61,500733.0
2019-09-03,170.0,172.6,169.3,172.26,773181.0
2019-09-04,172.69,172.96,169.17,169.63,719504.0
2019-09-05,170.39,171.425,166.51,167.67,538665.0
2019-09-06,167.68,167.68,160.235,160.49,1065499.0
2019-09-09,160.06,161.16,144.84,145.37,1996771.0
2019-09-10,143.8,146.98,138.28,145.24,1659819.0
2019-09-11,145.87,148.83,145.05,146.7,975047.0
2019-09-12,147.45,149.31,146.13,147.16,758341.0
2019-09-13,145.58,147.16,144.1,146.26,664968.0
2019-09-16,145.49,149.67,144.78,148.68,579653.0
2019-09-17,150.97,155.84,149.08,153.7,932496.0
2019-09-18,151.46,157.675,151.46,156.93,832456.0
2019-09-19,157.51,157.51,153.48,154.99,463950.0
2019-09-20,155.01,157.85,152.14,154.4,989639.0
2019-09-23,155.2,158.49,154.209,155.33,582946.0
2019-09-24,155.03,156.59,151.31,153.46,576681.0
2019-09-25,153.77,154.5,149.3,153.76,516099.0
2019-09-26,154.45,155.1323,149.63,149.89,532471.0
2019-09-27,150.55,151.97,147.1,148.51,686328.0
2019-09-30,148.56,150.99,146.63,149.24,565449.0
2019-10-01,149.61,150.7525,148.0,148.85,429706.0
2019-10-02,148.19,149.995,145.79,148.89,514456.0
2019-10-03,149.39,158.29,145.605,157.41,1020118.0
2019-10-04,157.21,161.32,157.21,160.37,695156.0
2019-10-07,159.44,161.855,157.95,159.45,657486.0
2019-10-08,158.33,159.28,150.0801,150.41,809081.0
2019-10-09,152.08,154.99,149.5501,153.9,504866.0
2019-10-10,153.24,155.55,151.3,154.46,358356.0
2019-10-11,156.96,159.9,155.1,155.35,385335.0
2019-10-14,155.76,162.14,155.1,160.18,525178.0
2019-10-15,156.0,156.72,146.38,152.97,2079687.0
2019-10-16,155.79,159.475,150.48,153.87,920021.0
2019-10-17,154.54,158.46,153.74,156.67,505734.0
2019-10-18,155.5,157.49,153.18,156.92,645179.0
2019-10-21,156.99,159.6088,156.0726,156.62,440053.0
2019-10-22,157.32,158.32,150.52,150.89,437848.0
2019-10-23,152.42,154.0,146.11,146.46,697121.0
2019-10-24,148.21,149.29,146.46,146.97,485858.0
2019-10-25,146.92,149.91,145.23,147.39,493509.0
2019-10-28,147.52,152.29,147.52,151.63,456973.0
2019-10-29,151.83,155.68,149.46,154.84,526004.0
2019-10-30,155.85,156.95,153.08,155.74,399774.0
2019-10-31,155.39,157.4368,151.11,154.24,497262.0
2019-11-01,155.6,160.05,154.64,157.3,454651.0
2019-11-04,158.8,159.35,155.9,158.54,845039.0
2019-11-05,158.49,159.87,150.41,153.56,1369920.0
2019-11-06,153.99,157.255,152.265,153.12,1391378.0
2019-11-07,185.2,200.8,183.15,194.7,7215010.0
2019-11-08,194.1,199.624,193.5,198.08,2581766.0
2019-11-11,196.0,205.9262,194.6,205.68,1518667.0
2019-11-12,204.04,208.2,202.89,206.14,1304340.0
2019-11-13,204.22,206.53,199.9756,202.9,947600.0
2019-11-14,204.81,206.525,198.705,202.81,967034.0
2019-11-15,203.39,208.38,202.02,208.37,1170996.0
2019-11-18,209.21,214.48,208.82,213.78,1484223.0
2019-11-19,214.45,218.93,212.51,217.58,1262973.0
2019-11-20,216.52,223.25,216.5,221.33,1515175.0
2019-11-21,221.04,222.44,215.06,218.81,1326544.0
2019-11-22,217.47,223.5162,217.0217,221.85,909807.0
