date,Open,High,Low,Close,Volume
2019-08-20,90.58,93.5665,90.28,92.7,4328017.0
2019-08-21,93.55,94.98,92.62,94.04,3007232.0
2019-08-22,94.44,94.95,92.72,94.62,2723601.0
2019-08-23,94.59,95.73,92.615,92.91,4213321.0
2019-08-26,93.77,94.53,93.2525,94.38,2919459.0
2019-08-27,94.75,96.3,94.06,94.06,3773075.0
2019-08-28,93.77,94.04,91.57,92.4,3646131.0
2019-08-29,93.29,93.73,92.59,93.03,2601236.0
2019-08-30,93.53,94.21,92.98,93.68,1704351.0
2019-09-03,92.73,95.165,92.65,94.83,3263426.0
2019-09-04,95.24,98.12,94.76,97.95,3436686.0
2019-09-05,98.7,99.48,96.56,97.45,3020383.0
2019-09-06,98.03,99.82,97.65,98.53,2885966.0
2019-09-09,99.01,99.88,97.44,98.68,3116060.0
2019-09-10,98.45,101.23,97.77,99.5,4010541.0
2019-09-11,100.03,100.65,98.76,99.11,2409250.0
2019-09-12,99.89,101.78,98.052,98.34,4123008.0
2019-09-13,98.57,99.35,98.16,98.48,1719377.0
2019-09-16,98.03,99.24,97.52,99.12,1820439.0
2019-09-17,99.48,99.55,97.54,98.42,1817654.0
2019-09-18,97.73,98.34,96.53,98.28,1822382.0
2019-09-19,98.28,99.9,98.28,99.69,2691393.0
2019-09-20,100.2,100.515,98.27,98.7,3540806.0
2019-09-23,98.23,99.41,97.86,98.18,2084530.0
2019-09-24,98.08,98.38,96.725,97.36,2869115.0
2019-09-25,97.1,97.82,95.83,97.63,1983252.0
2019-09-26,97.61,97.97,95.66,96.62,1965499.0
2019-09-27,97.02,97.75,95.05,95.67,1968060.0
2019-09-30,95.85,97.99,95.6849,97.82,2548273.0
2019-10-01,97.81,98.0,95.13,96.75,3732175.0
2019-10-02,96.0,96.0,92.44,94.25,4116515.0
2019-10-03,93.53,95.03,92.88,94.34,3926918.0
2019-10-04,94.34,95.77,94.34,95.61,2246287.0
2019-10-07,95.12,95.815,93.32,93.57,2954624.0
2019-10-08,93.03,93.83,92.16,92.54,2964035.0
2019-10-09,93.02,94.5,92.8,92.88,1587593.0
2019-10-10,92.66,93.56,92.21,92.53,2057035.0
2019-10-11,93.93,95.87,93.746,94.19,3141292.0
2019-10-14,94.0,94.66,92.71,93.88,2380334.0
2019-10-15,94.14,95.2842,93.2201,95.15,2185533.0
2019-10-16,94.41,96.36,94.4,96.22,2994892.0
2019-10-17,96.71,98.0,96.52,96.76,2427362.0
2019-10-18,96.05,96.0999,94.05,95.13,3133235.0
2019-10-21,95.48,96.83,95.0,95.81,1982736.0
2019-10-22,94.17,95.772,93.21,94.3,3379523.0
2019-10-23,94.43,96.25,94.36,95.71,2159555.0
2019-10-24,96.16,96.97,95.17,95.98,3244711.0
2019-10-25,95.54,96.35,94.61,96.31,2070111.0
2019-10-28,97.0,97.9,96.2,96.72,3614870.0
2019-10-29,96.72,97.52,94.37,94.41,7032501.0
2019-10-30,94.25,96.84,92.56,96.72,7143500.0
2019-10-31,96.62,96.72,94.87,96.4,3263433.0
2019-11-01,97.12,97.12,95.08,95.3,3369715.0
2019-11-04,96.35,98.525,95.6,98.15,3840991.0
2019-11-05,98.13,98.99,96.63,98.26,2719942.0
2019-11-06,98.68,99.18,97.97,98.67,2448091.0
2019-11-07,99.29,99.29,97.02,97.23,2156356.0
2019-11-08,96.91,98.5,96.32,98.27,2306661.0
2019-11-11,97.55,98.9,96.31,96.39,2159911.0
2019-11-12,96.41,96.83,95.25,96.33,3684430.0
2019-11-13,96.62,96.97,95.54,96.0,2867812.0
2019-11-14,96.2,98.48,96.12,97.54,3300654.0
2019-11-15,98.85,99.39,97.3699,97.54,3315572.0
