date,Open,High,Low,Close,Volume
2019-08-20,88.43,88.48,87.53,87.76,1012991.0
2019-08-21,87.7,88.34,87.62,88.28,1547012.0
2019-08-22,88.18,88.68,87.76,88.24,1476551.0
2019-08-23,88.48,88.79,86.51,86.91,1755728.0
2019-08-26,87.27,87.82,86.82,87.77,959688.0
2019-08-27,88.24,88.8,87.98,88.04,1445376.0
2019-08-28,88.13,88.53,87.35,87.77,1666733.0
2019-08-29,88.18,88.23,87.52,88.15,2714061.0
2019-08-30,88.54,89.11,87.91,88.9,1719234.0
2019-09-03,88.9,90.69,88.67,90.64,2005282.0
2019-09-04,90.8,91.12,90.19,90.85,1273399.0
2019-09-05,90.26,91.01,89.73,90.88,2572395.0
2019-09-06,91.11,91.58,90.74,91.14,2235986.0
2019-09-09,90.69,90.78,90.02,90.39,2271376.0
2019-09-10,90.35,90.39,88.58,89.33,2188760.0
2019-09-11,89.0,90.08,88.64,89.93,1477542.0
2019-09-12,90.47,90.87,89.61,90.19,1695704.0
2019-09-13,89.36,90.22,89.15,89.81,1801350.0
2019-09-16,89.89,90.21,89.48,89.93,1249228.0
2019-09-17,90.04,91.45,90.04,90.93,1244119.0
2019-09-18,91.27,91.64,90.69,91.48,1140751.0
2019-09-19,91.77,91.98,91.41,91.88,1007014.0
2019-09-20,92.18,92.53,91.4,92.4,3586511.0
2019-09-23,93.27,93.32,92.49,92.75,1362132.0
2019-09-24,92.94,94.14,92.71,93.96,2059735.0
2019-09-25,93.65,94.09,93.35,93.99,1223062.0
2019-09-26,94.36,94.96,93.99,94.65,1255090.0
2019-09-27,94.65,94.83,93.92,94.62,1160810.0
2019-09-30,94.71,94.97,94.01,94.47,1503263.0
2019-10-01,94.17,94.48,93.62,94.1,1223873.0
2019-10-02,93.87,94.25,92.58,92.67,1688406.0
2019-10-03,92.79,93.1,92.41,93.02,1794456.0
2019-10-04,93.31,94.23,92.83,94.14,1155216.0
2019-10-07,93.85,94.11,93.51,93.86,896127.0
2019-10-08,93.84,93.91,92.86,93.0,1504451.0
2019-10-09,93.14,93.74,92.97,93.36,866605.0
2019-10-10,93.29,93.49,92.54,93.05,1179960.0
2019-10-11,92.85,92.98,91.93,92.22,1322688.0
2019-10-14,92.34,92.34,91.22,91.25,1027005.0
2019-10-15,91.19,91.57,90.63,90.74,1542999.0
2019-10-16,90.59,90.93,90.26,90.84,1295074.0
2019-10-17,90.85,91.52,90.81,91.3,1098699.0
2019-10-18,91.17,91.63,90.73,91.49,1135159.0
2019-10-21,91.65,92.74,91.5,92.68,2124014.0
2019-10-22,92.68,93.34,92.4,93.28,1248730.0
2019-10-23,93.36,94.07,93.05,93.7,1469481.0
2019-10-24,93.89,94.42,93.51,94.29,1038819.0
2019-10-25,94.86,94.93,92.9,93.32,1299519.0
2019-10-28,92.92,93.22,91.08,91.09,1778626.0
2019-10-29,90.93,91.53,90.66,91.42,1307402.0
2019-10-30,91.48,92.04,90.96,91.66,1207762.0
2019-10-31,91.73,92.29,91.37,92.22,2296772.0
2019-11-01,92.24,92.41,90.95,91.12,1606955.0
2019-11-04,90.82,91.06,89.57,89.92,2359827.0
2019-11-05,89.1,89.29,87.52,88.32,2829155.0
2019-11-06,88.64,89.18,88.08,88.62,1824089.0
