date,Open,High,Low,Close,Volume
2019-08-20,58.39,58.61,57.93,57.98,2531039.0
2019-08-21,58.81,58.85,58.3,58.46,2645487.0
2019-08-22,58.72,58.96,57.95,58.2,2178160.0
2019-08-23,57.65,58.54,56.69,57.0,3768985.0
2019-08-26,57.46,57.83,56.74,57.28,3194686.0
2019-08-27,57.65,57.72,56.84,57.27,2610874.0
2019-08-28,56.95,57.93,56.64,57.83,1735210.0
2019-08-29,58.69,59.36,58.47,59.14,2323469.0
2019-08-30,59.8,59.97,59.49,59.59,2684425.0
2019-09-03,59.0,59.0,58.03,58.4,3131921.0
2019-09-04,59.12,59.82,59.12,59.61,3286315.0
2019-09-05,60.63,62.13,60.5,61.84,3509237.0
2019-09-06,62.05,62.39,61.65,62.25,2652560.0
2019-09-09,62.54,63.88,62.41,63.78,3498364.0
2019-09-10,63.88,64.81,63.59,64.81,3056845.0
2019-09-11,64.96,65.37,64.19,65.2,3046832.0
2019-09-12,65.0,65.52,64.41,64.71,2408460.0
2019-09-13,65.58,66.21,65.16,65.55,2247727.0
2019-09-16,65.53,65.91,65.22,65.66,2279358.0
2019-09-17,65.3,65.4,64.35,64.95,2220073.0
2019-09-18,64.57,64.92,64.02,64.91,3523240.0
2019-09-19,65.1,65.54,64.79,65.17,2067622.0
2019-09-20,65.35,65.74,64.51,64.95,4134010.0
2019-09-23,64.4,65.26,64.15,64.93,2610564.0
2019-09-24,65.0,65.28,63.78,63.99,3693382.0
2019-09-25,63.89,64.59,63.75,64.46,2398896.0
2019-09-26,64.48,64.48,63.83,64.19,1933569.0
2019-09-27,65.08,66.8,64.0,66.4,6476283.0
2019-09-30,66.95,67.21,66.62,66.86,5055231.0
2019-10-01,67.97,68.27,65.18,65.25,7704378.0
2019-10-02,64.28,64.6,62.98,63.5,4188217.0
2019-10-03,63.1,64.43,62.8,64.4,3316694.0
2019-10-04,64.36,65.2,64.36,65.19,3216013.0
2019-10-07,65.03,65.49,64.44,64.45,2053741.0
2019-10-08,63.76,64.02,63.1,63.16,2741920.0
2019-10-09,63.68,64.12,62.98,63.62,2777799.0
2019-10-10,63.78,65.43,63.78,65.05,2842115.0
2019-10-11,66.25,68.03,65.97,67.04,3738215.0
2019-10-14,66.61,67.38,66.54,67.21,2156895.0
2019-10-15,67.21,68.42,66.64,67.73,4784721.0
2019-10-16,67.43,68.09,67.28,67.32,2783137.0
2019-10-17,67.8,68.47,67.7,68.05,2832710.0
2019-10-18,67.97,68.82,67.92,68.65,3877198.0
2019-10-21,69.06,69.75,68.94,69.43,2348098.0
2019-10-22,69.56,70.43,68.95,70.23,2227297.0
2019-10-23,70.25,70.63,69.92,70.56,2498727.0
2019-10-24,70.75,70.8,69.44,69.88,1790053.0
2019-10-25,70.11,71.1,69.91,70.82,1945357.0
2019-10-28,71.27,71.44,70.53,70.99,2078087.0
2019-10-29,70.55,71.22,70.51,70.86,2436575.0
2019-10-30,70.75,71.05,69.86,71.03,1796491.0
2019-10-31,70.75,71.03,69.39,70.15,2936128.0
2019-11-01,70.61,71.79,70.46,71.79,2897445.0
2019-11-04,72.47,75.54,72.29,73.22,6667514.0
2019-11-05,72.1,73.93,72.0,73.79,6574554.0
2019-11-06,73.13,74.25,72.87,73.6,4031033.0
2019-11-07,73.88,74.29,73.57,73.79,2571954.0
2019-11-08,73.71,73.9,73.32,73.88,2216425.0
2019-11-11,73.29,73.89,73.17,73.81,1673970.0
2019-11-12,74.26,74.7,73.89,74.07,2310124.0
2019-11-13,73.5,73.8,73.26,73.58,2785724.0
2019-11-14,72.34,73.25,72.27,72.73,2001019.0
2019-11-15,73.39,73.7,72.99,73.53,2134196.0
2019-11-18,73.15,73.3,72.75,73.07,1678582.0
2019-11-19,73.58,73.58,72.85,73.28,2133182.0
2019-11-20,72.97,73.21,72.31,72.75,2243477.0
2019-11-21,72.94,73.6,72.53,73.56,2116024.0
2019-11-22,73.69,73.75,73.23,73.66,2425845.0
2019-11-25,74.0,74.38,73.68,74.35,2274639.0
2019-11-26,74.41,74.45,73.89,74.43,2089065.0
2019-11-27,74.43,74.53,73.87,74.44,1505077.0
2019-11-29,74.16,74.31,73.69,73.86,1086887.0
2019-12-02,73.95,74.75,73.31,73.36,2444586.0
2019-12-03,72.67,72.86,71.9,72.61,2772737.0
2019-12-04,73.27,74.19,73.08,73.5,2463552.0
2019-12-05,73.99,74.11,73.38,73.98,2969977.0
2019-12-06,74.9,75.2,74.63,75.09,3087876.0
2019-12-09,75.14,75.54,75.04,75.16,2913136.0
2019-12-10,74.95,75.23,74.52,74.55,4268869.0
2019-12-11,74.89,75.77,74.55,75.73,2029188.0
2019-12-12,75.67,77.12,75.47,76.97,2496523.0
2019-12-13,76.53,77.24,75.59,75.98,3425622.0
2019-12-16,76.57,76.96,76.16,76.16,2276117.0
2019-12-17,76.61,76.61,76.02,76.15,10667330.0
2019-12-18,76.46,76.48,75.63,76.04,2226232.0
2019-12-19,76.06,76.28,75.72,76.09,2226942.0
2019-12-20,76.92,76.95,76.07,76.27,5446868.0
2019-12-23,76.44,76.86,76.22,76.79,1458313.0
2019-12-24,76.99,76.99,76.08,76.1,489733.0
2019-12-26,76.35,76.67,76.07,76.67,877370.0
2019-12-27,76.86,76.87,76.33,76.51,992714.0
2019-12-30,76.63,76.81,76.12,76.44,1253969.0
2019-12-31,76.36,76.75,76.03,76.26,1655564.0
2020-01-02,76.57,77.5,76.28,77.48,2532303.0
2020-01-03,76.0,76.51,75.56,76.42,2672646.0
2020-01-06,75.88,77.09,75.75,77.05,3787212.0
2020-01-07,76.54,77.45,76.37,77.24,2497027.0
2020-01-08,77.11,77.77,76.84,77.51,2554317.0
2020-01-09,77.76,77.82,77.03,77.8,2309126.0
2020-01-10,77.95,77.98,76.83,76.94,2628909.0
2020-01-13,77.15,77.44,76.95,77.39,1964450.0
2020-01-14,77.23,77.56,76.78,76.87,2280248.0
2020-01-15,76.87,77.28,76.32,76.66,2367984.0
2020-01-16,77.09,77.89,77.01,77.87,2438803.0
