date,Open,High,Low,Close,Volume
2019-08-20,77.25,77.39,76.2,76.69,3039077.0
2019-08-21,77.59,78.13,76.35,77.22,2886754.0
2019-08-22,77.62,77.75,75.47,75.51,2300786.0
2019-08-23,74.18,74.86,71.36,71.75,5160018.0
2019-08-26,72.74,73.22,71.37,72.25,2688939.0
2019-08-27,72.93,72.99,70.83,71.66,2649348.0
2019-08-28,71.67,73.48,71.62,72.53,3055323.0
2019-08-29,73.19,75.84,73.04,74.48,3726710.0
2019-08-30,74.59,75.41,73.35,74.19,3164019.0
2019-09-03,72.56,74.35,72.39,74.13,2466970.0
2019-09-04,75.7,76.37,74.92,75.57,2951076.0
2019-09-05,75.83,77.32,75.11,75.6,4059674.0
2019-09-06,74.73,76.53,73.48,76.44,3780707.0
2019-09-09,77.25,80.42,77.05,80.0,5075661.0
2019-09-10,80.39,82.39,79.72,80.1,4342647.0
2019-09-11,80.88,82.75,79.8,81.03,3557192.0
2019-09-12,79.22,80.47,78.0,79.68,3200221.0
2019-09-13,80.17,81.09,78.12,79.39,4123513.0
2019-09-16,85.99,87.0,83.23,85.64,11836323.0
2019-09-17,84.4,84.99,80.83,81.22,4938187.0
2019-09-18,80.0,81.39,79.68,81.32,3882765.0
2019-09-19,82.39,82.47,80.97,81.61,4111489.0
2019-09-20,81.99,82.14,80.08,81.0,4785356.0
2019-09-23,80.0,81.0,79.71,80.13,3771659.0
2019-09-24,78.75,79.77,77.88,78.56,4390043.0
2019-09-25,77.73,78.43,76.11,76.77,3240015.0
2019-09-26,76.0,76.42,74.43,75.09,4116210.0
2019-09-27,74.0,75.45,73.49,74.98,3422250.0
2019-09-30,74.38,74.87,73.78,74.22,3164673.0
2019-10-01,74.79,74.79,71.4,71.58,4167684.0
2019-10-02,71.33,72.29,69.47,69.8,4314525.0
2019-10-03,69.16,71.09,69.1,70.84,3570125.0
2019-10-04,70.71,71.42,69.54,70.92,2526666.0
2019-10-07,71.4,71.44,69.73,69.76,3830431.0
2019-10-08,68.89,69.75,68.11,68.73,5584885.0
2019-10-09,69.71,70.08,68.09,68.59,3619688.0
2019-10-10,68.69,69.61,68.1,68.91,3089082.0
2019-10-11,69.88,70.77,69.05,69.25,5674393.0
2019-10-14,68.07,68.52,66.02,68.19,5367549.0
2019-10-15,67.6,69.79,67.3,69.25,6133763.0
2019-10-16,68.51,69.71,68.16,68.18,4382506.0
2019-10-17,68.37,68.69,66.4,66.77,4337947.0
2019-10-18,66.69,66.9,64.44,64.44,6595291.0
2019-10-21,64.4,67.73,64.33,67.66,5720477.0
2019-10-22,67.87,70.69,67.4,69.57,4537270.0
2019-10-23,69.65,72.74,69.06,71.94,5629080.0
2019-10-24,72.29,72.56,70.67,71.97,4315680.0
2019-10-25,71.83,72.81,71.2,72.48,2398647.0
2019-10-28,73.09,73.33,71.02,71.05,3193370.0
2019-10-29,70.66,72.28,70.05,71.81,3924093.0
2019-10-30,72.01,72.5,69.49,69.62,3361104.0
2019-10-31,69.17,69.73,68.11,69.31,5272197.0
2019-11-01,70.06,71.38,69.64,71.15,3033116.0
2019-11-04,72.42,74.24,72.37,73.69,6808370.0
2019-11-05,74.4,75.36,73.42,74.01,4411403.0
2019-11-06,73.49,73.7,70.68,71.42,5247470.0
2019-11-07,72.45,75.6,71.87,74.74,7641172.0
2019-11-08,74.0,75.28,73.14,74.7,3136411.0
2019-11-11,73.5,74.6,72.92,73.82,2905825.0
2019-11-12,74.1,74.38,72.48,73.29,3261954.0
2019-11-13,72.67,72.94,71.1,72.61,3965854.0
2019-11-14,72.87,74.24,72.11,72.35,3425150.0
2019-11-15,72.81,74.01,72.54,73.48,3455273.0
2019-11-18,72.72,72.94,70.7,71.26,2965774.0
2019-11-19,71.36,71.39,69.78,70.4,3763517.0
2019-11-20,70.74,73.36,70.31,72.06,4027556.0
2019-11-21,72.06,73.46,71.3,73.32,4147691.0
2019-11-22,73.51,74.31,72.83,72.99,2903339.0
2019-11-25,72.82,73.59,72.07,73.52,3129218.0
2019-11-26,73.48,73.68,71.85,71.91,3319958.0
2019-11-27,72.07,72.56,71.33,72.35,2346397.0
2019-11-29,71.37,71.85,70.46,70.9,1497555.0
2019-12-02,71.62,72.62,70.71,70.79,3937994.0
2019-12-03,70.01,70.12,68.08,68.78,4630820.0
2019-12-04,69.72,72.55,69.63,72.05,5310556.0
2019-12-05,72.52,72.81,70.16,70.59,3480493.0
2019-12-06,70.91,74.12,70.7,73.96,4367961.0
2019-12-09,73.28,74.9,72.78,74.51,3752005.0
2019-12-10,74.05,75.1,73.74,74.84,3646852.0
2019-12-11,74.76,75.03,74.05,74.67,3070791.0
2019-12-12,74.66,77.12,74.37,76.71,3754791.0
2019-12-13,77.46,77.65,75.39,75.49,2728891.0
2019-12-16,76.25,78.16,75.99,77.91,6744528.0
2019-12-17,78.12,79.5,78.05,78.81,5504898.0
2019-12-18,78.91,81.36,78.81,80.59,7742705.0
2019-12-19,80.17,81.66,79.69,81.25,6791672.0
2019-12-20,82.72,83.62,81.4,82.66,9118976.0
2019-12-23,82.36,83.5,81.82,83.38,3159094.0
2019-12-24,83.8,84.5,83.53,83.81,1236187.0
2019-12-26,84.29,84.69,83.47,83.65,2588813.0
2019-12-27,84.07,84.09,82.93,83.14,1868044.0
2019-12-30,82.9,83.5,82.23,82.39,2251811.0
2019-12-31,81.85,83.78,81.38,83.76,2238895.0
2020-01-02,84.32,84.61,83.54,84.14,2496385.0
2020-01-03,85.58,86.85,84.06,84.99,3716242.0
2020-01-06,85.9,89.29,85.78,88.44,8483669.0
2020-01-07,88.63,89.33,87.23,89.29,4332157.0
2020-01-08,89.24,89.54,86.97,87.34,5268849.0
2020-01-09,86.55,88.37,84.71,88.25,6908246.0
2020-01-10,87.55,87.61,86.15,86.27,2950628.0
2020-01-13,85.88,85.97,84.34,85.52,3399702.0
2020-01-14,85.37,86.66,84.56,86.33,4281709.0
2020-01-15,85.68,86.77,85.25,86.74,2562454.0
2020-01-16,86.96,88.09,86.67,87.02,5128592.0
2020-01-17,87.07,87.14,84.3,85.31,4542049.0
2020-01-21,85.1,86.17,84.03,84.04,4522716.0
2020-01-22,84.04,84.1,82.78,83.09,4030354.0
2020-01-23,82.1,82.24,80.65,81.83,3368468.0
2020-01-24,81.2,81.21,78.97,79.85,3128828.0
2020-01-27,77.59,78.27,76.61,76.64,2967694.0
2020-01-28,77.47,77.93,76.57,77.05,2794264.0
2020-01-29,77.67,77.94,75.04,75.14,2700771.0
2020-01-30,74.13,75.99,73.59,75.82,4535648.0
2020-01-31,74.32,74.8,72.51,72.91,5004008.0
2020-02-03,72.83,73.0,71.27,71.37,3803171.0
2020-02-04,72.91,74.8,72.9,73.62,4725244.0
2020-02-05,75.5,77.98,75.28,77.05,3724789.0
2020-02-06,77.4,77.4,75.22,75.87,2128799.0
2020-02-07,74.85,75.32,73.9,74.35,2257832.0
2020-02-10,73.9,74.14,73.06,73.7,2865404.0
2020-02-11,75.13,75.41,74.31,74.79,2191531.0
2020-02-12,76.6,76.91,75.17,75.38,2859975.0
2020-02-13,75.0,76.04,74.75,75.68,2197620.0
2020-02-14,76.0,76.22,73.84,74.92,2087730.0
2020-02-18,74.53,75.07,73.53,74.53,2520808.0
2020-02-19,74.93,77.67,74.93,77.28,2765169.0
2020-02-20,76.79,77.37,75.69,75.99,2447053.0
2020-02-21,74.87,74.87,73.65,74.21,2963729.0
2020-02-24,71.33,71.33,69.4,69.91,3853968.0
2020-02-25,70.15,70.32,65.55,66.99,6558084.0
2020-02-26,67.72,67.77,63.08,63.2,5370938.0
2020-02-27,60.59,63.56,58.85,60.0,7696484.0
2020-02-28,57.3,63.26,56.34,63.26,11070274.0
2020-03-02,63.81,63.9,60.16,62.86,8008525.0
2020-03-03,62.93,65.41,60.89,62.43,6431237.0
2020-03-04,63.62,64.5,62.28,64.08,5455079.0
2020-03-05,61.78,63.74,60.71,61.87,4905103.0
2020-03-06,58.92,59.9,53.87,55.3,9914914.0
2020-03-09,38.22,40.18,34.89,37.6,18927312.0
2020-03-10,39.88,41.71,35.81,41.6,13803555.0
