date,Open,High,Low,Close,Volume
2019-08-20,551.24,554.48,546.73,547.0,257628.0
2019-08-21,548.82,552.1,545.36,552.1,198882.0
2019-08-22,551.64,558.43,547.62,554.42,270538.0
2019-08-23,557.41,559.32,547.14,549.42,319206.0
2019-08-26,550.03,558.79,550.0,558.68,203083.0
2019-08-27,560.49,562.47,555.45,557.52,590014.0
2019-08-28,558.36,559.64,551.38,553.53,303964.0
2019-08-29,556.71,558.8,554.96,557.72,339660.0
2019-08-30,558.0,559.55,553.22,556.28,299439.0
2019-09-03,555.38,566.39,554.21,565.91,296894.0
2019-09-04,564.9,567.89,555.03,558.49,445934.0
2019-09-05,558.76,560.0,547.69,551.0,486520.0
2019-09-06,552.44,560.67,551.71,554.09,366858.0
2019-09-09,554.1,554.31,536.76,538.21,397049.0
2019-09-10,535.51,535.51,525.38,531.44,496324.0
2019-09-11,530.19,533.36,526.0,528.44,530188.0
2019-09-12,529.99,539.68,528.5,538.88,435411.0
2019-09-13,537.0,539.08,531.79,536.8,329609.0
2019-09-16,537.74,551.2,536.19,549.93,297618.0
2019-09-17,551.47,559.99,545.2,558.91,380670.0
2019-09-18,559.5,561.19,545.67,561.0,362113.0
2019-09-19,560.51,570.83,559.33,569.03,472019.0
2019-09-20,568.57,571.7,564.69,566.45,1100291.0
2019-09-23,575.03,609.97,569.83,581.71,715882.0
2019-09-24,582.21,582.95,567.11,572.04,519717.0
2019-09-25,574.56,580.33,562.0,579.25,389004.0
2019-09-26,577.34,584.5,577.13,583.02,273689.0
2019-09-27,581.01,583.49,573.33,576.62,293021.0
2019-09-30,578.72,582.23,574.29,576.8,302734.0
2019-10-01,574.84,578.22,567.95,569.59,313231.0
2019-10-02,568.12,571.51,555.18,561.52,563882.0
2019-10-03,563.16,575.76,562.77,575.75,419636.0
2019-10-04,577.63,582.43,575.93,581.65,307210.0
2019-10-07,577.87,580.95,575.55,577.31,224773.0
2019-10-08,576.17,577.77,569.34,569.5,281715.0
2019-10-09,570.91,579.29,570.07,575.0,274056.0
2019-10-10,573.53,574.92,568.14,572.2,230968.0
2019-10-11,576.19,576.19,565.87,566.61,280923.0
2019-10-14,566.98,571.22,565.05,567.5,194950.0
2019-10-15,570.6,574.17,566.0,571.65,207367.0
2019-10-16,568.16,568.9,560.89,567.89,313231.0
2019-10-17,570.93,576.48,569.45,571.84,198927.0
2019-10-18,574.82,577.17,571.32,576.41,247936.0
2019-10-21,576.41,578.32,572.03,577.35,270841.0
2019-10-22,582.68,582.68,569.83,569.93,271583.0
2019-10-23,569.69,572.61,558.93,566.62,370559.0
2019-10-24,569.5,569.5,561.28,563.34,330878.0
2019-10-25,562.34,566.54,553.67,565.74,381855.0
2019-10-28,564.23,568.56,563.18,567.13,288099.0
2019-10-29,565.89,576.25,565.76,567.52,307090.0
2019-10-30,570.72,577.71,566.45,571.16,562788.0
2019-10-31,572.7,574.9,553.81,566.78,697845.0
2019-11-01,565.33,567.46,557.14,562.24,431932.0
2019-11-04,560.67,560.8,542.38,543.2,662380.0
2019-11-05,542.14,542.14,523.79,527.19,939810.0
2019-11-06,530.07,534.99,527.85,531.88,377467.0
2019-11-07,530.96,530.96,519.37,522.5,387073.0
2019-11-08,523.46,535.96,521.92,530.31,506731.0
2019-11-11,530.26,539.36,530.26,535.0,312559.0
2019-11-12,535.63,539.01,526.85,531.24,359814.0
2019-11-13,533.72,541.96,532.53,540.73,434239.0
2019-11-14,542.2,549.1,539.32,544.71,524028.0
2019-11-15,548.84,552.01,543.72,550.41,452555.0
2019-11-18,550.0,560.96,550.0,558.21,352314.0
2019-11-19,557.29,568.9,555.37,564.96,404269.0
2019-11-20,565.0,573.18,563.9,568.76,398165.0
2019-11-21,565.58,570.6,558.13,560.17,323028.0
2019-11-22,562.84,567.35,556.25,557.58,318920.0
2019-11-25,559.61,563.47,553.2,553.85,472531.0
2019-11-26,553.22,556.71,550.91,554.68,850823.0
2019-11-27,555.46,566.97,551.52,565.19,302277.0
2019-11-29,565.61,569.07,565.17,566.85,187198.0
2019-12-02,564.81,564.81,549.69,549.74,395225.0
2019-12-03,550.7,555.97,547.06,552.6,447880.0
2019-12-04,549.76,564.02,548.76,562.93,413708.0
2019-12-05,561.27,563.98,555.93,560.06,337743.0
2019-12-06,562.19,566.99,558.88,559.19,307253.0
2019-12-09,559.56,562.62,557.29,560.72,216786.0
2019-12-10,563.48,564.83,556.18,557.73,340459.0
2019-12-11,559.22,564.12,554.5,559.14,332957.0
2019-12-12,561.37,561.37,546.26,547.8,387306.0
2019-12-13,547.67,552.73,543.11,551.84,553615.0
2019-12-16,552.55,563.86,547.15,562.8,473051.0
2019-12-17,565.58,571.01,556.0,557.52,411547.0
2019-12-18,559.6,566.85,558.34,565.45,491747.0
2019-12-19,566.52,578.48,564.52,575.92,388886.0
2019-12-20,581.85,582.2,573.8,577.71,931949.0
2019-12-23,577.37,579.34,570.11,571.64,181712.0
2019-12-24,571.54,576.71,569.16,573.24,82630.0
2019-12-26,573.67,580.12,572.16,579.51,153068.0
2019-12-27,582.37,584.45,578.15,582.5,231827.0
2019-12-30,580.3,582.43,575.03,580.24,247132.0
2019-12-31,580.54,583.91,578.36,583.7,292656.0
2020-01-02,583.91,584.91,576.03,579.35,448647.0
2020-01-03,575.47,590.36,575.47,585.12,385180.0
2020-01-06,585.13,588.0,579.75,584.48,284324.0
2020-01-07,584.47,586.5,575.02,581.88,252637.0
2020-01-08,583.0,586.16,575.01,583.8,260997.0
2020-01-09,582.95,590.0,575.41,588.99,229579.0
2020-01-10,593.32,595.77,587.32,594.0,307931.0
2020-01-13,594.89,598.53,592.26,594.96,396290.0
2020-01-14,595.81,597.0,582.93,586.5,385353.0
2020-01-15,588.56,592.53,585.05,586.24,394310.0
2020-01-16,587.55,596.4,586.61,595.12,522099.0
2020-01-17,594.0,596.69,587.9,588.0,794241.0
2020-01-21,591.51,594.55,583.94,590.0,678499.0
2020-01-22,595.35,599.18,590.79,591.53,444116.0
2020-01-23,594.49,603.7,592.56,596.01,352248.0
2020-01-24,597.37,603.35,590.04,591.96,328988.0
2020-01-27,589.91,594.96,585.61,593.95,233163.0
2020-01-28,595.99,604.67,595.39,602.57,318132.0
2020-01-29,600.06,604.25,596.79,602.68,243157.0
2020-01-30,602.7,608.105,602.7,603.0,348426.0
2020-01-31,604.07,605.27,587.36,589.73,488697.0
2020-02-03,592.56,606.14,591.05,603.6,445663.0
2020-02-04,608.09,609.47,605.26,607.85,325945.0
2020-02-05,608.49,609.22,600.0,601.26,327508.0
2020-02-06,606.26,607.83,594.56,603.73,215032.0
2020-02-07,605.14,607.55,602.13,606.0,186876.0
2020-02-10,609.19,613.74,607.07,612.03,270314.0
2020-02-11,613.1,619.75,611.01,613.57,345008.0
2020-02-12,616.23,624.58,612.33,623.14,566387.0
2020-02-13,615.1,636.43,611.99,635.75,508311.0
2020-02-14,639.09,654.32,637.19,648.65,438565.0
2020-02-18,644.17,649.99,639.35,643.59,427944.0
2020-02-19,648.19,650.11,641.4,643.72,405005.0
2020-02-20,644.0,648.52,639.3,648.39,353598.0
2020-02-21,651.96,657.0,644.1,655.99,604905.0
2020-02-24,648.18,654.44,637.69,644.9,543220.0
2020-02-25,643.05,645.91,627.5,631.98,677678.0
2020-02-26,634.55,637.83,624.88,629.84,414557.0
2020-02-27,623.92,630.73,597.26,597.49,718175.0
2020-02-28,586.53,589.96,563.55,572.8,1131986.0
2020-03-02,577.88,620.29,577.26,618.88,757104.0
2020-03-03,621.72,634.04,600.0,615.16,678769.0
2020-03-04,626.0,646.52,621.92,645.49,586430.0
2020-03-05,629.02,641.83,611.05,616.67,578078.0
