date,Open,High,Low,Close,Volume
2019-08-20,79.24,79.32,78.67,79.1,1235097.0
2019-08-21,78.82,79.59,78.68,79.56,930007.0
2019-08-22,79.48,79.91,79.05,79.77,1408231.0
2019-08-23,80.03,80.17,78.85,79.17,1716027.0
2019-08-26,79.27,79.97,79.12,79.94,817871.0
2019-08-27,80.29,81.15,80.17,80.56,1339383.0
2019-08-28,80.85,81.13,79.71,80.29,1300693.0
2019-08-29,80.51,80.82,79.54,80.41,1243191.0
2019-08-30,80.55,80.73,80.01,80.13,1344253.0
2019-09-03,80.03,81.48,79.87,81.47,2018910.0
2019-09-04,83.1,83.1,81.82,82.49,1915678.0
2019-09-05,82.0,82.23,80.97,82.03,2244052.0
2019-09-06,82.11,82.46,81.94,82.35,1704622.0
2019-09-09,81.82,82.44,81.58,81.8,2844637.0
2019-09-10,81.62,81.89,80.95,81.87,2448500.0
2019-09-11,81.43,82.44,81.12,82.17,1678710.0
2019-09-12,82.65,83.22,82.41,82.86,1621561.0
2019-09-13,82.5,83.08,82.27,82.38,1717631.0
2019-09-16,82.6,82.6,82.18,82.44,1083006.0
2019-09-17,82.38,83.43,82.38,83.15,1673912.0
2019-09-18,83.41,83.61,82.78,83.37,1557946.0
2019-09-19,83.31,83.4,82.99,83.23,1918433.0
2019-09-20,83.3,83.62,82.91,83.26,3289876.0
2019-09-23,83.35,83.83,83.04,83.49,1276741.0
2019-09-24,83.82,84.83,83.59,84.66,1936639.0
2019-09-25,84.61,84.81,84.21,84.64,1256756.0
2019-09-26,84.87,85.51,84.66,85.26,1344841.0
2019-09-27,85.44,85.62,84.67,85.34,1421302.0
2019-09-30,85.5,85.93,85.18,85.47,2284594.0
2019-10-01,85.06,85.45,84.53,85.36,1257370.0
2019-10-02,85.38,85.49,84.17,84.42,2225041.0
2019-10-03,84.52,84.71,84.0,84.66,2091102.0
2019-10-04,84.79,85.71,84.58,85.61,1480549.0
2019-10-07,85.31,85.69,85.08,85.37,1471168.0
2019-10-08,85.41,85.58,84.84,84.85,1344363.0
2019-10-09,84.93,86.26,84.93,86.09,1820675.0
2019-10-10,85.64,85.96,84.82,85.54,1501086.0
2019-10-11,85.2,86.0,84.9,85.57,1149584.0
2019-10-14,85.79,85.88,84.72,84.76,847376.0
2019-10-15,84.89,85.14,83.79,84.09,1722986.0
2019-10-16,83.97,84.7,83.57,84.58,1474329.0
2019-10-17,84.54,85.33,84.47,85.12,1106148.0
2019-10-18,84.92,85.76,84.55,85.6,1256835.0
2019-10-21,85.65,86.19,85.32,86.14,1570768.0
2019-10-22,86.36,86.54,85.67,85.86,1011957.0
2019-10-23,86.05,86.24,85.51,86.06,1408103.0
2019-10-24,86.02,86.53,85.87,86.2,914237.0
2019-10-25,86.33,86.55,85.2,85.31,1424220.0
2019-10-28,84.82,85.15,83.58,83.85,1373084.0
2019-10-29,82.72,83.12,82.21,82.9,2105861.0
2019-10-30,83.08,83.78,82.68,83.24,2189674.0
2019-10-31,83.39,84.05,82.96,83.74,1559412.0
2019-11-01,83.84,83.98,82.69,82.79,1556053.0
2019-11-04,82.61,82.73,81.0,81.42,1669115.0
2019-11-05,81.05,81.68,80.53,81.08,2167561.0
2019-11-06,81.09,81.62,80.68,81.39,1906141.0
2019-11-07,80.68,81.11,78.72,79.39,2050759.0
2019-11-08,79.12,79.6,78.58,79.41,1326311.0
2019-11-11,79.38,79.55,78.92,79.29,1442827.0
2019-11-12,79.27,79.53,78.9,79.19,1413907.0
2019-11-13,79.53,80.93,79.29,80.91,1809817.0
2019-11-14,81.16,81.18,80.63,80.8,2512060.0
2019-11-15,80.98,81.43,80.57,81.27,2249399.0
2019-11-18,81.67,82.89,81.59,82.15,2413792.0
2019-11-19,81.88,82.64,81.53,82.2,1835828.0
2019-11-20,82.36,83.12,82.03,82.5,2164727.0
2019-11-21,82.49,82.84,81.24,82.22,2921844.0
2019-11-22,82.29,82.63,81.56,82.23,2169524.0
2019-11-25,82.25,82.57,81.83,82.15,1783153.0
2019-11-26,82.05,82.93,81.99,82.72,3333699.0
2019-11-27,82.94,83.04,82.55,82.9,2256328.0
2019-11-29,83.12,83.49,82.54,82.64,863403.0
2019-12-02,82.32,82.57,81.76,82.02,2334910.0
2019-12-03,82.34,82.55,81.64,82.03,1666427.0
2019-12-04,81.94,83.08,81.76,83.02,2286497.0
2019-12-05,82.78,82.9,81.97,82.16,2420311.0
2019-12-06,81.9,82.31,81.1,81.2,2115702.0
2019-12-09,81.26,81.27,80.25,80.72,2030583.0
2019-12-10,80.76,81.16,80.63,80.98,1127829.0
2019-12-11,80.92,81.5,80.48,81.35,1521611.0
2019-12-12,81.31,81.52,80.74,80.85,1066301.0
2019-12-13,80.85,81.48,80.25,81.34,1001261.0
2019-12-16,81.48,82.05,81.19,82.05,1439054.0
2019-12-17,82.21,82.97,82.06,82.8,1037371.0
2019-12-18,83.22,83.71,82.73,83.59,3030883.0
2019-12-19,83.08,83.91,82.96,83.78,2311644.0
2019-12-20,83.98,85.33,83.83,84.59,4670650.0
2019-12-23,84.7,84.82,83.3,83.73,1920782.0
2019-12-24,83.69,84.08,83.26,83.96,494517.0
2019-12-26,84.04,84.34,83.58,84.3,838814.0
2019-12-27,84.3,84.54,84.08,84.32,1474318.0
2019-12-30,84.11,84.42,83.78,84.41,1352504.0
2019-12-31,84.45,85.09,84.39,85.07,1625867.0
2020-01-02,85.03,85.03,83.08,83.23,3278221.0
2020-01-03,83.13,83.51,82.7,82.86,2199106.0
2020-01-06,83.05,83.75,83.0,83.31,2717481.0
2020-01-07,83.3,83.3,82.09,82.68,2432858.0
2020-01-08,82.61,83.17,82.34,82.75,1543098.0
2020-01-09,82.55,83.52,82.54,83.4,1372097.0
2020-01-10,83.64,84.56,83.64,84.41,2028497.0
2020-01-13,84.49,85.33,84.41,85.15,1691142.0
2020-01-14,85.26,85.91,85.15,85.85,2317871.0
2020-01-15,86.2,87.73,86.15,87.32,2196866.0
2020-01-16,87.19,87.81,87.19,87.76,1908692.0
2020-01-17,87.9,88.82,87.4,88.73,2209620.0
2020-01-21,88.93,89.85,88.6,89.8,2227733.0
2020-01-22,89.37,90.26,88.65,89.95,1521372.0
2020-01-23,90.02,91.27,89.92,91.24,1809777.0
2020-01-24,91.01,92.13,90.95,91.81,2008431.0
2020-01-27,91.68,92.14,91.14,91.37,1727066.0
2020-01-28,91.52,92.08,91.08,91.79,1743609.0
2020-01-29,91.87,92.52,91.41,92.39,1376167.0
2020-01-30,92.25,93.29,92.095,93.21,1508232.0
2020-01-31,93.22,93.56,92.01,92.44,4749769.0
2020-02-03,92.64,92.77,91.85,92.41,1399163.0
2020-02-04,92.02,92.28,90.44,90.6,2599035.0
2020-02-05,90.37,90.59,89.78,90.49,2131982.0
2020-02-06,90.82,91.33,90.6,90.87,1286170.0
2020-02-07,91.11,91.23,90.42,90.58,1243858.0
2020-02-10,90.7,91.37,90.6,91.37,1246204.0
2020-02-11,91.43,91.75,91.09,91.18,940792.0
2020-02-12,90.78,91.68,90.62,91.26,1267056.0
2020-02-13,91.36,92.55,91.0,92.48,1426387.0
2020-02-14,92.79,93.81,92.79,93.66,1160261.0
2020-02-18,94.13,94.9,93.75,94.81,1628380.0
2020-02-19,94.84,94.93,94.3,94.3,1695002.0
2020-02-20,97.07,99.42,94.77,95.65,2063157.0
2020-02-21,95.72,97.24,95.46,95.96,2462337.0
2020-02-24,95.87,96.44,95.11,95.21,2160428.0
2020-02-25,95.31,96.17,93.09,93.38,2102401.0
2020-02-26,93.44,94.72,93.04,93.46,2277460.0
2020-02-27,93.41,93.93,89.46,89.52,2295226.0
