date,Open,High,Low,Close,Volume
2019-08-20,110.4,110.56,109.46,110.21,1312261.0
2019-08-21,110.16,111.68,109.95,111.67,996447.0
2019-08-22,111.68,111.78,110.55,111.31,1050607.0
2019-08-23,111.41,112.12,109.33,109.84,1299539.0
2019-08-26,110.04,111.56,110.04,111.54,833749.0
2019-08-27,112.04,112.58,111.58,112.1,918031.0
2019-08-28,112.34,112.6,111.5,112.32,946123.0
2019-08-29,112.78,113.2,111.96,113.02,758072.0
2019-08-30,113.26,113.46,112.39,112.84,890595.0
2019-09-03,113.09,115.31,112.85,115.18,2036617.0
2019-09-04,115.44,115.9,114.71,115.57,882756.0
2019-09-05,114.74,115.18,113.59,114.5,1788170.0
2019-09-06,114.14,114.64,113.41,113.55,1483895.0
2019-09-09,113.9,113.92,112.3,112.59,1380087.0
2019-09-10,112.3,112.32,111.1,112.25,1433122.0
2019-09-11,112.25,113.2,111.66,112.91,1302956.0
2019-09-12,113.83,114.72,112.94,113.89,1066168.0
2019-09-13,113.27,114.11,112.72,113.52,1325061.0
2019-09-16,113.67,113.86,112.77,113.53,1030511.0
2019-09-17,114.1,115.2,113.96,114.46,1070474.0
2019-09-18,114.87,115.13,113.85,114.65,1058552.0
2019-09-19,115.25,115.28,114.44,115.08,1318598.0
2019-09-20,115.93,116.57,114.63,115.21,4107172.0
2019-09-23,115.31,115.83,114.7,115.63,1813367.0
2019-09-24,116.06,117.49,116.02,117.09,1455674.0
2019-09-25,116.87,117.18,116.13,116.88,1189556.0
2019-09-26,117.2,118.1,116.94,117.55,1099345.0
2019-09-27,117.67,117.79,116.59,117.5,863042.0
2019-09-30,117.43,118.34,117.14,117.36,1144126.0
2019-10-01,117.04,117.39,116.39,117.32,1153269.0
2019-10-02,117.28,117.7,116.0,116.45,1168232.0
2019-10-03,116.68,116.97,116.01,116.5,1385101.0
2019-10-04,116.77,118.86,116.42,118.77,1135544.0
2019-10-07,118.32,118.43,117.65,117.79,1125108.0
2019-10-08,117.99,118.53,117.24,117.62,1442211.0
