date,Open,High,Low,Close,Volume
2019-08-20,65.37,65.44,64.64,64.9,1875800.0
2019-08-21,64.68,65.17,64.54,65.14,2100700.0
2019-08-22,65.13,65.31,64.66,65.1,2696500.0
2019-08-23,65.16,65.45,64.22,64.49,1328400.0
2019-08-26,64.48,65.23,64.44,65.18,1296200.0
2019-08-27,65.55,66.0,65.25,65.29,1818600.0
2019-08-28,65.2,65.57,64.67,64.89,2843400.0
2019-08-29,64.49,64.81,64.14,64.77,1126800.0
2019-08-30,64.97,65.31,64.86,65.0,1817800.0
2019-09-03,65.03,65.58,64.87,65.55,2027500.0
2019-09-04,65.78,66.01,65.23,65.8,1523900.0
2019-09-05,65.85,65.93,64.63,64.78,2205900.0
2019-09-06,64.94,65.19,63.73,63.96,2235300.0
2019-09-09,63.73,64.28,63.57,63.97,1599100.0
2019-09-10,63.85,64.3,63.35,64.27,2373100.0
2019-09-11,64.12,65.06,63.65,65.04,1504700.0
2019-09-12,65.53,65.66,64.83,64.88,1266700.0
2019-09-13,64.68,64.68,64.01,64.21,1356300.0
2019-09-16,64.65,64.65,63.82,64.14,1561600.0
2019-09-17,64.47,64.85,64.28,64.67,1461800.0
2019-09-18,65.19,65.48,64.65,65.15,2015000.0
2019-09-19,65.35,65.58,65.18,65.55,1591700.0
2019-09-20,66.32,66.38,65.32,66.01,4651500.0
2019-09-23,65.88,66.42,65.88,66.2,2830200.0
2019-09-24,66.38,67.2,66.27,66.72,2614500.0
2019-09-25,66.65,67.32,66.65,67.24,1470700.0
2019-09-26,67.34,67.81,67.19,67.31,1645800.0
2019-09-27,67.31,67.31,66.01,66.56,2209900.0
2019-09-30,66.62,67.08,66.41,66.56,1631200.0
2019-10-01,66.36,66.54,65.97,66.28,1253900.0
2019-10-02,66.23,66.39,65.36,65.36,1733700.0
2019-10-03,65.53,65.81,65.16,65.39,1726200.0
2019-10-04,65.38,66.07,65.36,66.01,1336000.0
2019-10-07,65.78,65.97,65.46,65.63,1953600.0
2019-10-08,65.56,65.89,64.98,65.01,1382600.0
2019-10-09,65.19,65.48,63.21,63.8,3186300.0
2019-10-10,63.51,63.63,62.75,63.47,2719400.0
2019-10-11,63.43,64.31,63.01,63.95,1759100.0
2019-10-14,64.07,64.46,63.75,63.81,1750200.0
2019-10-15,63.86,64.23,63.74,63.89,1506600.0
2019-10-16,63.86,63.95,63.16,63.58,1500000.0
2019-10-17,63.6,64.0,62.04,63.16,2318000.0
2019-10-18,62.92,63.53,62.66,63.31,2134400.0
2019-10-21,63.3,63.75,63.11,63.41,1655900.0
2019-10-22,63.41,64.05,63.41,63.95,1540500.0
2019-10-23,64.22,64.5,63.34,63.48,1744200.0
2019-10-24,63.53,64.11,63.5,63.86,1461200.0
2019-10-25,63.98,64.12,63.3,63.5,1341400.0
2019-10-28,63.14,63.65,62.89,63.09,1834000.0
2019-10-29,63.1,63.62,62.71,63.55,1753400.0
2019-10-30,63.81,63.88,63.06,63.68,1434700.0
2019-10-31,63.8,64.14,63.44,63.91,1680300.0
2019-11-01,63.86,64.31,63.61,63.84,1364500.0
2019-11-04,63.53,63.77,62.92,63.12,2090900.0
2019-11-05,62.85,63.25,62.5,62.53,2404300.0
2019-11-06,62.66,63.15,62.54,62.92,1884700.0
2019-11-07,63.36,64.62,62.33,62.82,2216300.0
2019-11-08,62.58,63.29,62.58,63.06,1733700.0
2019-11-11,62.94,63.17,62.54,62.62,1293900.0
2019-11-12,62.6,63.2,62.58,63.07,2146500.0
2019-11-13,63.29,64.47,63.12,63.9,2104900.0
2019-11-14,64.02,64.71,63.78,64.61,1749100.0
2019-11-15,64.56,64.82,64.35,64.75,1354300.0
2019-11-18,64.96,65.63,64.82,65.01,1911800.0
2019-11-19,64.87,65.25,64.47,64.77,1383000.0
2019-11-20,64.37,65.04,64.37,64.98,1824800.0
2019-11-21,64.98,65.03,64.45,64.73,1446100.0
2019-11-22,64.74,64.87,64.24,64.44,1535800.0
2019-11-25,63.95,64.34,63.35,63.59,2842500.0
2019-11-26,63.21,63.51,62.97,63.5,3053700.0
2019-11-27,63.57,63.92,62.97,63.29,2570600.0
2019-11-29,63.6,63.82,63.03,63.27,809000.0
2019-12-02,63.11,63.34,62.32,62.38,1943900.0
2019-12-03,62.58,62.82,62.14,62.56,2006400.0
2019-12-04,62.29,63.45,62.17,63.26,1109900.0
2019-12-05,63.14,63.62,62.75,63.53,1838000.0
2019-12-06,63.35,63.84,63.06,63.07,2419100.0
2019-12-09,63.22,63.22,62.11,62.26,3673800.0
2019-12-10,62.4,62.77,62.04,62.66,3753600.0
2019-12-11,62.9,62.93,62.46,62.89,2343300.0
2019-12-12,62.87,63.1,61.97,62.14,4081300.0
2019-12-13,62.37,62.89,61.97,62.76,3460400.0
2019-12-16,62.82,63.34,62.65,63.2,5768400.0
2019-12-17,63.23,64.15,63.11,63.6,2303100.0
2019-12-18,63.8,64.01,63.43,63.85,3635800.0
2019-12-19,63.9,64.14,63.55,63.7,2473500.0
2019-12-20,63.9,64.33,63.66,64.12,4664200.0
2019-12-23,64.15,64.43,63.65,63.8,3082400.0
2019-12-24,63.93,64.27,63.62,64.22,609800.0
2019-12-26,64.26,64.36,63.92,64.05,982500.0
2019-12-27,64.1,64.33,63.9,64.07,1136500.0
2019-12-30,64.01,64.3,63.87,64.23,1004100.0
2019-12-31,64.33,65.15,64.13,65.09,1603900.0
2020-01-02,65.15,65.27,63.31,63.44,2008000.0
