date,Open,High,Low,Close,Volume
2019-08-20,130.2,131.17,129.98,130.62,1099430.0
2019-08-21,131.39,131.54,130.16,130.89,1005043.0
2019-08-22,131.06,131.65,129.19,130.77,1047989.0
2019-08-23,129.74,130.54,127.0,127.52,1363194.0
2019-08-26,128.65,128.66,127.44,128.5,1040068.0
2019-08-27,128.91,129.69,127.46,128.46,1358748.0
2019-08-28,127.57,129.91,127.04,129.38,992847.0
2019-08-29,130.69,131.74,129.66,130.01,1346264.0
2019-08-30,130.83,131.37,129.54,130.1,760751.0
2019-09-03,129.06,130.3754,128.1,128.78,1052465.0
2019-09-04,129.72,130.07,127.98,128.7,1049455.0
2019-09-05,130.47,131.99,129.54,131.55,1387887.0
2019-09-06,131.52,133.805,131.36,131.71,1406741.0
2019-09-09,130.49,131.52,129.77,131.21,1772703.0
2019-09-10,131.21,131.21,128.23,130.17,1789073.0
2019-09-11,129.6,130.61,128.95,130.55,1250281.0
2019-09-12,130.9,132.28,130.58,131.65,1216688.0
2019-09-13,132.67,133.02,131.74,132.3,1074859.0
2019-09-16,131.54,132.03,129.85,131.28,1272576.0
2019-09-17,131.38,132.9,130.23,132.69,1414163.0
2019-09-18,132.28,134.08,132.2,133.81,1765212.0
2019-09-19,134.34,135.98,133.78,134.48,2015797.0
2019-09-20,135.42,135.8,133.3498,134.18,2256269.0
2019-09-23,133.79,134.545,131.73,132.37,1437334.0
2019-09-24,133.17,133.77,131.39,132.6,1842535.0
2019-09-25,132.63,134.32,131.57,133.6,1421417.0
2019-09-26,133.03,133.7423,131.88,132.87,1299852.0
2019-09-27,133.46,134.0,131.01,132.17,1302821.0
2019-09-30,132.56,135.05,132.56,134.41,1241385.0
2019-10-01,134.46,135.285,133.85,133.91,993732.0
2019-10-02,133.77,134.42,131.74,132.67,1516603.0
2019-10-03,132.62,133.29,131.31,133.25,1209528.0
2019-10-04,133.23,133.75,132.6301,133.22,899446.0
2019-10-07,132.54,133.07,131.3,132.35,816301.0
2019-10-08,131.4,132.83,130.39,131.55,743440.0
2019-10-09,132.72,133.97,132.44,133.55,798880.0
2019-10-10,133.38,136.41,133.38,135.99,1310616.0
2019-10-11,137.86,139.88,137.62,138.27,1305174.0
2019-10-14,138.11,138.67,136.55,136.71,948531.0
2019-10-15,137.3,137.927,136.33,137.25,984869.0
2019-10-16,136.88,139.205,136.88,138.26,1011881.0
2019-10-17,138.67,138.67,137.02,138.48,718635.0
2019-10-18,138.22,138.3428,135.46,136.03,1050961.0
2019-10-21,136.91,137.75,136.15,136.26,1014705.0
2019-10-22,136.77,137.75,136.42,136.65,973152.0
2019-10-23,136.22,138.31,136.22,138.31,1136254.0
2019-10-24,138.39,139.32,135.53,137.14,2167093.0
2019-10-25,136.94,138.43,135.76,137.06,2345726.0
2019-10-28,137.11,138.9,137.06,138.09,945062.0
2019-10-29,137.98,138.04,136.02,137.15,1089445.0
2019-10-30,136.99,137.1,135.62,136.45,971001.0
2019-10-31,136.16,137.22,134.96,136.66,1156894.0
2019-11-01,137.48,138.19,136.925,137.8,1661639.0
2019-11-04,138.72,138.72,135.01,135.2,1969672.0
2019-11-05,135.05,137.15,134.67,135.02,1916310.0
2019-11-06,135.43,136.65,134.27,135.36,3347868.0
2019-11-07,115.15,115.43,97.05,98.29,30819861.0
2019-11-08,99.24,101.99,99.0652,101.32,10008955.0
2019-11-11,100.96,100.97,98.52,99.07,5833540.0
2019-11-12,98.62,98.69,95.62,95.66,7979092.0
2019-11-13,96.04,97.7,95.3,95.6,3437494.0
2019-11-14,95.33,95.78,94.1,95.58,3486770.0
2019-11-15,96.01,96.23,95.14,95.67,2936403.0
2019-11-18,95.6,96.15,94.91,95.14,3256653.0
2019-11-19,95.25,95.27,93.53,94.88,3096752.0
2019-11-20,94.46,95.05,93.8786,94.31,2388699.0
2019-11-21,94.63,95.18,94.14,94.7,2572621.0
2019-11-22,94.82,96.82,94.685,96.63,2782817.0
2019-11-25,97.41,98.98,97.26,98.43,2842851.0
2019-11-26,98.83,99.91,98.6682,99.3,2873151.0
2019-11-27,99.3,102.15,99.3,101.51,2720945.0
2019-11-29,101.92,102.87,101.38,101.66,1759797.0
2019-12-02,101.53,101.66,99.88,100.75,2958267.0
2019-12-03,99.77,99.93,99.18,99.39,2368703.0
2019-12-04,106.1,109.32,102.6,105.56,16734567.0
2019-12-05,105.06,106.99,104.24,105.68,5457435.0
2019-12-06,107.05,109.08,106.67,107.58,4764992.0
2019-12-09,108.36,109.435,107.65,108.8,2926363.0
2019-12-10,109.62,113.17,109.1057,111.85,4828510.0
2019-12-11,111.85,112.45,110.84,111.96,2505725.0
2019-12-12,112.44,113.96,112.4,113.5,2347045.0
2019-12-13,113.61,114.55,112.72,112.76,2110534.0
2019-12-16,113.6,114.515,113.51,114.23,2273026.0
2019-12-17,114.1,114.2,111.07,111.51,3523893.0
2019-12-18,111.55,111.64,110.13,110.5,3007036.0
2019-12-19,110.39,111.005,108.9,109.1,3695012.0
2019-12-20,109.13,110.95,108.01,110.08,5049587.0
2019-12-23,110.24,110.56,107.96,108.0,2543423.0
2019-12-24,108.37,109.29,108.02,108.77,1684733.0
2019-12-26,108.75,109.5,108.73,109.07,1847905.0
2019-12-27,109.24,109.565,108.28,108.32,1647050.0
2019-12-30,108.2,108.755,107.61,107.77,1555610.0
2019-12-31,107.62,108.28,107.3023,108.14,1824602.0
2020-01-02,108.87,111.15,108.78,110.98,3481322.0
2020-01-03,109.59,110.44,108.35,109.13,2027053.0
2020-01-06,108.16,109.07,107.8,108.74,2219268.0
2020-01-07,108.68,110.295,108.5,110.02,1816213.0
2020-01-08,110.2,110.98,108.06,108.62,1990003.0
2020-01-09,109.12,110.07,108.85,109.76,1746036.0
