date,Open,High,Low,Close,Volume
2019-08-20,9.0,9.07,8.93,8.96,25119456.0
2019-08-21,9.02,9.05,8.97,9.04,20443922.0
2019-08-22,9.05,9.14,9.02,9.04,20977683.0
2019-08-23,8.9,8.99,8.73,8.77,44987686.0
2019-08-26,8.88,8.907,8.79,8.82,31890304.0
2019-08-27,8.89,8.91,8.75,8.76,23032302.0
2019-08-28,8.72,9.04,8.7,9.0,35143441.0
2019-08-29,9.1,9.14,9.03,9.12,22016749.0
2019-08-30,9.16,9.23,9.1,9.17,32057791.0
2019-09-03,9.18,9.2,9.04,9.1,26330996.0
2019-09-04,9.17,9.23,9.07,9.2,27402972.0
2019-09-05,9.25,9.4,9.25,9.34,36626791.0
2019-09-06,9.37,9.41,9.2,9.34,29210127.0
2019-09-09,9.39,9.65,9.39,9.54,47936656.0
2019-09-10,9.08,9.42,9.04,9.42,70554546.0
2019-09-11,9.29,9.43,9.29,9.42,34067392.0
2019-09-12,9.36,9.48,9.32,9.41,35669338.0
2019-09-13,9.47,9.59,9.44,9.45,27160151.0
2019-09-16,9.36,9.45,9.24,9.3,50459356.0
2019-09-17,9.27,9.31,9.18,9.28,27502309.0
2019-09-18,9.26,9.36,9.22,9.25,24473604.0
2019-09-19,9.31,9.3299,9.1,9.1,29125872.0
2019-09-20,9.13,9.3,9.11,9.17,38103352.0
2019-09-23,9.13,9.23,9.08,9.16,23589377.0
2019-09-24,9.19,9.225,9.05,9.11,33164133.0
2019-09-25,9.1,9.23,9.09,9.2,20553822.0
2019-09-26,9.23,9.23,9.07,9.14,26593006.0
2019-09-27,9.14,9.6,9.06,9.08,32459508.0
2019-09-30,9.11,9.21,9.1,9.16,22491777.0
2019-10-01,9.19,9.24,8.87,8.9,39650817.0
2019-10-02,8.85,8.86,8.44,8.61,68275845.0
2019-10-03,8.55,8.71,8.45,8.71,41149332.0
2019-10-04,8.72,8.76,8.66,8.74,28093776.0
2019-10-07,8.7,8.79,8.61,8.68,29488943.0
2019-10-08,8.65,8.66,8.5,8.54,31590323.0
2019-10-09,8.61,8.64,8.56,8.56,16940793.0
2019-10-10,8.58,8.65,8.52,8.62,28121627.0
2019-10-11,8.73,8.87,8.73,8.78,34206906.0
2019-10-14,8.82,8.84,8.755,8.82,25442791.0
2019-10-15,8.84,9.0999,8.78,9.07,31034242.0
2019-10-16,9.11,9.19,9.06,9.07,27384289.0
2019-10-17,9.12,9.14,9.03,9.11,28645678.0
2019-10-18,9.09,9.32,9.09,9.29,42412786.0
2019-10-21,9.19,9.245,9.01,9.03,33801573.0
2019-10-22,9.01,9.14,8.96,9.07,35992321.0
2019-10-23,9.01,9.21,8.97,9.21,46465855.0
2019-10-24,8.87,8.89,8.55,8.6,121071017.0
2019-10-25,8.67,8.75,8.62,8.72,51199431.0
2019-10-28,8.76,8.76,8.58,8.61,39603892.0
2019-10-29,8.59,8.71,8.59,8.64,36745871.0
2019-10-30,8.64,8.64,8.52,8.54,28675948.0
2019-10-31,8.58,8.6,8.5,8.59,29108371.0
2019-11-01,8.64,8.93,8.64,8.89,55324129.0
2019-11-04,8.93,9.05,8.93,9.0,46708442.0
2019-11-05,9.02,9.15,9.0,9.02,37547340.0
2019-11-06,9.05,9.05,8.89,8.92,39495796.0
2019-11-07,8.96,9.01,8.88,8.89,32631018.0
2019-11-08,8.9,9.04,8.82,9.04,29476510.0
2019-11-11,8.95,9.1,8.94,9.08,24840661.0
2019-11-12,9.06,9.13,9.04,9.04,28703857.0
2019-11-13,9.0,9.0,8.8,8.81,34810721.0
2019-11-14,8.85,8.9059,8.78,8.79,26527804.0
2019-11-15,8.85,8.96,8.85,8.95,26416272.0
2019-11-18,9.05,9.05,8.89,8.95,38291348.0
2019-11-19,8.99,9.0,8.87,8.9,31168612.0
2019-11-20,8.88,8.89,8.68,8.73,38263281.0
2019-11-21,8.77,8.79,8.67,8.71,33144363.0
2019-11-22,8.81,8.9,8.77,8.89,34957711.0
2019-11-25,8.9,9.01,8.87,9.0,30580848.0
2019-11-26,8.98,9.02,8.91,9.01,30262639.0
2019-11-27,9.03,9.15,9.02,9.1,37395958.0
2019-11-29,9.04,9.1,9.03,9.06,13096150.0
2019-12-02,9.08,9.14,9.0,9.01,37232621.0
2019-12-03,8.95,8.95,8.8,8.89,41107429.0
2019-12-04,8.95,9.03,8.94,8.95,29982853.0
2019-12-05,8.97,9.0,8.88,8.93,25766900.0
2019-12-06,8.96,9.07,8.945,9.02,31084884.0
2019-12-09,8.97,9.07,8.96,9.01,21772922.0
2019-12-10,9.02,9.1,8.96,9.07,34214386.0
2019-12-11,9.06,9.14,9.055,9.11,32532321.0
2019-12-12,9.11,9.36,9.105,9.32,48389732.0
2019-12-13,9.32,9.39,9.19,9.23,35334277.0
2019-12-16,9.24,9.39,9.22,9.39,42336297.0
2019-12-17,9.38,9.41,9.31,9.39,35503941.0
2019-12-18,9.39,9.575,9.36,9.54,45905209.0
2019-12-19,9.55,9.57,9.38,9.41,42236038.0
2019-12-20,9.5,9.54,9.44,9.48,50157556.0
2019-12-23,9.5,9.57,9.4,9.44,54784445.0
2019-12-24,9.44,9.49,9.43,9.47,11881604.0
2019-12-26,9.47,9.49,9.43,9.45,28960242.0
2019-12-27,9.45,9.46,9.345,9.36,28272815.0
2019-12-30,9.34,9.35,9.23,9.25,36074759.0
2019-12-31,9.25,9.33,9.24,9.3,32342009.0
2020-01-02,9.29,9.42,9.19,9.42,43423425.0
2020-01-03,9.31,9.37,9.15,9.21,45040324.0
2020-01-06,9.1,9.17,9.06,9.16,43310580.0
2020-01-07,9.2,9.25,9.12,9.25,45076037.0
2020-01-08,9.23,9.3,9.17,9.25,45994922.0
2020-01-09,9.3,9.31,9.18,9.26,51817296.0
2020-01-10,9.27,9.36,9.25,9.25,39796154.0
2020-01-13,9.25,9.26,9.11,9.24,48552343.0
2020-01-14,9.22,9.33,9.21,9.29,42935596.0
