date,Open,High,Low,Close,Volume
2019-08-20,99.24,100.5,98.69,99.28,1033952.0
2019-08-21,100.45,101.55,99.46,100.1,961705.0
2019-08-22,100.42,100.7,99.14,99.23,905535.0
2019-08-23,97.61,98.64,94.22,94.6,1822841.0
2019-08-26,96.59,96.74,93.11,93.5,1659770.0
2019-08-27,93.8,94.35,91.37,92.37,1530856.0
2019-08-28,93.21,97.75,92.85,96.63,1757550.0
2019-08-29,97.5,100.02,97.5,98.58,1334172.0
2019-08-30,98.78,99.8,96.85,98.08,1703712.0
2019-09-03,95.29,97.32,93.86,97.0,1429449.0
2019-09-04,98.92,99.58,97.74,97.82,1162135.0
2019-09-05,98.41,99.9,97.56,97.65,1561796.0
2019-09-06,95.78,97.0,95.09,95.6,1623806.0
2019-09-09,96.67,97.61,95.24,96.54,2582087.0
2019-09-10,97.35,101.5,97.01,99.46,2724615.0
2019-09-11,100.0,101.37,97.79,98.72,1314180.0
2019-09-12,96.49,97.45,95.57,96.17,1575367.0
2019-09-13,96.61,97.58,95.53,96.73,1189551.0
2019-09-16,104.0,105.95,101.81,105.04,3985112.0
2019-09-17,104.75,105.3,100.37,100.45,2450195.0
2019-09-18,99.35,99.5,97.19,98.25,1550496.0
2019-09-19,99.59,99.84,96.94,97.33,1385992.0
2019-09-20,97.35,98.19,95.8,96.82,3670683.0
2019-09-23,96.65,99.14,96.44,98.29,1818637.0
2019-09-24,97.5,98.29,93.59,94.49,2280745.0
2019-09-25,93.52,93.9,91.07,93.24,2202454.0
2019-09-26,92.75,93.0,89.09,90.12,2475909.0
2019-09-27,89.0,90.9,88.9,89.99,1684921.0
2019-09-30,89.81,90.4,88.6,89.91,1141367.0
2019-10-01,88.95,89.49,85.0,85.0,3082122.0
2019-10-02,84.65,85.18,82.44,83.12,2032960.0
2019-10-03,82.32,86.59,82.32,85.89,2152324.0
2019-10-04,86.22,86.7,83.99,85.42,1334739.0
2019-10-07,85.36,85.65,83.36,83.37,1779415.0
2019-10-08,82.48,82.87,80.77,80.82,1901885.0
2019-10-09,81.84,82.39,80.75,81.55,1591780.0
2019-10-10,81.64,82.81,81.14,82.54,1342033.0
2019-10-11,83.49,84.68,82.96,83.64,1402941.0
2019-10-14,82.18,84.7,80.93,83.96,1247687.0
2019-10-15,83.02,85.94,82.66,84.84,2120227.0
2019-10-16,84.04,85.47,83.34,83.43,1520025.0
2019-10-17,83.82,85.11,83.15,84.04,1904184.0
2019-10-18,84.26,84.87,81.94,81.97,1358560.0
2019-10-21,82.25,83.04,81.7,82.74,1284207.0
2019-10-22,83.31,87.07,82.83,85.69,1223244.0
2019-10-23,85.47,87.87,84.14,87.16,1346768.0
2019-10-24,87.96,88.4,86.04,86.91,1019016.0
2019-10-25,86.84,88.26,86.18,87.46,969998.0
2019-10-28,87.98,88.82,86.01,86.6,1213484.0
2019-10-29,85.8,88.34,85.43,87.92,1735886.0
2019-10-30,87.13,88.24,84.09,84.38,1793201.0
2019-10-31,84.0,85.78,82.84,85.76,1414147.0
2019-11-01,86.54,87.4,85.81,86.79,1499230.0
2019-11-04,88.19,90.87,88.01,90.36,2176052.0
2019-11-05,91.0,92.79,90.08,90.23,2909105.0
2019-11-06,80.03,80.7,76.51,77.2,13575810.0
2019-11-07,77.75,79.18,74.55,75.56,5607509.0
2019-11-08,74.85,76.53,74.25,75.43,2379724.0
2019-11-11,74.22,77.15,73.71,76.78,3224766.0
2019-11-12,77.81,79.55,77.1,78.01,2975550.0
2019-11-13,77.31,78.54,76.22,77.01,2162534.0
2019-11-14,76.86,78.01,75.88,76.29,1589298.0
2019-11-15,76.55,77.87,76.08,77.09,2203838.0
2019-11-18,76.69,76.71,75.3,75.73,1719874.0
2019-11-19,75.13,75.43,73.86,74.19,1644204.0
2019-11-20,74.25,76.18,73.18,75.29,1593730.0
2019-11-21,75.55,76.12,74.15,75.57,3031496.0
2019-11-22,75.56,76.59,74.94,75.33,2115054.0
2019-11-25,75.04,77.23,74.22,77.13,2580446.0
2019-11-26,77.32,77.6,76.07,77.1,2180823.0
2019-11-27,77.61,79.02,76.86,78.52,1881672.0
2019-11-29,77.49,78.39,76.71,77.34,946165.0
2019-12-02,77.59,78.49,76.75,77.88,1741171.0
2019-12-03,76.87,77.44,76.22,76.91,1922033.0
2019-12-04,77.31,81.08,77.16,80.56,2598935.0
2019-12-05,80.82,81.5,79.31,79.94,2053385.0
2019-12-06,80.37,83.52,80.33,83.23,2031907.0
2019-12-09,82.61,84.34,82.0,83.78,1795125.0
2019-12-10,83.86,84.62,83.25,83.46,1710042.0
2019-12-11,83.67,84.33,83.03,83.83,3193826.0
2019-12-12,83.91,86.86,83.83,86.27,1660666.0
2019-12-13,86.69,87.75,85.05,85.09,1272040.0
2019-12-16,85.64,87.92,85.64,87.69,2780246.0
2019-12-17,87.82,88.41,86.34,86.61,1904229.0
2019-12-18,86.63,88.21,86.61,87.08,1594945.0
2019-12-19,87.25,87.92,86.02,87.48,2108442.0
2019-12-20,88.17,89.19,87.17,88.02,4300883.0
2019-12-23,88.39,89.44,88.2,89.03,1980262.0
2019-12-24,89.26,90.92,89.03,90.18,745279.0
2019-12-26,90.48,92.06,90.43,91.31,1466924.0
2019-12-27,91.7,92.1,90.6,90.77,1342530.0
2019-12-30,91.37,92.13,90.85,91.07,1790423.0
2019-12-31,90.77,93.12,90.61,92.86,1101512.0
2020-01-02,93.35,93.66,91.49,92.65,1822201.0
2020-01-03,95.0,95.75,93.43,94.41,2168713.0
2020-01-06,95.66,95.91,93.97,94.9,2018796.0
2020-01-07,94.65,96.54,94.65,96.42,2202291.0
2020-01-08,96.48,96.92,92.61,93.33,1991375.0
2020-01-09,93.29,94.64,92.03,94.15,1458960.0
2020-01-10,93.68,93.68,91.91,92.26,1684535.0
2020-01-13,91.99,92.11,90.32,90.48,2430920.0
2020-01-14,90.57,91.76,89.91,91.26,2048519.0
2020-01-15,90.77,91.72,89.57,91.31,1538669.0
2020-01-16,91.71,92.74,90.42,90.74,1586925.0
2020-01-17,90.89,91.65,89.31,89.54,1930394.0
2020-01-21,89.42,89.68,87.51,88.32,2183967.0
2020-01-22,87.87,88.07,85.28,85.44,2112163.0
2020-01-23,84.82,86.18,83.01,84.7,2058322.0
2020-01-24,84.01,84.01,81.87,82.84,1608480.0
2020-01-27,81.24,81.5,79.17,79.37,2338589.0
2020-01-28,80.25,80.41,78.71,79.12,2815116.0
2020-01-29,79.95,80.5,77.52,77.57,1379501.0
2020-01-30,76.26,77.14,74.37,76.49,3936723.0
2020-01-31,75.5,75.82,73.55,74.4,2437811.0
2020-02-03,74.2,74.51,72.51,73.08,2569381.0
