date,Open,High,Low,Close,Volume
2019-08-20,30.64,30.84,30.41,30.48,4915493.0
2019-08-21,30.8,31.02,30.67,30.77,1798166.0
2019-08-22,30.99,31.01,30.54,30.73,1985571.0
2019-08-23,30.56,30.72,29.44,29.66,4126832.0
2019-08-26,30.07,30.14,29.45,29.73,2208439.0
2019-08-27,29.97,29.98,29.44,29.7,3992113.0
2019-08-28,29.56,29.92,29.26,29.87,3411825.0
2019-08-29,30.29,30.75,30.02,30.54,2822854.0
2019-08-30,30.79,31.1,30.49,30.62,3064758.0
2019-09-03,30.31,30.52,29.52,29.72,4937808.0
2019-09-04,30.02,30.26,29.9,29.96,2191096.0
2019-09-05,30.31,31.43,30.31,31.06,4148069.0
2019-09-06,31.28,31.88,31.19,31.56,4006147.0
2019-09-09,31.72,32.35,31.64,32.07,4683940.0
2019-09-10,31.79,32.81,31.61,32.79,4847708.0
2019-09-11,32.86,33.5,32.6,33.5,4533706.0
2019-09-12,33.5,33.99,33.24,33.63,3954902.0
2019-09-13,33.77,34.09,33.58,33.64,3819602.0
2019-09-16,33.4,33.78,33.2,33.46,3328689.0
2019-09-17,33.44,33.61,32.78,33.57,3293784.0
2019-09-18,33.46,33.46,32.42,32.87,5094715.0
2019-09-19,32.78,32.91,32.36,32.4,3379017.0
2019-09-20,32.41,32.63,31.85,31.86,5461005.0
2019-09-23,31.87,32.41,31.7,32.28,3375136.0
2019-09-24,32.54,32.64,31.48,31.7,4989060.0
2019-09-25,31.74,32.26,31.7,32.1,3172245.0
2019-09-26,32.01,32.13,31.83,31.99,3336419.0
2019-09-27,32.24,32.29,31.88,32.23,4709441.0
2019-09-30,32.33,32.85,32.32,32.67,3387351.0
2019-10-01,33.0,33.16,30.98,31.17,6476213.0
2019-10-02,30.87,31.12,30.55,30.96,4682344.0
2019-10-03,30.91,31.03,30.38,31.01,4218188.0
2019-10-04,31.21,31.85,31.09,31.78,3632410.0
2019-10-07,31.41,31.47,30.9,31.03,5088079.0
2019-10-08,30.57,31.07,30.14,30.61,4922794.0
2019-10-09,30.72,30.9,30.45,30.65,3573608.0
2019-10-10,30.64,31.15,30.64,31.02,5808177.0
2019-10-11,34.1,36.58,34.04,36.34,28842335.0
2019-10-14,35.35,36.24,35.32,35.42,11779113.0
2019-10-15,35.64,36.12,35.42,35.8,5951533.0
2019-10-16,35.71,35.88,35.41,35.61,5106304.0
2019-10-17,35.55,36.31,35.55,36.02,4498687.0
2019-10-18,36.0,36.16,35.81,35.83,3815302.0
2019-10-21,36.1,36.96,35.98,36.79,6178051.0
2019-10-22,36.82,37.64,36.57,37.37,4902989.0
2019-10-23,37.15,37.8,36.82,37.66,5547737.0
2019-10-24,37.38,37.5,36.86,37.18,4267578.0
2019-10-25,37.1,37.36,37.04,37.18,4375803.0
2019-10-28,37.39,37.55,36.69,36.83,3994687.0
2019-10-29,36.41,36.84,36.37,36.73,5337293.0
2019-10-30,36.81,36.87,36.01,36.29,4201275.0
2019-10-31,36.12,36.29,35.47,35.94,5628971.0
2019-11-01,36.3,37.16,36.2,37.15,3806764.0
2019-11-04,37.41,37.91,37.18,37.3,4179840.0
2019-11-05,37.35,37.91,37.01,37.28,4129088.0
2019-11-06,36.9,37.16,36.48,37.15,7319857.0
2019-11-07,37.4,37.57,36.79,37.14,4031130.0
2019-11-08,37.12,37.14,36.83,37.07,3190259.0
2019-11-11,36.82,36.89,36.56,36.83,1839677.0
2019-11-12,36.82,37.01,36.57,36.9,2945497.0
2019-11-13,36.64,36.65,35.97,36.02,3306949.0
2019-11-14,36.02,36.31,35.73,36.2,2985192.0
2019-11-15,36.43,36.59,36.09,36.33,4216221.0
2019-11-18,36.24,36.25,35.66,35.86,2957748.0
2019-11-19,36.12,36.13,35.69,35.73,3812884.0
2019-11-20,35.66,35.73,35.05,35.26,3983493.0
2019-11-21,35.32,35.38,34.92,35.14,2752305.0
2019-11-22,35.36,35.74,34.95,35.71,2568769.0
2019-11-25,35.81,36.21,35.67,36.07,2893527.0
2019-11-26,35.94,36.13,35.79,35.91,4339510.0
2019-11-27,36.12,36.12,35.55,35.79,2089255.0
2019-11-29,35.66,35.91,35.43,35.52,1571970.0
2019-12-02,35.38,36.0,34.89,34.96,3409098.0
2019-12-03,34.52,35.03,34.03,34.91,3241898.0
2019-12-04,35.05,35.36,34.99,35.06,3811765.0
2019-12-05,35.65,36.48,35.18,35.28,5737207.0
2019-12-06,35.58,36.13,35.58,35.94,3779824.0
2019-12-09,35.96,36.27,35.91,36.11,3121506.0
2019-12-10,36.04,36.22,35.8,35.94,2400170.0
2019-12-11,36.08,36.32,35.84,36.24,1988446.0
2019-12-12,36.21,37.74,35.97,37.65,6002956.0
2019-12-13,37.49,37.94,36.94,37.03,4048541.0
2019-12-16,37.24,37.46,37.07,37.41,3014975.0
2019-12-17,37.79,37.79,36.72,36.87,3797596.0
2019-12-18,36.81,36.86,36.55,36.84,3034271.0
2019-12-19,36.81,36.91,36.59,36.8,2199036.0
2019-12-20,37.24,37.24,36.72,37.12,6381118.0
2019-12-23,37.39,37.43,36.85,36.93,2679299.0
2019-12-24,37.06,37.06,36.74,37.01,810208.0
2019-12-26,37.0,37.0,36.68,36.94,1834041.0
2019-12-27,37.0,37.08,36.66,36.98,1737979.0
2019-12-30,37.0,37.14,36.85,36.95,1392993.0
2019-12-31,36.86,37.18,36.84,36.95,2141850.0
2020-01-02,37.08,37.33,36.65,37.23,4046912.0
2020-01-03,36.67,36.82,36.03,36.57,4101279.0
2020-01-06,36.24,36.3,35.75,36.0,4136337.0
2020-01-07,35.87,36.1,35.65,35.93,3108899.0
2020-01-08,36.11,36.63,35.93,36.2,3795986.0
2020-01-09,36.19,36.41,35.84,36.22,3811406.0
2020-01-10,36.22,36.57,35.9,36.33,3542436.0
2020-01-13,36.6,36.65,36.35,36.59,3154680.0
2020-01-14,36.64,37.17,36.47,36.82,5495631.0
2020-01-15,36.67,36.98,36.45,36.79,4365765.0
2020-01-16,36.9,37.34,36.8,37.31,5958631.0
2020-01-17,36.37,37.6,36.21,36.8,12851772.0
2020-01-21,36.43,36.64,35.45,35.83,6455271.0
2020-01-22,36.18,36.3,35.87,35.93,3501610.0
2020-01-23,35.86,36.12,35.29,36.06,3133640.0
2020-01-24,36.12,36.17,35.03,35.52,4163942.0
2020-01-27,34.94,35.55,34.63,35.25,6163034.0
2020-01-28,35.39,35.9,35.07,35.77,3723686.0
2020-01-29,35.99,36.54,35.83,35.9,3883847.0
2020-01-30,34.73,36.18,34.73,36.14,4365633.0
2020-01-31,35.83,35.99,34.73,34.88,4707297.0
2020-02-03,35.21,36.06,35.03,35.85,4708912.0
2020-02-04,36.5,37.24,36.26,36.93,3614854.0
2020-02-05,37.55,37.67,37.17,37.65,4071266.0
2020-02-06,38.0,38.24,37.55,37.9,3126403.0
2020-02-07,37.66,37.95,37.12,37.35,3342722.0
2020-02-10,37.16,37.27,36.69,36.94,4827845.0
2020-02-11,37.1,37.95,37.09,37.82,4432232.0
2020-02-12,37.9,38.4,37.9,38.34,2477488.0
2020-02-13,38.15,38.47,37.99,38.24,2270819.0
2020-02-14,38.23,38.57,38.01,38.32,2745884.0
2020-02-18,38.28,38.44,37.88,38.29,2288047.0
2020-02-19,38.37,38.66,38.19,38.29,1706045.0
2020-02-20,38.41,39.31,38.29,39.02,3301448.0
2020-02-21,38.84,39.18,38.45,38.86,4124085.0
2020-02-24,38.05,38.39,37.24,37.76,3934852.0
2020-02-25,37.98,38.18,35.97,36.16,5998205.0
2020-02-26,36.67,36.83,35.89,35.96,4487946.0
2020-02-27,35.37,36.45,34.76,35.02,8835246.0
2020-02-28,33.81,34.84,33.49,34.22,8622870.0
2020-03-02,34.33,35.19,33.31,35.18,7077862.0
2020-03-03,34.84,36.39,34.18,34.39,6747302.0
2020-03-04,34.98,35.59,34.34,35.53,4983813.0
2020-03-05,34.55,36.05,34.48,34.84,8820390.0
2020-03-06,33.5,34.29,33.32,34.16,7757543.0
2020-03-09,31.87,32.84,30.61,31.19,12393027.0
2020-03-10,32.22,33.62,31.3,33.6,7310564.0
2020-03-11,32.47,33.67,32.32,32.93,10915878.0
2020-03-12,30.54,32.84,29.79,30.87,9929308.0
2020-03-13,32.8,34.15,31.21,34.09,9208765.0
2020-03-16,30.51,33.98,30.0,31.72,9546481.0
