date,Open,High,Low,Close,Volume
2019-08-20,51.02,51.3,50.66,50.92,640300.0
2019-08-21,51.71,52.25,51.57,52.08,933100.0
2019-08-22,52.3,52.63,51.34,52.23,988700.0
2019-08-23,51.79,51.79,49.31,49.56,1071500.0
2019-08-26,50.03,50.33,49.48,50.23,645600.0
2019-08-27,50.55,50.63,49.3,49.44,893400.0
2019-08-28,49.16,49.97,49.0,49.72,1092800.0
2019-08-29,50.21,50.93,50.19,50.89,768700.0
2019-08-30,51.32,51.36,50.79,51.06,686300.0
2019-09-03,50.48,50.59,48.43,49.02,1115000.0
2019-09-04,49.77,50.05,49.44,49.91,762600.0
2019-09-05,50.75,51.76,50.62,51.53,900300.0
2019-09-06,51.78,52.41,51.52,51.57,740200.0
2019-09-09,51.95,52.22,51.58,52.14,770900.0
2019-09-10,52.14,53.55,51.91,53.52,770600.0
2019-09-11,53.71,54.77,53.16,54.74,927800.0
2019-09-12,55.0,55.05,53.74,54.25,764200.0
2019-09-13,54.77,54.77,54.25,54.45,683900.0
2019-09-16,54.07,54.43,53.34,53.45,1027300.0
2019-09-17,53.21,53.48,51.96,52.74,1190700.0
2019-09-18,52.55,53.05,52.22,52.86,825800.0
2019-09-19,53.02,53.56,52.69,53.06,834800.0
2019-09-20,53.33,53.69,52.64,52.75,1379000.0
2019-09-23,52.57,53.59,52.3,53.19,933900.0
2019-09-24,53.49,53.97,53.14,53.34,1396100.0
2019-09-25,53.24,54.04,53.21,53.93,952900.0
2019-09-26,54.09,54.77,53.89,54.3,826400.0
2019-09-27,54.64,54.72,53.92,54.48,695700.0
2019-09-30,54.85,55.02,54.57,54.7,811700.0
2019-10-01,55.09,55.79,54.03,54.4,1363400.0
2019-10-02,53.85,54.61,53.24,54.44,1850300.0
2019-10-03,54.28,54.98,53.47,54.92,1618400.0
2019-10-04,55.03,56.16,54.92,56.12,1119300.0
2019-10-07,55.83,56.74,55.43,56.23,1536700.0
2019-10-08,55.42,55.95,54.99,55.24,959900.0
2019-10-09,55.79,56.0,55.24,55.73,1215700.0
2019-10-10,55.56,56.19,55.36,55.68,1315700.0
2019-10-11,56.26,57.37,56.26,56.62,2447700.0
2019-10-14,56.68,56.68,55.95,56.1,2105500.0
2019-10-15,56.36,57.13,56.01,57.01,1522500.0
2019-10-16,56.93,57.7,56.73,57.24,1638800.0
2019-10-17,57.64,58.47,57.39,58.45,2046400.0
2019-10-18,58.33,59.04,58.28,58.92,1245700.0
2019-10-21,58.67,59.39,58.03,58.24,2230000.0
2019-10-22,58.61,58.98,57.8,58.47,1907100.0
2019-10-23,58.32,58.89,58.17,58.38,1771300.0
2019-10-24,59.4,61.01,58.19,60.77,2674800.0
2019-10-25,60.63,61.78,60.35,60.36,2251900.0
2019-10-28,61.4,61.4,60.02,60.67,1821300.0
2019-10-29,60.52,61.3,60.52,60.73,1125600.0
2019-10-30,60.67,60.99,60.29,60.87,1013900.0
2019-10-31,60.77,60.9,59.68,60.05,1243400.0
2019-11-01,60.62,61.43,60.37,61.4,910500.0
2019-11-04,61.88,62.18,61.45,61.96,1022700.0
2019-11-05,62.17,62.6,61.95,62.0,1265800.0
2019-11-06,62.15,62.15,60.94,61.82,802000.0
2019-11-07,62.1,62.42,61.36,61.56,679000.0
2019-11-08,61.41,62.06,61.26,62.06,478800.0
2019-11-11,61.43,61.92,61.32,61.67,611200.0
2019-11-12,61.91,62.4,61.76,62.38,799800.0
2019-11-13,62.15,62.86,61.98,62.68,997300.0
2019-11-14,62.44,63.23,62.44,63.15,1073000.0
2019-11-15,63.66,63.82,62.78,63.06,1246000.0
2019-11-18,62.79,63.66,62.79,63.57,1115900.0
2019-11-19,63.24,63.5,62.24,62.24,1081600.0
2019-11-20,62.21,62.78,61.6,61.95,1252900.0
2019-11-21,62.38,62.66,61.96,62.56,1031500.0
2019-11-22,62.81,63.0,62.29,62.95,803000.0
2019-11-25,63.15,63.82,63.04,63.77,647200.0
2019-11-26,64.02,64.97,63.68,64.8,1643500.0
2019-11-27,64.67,64.86,64.06,64.38,1048500.0
2019-11-29,64.19,64.21,63.22,63.26,333500.0
2019-12-02,63.27,63.39,62.39,62.43,803500.0
2019-12-03,61.69,62.52,61.49,62.23,1394000.0
2019-12-04,62.52,63.73,62.52,63.16,1566500.0
2019-12-05,63.35,64.0,63.04,63.9,1195800.0
2019-12-06,64.76,65.12,64.45,64.6,995700.0
2019-12-09,64.38,64.5,64.08,64.1,870300.0
2019-12-10,64.28,64.31,63.75,64.0,720000.0
2019-12-11,64.14,65.38,63.51,65.16,1060600.0
2019-12-12,64.68,65.65,64.4,65.52,912900.0
2019-12-13,65.22,66.02,64.97,65.09,1041200.0
2019-12-16,65.6,66.07,65.42,65.46,954500.0
2019-12-17,65.25,66.01,65.09,65.98,954700.0
2019-12-18,66.1,66.15,65.17,65.74,931100.0
2019-12-19,65.47,65.66,64.38,65.26,1281600.0
2019-12-20,65.64,65.79,64.92,65.3,3160200.0
2019-12-23,65.36,65.58,64.34,64.47,1342300.0
2019-12-24,64.57,65.32,64.47,65.31,273400.0
2019-12-26,65.26,65.49,64.81,65.49,522400.0
2019-12-27,65.69,65.69,65.26,65.59,572400.0
2019-12-30,65.57,65.71,65.0,65.38,633500.0
2019-12-31,65.28,65.67,65.03,65.34,585500.0
2020-01-02,65.5,65.81,64.7,65.81,1070600.0
2020-01-03,64.87,65.5,64.55,65.39,739700.0
2020-01-06,65.27,65.89,65.08,65.89,934700.0
2020-01-07,65.52,65.9,65.42,65.56,1157600.0
2020-01-08,65.84,67.13,65.69,66.79,1130700.0
2020-01-09,67.19,67.28,66.38,66.63,859200.0
2020-01-10,66.73,67.12,66.28,66.96,796300.0
2020-01-13,67.18,68.13,66.94,68.1,902600.0
2020-01-14,68.27,68.44,67.63,68.02,767700.0
2020-01-15,68.02,69.25,67.87,69.07,1128000.0
2020-01-16,69.66,70.16,68.8,69.6,1102600.0
2020-01-17,70.0,70.11,69.31,69.41,1219300.0
2020-01-21,69.23,69.97,69.15,69.9,1058600.0
2020-01-22,70.0,70.85,69.81,69.98,1069400.0
2020-01-23,69.73,70.78,69.43,70.56,830900.0
2020-01-24,70.48,70.63,69.11,69.51,826200.0
2020-01-27,68.23,68.69,67.01,67.46,2085000.0
2020-01-28,68.0,68.4,67.11,67.89,2675100.0
2020-01-29,68.26,68.88,67.09,67.26,1724500.0
2020-01-30,66.74,71.78,66.74,71.01,3575533.0
2020-01-31,70.28,70.67,68.4,68.71,3051400.0
2020-02-03,68.95,70.1,68.83,68.98,1845500.0
2020-02-04,70.22,71.46,69.98,71.24,1153600.0
2020-02-05,71.86,72.31,71.29,72.06,831641.0
2020-02-06,72.5,72.5,71.33,71.54,976100.0
2020-02-07,71.03,71.32,70.44,70.75,1132700.0
2020-02-10,70.53,71.77,70.53,71.73,1018700.0
2020-02-11,72.39,72.72,71.82,72.37,1322900.0
2020-02-12,72.67,72.76,72.01,72.48,831100.0
2020-02-13,72.1,73.0,71.86,72.64,1129700.0
2020-02-14,72.57,73.28,72.41,72.99,967800.0
2020-02-18,72.66,72.89,72.2,72.61,1355100.0
2020-02-19,72.76,73.14,72.2,72.33,741000.0
2020-02-20,72.1,73.27,71.96,72.99,586600.0
2020-02-21,72.53,72.9,70.72,71.03,1076300.0
2020-02-24,68.62,69.76,68.33,69.34,1133000.0
2020-02-25,69.66,69.66,66.74,67.11,1714500.0
2020-02-26,67.52,68.13,64.8,64.83,1499900.0
2020-02-27,63.38,65.3,62.25,62.3,2096300.0
2020-02-28,60.14,62.53,59.94,61.75,2820000.0
2020-03-02,62.27,63.67,61.14,63.67,1904900.0
2020-03-03,63.36,65.46,61.91,62.82,1592900.0
2020-03-04,64.58,67.2,64.37,67.18,2544500.0
2020-03-05,65.04,65.8,63.19,63.87,1314100.0
2020-03-06,61.51,62.34,59.14,60.42,1496600.0
2020-03-09,56.16,57.21,55.5,56.17,2749300.0
2020-03-10,58.03,59.43,56.04,59.36,1770300.0
2020-03-11,57.44,58.17,54.61,54.94,1781900.0
2020-03-12,51.41,52.34,47.62,47.65,2857900.0
2020-03-13,50.17,50.47,44.76,48.6,2800800.0
2020-03-16,43.96,44.91,40.14,40.9,2285800.0
2020-03-17,41.67,44.22,39.93,41.7,2591400.0
2020-03-18,38.47,39.01,34.13,36.5,1708900.0
2020-03-19,35.9,38.83,34.15,37.72,1792500.0
2020-03-20,38.86,39.68,36.3,36.6,2254000.0
2020-03-23,36.04,38.14,33.9,34.83,1692700.0
2020-03-24,36.99,40.63,36.81,40.37,898000.0
2020-03-25,40.43,44.47,39.19,42.41,1208000.0
2020-03-26,43.07,44.92,42.51,44.45,1617300.0
2020-03-27,42.56,44.76,41.47,43.44,1081700.0
2020-03-30,43.22,44.81,41.73,44.51,896700.0
2020-03-31,44.06,44.77,43.18,43.25,1801500.0
2020-04-01,41.05,41.93,38.98,39.38,1583700.0
2020-04-02,38.66,40.12,37.19,38.46,1975300.0
2020-04-03,38.36,39.14,35.21,35.42,2083400.0
2020-04-06,37.53,41.01,37.0,40.62,2269600.0
2020-04-07,42.86,45.52,42.86,43.65,2124800.0
2020-04-08,44.21,48.06,43.56,47.29,1520700.0
2020-04-09,48.27,51.82,48.03,50.83,2544100.0
2020-04-13,50.07,50.64,46.11,46.86,1378700.0
2020-04-14,48.17,48.3,45.71,46.15,1502600.0
2020-04-15,44.19,44.63,42.52,43.33,1390800.0
2020-04-16,42.71,44.01,41.44,43.79,2025600.0
2020-04-17,47.05,47.75,45.97,46.6,1469600.0
2020-04-20,45.0,45.75,43.75,43.92,1325600.0
2020-04-21,42.5,43.09,41.8,42.25,1164300.0
