date,Open,High,Low,Close,Volume
2019-08-20,9.18,9.21,9.005,9.19,13179138.0
2019-08-21,9.27,9.32,9.14,9.14,17333029.0
2019-08-22,9.22,9.29,9.09,9.13,13829892.0
2019-08-23,9.04,9.18,8.8,8.83,22537670.0
2019-08-26,8.86,8.93,8.76,8.84,19851423.0
2019-08-27,8.92,9.015,8.68,8.71,15946948.0
2019-08-28,8.74,8.99,8.58,8.95,15446365.0
2019-08-29,9.15,9.26,9.0628,9.12,14883045.0
2019-08-30,9.22,9.27,9.09,9.19,12318290.0
2019-09-03,9.0,9.16,8.88,9.07,18071861.0
2019-09-04,9.31,9.41,9.23,9.29,12091711.0
2019-09-05,9.48,9.77,9.47,9.53,24776109.0
2019-09-06,9.54,9.54,9.4,9.42,18717012.0
2019-09-09,9.47,9.75,9.44,9.7,19728321.0
2019-09-10,9.7,10.18,9.7,10.12,30509497.0
2019-09-11,10.13,10.215,9.76,10.08,20212743.0
2019-09-12,10.29,10.515,10.025,10.37,27640456.0
2019-09-13,10.65,10.97,10.62,10.76,27447095.0
2019-09-16,10.61,10.69,10.43,10.47,20921933.0
2019-09-17,10.3,10.53,10.21,10.41,22356477.0
2019-09-18,10.33,10.46,10.09,10.36,26312346.0
2019-09-19,10.32,10.65,10.31,10.45,19976135.0
2019-09-20,10.5,10.73,10.42,10.47,23551483.0
2019-09-23,10.2,10.535,10.2,10.33,18952581.0
2019-09-24,10.31,10.32,9.93,10.01,20400986.0
2019-09-25,9.93,10.18,9.81,10.07,23450942.0
2019-09-26,10.01,10.05,9.785,9.8,19444457.0
2019-09-27,9.83,9.905,9.61,9.65,22210074.0
2019-09-30,9.62,9.68,9.56,9.57,12044798.0
2019-10-01,9.55,9.595,9.1267,9.17,27063450.0
2019-10-02,9.04,9.12,8.85,8.87,25665286.0
2019-10-03,8.82,8.9089,8.595,8.86,28519883.0
2019-10-04,8.88,8.97,8.72,8.83,21166021.0
2019-10-07,8.79,9.05,8.73,8.76,21243046.0
2019-10-08,8.67,8.7,8.48,8.51,29758716.0
2019-10-09,8.6,8.67,8.43,8.55,20387535.0
2019-10-10,8.78,9.14,8.63,8.96,61795054.0
2019-10-11,9.14,9.66,9.13,9.55,46275287.0
2019-10-14,9.2,9.57,9.14,9.5,24346815.0
2019-10-15,9.42,9.62,9.32,9.52,19514387.0
2019-10-16,9.42,9.64,9.42,9.5,17273751.0
2019-10-17,9.59,9.73,9.405,9.44,14564267.0
2019-10-18,9.47,9.77,9.47,9.58,17182240.0
2019-10-21,9.8,10.0,9.75,9.82,24007381.0
2019-10-22,9.79,10.01,9.7,9.93,23468793.0
2019-10-23,9.97,10.38,9.585,10.13,36696016.0
2019-10-24,10.11,10.225,9.51,9.59,32813888.0
2019-10-25,9.61,10.345,9.61,10.14,35420853.0
2019-10-28,10.25,10.33,10.19,10.24,17875184.0
2019-10-29,10.13,10.27,10.1,10.23,14533675.0
2019-10-30,10.09,10.19,9.94,10.13,19785666.0
2019-10-31,10.03,10.145,9.64,9.82,23319311.0
2019-11-01,9.96,10.61,9.92,10.52,31503345.0
2019-11-04,10.76,10.99,10.62,10.8,28402624.0
2019-11-05,11.05,11.3,10.89,10.91,34165820.0
2019-11-06,10.95,10.95,10.51,10.64,21390677.0
2019-11-07,10.94,11.57,10.91,11.27,38827303.0
2019-11-08,11.15,11.52,11.03,11.52,24304908.0
2019-11-11,11.16,11.265,10.96,11.09,19063371.0
2019-11-12,11.09,11.23,10.93,11.04,15505175.0
2019-11-13,11.07,11.235,10.78,10.84,22357819.0
2019-11-14,10.85,10.94,10.68,10.81,14363963.0
2019-11-15,10.96,11.24,10.87,11.16,20827531.0
2019-11-18,11.09,11.12,10.93,11.01,15201144.0
2019-11-19,11.2,11.29,11.0,11.28,20569448.0
2019-11-20,11.11,11.34,10.93,11.03,24073785.0
2019-11-21,10.93,11.04,10.85,11.01,17156823.0
2019-11-22,11.13,11.48,11.13,11.35,22240003.0
2019-11-25,11.47,11.86,11.37,11.66,28557822.0
2019-11-26,11.62,11.82,11.56,11.71,28147191.0
2019-11-27,11.73,11.75,11.48,11.61,13480129.0
2019-11-29,11.49,11.5,11.27,11.38,11141827.0
2019-12-02,11.37,11.66,11.19,11.45,24408444.0
2019-12-03,11.04,11.06,10.7,10.92,30579532.0
2019-12-04,11.12,11.33,11.085,11.11,17331939.0
2019-12-05,11.18,11.37,11.1,11.33,13960861.0
2019-12-06,11.55,11.74,11.5197,11.64,18131779.0
2019-12-09,11.78,12.25,11.74,12.1,31395493.0
2019-12-10,12.09,12.29,12.04,12.28,17322559.0
2019-12-11,12.43,12.85,12.43,12.84,33145516.0
2019-12-12,12.67,13.18,12.64,13.06,39233998.0
2019-12-13,13.1,13.38,12.83,12.87,26652691.0
2019-12-16,13.25,13.3,12.92,12.95,22353640.0
2019-12-17,13.1,13.195,12.93,12.96,24571815.0
2019-12-18,12.86,13.03,12.83,12.98,20294923.0
2019-12-19,13.02,13.07,12.97,13.0,15473329.0
2019-12-20,13.05,13.05,12.68,12.71,26320791.0
2019-12-23,12.72,12.91,12.71,12.85,15808610.0
2019-12-24,12.95,13.14,12.94,12.99,9206402.0
2019-12-26,13.07,13.18,13.02,13.17,10464122.0
2019-12-27,13.22,13.25,13.01,13.03,12060939.0
2019-12-30,13.09,13.14,12.99,13.01,8524338.0
2019-12-31,12.98,13.15,12.92,13.12,11716373.0
2020-01-02,13.35,13.45,13.13,13.2,22771687.0
2020-01-03,13.0,13.09,12.79,12.8,20401347.0
2020-01-06,12.63,12.93,12.53,12.85,19132874.0
2020-01-07,12.94,13.185,12.835,13.05,20888507.0
2020-01-08,13.13,13.31,12.98,13.18,17291590.0
2020-01-09,13.22,13.22,12.85,12.96,16540861.0
2020-01-10,12.9,13.05,12.88,12.9,12261387.0
2020-01-13,13.03,13.635,12.95,13.53,28775773.0
2020-01-14,13.34,13.58,13.18,13.21,26526262.0
2020-01-15,13.06,13.13,12.85,12.98,20443273.0
2020-01-16,13.05,13.225,12.85,12.85,16998940.0
2020-01-17,12.98,13.08,12.81,12.87,20142284.0
2020-01-21,12.63,12.64,12.12,12.27,28936805.0
2020-01-22,12.37,12.45,12.12,12.32,20825501.0
2020-01-23,11.44,12.02,11.22,11.97,57229937.0
2020-01-24,11.87,11.91,11.65,11.84,29552254.0
2020-01-27,11.37,11.37,10.83,10.9,44468168.0
2020-01-28,11.09,11.44,10.93,11.3,46999393.0
2020-01-29,11.44,11.45,11.085,11.29,22379475.0
2020-01-30,11.08,11.36,10.96,11.32,33237603.0
2020-01-31,11.12,11.21,10.9,11.1,30504329.0
2020-02-03,11.19,11.545,11.18,11.44,29622238.0
2020-02-04,11.87,12.14,11.79,12.04,34247422.0
2020-02-05,12.32,12.48,12.11,12.41,32743001.0
2020-02-06,12.4,12.47,12.25,12.32,23099220.0
2020-02-07,11.99,12.04,11.67,11.8,25462559.0
2020-02-10,11.7,12.19,11.65,12.17,20091569.0
2020-02-11,12.4,12.85,12.35,12.4,29613176.0
2020-02-12,12.8,12.86,12.52,12.67,20156944.0
2020-02-13,12.64,12.69,12.465,12.61,21048867.0
2020-02-14,12.5,12.58,12.01,12.24,30476803.0
2020-02-18,12.04,12.095,11.88,12.02,16416325.0
2020-02-19,12.08,12.12,12.015,12.1,16668004.0
2020-02-20,12.03,12.5,12.02,12.08,21137677.0
2020-02-21,12.01,12.01,11.72,11.94,18498892.0
2020-02-24,11.25,11.31,11.015,11.24,24477719.0
2020-02-25,11.32,11.36,10.64,10.73,39342723.0
2020-02-26,10.72,10.795,10.4,10.46,29846364.0
2020-02-27,10.13,10.26,9.72,9.8,53831916.0
2020-02-28,9.29,9.98,9.2,9.96,67994259.0
2020-03-02,10.04,10.51,9.7,10.5,35068310.0
2020-03-03,10.51,10.8,9.73,10.07,46924043.0
2020-03-04,10.35,10.465,10.0,10.45,25134294.0
2020-03-05,10.06,10.355,9.92,9.99,26555787.0
2020-03-06,9.56,9.81,9.255,9.43,40675214.0
2020-03-09,8.29,8.615,8.09,8.23,33719740.0
2020-03-10,8.87,9.09,8.31,9.0,30671772.0
2020-03-11,8.63,8.74,7.95,8.12,33944312.0
2020-03-12,7.17,7.75,6.81,7.17,37792808.0
2020-03-13,7.78,7.89,6.855,7.53,40363150.0
2020-03-16,6.44,6.97,6.2,6.24,40583637.0
2020-03-17,6.38,6.57,5.725,6.48,31892815.0
2020-03-18,5.89,6.0,4.85,5.31,37867805.0
2020-03-19,5.17,6.16,4.82,5.74,38957214.0
2020-03-20,6.07,6.14,5.37,5.52,39852202.0
2020-03-23,5.46,5.88,5.2616,5.39,35055457.0
2020-03-24,6.08,7.24,6.07,6.99,47480760.0
2020-03-25,6.96,7.67,6.65,7.25,39755662.0
2020-03-26,7.26,7.37,6.82,6.99,32481264.0
2020-03-27,6.66,6.7,6.17,6.2,37279759.0
2020-03-30,6.27,6.3,5.99,6.24,22459565.0
2020-03-31,6.32,7.13,6.28,6.75,35486457.0
2020-04-01,6.35,6.755,6.24,6.31,27035494.0
2020-04-02,6.54,6.7354,6.14,6.39,32139231.0
2020-04-03,6.36,6.74,6.2,6.32,26932384.0
2020-04-06,6.74,7.27,6.73,7.19,39095984.0
2020-04-07,7.86,8.02,7.45,7.59,43583973.0
2020-04-08,7.64,8.07,7.51,8.03,26962818.0
2020-04-09,8.31,8.43,8.01,8.19,35021537.0
2020-04-13,8.3,8.33,7.9,8.3,22281472.0
2020-04-14,8.43,8.67,8.13,8.32,21238765.0
2020-04-15,7.8,7.87,7.5,7.67,24928451.0
2020-04-16,7.78,7.8,7.39,7.58,24664740.0
2020-04-17,8.01,8.4,7.99,8.34,38252041.0
2020-04-20,7.89,8.31,7.8,8.02,19585286.0
2020-04-21,7.5,7.7805,7.3,7.41,30584278.0
2020-04-22,7.55,7.76,7.55,7.64,23652235.0
2020-04-23,7.87,8.13,7.76,7.81,21007978.0
2020-04-24,8.22,8.62,8.2,8.48,34634957.0
2020-04-27,8.62,8.98,8.385,8.85,21954688.0
2020-04-28,9.09,9.23,8.605,8.92,21397142.0
2020-04-29,9.28,9.475,9.15,9.26,22243746.0
2020-04-30,8.98,9.19,8.74,8.83,21634469.0
2020-05-01,8.48,8.67,8.22,8.46,25338008.0
2020-05-04,8.37,8.71,8.23,8.7,16963514.0
2020-05-05,8.84,9.15,8.71,8.8,20285272.0
2020-05-06,8.92,8.97,8.58,8.59,10860229.0
2020-05-07,8.81,9.13,8.8,8.97,18687000.0
2020-05-08,9.17,9.29,9.105,9.21,20157186.0
2020-05-11,8.95,9.05,8.85,8.98,16169223.0
2020-05-12,9.07,9.17,8.66,8.67,21128935.0
2020-05-13,8.7,8.71,8.18,8.4,18110661.0
2020-05-14,8.11,8.59,7.805,8.29,33952640.0
2020-05-15,8.3,8.65,8.24,8.48,17748196.0
2020-05-18,9.02,9.32,9.01,9.18,33444269.0
2020-05-19,9.14,9.29,9.1,9.14,27629271.0
2020-05-20,9.33,9.38,9.09,9.12,25575431.0
2020-05-21,9.05,9.205,8.77,8.9,27811218.0
2020-05-22,8.75,8.89,8.6,8.74,21056454.0
2020-05-26,9.13,9.335,9.05,9.26,26136898.0
2020-05-27,9.42,9.46,8.97,9.29,21015242.0
2020-05-28,9.45,9.46,9.04,9.09,18119630.0
2020-05-29,9.07,9.195,8.9,9.07,24503667.0
2020-06-01,9.05,9.42,9.01,9.34,15119746.0
2020-06-02,9.45,9.905,9.435,9.75,23746124.0
2020-06-03,9.88,10.3223,9.88,10.14,24761665.0
2020-06-04,10.13,10.28,9.895,10.2,20940684.0
2020-06-05,10.76,11.19,10.705,10.86,27836644.0
2020-06-08,11.12,11.27,10.8401,11.25,21746116.0
2020-06-09,11.03,11.32,10.885,11.27,21758694.0
2020-06-10,11.32,11.5,11.06,11.47,28471040.0
2020-06-11,10.68,10.685,9.79,9.91,34174805.0
2020-06-12,10.45,10.57,10.05,10.49,19855750.0
2020-06-15,10.01,10.54,9.78,10.47,19922742.0
2020-06-16,11.1,11.19,10.47,10.78,21953395.0
2020-06-17,10.82,10.92,10.645,10.7,17832759.0
2020-06-18,10.48,10.72,10.367,10.56,15107838.0
2020-06-19,10.83,10.93,10.4,10.5,28454749.0
2020-06-22,10.57,10.9,10.5,10.79,17150147.0
2020-06-23,11.07,11.23,11.01,11.08,15881427.0
2020-06-24,10.96,11.03,10.44,10.57,18594968.0
2020-06-25,10.56,11.11,10.48,11.08,18000643.0
2020-06-26,11.0,11.1,10.78,10.79,20897464.0
2020-06-29,10.94,11.04,10.75,11.04,17306000.0
2020-06-30,11.07,11.68,11.03,11.57,23995600.0
2020-07-01,11.64,11.75,11.24,11.49,20631300.0
2020-07-02,11.65,11.99,11.48,11.5,25258200.0
2020-07-06,12.0,12.77,11.9,12.75,38312800.0
2020-07-07,12.7,13.0,12.5,12.73,32084200.0
2020-07-08,12.93,13.01,12.52,12.82,22596200.0
2020-07-09,13.03,13.1,12.56,12.89,27360300.0
2020-07-10,12.83,13.07,12.79,12.97,20656300.0
2020-07-13,13.28,13.87,12.96,13.02,44996900.0
2020-07-14,12.97,13.56,12.75,13.5,24319000.0
2020-07-15,13.79,13.82,13.18,13.53,21755400.0
2020-07-16,13.35,13.58,13.21,13.47,17605500.0
2020-07-17,13.57,13.66,13.41,13.58,14041500.0
2020-07-20,13.47,13.55,13.27,13.43,22038987.0
2020-07-21,13.51,13.59,13.33,13.38,17781528.0
2020-07-22,13.27,13.695,13.19,13.62,21831258.0
2020-07-23,13.74,13.74,13.06,13.32,21017357.0
2020-07-24,12.98,13.22,12.7,13.12,26054041.0
2020-07-27,13.35,13.59,13.18,13.56,15877672.0
2020-07-28,13.36,13.555,13.22,13.23,11826740.0
2020-07-29,13.32,13.43,13.13,13.3,13548294.0
2020-07-30,12.9,13.1077,12.73,12.94,17433290.0
2020-07-31,12.98,12.99,12.73,12.92,14629547.0
2020-08-03,13.15,13.2,12.92,13.1,15975276.0
2020-08-04,12.81,12.97,12.44,12.95,17646482.0
2020-08-05,13.33,14.43,13.33,13.97,36936983.0
2020-08-06,13.99,14.755,13.92,14.56,32102024.0
2020-08-07,14.21,14.23,13.7,13.96,21120322.0
2020-08-10,14.18,14.39,14.12,14.38,20166823.0
2020-08-11,14.44,14.51,13.915,13.96,18491208.0
2020-08-12,14.2,14.225,13.93,13.97,12009805.0
2020-08-13,13.85,14.155,13.68,13.79,18253377.0
2020-08-14,13.85,13.905,13.67,13.78,9307169.0
2020-08-17,14.12,14.3,14.01,14.1,12192063.0
2020-08-18,14.28,14.675,14.28,14.41,13580078.0
2020-08-19,14.56,15.19,14.52,14.94,28040596.0
2020-08-20,14.6,14.8,14.5002,14.7,13829084.0
