date,Open,High,Low,Close,Volume
2019-08-20,157.56,157.97,155.31,155.84,1089100.0
2019-08-21,157.77,158.8,157.02,158.18,1044400.0
2019-08-22,158.26,158.99,155.76,158.1,1156300.0
2019-08-23,156.51,157.19,151.12,151.97,2806500.0
2019-08-26,153.22,154.73,151.66,152.49,1270800.0
2019-08-27,153.03,154.11,148.8,149.53,1809600.0
2019-08-28,149.14,154.45,147.82,153.18,2064900.0
2019-08-29,155.0,158.49,154.88,157.45,1684600.0
2019-08-30,158.49,160.31,158.16,158.61,1151500.0
2019-09-03,155.79,157.25,153.91,155.37,1270600.0
2019-09-04,157.54,159.58,157.22,159.06,1260400.0
2019-09-05,161.06,165.36,160.71,164.38,2119200.0
2019-09-06,164.0,164.82,161.62,161.87,1413400.0
2019-09-09,163.1,167.63,162.95,167.42,2271600.0
2019-09-10,167.33,172.5,166.89,172.26,2407300.0
2019-09-11,172.8,173.96,169.69,173.96,1642700.0
2019-09-12,174.09,174.68,171.41,173.51,1520500.0
2019-09-13,174.9,176.25,173.01,174.1,1456400.0
2019-09-16,172.38,174.95,171.01,173.57,1546400.0
2019-09-17,172.37,174.44,171.14,173.3,4053400.0
2019-09-18,153.3,154.57,148.5,150.91,22812400.0
2019-09-19,150.22,152.6,149.5,152.45,5557800.0
2019-09-20,153.36,153.36,148.45,148.78,5606500.0
2019-09-23,147.54,149.1,145.46,145.67,4084500.0
2019-09-24,145.93,147.62,142.49,143.25,5502600.0
2019-09-25,143.15,147.82,143.15,147.04,3551200.0
2019-09-26,147.27,147.48,144.47,145.16,2033200.0
2019-09-27,145.67,146.82,143.91,144.96,1967700.0
2019-09-30,145.31,146.5,144.96,145.57,1693400.0
2019-10-01,145.59,146.84,140.62,141.64,3434800.0
2019-10-02,140.16,141.9,139.1,140.78,2740800.0
2019-10-03,140.5,141.9,138.59,141.71,2300900.0
2019-10-04,141.79,143.06,140.69,143.0,2166100.0
2019-10-07,141.84,144.23,141.13,142.09,1778800.0
2019-10-08,140.8,140.94,138.38,138.39,2382600.0
2019-10-09,138.83,139.77,137.78,139.25,2212800.0
2019-10-10,139.54,141.62,139.15,141.36,1751500.0
2019-10-11,143.17,147.05,143.17,145.54,3947900.0
2019-10-14,145.11,147.7,144.39,146.78,2388200.0
2019-10-15,147.6,150.13,147.18,149.96,3187300.0
2019-10-16,150.03,152.36,149.75,150.77,3425100.0
2019-10-17,151.38,152.42,150.48,150.7,2585400.0
2019-10-18,150.48,151.12,149.19,149.91,2789600.0
2019-10-21,150.68,154.13,150.09,152.04,3459700.0
2019-10-22,151.32,154.69,149.85,154.63,2975000.0
2019-10-23,154.39,156.73,153.69,155.98,2174800.0
2019-10-24,156.3,156.98,153.04,154.05,1712600.0
2019-10-25,153.8,158.24,153.51,158.09,2080600.0
2019-10-28,158.9,160.39,157.17,158.4,2597000.0
2019-10-29,158.93,158.93,156.8,158.01,1464100.0
2019-10-30,157.75,157.76,154.02,155.84,1576200.0
2019-10-31,155.0,155.84,151.62,152.66,2110500.0
2019-11-01,154.16,157.1,153.96,156.52,2129400.0
2019-11-04,159.85,165.03,159.5,164.84,4303600.0
2019-11-05,164.6,167.59,163.01,164.85,2510000.0
2019-11-06,164.56,164.62,161.91,163.17,1767300.0
2019-11-07,165.46,166.83,163.47,163.92,1978200.0
2019-11-08,163.8,164.0,161.6,163.22,1152500.0
2019-11-11,161.96,163.02,161.33,162.18,1063400.0
2019-11-12,162.35,163.84,160.76,161.22,1279900.0
2019-11-13,160.0,160.01,156.15,156.23,2211900.0
2019-11-14,155.82,158.0,155.48,156.68,1826200.0
2019-11-15,157.27,158.51,156.35,158.33,1596800.0
2019-11-18,157.13,157.72,154.5,157.55,1794200.0
2019-11-19,158.21,158.23,155.17,155.52,1524300.0
2019-11-20,155.0,155.09,151.55,152.27,2476200.0
2019-11-21,152.5,153.77,151.75,152.08,1595400.0
2019-11-22,152.31,156.79,152.26,156.55,2226800.0
2019-11-25,157.41,160.34,156.39,159.54,2505800.0
2019-11-26,159.71,162.76,158.63,161.5,2769200.0
2019-11-27,161.75,162.07,160.21,161.51,1645900.0
2019-11-29,161.11,161.46,159.83,160.05,789400.0
2019-12-02,160.46,163.7,158.03,158.03,2704500.0
2019-12-03,154.22,154.47,151.02,151.14,3766100.0
2019-12-04,152.64,155.69,152.37,153.87,2300800.0
2019-12-05,154.84,154.89,152.34,153.94,1628200.0
2019-12-06,155.0,157.29,154.9,156.61,2436200.0
2019-12-09,156.2,157.48,156.02,156.51,1728200.0
2019-12-10,156.5,158.14,155.52,157.0,1633600.0
2019-12-11,157.25,159.52,156.39,159.08,1676000.0
2019-12-12,159.31,165.82,158.75,164.89,2987300.0
2019-12-13,165.64,167.87,163.91,165.67,2897200.0
2019-12-16,166.93,168.37,161.5,164.1,5052100.0
2019-12-17,161.5,164.78,161.02,163.23,5926900.0
2019-12-18,151.42,152.77,146.29,146.86,21540900.0
2019-12-19,147.07,148.82,146.24,147.02,5826300.0
2019-12-20,148.36,148.55,146.67,148.12,5260300.0
2019-12-23,149.56,152.76,148.5,151.69,4367700.0
2019-12-24,151.07,152.38,150.42,150.78,1797200.0
2019-12-26,150.9,152.78,150.51,152.49,2651300.0
2019-12-27,153.07,154.11,152.11,152.53,2693000.0
2019-12-30,153.1,153.3,149.94,150.14,2612600.0
2019-12-31,149.22,151.57,148.75,151.21,2153400.0
2020-01-02,152.42,155.1,151.6,155.1,3027600.0
2020-01-03,152.5,153.34,151.84,153.18,2216500.0
2020-01-06,151.25,153.55,150.17,153.3,2389700.0
2020-01-07,153.36,155.22,152.34,154.8,2140100.0
2020-01-08,154.57,157.75,153.93,157.13,3053200.0
2020-01-09,157.95,158.31,156.59,158.05,2240200.0
2020-01-10,158.07,158.43,156.14,156.63,2449600.0
2020-01-13,156.72,159.53,156.71,159.28,1985300.0
2020-01-14,159.15,164.5,158.62,162.13,5076600.0
2020-01-15,163.02,163.02,158.67,159.15,2971800.0
2020-01-16,160.59,161.47,158.84,159.54,2343700.0
2020-01-17,159.39,161.18,158.56,159.98,1846100.0
2020-01-21,159.1,159.16,156.81,157.53,2460400.0
2020-01-22,157.49,158.85,155.47,155.54,1911100.0
2020-01-23,155.0,155.34,152.73,154.88,2059100.0
2020-01-24,155.64,155.64,152.31,154.07,1973600.0
2020-01-27,150.11,150.18,147.51,148.49,3368400.0
2020-01-28,149.75,149.95,147.11,148.4,2190000.0
2020-01-29,149.16,150.07,147.91,148.06,2521600.0
2020-01-30,146.0,148.4,143.36,148.26,3380200.0
2020-01-31,147.1,147.29,143.59,144.64,3286200.0
2020-02-03,145.5,147.4,143.6,143.84,1988400.0
2020-02-04,146.37,148.24,146.0,147.51,2573700.0
