date,Open,High,Low,Close,Volume
2019-08-20,45.19,45.19,44.68,44.93,3097238.0
2019-08-21,44.85,45.51,44.84,45.48,4256226.0
2019-08-22,45.42,45.77,45.26,45.7,3703867.0
2019-08-23,45.69,45.9,44.78,44.99,5017381.0
2019-08-26,45.17,45.47,45.04,45.39,3583334.0
2019-08-27,45.64,45.78,45.39,45.43,4036852.0
2019-08-28,45.55,45.85,45.18,45.52,4650079.0
2019-08-29,45.82,46.03,45.59,45.94,3983795.0
2019-08-30,46.1,46.14,45.78,46.0,4033746.0
2019-09-03,46.02,46.57,45.86,46.54,4112798.0
2019-09-04,46.8,47.05,46.4,46.84,3875184.0
2019-09-05,46.56,46.73,46.32,46.52,2777349.0
2019-09-06,46.58,46.8,46.46,46.68,2254107.0
2019-09-09,46.59,46.93,46.45,46.92,3540988.0
2019-09-10,46.81,46.87,46.27,46.74,5953187.0
2019-09-11,46.58,47.59,46.41,47.59,3502905.0
2019-09-12,47.63,48.1,47.38,47.63,2680546.0
2019-09-13,47.55,47.79,47.25,47.37,2223712.0
2019-09-16,47.4,47.61,47.25,47.56,2130642.0
2019-09-17,47.54,48.17,47.54,48.09,3763780.0
2019-09-18,48.2,48.27,47.8,48.11,2669727.0
2019-09-19,48.26,48.26,47.98,48.11,2367745.0
2019-09-20,48.02,48.15,47.27,47.39,11044279.0
2019-09-23,47.43,47.93,47.35,47.76,3059656.0
2019-09-24,47.88,48.68,47.83,48.45,4072864.0
2019-09-25,48.4,48.88,48.24,48.83,4049282.0
2019-09-26,48.92,49.07,48.63,48.73,2938888.0
2019-09-27,48.62,48.85,48.03,48.43,3375024.0
2019-09-30,48.46,48.6,47.93,48.23,6650061.0
2019-10-01,48.0,48.13,47.69,47.89,3425350.0
2019-10-02,47.8,47.93,47.12,47.31,3104120.0
2019-10-03,47.35,47.81,47.21,47.74,3839169.0
2019-10-04,47.95,48.34,47.66,48.23,1997521.0
2019-10-07,48.05,48.21,47.78,48.03,4278778.0
2019-10-08,48.08,48.08,47.5,47.62,3500089.0
2019-10-09,47.78,47.96,47.6,47.82,2534434.0
2019-10-10,47.59,48.16,47.45,47.9,2138771.0
2019-10-11,47.8,48.27,47.73,47.89,2708370.0
2019-10-14,47.93,47.95,47.32,47.41,2138482.0
2019-10-15,47.46,47.77,47.36,47.6,2658217.0
2019-10-16,47.44,47.82,47.23,47.8,3087664.0
2019-10-17,47.93,48.28,47.77,48.11,2344391.0
2019-10-18,47.98,48.52,47.83,48.38,3488163.0
2019-10-21,48.57,48.63,48.12,48.5,2782199.0
2019-10-22,48.6,48.67,48.25,48.36,2628737.0
2019-10-23,48.59,48.71,48.23,48.41,4456713.0
2019-10-24,48.13,48.52,48.1,48.29,5101707.0
2019-10-25,48.41,48.46,47.63,48.01,3833958.0
2019-10-28,47.86,48.18,47.21,47.27,4501346.0
2019-10-29,47.21,47.73,47.19,47.58,4907917.0
2019-10-30,47.62,48.19,47.52,47.84,5655597.0
2019-10-31,47.91,48.33,47.78,48.32,4639633.0
2019-11-01,48.45,48.6,48.18,48.36,4608781.0
2019-11-04,49.0,49.01,47.72,48.0,6826273.0
2019-11-05,47.67,48.09,46.98,47.32,7319208.0
2019-11-06,46.91,47.46,46.9,47.11,9065899.0
2019-11-07,46.69,46.98,46.36,46.72,9812186.0
2019-11-08,46.57,46.7,46.22,46.59,4341159.0
2019-11-11,46.6,46.71,45.99,46.03,5079633.0
2019-11-12,46.11,46.53,46.07,46.3,4928429.0
2019-11-13,46.48,47.12,46.48,46.92,3984984.0
2019-11-14,46.93,47.08,46.73,46.74,4415556.0
2019-11-15,46.86,47.06,46.63,47.04,4621396.0
2019-11-18,47.18,47.45,46.62,46.77,7869511.0
2019-11-19,46.83,46.83,46.4,46.43,4241740.0
2019-11-20,46.5,46.89,46.37,46.87,6151939.0
2019-11-21,46.93,46.98,46.42,46.64,3360434.0
2019-11-22,46.66,47.44,46.59,47.34,6129792.0
2019-11-25,47.5,47.8,47.08,47.72,4607741.0
2019-11-26,47.69,47.84,47.56,47.77,6644661.0
