date,Open,High,Low,Close,Volume
2019-08-20,107.54,108.0,106.85,106.99,4713494.0
2019-08-21,107.77,108.0,106.93,107.56,2552634.0
2019-08-22,107.99,108.535,106.95,108.16,2818824.0
2019-08-23,107.81,108.19,104.34,104.68,4545562.0
2019-08-26,105.51,106.41,105.04,106.38,3320125.0
2019-08-27,107.19,107.34,106.09,106.98,3451960.0
2019-08-28,106.38,106.96,105.76,106.75,1475763.0
2019-08-29,107.85,108.28,107.32,107.64,1991097.0
2019-08-30,108.05,108.32,106.32,106.94,4353341.0
2019-09-03,107.09,107.21,105.62,105.84,2529129.0
2019-09-04,106.36,106.66,105.76,106.29,3608372.0
2019-09-05,107.63,108.82,106.88,108.7,4913978.0
2019-09-06,108.67,109.9151,108.56,108.62,4046914.0
2019-09-09,108.81,109.2,105.92,106.68,4541718.0
2019-09-10,105.72,106.19,101.9,103.69,4909204.0
2019-09-11,103.3,103.72,101.3409,102.0,4683336.0
2019-09-12,103.29,104.81,102.93,103.89,4468608.0
2019-09-13,103.76,103.96,102.06,102.6,2856049.0
2019-09-16,101.78,104.3218,101.5,103.62,2489720.0
2019-09-17,104.55,105.25,104.06,104.82,2511528.0
2019-09-18,105.0,105.0,102.67,104.34,4571473.0
2019-09-19,104.02,105.84,104.01,104.91,4908544.0
2019-09-20,105.06,106.09,103.875,104.08,6635595.0
2019-09-23,103.38,105.24,103.38,105.04,4163754.0
2019-09-24,105.34,106.76,103.54,103.76,6844263.0
2019-09-25,104.18,104.58,102.33,103.94,3434477.0
2019-09-26,104.19,105.33,103.81,105.07,3641408.0
2019-09-27,105.71,105.785,102.12,102.61,3023759.0
2019-09-30,102.7,103.805,102.6701,103.59,2246288.0
2019-10-01,103.93,104.58,102.72,103.15,1984590.0
2019-10-02,102.27,102.34,99.75,100.96,3673064.0
2019-10-03,101.03,103.23,100.18,103.05,2652853.0
2019-10-04,103.66,105.86,103.64,105.7,3382531.0
2019-10-07,105.0,105.31,104.02,104.59,2535475.0
2019-10-08,103.74,104.5,102.17,103.11,2403913.0
2019-10-09,103.52,105.09,103.22,104.7,1970741.0
2019-10-10,104.04,105.56,103.64,105.14,2160870.0
2019-10-11,106.09,106.76,105.43,105.68,1932335.0
2019-10-14,105.81,106.66,105.6,106.02,3338086.0
2019-10-15,106.85,107.1,105.92,106.89,2765303.0
2019-10-16,106.02,106.71,105.02,106.55,2352889.0
2019-10-17,106.53,107.11,105.91,106.19,2012420.0
2019-10-18,107.16,107.23,104.59,105.67,4492263.0
2019-10-21,106.73,106.83,103.21,104.44,2655695.0
2019-10-22,104.25,104.655,100.03,100.79,4321291.0
2019-10-23,100.49,101.56,100.29,101.1,3533026.0
2019-10-24,101.71,103.58,101.28,103.45,2632367.0
2019-10-25,102.74,103.43,101.77,102.51,2602232.0
2019-10-28,103.03,103.38,102.01,102.46,1610777.0
2019-10-29,102.39,106.8593,102.12,105.35,3881988.0
2019-10-30,105.27,106.53,104.37,106.3,2204171.0
2019-10-31,106.41,107.44,105.67,106.14,3296816.0
2019-11-01,106.8,107.03,105.71,106.85,2006294.0
2019-11-04,107.57,107.59,105.13,105.29,2218694.0
2019-11-05,105.3,105.82,102.84,104.0,3028087.0
2019-11-06,103.9,105.04,103.44,104.91,2912433.0
2019-11-07,108.0,111.455,106.61,109.65,8463659.0
2019-11-08,109.01,110.66,108.8,110.61,4201080.0
2019-11-11,110.47,111.26,108.68,110.25,3503311.0
2019-11-12,110.58,111.3209,109.92,110.65,2449115.0
2019-11-13,110.39,111.75,110.34,111.33,3429006.0
2019-11-14,112.32,114.29,110.81,114.1,3655052.0
2019-11-15,114.88,115.0,112.2,113.91,3246613.0
2019-11-18,114.32,115.0,113.72,114.5,2221778.0
2019-11-19,114.9,116.24,114.23,116.04,2181166.0
2019-11-20,115.61,116.76,114.82,115.35,2354164.0
2019-11-21,115.78,116.2,113.84,114.08,2608053.0
2019-11-22,114.04,114.39,112.63,113.92,2486717.0
2019-11-25,114.03,115.1,114.03,114.74,2463576.0
2019-11-26,114.74,116.95,114.51,116.22,8239225.0
2019-11-27,116.17,116.35,114.54,116.32,2030433.0
2019-11-29,116.12,117.04,115.86,116.24,1193270.0
2019-12-02,116.14,116.37,112.97,114.28,2682019.0
2019-12-03,114.59,114.97,113.35,114.42,3047486.0
2019-12-04,114.58,115.25,114.2268,114.79,2114116.0
2019-12-05,115.11,115.54,114.1,114.79,2037056.0
2019-12-06,115.55,115.89,114.29,114.49,2264903.0
2019-12-09,114.39,115.49,114.15,114.75,3295402.0
2019-12-10,114.1,114.98,113.52,113.84,1743834.0
2019-12-11,113.9,114.73,112.6001,114.61,2808713.0
2019-12-12,114.32,115.46,113.91,115.18,1934789.0
2019-12-13,114.83,116.89,113.6,116.75,2346217.0
2019-12-16,117.1,118.0,115.58,116.51,2271932.0
2019-12-17,116.95,117.15,115.66,116.78,2434725.0
2019-12-18,116.62,117.15,115.76,115.89,2120175.0
2019-12-19,116.14,116.7,115.745,116.5,2574084.0
2019-12-20,117.08,117.2,115.89,116.67,5097361.0
2019-12-23,116.59,117.01,115.83,116.33,1451354.0
2019-12-24,116.04,116.63,115.63,116.63,532075.0
2019-12-26,116.5,116.78,115.54,116.03,1888895.0
2019-12-27,116.31,117.22,115.29,117.08,1563685.0
2019-12-30,116.61,116.71,115.13,115.47,1656027.0
2019-12-31,115.37,115.76,114.65,115.63,2370937.0
2020-01-02,116.0,116.3425,115.02,115.52,4991801.0
2020-01-03,115.03,116.73,114.5,116.37,2833977.0
2020-01-06,115.18,116.97,114.86,116.93,2115245.0
2020-01-07,115.95,117.33,115.19,116.48,2397900.0
2020-01-08,116.56,117.685,116.56,116.8,3323232.0
2020-01-09,117.54,118.01,117.12,117.8,3434247.0
2020-01-10,118.48,118.7,116.95,117.13,2077231.0
2020-01-13,117.0,118.61,116.86,118.53,3088002.0
2020-01-14,118.31,118.53,117.28,117.55,2662652.0
2020-01-15,117.93,119.31,117.71,118.51,2015127.0
2020-01-16,119.5,120.27,118.93,120.21,2011061.0
2020-01-17,120.79,120.86,119.77,120.68,4086601.0
2020-01-21,120.6,121.61,120.34,120.61,2426626.0
2020-01-22,121.3,122.52,121.28,122.05,2922868.0
2020-01-23,122.05,122.51,121.04,122.23,2105293.0
2020-01-24,122.58,122.93,120.5268,120.84,1736280.0
2020-01-27,118.7,120.37,118.2182,119.3,1651276.0
2020-01-28,119.3,121.14,119.06,120.43,3917549.0
2020-01-29,120.85,121.05,119.69,120.04,2088105.0
2020-01-30,119.0,121.34,118.27,121.23,2094390.0
2020-01-31,120.59,120.82,118.11,118.61,3428521.0
2020-02-03,119.96,122.08,119.51,121.94,2986339.0
2020-02-04,123.62,125.05,123.0,123.89,4570660.0
2020-02-05,122.64,124.24,119.67,121.67,5650261.0
2020-02-06,120.75,122.0,120.415,121.67,3494302.0
2020-02-07,120.7,122.13,120.29,121.86,2373976.0
2020-02-10,121.42,123.55,121.17,123.21,2742853.0
2020-02-11,123.81,124.61,120.54,120.71,3231163.0
2020-02-12,120.48,121.07,119.01,119.14,4050422.0
2020-02-13,118.85,122.34,118.71,121.06,3207559.0
2020-02-14,121.12,122.36,120.7,122.32,2796511.0
2020-02-18,122.95,123.72,121.67,122.25,2899520.0
2020-02-19,122.65,123.78,122.4,123.55,3636711.0
