date,Open,High,Low,Close,Volume
2019-08-20,297.19,298.395,295.21,295.7,443141.0
2019-08-21,297.38,301.31,297.02,300.98,488080.0
2019-08-22,302.24,302.58,297.13,300.45,445063.0
2019-08-23,299.1,302.61,291.76,292.97,840575.0
2019-08-26,295.3,296.67,290.9,292.49,527023.0
2019-08-27,293.87,295.26,290.2,292.57,601298.0
2019-08-28,291.16,296.49,288.85,295.55,277287.0
2019-08-29,298.0,300.84,297.59,299.31,367817.0
2019-08-30,301.53,303.2625,296.77,298.4,359383.0
2019-09-03,297.18,298.63,291.97,292.9,420306.0
2019-09-04,296.57,298.24,294.5,298.11,468471.0
2019-09-05,301.99,304.21,301.83,302.53,298280.0
2019-09-06,302.48,304.65,301.17,302.64,341021.0
2019-09-09,304.01,304.53,290.01,290.55,681488.0
2019-09-10,288.44,289.595,282.84,286.26,911353.0
2019-09-11,282.5,290.45,282.5,285.8,766639.0
2019-09-12,288.09,294.22,288.09,288.95,616630.0
2019-09-13,290.5,295.28,285.54,292.12,667486.0
2019-09-16,290.67,301.215,290.14,297.86,712134.0
2019-09-17,298.2,301.4,293.93,297.26,551470.0
2019-09-18,297.1,298.32,291.67,295.14,626949.0
2019-09-19,295.6,296.87,291.525,291.9,343789.0
2019-09-20,293.06,294.67,288.59,289.1,592131.0
2019-09-23,288.41,289.61,287.33,287.72,459326.0
2019-09-24,290.07,290.93,284.07,285.91,863808.0
2019-09-25,285.63,292.66,284.27,291.57,545336.0
2019-09-26,290.46,294.97,288.8,292.7,458399.0
2019-09-27,293.63,294.85,285.78,288.0,475992.0
2019-09-30,288.12,288.75,284.91,286.78,1247941.0
2019-10-01,288.06,294.98,282.52,283.02,662339.0
2019-10-02,280.84,281.8556,277.235,279.38,558755.0
2019-10-03,277.74,281.9,274.74,281.3,434476.0
2019-10-04,282.04,289.86,281.98,289.72,685995.0
2019-10-07,288.45,288.45,284.35,284.59,361162.0
2019-10-08,282.05,284.32,276.18,279.85,450166.0
2019-10-09,282.06,283.28,279.34,282.64,385122.0
2019-10-10,281.85,289.08,281.85,288.44,541581.0
2019-10-11,291.75,296.3593,290.97,291.29,441550.0
2019-10-14,291.35,293.08,289.03,290.65,236193.0
2019-10-15,290.95,296.1,290.95,295.92,411300.0
2019-10-16,295.33,297.0,290.29,294.83,553636.0
2019-10-17,294.83,297.07,293.07,293.88,308962.0
2019-10-18,293.3,295.85,289.49,291.83,667695.0
2019-10-21,292.05,295.62,291.18,292.2,581514.0
2019-10-22,292.77,295.65,286.11,286.28,757230.0
2019-10-23,286.55,291.58,285.37,291.43,437586.0
2019-10-24,292.5,298.25,291.51,296.24,477912.0
2019-10-25,295.06,299.95,294.5,298.88,553249.0
2019-10-28,300.77,304.52,299.73,302.05,474991.0
2019-10-29,301.21,303.26,298.42,298.59,312409.0
2019-10-30,298.51,300.4,296.29,300.03,235053.0
2019-10-31,299.5,300.51,293.24,294.22,504718.0
2019-11-01,296.48,296.48,291.13,294.34,544447.0
