date,Open,High,Low,Close,Volume
2019-08-20,86.02,86.1,85.06,85.39,691513.0
2019-08-21,86.0,86.76,85.43,86.18,549249.0
2019-08-22,86.43,86.93,85.54,86.06,493387.0
2019-08-23,85.47,86.04,82.47,82.82,943492.0
2019-08-26,83.96,84.06,83.14,83.53,497887.0
2019-08-27,83.82,84.06,83.22,83.24,654385.0
2019-08-28,82.94,84.45,82.64,84.05,468538.0
2019-08-29,85.13,85.97,84.97,85.52,410038.0
2019-08-30,86.36,86.72,85.87,86.33,700922.0
2019-09-03,85.37,85.39,84.06,85.1,955194.0
2019-09-04,86.21,86.91,85.9,86.71,644494.0
2019-09-05,87.72,88.62,87.43,87.48,787813.0
2019-09-06,88.07,88.07,87.17,87.4,854582.0
2019-09-09,87.68,88.4,86.91,87.02,1255694.0
2019-09-10,87.53,87.53,86.14,86.6,1122652.0
2019-09-11,87.15,88.96,86.84,88.87,982708.0
2019-09-12,89.0,90.39,88.37,89.96,919725.0
2019-09-13,90.03,92.13,90.03,91.05,780074.0
2019-09-16,91.04,91.63,90.42,91.09,661440.0
2019-09-17,90.72,91.53,90.4,90.65,672834.0
2019-09-18,90.58,91.61,89.98,90.88,953077.0
2019-09-19,90.97,91.18,90.15,90.39,701749.0
2019-09-20,90.59,90.99,89.22,89.9,1148891.0
2019-09-23,89.37,90.14,88.41,88.7,1112177.0
2019-09-24,88.62,89.18,87.33,87.94,1017660.0
2019-09-25,87.88,88.21,86.79,87.67,839338.0
2019-09-26,87.6,87.99,86.98,87.43,1072794.0
2019-09-27,87.2,87.95,85.99,86.13,866862.0
2019-09-30,86.16,88.01,85.6,87.68,1244129.0
2019-10-01,87.97,88.47,83.77,84.19,1169705.0
2019-10-02,82.97,83.49,81.74,83.36,1367042.0
2019-10-03,83.19,83.22,81.81,83.2,840102.0
2019-10-04,82.98,83.5,81.85,82.19,1152703.0
2019-10-07,82.15,82.26,81.05,81.06,972234.0
2019-10-08,80.36,80.69,79.01,79.04,897923.0
2019-10-09,80.24,80.24,78.9,79.48,1068651.0
2019-10-10,79.8,80.29,79.05,79.92,947323.0
2019-10-11,81.2,84.76,81.2,83.75,1209100.0
2019-10-14,83.2,83.42,82.34,82.45,575730.0
2019-10-15,82.94,83.7,82.19,83.04,588760.0
2019-10-16,83.95,85.43,83.48,83.77,1263203.0
2019-10-17,84.04,85.04,83.79,84.4,887736.0
2019-10-18,84.33,84.42,82.81,83.01,541207.0
2019-10-21,83.69,83.93,83.17,83.54,547081.0
2019-10-22,83.43,83.87,82.01,82.16,692631.0
2019-10-23,81.88,82.66,81.53,82.53,720709.0
2019-10-24,83.25,83.89,82.72,83.39,622532.0
2019-10-25,83.02,84.05,82.32,83.98,561195.0
2019-10-28,84.61,85.1,83.48,84.03,725866.0
2019-10-29,83.63,84.95,83.39,84.91,916477.0
2019-10-30,88.59,91.33,87.66,90.97,1573462.0
2019-10-31,91.25,93.0,90.59,91.5,1185304.0
2019-11-01,92.16,95.12,91.87,95.01,1732333.0
2019-11-04,95.01,96.31,94.83,95.99,1028402.0
2019-11-05,96.16,97.18,95.81,96.88,1156827.0
2019-11-06,97.0,98.17,96.66,97.52,1386007.0
2019-11-07,98.1,98.14,95.78,96.83,1060341.0
2019-11-08,96.81,97.72,96.0,97.7,787551.0
2019-11-11,96.84,99.02,96.62,99.01,817103.0
2019-11-12,98.68,99.05,97.72,98.35,1071341.0
2019-11-13,97.82,97.89,95.81,96.34,824274.0
2019-11-14,95.8,97.13,95.33,97.04,648750.0
2019-11-15,97.68,97.88,96.78,97.0,609369.0
2019-11-18,96.72,97.8,96.52,96.96,547090.0
2019-11-19,97.41,97.77,96.2,97.45,640375.0
2019-11-20,96.89,97.76,96.76,97.08,699329.0
2019-11-21,97.23,97.93,96.24,97.91,762258.0
2019-11-22,98.05,98.2,96.55,97.23,788174.0
2019-11-25,97.81,98.93,97.15,98.52,851606.0
2019-11-26,98.73,98.83,97.71,98.52,746075.0
2019-11-27,98.75,99.34,98.53,98.78,977110.0
2019-11-29,98.8,98.95,97.78,97.96,401386.0
2019-12-02,98.03,98.57,97.21,97.86,649431.0
2019-12-03,96.6,97.37,95.91,97.25,839388.0
2019-12-04,97.46,98.63,96.86,96.91,645666.0
2019-12-05,97.39,98.07,96.91,97.99,653724.0
2019-12-06,98.85,99.0,98.11,98.42,826829.0
2019-12-09,98.64,99.51,98.26,99.19,710364.0
2019-12-10,98.93,99.6,97.52,97.83,598904.0
2019-12-11,98.12,98.56,97.75,98.25,763239.0
2019-12-12,98.22,99.8,98.01,99.5,651249.0
2019-12-13,99.8,100.48,98.97,99.18,602764.0
2019-12-16,100.0,100.98,99.48,99.52,587352.0
2019-12-17,100.14,101.23,99.67,100.92,849933.0
2019-12-18,100.74,101.37,99.82,100.27,1348597.0
2019-12-19,100.26,101.95,98.05,98.37,1834245.0
2019-12-20,99.08,99.69,98.46,99.04,2375770.0
2019-12-23,99.0,100.32,97.76,100.26,719326.0
2019-12-24,100.22,101.32,100.02,100.92,248786.0
2019-12-26,100.95,101.5,100.54,101.49,307161.0
2019-12-27,101.61,101.78,100.86,101.13,451630.0
2019-12-30,100.7,100.74,99.13,99.22,451995.0
2019-12-31,99.02,99.94,98.91,99.82,411357.0
2020-01-02,100.37,101.4,99.45,99.88,1023074.0
2020-01-03,98.5,99.42,98.32,99.23,835068.0
2020-01-06,98.6,98.91,97.83,98.36,804483.0
2020-01-07,98.92,101.25,98.29,100.15,1462872.0
2020-01-08,100.33,100.72,98.85,100.45,1413902.0
2020-01-09,100.85,101.44,99.25,99.52,925461.0
2020-01-10,99.79,99.79,97.47,98.0,734141.0
2020-01-13,98.06,98.9,97.82,98.87,1020633.0
2020-01-14,98.78,99.14,98.16,98.28,731158.0
2020-01-15,98.87,99.23,97.99,98.51,629467.0
2020-01-16,98.86,99.62,98.53,99.59,485918.0
2020-01-17,99.75,100.0,98.78,100.0,943235.0
2020-01-21,99.28,99.48,98.12,98.15,872222.0
2020-01-22,98.29,98.31,97.47,97.6,650109.0
2020-01-23,96.65,97.28,94.86,96.83,905690.0
2020-01-24,97.07,97.3,95.21,95.68,591000.0
2020-01-27,93.47,94.51,92.7,93.82,889356.0
2020-01-28,94.25,95.31,93.79,95.09,631950.0
2020-01-29,95.33,96.56,95.22,96.37,854351.0
2020-01-30,95.31,96.625,94.93,96.05,703725.0
2020-01-31,95.16,96.04,94.75,95.59,919478.0
2020-02-03,96.07,98.1,95.58,97.61,929661.0
2020-02-04,98.7,99.25,97.39,98.98,1044789.0
2020-02-05,99.84,102.0,99.39,101.82,1365955.0
2020-02-06,103.48,108.77,102.1,107.92,2297561.0
2020-02-07,107.06,107.55,103.73,105.14,1393477.0
2020-02-10,104.86,105.52,104.24,104.86,619950.0
2020-02-11,105.22,106.72,104.87,105.25,1018332.0
2020-02-12,106.09,106.99,105.28,106.44,681344.0
2020-02-13,105.77,106.09,104.01,105.43,813407.0
2020-02-14,105.37,106.88,104.78,105.47,588658.0
2020-02-18,105.2,105.84,104.59,105.79,644255.0
2020-02-19,106.0,107.27,105.8,106.45,599693.0
2020-02-20,106.46,108.59,106.34,108.29,848118.0
2020-02-21,107.47,107.84,106.1,106.58,631665.0
2020-02-24,103.04,103.32,101.41,102.4,1062699.0
2020-02-25,102.94,103.22,97.33,97.74,913525.0
2020-02-26,98.56,99.7,96.85,96.89,813856.0
2020-02-27,94.0,96.71,92.34,92.36,976917.0
2020-02-28,89.3,93.41,88.7,93.1,1861511.0
2020-03-02,93.6,96.96,91.09,96.91,1207045.0
2020-03-03,96.14,98.67,92.63,94.59,896334.0
2020-03-04,96.1,99.41,94.8,99.35,928805.0
2020-03-05,96.6,97.16,93.68,94.83,798549.0
2020-03-06,91.86,92.44,88.3,90.53,1127656.0
2020-03-09,84.5,85.43,79.02,79.24,1559969.0
2020-03-10,82.86,86.99,81.77,86.98,1456713.0
2020-03-11,84.5,85.66,82.03,83.26,998793.0
2020-03-12,77.49,79.53,74.38,77.44,1594763.0
2020-03-13,83.53,88.23,78.21,88.05,1698393.0
2020-03-16,76.07,80.19,61.85,71.01,1827731.0
2020-03-17,72.38,72.52,67.72,68.64,1613200.0
2020-03-18,64.49,65.19,56.77,59.82,2340474.0
2020-03-19,59.04,72.25,57.08,67.51,1568473.0
2020-03-20,68.46,71.42,63.7,65.32,1741960.0
2020-03-23,64.82,66.99,62.69,64.18,1204340.0
2020-03-24,68.4,72.73,66.25,68.72,1463298.0
2020-03-25,69.16,77.2,67.96,73.66,1738533.0
2020-03-26,75.26,81.87,74.0,80.21,1609410.0
2020-03-27,76.83,78.64,75.26,76.62,1032904.0
2020-03-30,75.9,83.24,75.39,82.64,1614140.0
2020-03-31,82.5,84.99,80.54,81.69,2046536.0
2020-04-01,78.03,79.82,75.18,76.97,1644987.0
2020-04-02,77.52,80.63,73.4,74.18,1591000.0
2020-04-03,74.28,76.78,70.5,70.88,1528537.0
2020-04-06,75.2,79.17,73.94,78.03,992126.0
2020-04-07,82.0,84.31,79.29,79.44,1603256.0
2020-04-08,80.3,83.96,78.98,82.87,1045427.0
2020-04-09,85.6,91.01,83.51,90.0,1543522.0
2020-04-13,88.78,89.66,84.1,86.63,882995.0
2020-04-14,88.21,89.3,86.46,86.67,940884.0
2020-04-15,82.85,85.39,80.79,84.04,991353.0
2020-04-16,83.47,84.58,81.58,83.33,654313.0
2020-04-17,86.01,87.72,84.86,86.1,863366.0
2020-04-20,84.62,86.25,83.65,84.56,763660.0
2020-04-21,82.5,84.75,81.82,83.59,791593.0
2020-04-22,85.41,86.16,83.17,84.11,571392.0
2020-04-23,85.51,88.94,85.5,87.37,836824.0
2020-04-24,88.25,90.75,87.52,88.2,901123.0
2020-04-27,88.65,91.08,88.12,90.38,677099.0
2020-04-28,92.64,92.89,90.64,90.89,745389.0
2020-04-29,93.72,95.72,92.85,95.02,669258.0
2020-04-30,93.81,94.19,91.82,91.9,1130050.0
2020-05-01,90.1,91.12,88.39,89.92,808748.0
2020-05-04,88.27,89.85,87.75,89.64,693002.0
2020-05-05,90.75,92.56,89.1,89.5,1179118.0
2020-05-06,89.96,93.0,87.29,91.98,1228825.0
2020-05-07,94.24,96.88,93.43,94.11,829035.0
2020-05-08,95.41,96.38,93.38,93.48,982250.0
2020-05-11,91.73,92.52,90.42,91.5,730438.0
2020-05-12,91.51,92.63,89.1,89.14,927785.0
2020-05-13,88.9,89.68,86.62,88.77,770894.0
2020-05-14,87.38,89.07,85.58,88.61,959114.0
2020-05-15,88.14,88.62,87.45,88.02,784211.0
2020-05-18,92.04,93.07,90.79,90.83,740923.0
