date,Open,High,Low,Close,Volume
2019-08-20,33.5,33.82,33.25,33.36,1711200.0
2019-08-21,33.47,33.51,32.87,33.15,1408700.0
2019-08-22,33.19,33.34,32.73,32.82,1438800.0
2019-08-23,32.66,32.72,31.33,31.44,1459900.0
2019-08-26,31.67,31.82,31.28,31.71,1508600.0
2019-08-27,31.9,32.05,31.61,31.62,1763500.0
2019-08-28,31.67,31.94,31.33,31.56,1002000.0
2019-08-29,31.78,32.8,31.665,32.45,1727100.0
2019-08-30,33.27,33.31,32.47,32.8,1295500.0
2019-09-03,32.4,32.735,32.16,32.43,904800.0
2019-09-04,32.65,33.26,32.535,33.21,970400.0
2019-09-05,33.52,34.03,33.23,33.91,965300.0
2019-09-06,33.95,34.35,33.73,33.87,875100.0
2019-09-09,33.68,34.02,33.31,33.99,792500.0
2019-09-10,33.76,34.42,33.76,34.22,1421800.0
2019-09-11,34.1,34.23,33.62,33.97,1073800.0
2019-09-12,34.12,34.12,33.59,33.7,1159600.0
2019-09-13,33.68,34.08,33.45,33.71,938800.0
2019-09-16,33.52,33.66,33.35,33.49,653100.0
2019-09-17,33.46,33.46,32.72,32.82,890000.0
2019-09-18,32.68,32.84,32.03,32.5,1207900.0
2019-09-19,32.57,32.66,31.9,31.97,629400.0
2019-09-20,31.89,32.3,31.63,32.08,1538800.0
2019-09-23,32.16,32.335,31.88,32.18,841400.0
2019-09-24,32.32,32.35,31.4,31.53,1201700.0
2019-09-25,31.48,32.17,31.48,32.0,1456400.0
2019-09-26,32.06,32.06,31.35,31.47,1314000.0
2019-09-27,31.51,31.71,31.13,31.48,860400.0
2019-09-30,31.68,31.85,31.34,31.54,700200.0
2019-10-01,31.7,32.01,31.13,31.18,880700.0
2019-10-02,30.99,31.2,30.26,30.31,1123900.0
2019-10-03,30.25,30.43,29.67,30.39,1061100.0
2019-10-04,30.5,30.78,30.34,30.485,996300.0
2019-10-07,30.51,31.04,30.48,30.49,951500.0
2019-10-08,30.21,30.21,29.61,30.035,1232500.0
2019-10-09,30.21,30.41,29.94,30.26,1147600.0
2019-10-10,30.22,30.53,30.05,30.425,1161300.0
2019-10-11,30.65,31.48,30.63,31.16,1571700.0
2019-10-14,31.06,31.13,30.745,31.01,1178700.0
2019-10-15,31.02,31.51,30.8,31.44,1148900.0
2019-10-16,31.35,31.59,31.26,31.585,1159900.0
2019-10-17,31.5,31.72,31.15,31.49,2047600.0
2019-10-18,31.63,32.07,31.48,31.525,2453800.0
2019-10-21,31.71,32.155,31.57,32.09,1581800.0
2019-10-22,32.16,32.86,31.928,32.77,1518800.0
2019-10-23,32.87,33.01,32.5,32.61,905100.0
