date,Open,High,Low,Close,Volume
2019-08-20,91.34,91.91,89.9,90.0,1249020.0
2019-08-21,90.5,90.85,89.87,90.64,1160231.0
2019-08-22,91.49,92.19,91.07,91.71,962573.0
2019-08-23,91.28,92.28,88.65,89.07,1006768.0
2019-08-26,89.73,90.0,88.92,89.79,1023426.0
2019-08-27,90.38,90.38,88.55,88.55,1013764.0
2019-08-28,88.1,89.16,88.03,88.38,1153598.0
2019-08-29,89.23,90.23,89.23,89.92,1074126.0
2019-08-30,90.56,90.72,89.58,89.72,824957.0
2019-09-03,88.74,89.24,87.43,88.06,1297794.0
2019-09-04,88.75,88.96,87.75,88.6,736665.0
2019-09-05,89.57,90.38,89.33,89.67,1222785.0
2019-09-06,89.53,89.88,88.55,89.19,880801.0
2019-09-09,90.07,91.41,89.72,91.1,1389452.0
2019-09-10,91.55,93.47,91.17,92.48,1578779.0
2019-09-11,93.04,94.01,91.68,93.99,1653204.0
2019-09-12,93.59,94.21,93.14,93.71,1585351.0
2019-09-13,94.58,96.35,94.3,95.7,1744638.0
2019-09-16,94.17,96.31,93.21,96.21,1464192.0
2019-09-17,96.09,96.13,94.77,95.51,842148.0
2019-09-18,95.05,96.66,94.74,96.34,800013.0
2019-09-19,95.95,96.28,95.18,95.35,824356.0
2019-09-20,95.86,96.0,94.82,95.23,2126769.0
2019-09-23,94.6,95.49,94.4,94.95,1095238.0
2019-09-24,94.92,95.5,93.93,94.95,1439688.0
2019-09-25,95.04,96.29,94.78,96.26,863856.0
2019-09-26,95.93,96.8,95.72,96.51,1001580.0
2019-09-27,97.08,98.15,96.73,97.57,1162317.0
2019-09-30,98.0,98.0,96.64,96.7,879320.0
2019-10-01,97.15,97.76,94.48,94.64,1278928.0
2019-10-02,93.24,93.49,91.56,91.71,883811.0
2019-10-03,91.31,92.72,90.22,92.7,715150.0
2019-10-04,92.97,94.94,92.26,94.89,707157.0
2019-10-07,94.68,95.69,94.32,94.48,714709.0
2019-10-08,93.38,93.59,92.19,92.6,1153447.0
2019-10-09,93.22,93.48,92.69,93.21,600489.0
2019-10-10,93.55,94.61,93.05,94.19,836053.0
2019-10-11,96.27,97.58,95.91,97.3,1577310.0
2019-10-14,96.58,97.62,96.25,97.18,1912066.0
2019-10-15,103.0,105.21,101.9,103.62,2253304.0
2019-10-16,101.86,103.97,100.96,103.08,1443581.0
2019-10-17,103.79,104.47,103.09,103.45,942688.0
2019-10-18,103.66,104.88,103.16,104.18,794460.0
2019-10-21,104.91,105.98,104.84,104.89,947811.0
2019-10-22,105.03,106.89,104.52,106.23,751803.0
2019-10-23,105.88,107.09,105.81,106.71,943169.0
2019-10-24,106.76,107.05,105.79,106.32,915033.0
2019-10-25,106.17,108.01,106.17,107.65,659600.0
2019-10-28,107.96,108.35,106.94,107.42,1273066.0
2019-10-29,106.87,108.55,106.5,107.67,804451.0
2019-10-30,107.31,107.93,106.27,107.14,618272.0
2019-10-31,106.28,107.14,105.2,106.36,991896.0
2019-11-01,107.43,108.36,106.75,108.36,1317197.0
2019-11-04,109.37,109.87,108.7,109.5,942989.0
2019-11-05,110.64,111.61,109.73,109.81,1988403.0
2019-11-06,109.46,110.14,108.46,109.6,1498952.0
2019-11-07,110.09,111.67,109.88,110.01,1988402.0
2019-11-08,110.44,110.47,109.18,110.22,932003.0
2019-11-11,109.79,110.32,109.21,109.66,807727.0
2019-11-12,109.62,110.45,109.07,109.93,716776.0
2019-11-13,109.25,109.57,108.15,108.98,778985.0
2019-11-14,108.59,109.26,107.79,109.0,680984.0
2019-11-15,109.5,109.54,108.7,108.79,637681.0
2019-11-18,108.42,108.64,107.3,108.37,1074047.0
2019-11-19,108.93,109.45,108.2,108.97,664670.0
2019-11-20,108.45,109.17,107.43,108.62,619230.0
2019-11-21,109.1,109.31,107.66,107.81,890139.0
2019-11-22,108.38,108.97,107.79,108.35,688705.0
2019-11-25,108.59,109.24,108.12,108.93,1577620.0
2019-11-26,108.86,109.95,108.43,108.95,1083179.0
2019-11-27,109.67,110.95,109.55,110.39,625029.0
2019-11-29,110.18,110.6,109.7,109.9,334290.0
2019-12-02,110.22,111.59,109.67,110.07,887553.0
2019-12-03,108.63,109.15,108.05,109.07,572300.0
2019-12-04,109.27,110.71,109.0,110.26,525262.0
2019-12-05,110.83,111.22,110.39,110.97,548035.0
