date,Open,High,Low,Close,Volume
2019-08-20,131.7,131.7,130.31,130.56,278510.0
2019-08-21,130.96,131.21,130.06,130.93,325440.0
2019-08-22,131.13,131.71,129.81,130.68,243817.0
2019-08-23,130.58,131.65,128.28,128.69,360409.0
2019-08-26,129.83,130.03,127.52,128.78,317786.0
2019-08-27,129.33,129.78,126.96,126.97,293481.0
2019-08-28,126.84,128.26,126.84,128.06,281180.0
2019-08-29,128.73,130.0,128.51,129.51,325096.0
2019-08-30,129.88,129.96,128.98,129.21,316855.0
2019-09-03,128.98,131.72,128.86,131.65,591363.0
2019-09-04,132.17,133.22,131.93,133.0,498386.0
2019-09-05,133.04,133.51,132.28,133.41,310499.0
2019-09-06,133.81,134.74,133.37,134.23,690824.0
2019-09-09,134.12,134.97,131.62,134.93,580756.0
2019-09-10,134.56,136.18,134.07,136.18,481987.0
2019-09-11,135.8,136.67,134.56,136.08,409525.0
2019-09-12,136.9,136.9,135.02,135.76,393301.0
2019-09-13,136.57,137.14,134.15,135.05,756750.0
2019-09-16,135.19,135.19,133.74,134.62,330725.0
2019-09-17,134.91,135.66,134.29,135.66,336857.0
2019-09-18,136.07,136.07,134.26,135.45,408459.0
2019-09-19,135.9,136.24,135.02,135.27,356667.0
2019-09-20,134.67,134.95,133.74,134.25,1759056.0
2019-09-23,133.42,135.58,132.98,134.61,398714.0
2019-09-24,134.82,135.03,133.96,134.68,548742.0
2019-09-25,134.41,135.34,134.07,134.45,469095.0
2019-09-26,134.88,136.61,134.63,136.13,306520.0
2019-09-27,136.18,136.79,135.41,136.56,459832.0
2019-09-30,136.33,137.12,135.87,136.14,367849.0
2019-10-01,136.08,136.61,133.94,135.7,409845.0
2019-10-02,135.59,136.48,134.67,135.4,600424.0
2019-10-03,134.89,136.66,134.3,135.25,345361.0
2019-10-04,135.16,135.96,134.97,135.93,297141.0
2019-10-07,135.6,136.42,135.14,135.85,227336.0
2019-10-08,135.46,136.2,134.23,134.96,505816.0
2019-10-09,135.65,135.93,134.65,134.8,435195.0
2019-10-10,134.93,135.45,134.34,134.43,381486.0
2019-10-11,134.64,137.02,134.42,136.2,410596.0
2019-10-14,136.16,136.16,134.74,135.99,245518.0
2019-10-15,135.47,136.52,135.02,136.47,509244.0
2019-10-16,136.18,137.25,135.58,137.19,327529.0
2019-10-17,137.47,138.08,137.17,137.75,406901.0
2019-10-18,137.46,138.77,137.21,138.04,372936.0
2019-10-21,138.05,139.74,137.85,139.72,336059.0
2019-10-22,139.65,140.56,139.29,140.46,377799.0
2019-10-23,140.65,141.35,138.85,140.05,323387.0
2019-10-24,140.21,140.21,138.68,139.52,291341.0
2019-10-25,139.16,139.28,138.25,139.04,266090.0
2019-10-28,138.86,139.37,138.13,138.68,328054.0
2019-10-29,138.53,139.19,138.43,138.98,272028.0
2019-10-30,138.98,141.16,138.51,141.16,377329.0
2019-10-31,140.37,141.32,134.66,136.01,1001936.0
2019-11-01,134.2,136.06,133.29,135.64,620801.0
2019-11-04,134.53,134.96,133.22,133.85,394198.0
2019-11-05,133.5,134.36,132.82,133.65,425325.0
2019-11-06,134.1,135.49,133.97,134.49,323516.0
2019-11-07,133.9,134.18,131.9,132.08,220047.0
2019-11-08,131.7,132.03,131.14,131.48,191911.0
2019-11-11,131.25,131.71,130.61,131.37,214044.0
2019-11-12,131.37,132.3,129.85,130.16,284886.0
2019-11-13,130.3,131.25,130.07,130.48,332036.0
2019-11-14,130.74,131.8,130.18,131.72,313647.0
2019-11-15,131.96,132.29,130.62,131.86,365646.0
2019-11-18,132.07,132.45,131.48,131.95,297219.0
2019-11-19,132.01,132.16,130.48,131.78,222865.0
2019-11-20,131.68,131.68,130.07,130.96,299241.0
2019-11-21,130.6,130.6,129.67,130.06,307519.0
2019-11-22,130.31,130.96,128.87,130.34,288609.0
2019-11-25,130.27,131.63,130.21,130.37,308888.0
2019-11-26,130.47,131.79,130.29,131.15,375692.0
2019-11-27,131.15,132.46,130.63,132.4,242867.0
2019-11-29,132.75,133.15,132.01,132.07,204971.0
2019-12-02,132.08,132.19,129.71,129.76,368930.0
2019-12-03,129.55,130.9,129.13,130.54,463231.0
2019-12-04,129.87,131.99,129.82,130.95,261169.0
2019-12-05,130.71,131.33,130.23,131.17,349625.0
2019-12-06,131.44,132.15,131.42,131.77,251096.0
2019-12-09,132.1,133.02,131.13,132.93,358307.0
2019-12-10,132.71,132.71,131.0,131.62,332494.0
2019-12-11,131.79,131.79,129.05,129.79,433425.0
2019-12-12,129.92,130.25,127.51,127.59,504517.0
2019-12-13,127.75,128.36,126.85,127.77,329401.0
2019-12-16,128.34,128.69,126.72,128.45,436184.0
2019-12-17,129.14,129.14,126.91,127.16,438075.0
2019-12-18,127.4,128.75,127.2,128.18,451231.0
2019-12-19,128.4,128.87,127.65,127.87,484725.0
2019-12-20,128.19,128.52,127.08,127.22,902073.0
2019-12-23,128.07,128.11,126.69,127.04,333557.0
2019-12-24,127.04,127.52,126.76,126.92,99434.0
2019-12-26,127.16,127.65,126.8,127.47,250375.0
2019-12-27,128.11,128.35,127.58,128.15,196035.0
2019-12-30,127.91,128.84,127.77,128.46,296306.0
2019-12-31,127.56,128.76,127.22,128.73,481501.0
2020-01-02,129.52,129.84,124.74,125.28,417018.0
2020-01-03,124.81,126.33,124.36,126.14,475233.0
2020-01-06,126.14,127.71,125.57,127.63,390754.0
2020-01-07,126.12,126.53,124.43,125.35,353873.0
2020-01-08,125.34,126.29,124.92,125.77,521014.0
2020-01-09,125.54,125.94,124.55,124.79,351286.0
2020-01-10,124.8,125.98,124.61,125.92,376956.0
2020-01-13,125.96,127.4,125.61,126.83,556453.0
2020-01-14,126.74,127.83,126.03,127.67,349372.0
2020-01-15,128.89,129.59,127.91,128.19,380963.0
2020-01-16,128.6,129.35,128.09,129.26,336534.0
2020-01-17,129.21,130.5,129.08,129.53,371245.0
2020-01-21,129.9,131.19,129.32,130.88,363497.0
2020-01-22,131.2,131.56,130.1,130.58,250053.0
2020-01-23,130.67,131.31,130.13,131.07,333968.0
2020-01-24,131.15,131.15,129.57,129.81,226612.0
2020-01-27,129.0,129.4,127.08,127.23,290657.0
2020-01-28,127.32,128.38,127.19,127.23,239497.0
2020-01-29,127.58,127.58,125.94,126.05,310367.0
2020-01-30,125.62,126.25,124.4,125.44,434332.0
2020-01-31,125.27,125.52,124.4,125.02,1026375.0
2020-02-03,125.35,126.56,124.76,125.07,380227.0
2020-02-04,125.38,128.12,125.19,127.27,427776.0
2020-02-05,127.52,128.58,127.31,128.1,411851.0
2020-02-06,128.38,129.39,127.58,128.66,280513.0
2020-02-07,128.65,128.87,127.53,128.02,239664.0
2020-02-10,128.72,129.12,127.0,127.97,532452.0
2020-02-11,127.69,128.41,123.34,124.0,983781.0
2020-02-12,123.69,124.6,122.5,123.84,1013786.0
2020-02-13,123.76,125.5,123.76,124.85,452540.0
2020-02-14,125.18,127.23,124.97,127.23,416278.0
2020-02-18,127.23,128.19,125.85,126.88,486067.0
2020-02-19,126.87,126.87,125.29,125.65,848731.0
2020-02-20,125.98,127.82,125.56,127.65,348247.0
2020-02-21,127.79,129.09,127.5,129.0,627340.0
2020-02-24,127.93,129.19,127.4,127.88,488244.0
2020-02-25,127.89,128.0,124.06,124.25,651550.0
2020-02-26,124.59,125.1,122.77,122.91,695048.0
2020-02-27,122.0,122.23,116.52,116.92,826120.0
2020-02-28,115.67,117.29,112.01,116.34,1635654.0
2020-03-02,116.93,120.0,115.48,119.93,609422.0
2020-03-03,119.8,121.67,116.38,117.29,786652.0
2020-03-04,118.69,122.28,118.69,122.07,480414.0
2020-03-05,119.78,120.88,118.14,120.83,405944.0
2020-03-06,117.81,121.69,117.11,121.37,954342.0
2020-03-09,114.5,116.38,112.61,112.71,954396.0
2020-03-10,115.37,118.84,111.51,118.77,856103.0
2020-03-11,115.42,116.1,111.89,113.33,847703.0
2020-03-12,106.76,110.15,104.29,104.37,1200770.0
2020-03-13,107.5,108.91,100.14,105.7,1426942.0
2020-03-16,97.5,97.68,84.96,85.14,1455684.0
2020-03-17,86.68,92.62,79.37,92.16,1379100.0
2020-03-18,85.87,86.63,69.43,72.48,901662.0
