date,Open,High,Low,Close,Volume
2019-08-20,80.72,81.11,79.46,79.67,1067088.0
2019-08-21,80.67,82.54,79.2,81.97,1335193.0
2019-08-22,82.0,82.35,80.9,81.75,750921.0
2019-08-23,81.75,82.85,80.05,80.35,1644850.0
2019-08-26,80.83,81.54,80.5,81.13,1329933.0
2019-08-27,81.52,81.83,80.4025,80.86,1363289.0
2019-08-28,80.08,80.58,77.11,77.85,2049660.0
2019-08-29,78.93,79.19,77.17,77.97,1821398.0
2019-08-30,78.59,79.74,78.25,79.18,1258774.0
2019-09-03,78.51,79.3,77.331,78.03,1276605.0
2019-09-04,79.24,79.3855,77.67,78.22,1123516.0
2019-09-05,79.57,80.61,78.81,80.39,1557303.0
2019-09-06,80.5,81.41,79.84,80.1,980265.0
2019-09-09,80.59,81.03,78.26,79.01,1364998.0
2019-09-10,78.33,79.55,77.36,79.21,1086753.0
2019-09-11,79.78,80.88,78.83,79.85,1139214.0
2019-09-12,80.07,80.67,78.26,78.37,1458571.0
2019-09-13,78.7,79.2,77.77,78.11,1015842.0
2019-09-16,77.43,79.9,76.84,79.67,969047.0
2019-09-17,79.9,80.25,78.6,79.45,1176026.0
2019-09-18,79.3,79.37,77.76,78.87,859053.0
2019-09-19,79.0,79.6,77.89,78.42,1093873.0
2019-09-20,79.25,80.2,78.09,78.23,2184225.0
2019-09-23,78.25,79.98,78.05,79.26,1311265.0
2019-09-24,79.93,79.95,78.16,79.28,1348520.0
2019-09-25,79.01,79.6,77.34,79.29,1011752.0
2019-09-26,79.11,79.65,78.51,78.86,775906.0
2019-09-27,79.13,79.42,75.855,76.215,1107586.0
2019-09-30,76.22,77.28,75.555,76.76,1263772.0
2019-10-01,77.58,78.09,76.79,77.05,810044.0
2019-10-02,76.4,76.4,74.5501,75.65,1057816.0
2019-10-03,75.58,77.81,75.44,77.37,1264505.0
2019-10-04,77.91,78.19,76.745,77.49,890517.0
2019-10-07,77.49,78.3571,77.0,77.81,1275028.0
2019-10-08,76.98,77.4,75.13,76.335,1012933.0
2019-10-09,77.23,78.49,76.8,77.89,917504.0
2019-10-10,77.15,78.06,76.57,77.6,930220.0
2019-10-11,78.25,80.0,78.161,79.16,1207169.0
2019-10-14,79.25,79.71,78.91,79.31,1146839.0
2019-10-15,79.79,79.96,78.63,78.68,877270.0
2019-10-16,77.16,78.11,75.7,77.77,1270562.0
2019-10-17,77.87,79.09,77.5698,78.91,795967.0
2019-10-18,78.77,78.79,75.75,76.555,1361386.0
2019-10-21,77.0,77.19,76.03,76.28,856546.0
