date,Open,High,Low,Close,Volume
2019-08-20,8.58,8.6,8.33,8.38,102347809.0
2019-08-21,8.36,8.48,8.14,8.16,85305082.0
2019-08-22,8.18,8.31,8.11,8.19,68173857.0
2019-08-23,8.09,8.1,7.76,7.97,128643149.0
2019-08-26,8.06,8.1,7.92,8.05,58001253.0
2019-08-27,8.09,8.11,7.91,7.93,66128924.0
2019-08-28,7.92,7.99,7.76,7.94,57611001.0
2019-08-29,8.04,8.2,8.0,8.11,58769871.0
2019-08-30,8.14,8.26,8.11,8.25,47322363.0
2019-09-03,8.1,8.39,8.08,8.33,67647924.0
2019-09-04,8.41,8.87,8.4,8.8,93641540.0
2019-09-05,8.99,9.23,8.8,8.81,86890598.0
2019-09-06,8.82,8.82,8.57,8.71,42835585.0
2019-09-09,8.75,9.05,8.73,8.96,49633594.0
2019-09-10,8.91,9.27,8.9,9.14,62587357.0
2019-09-11,9.15,9.36,9.06,9.36,57025578.0
2019-09-12,9.4,9.52,9.22,9.26,68018338.0
2019-09-13,9.31,9.45,9.14,9.34,45570356.0
2019-09-16,9.3,9.42,9.17,9.38,46391699.0
2019-09-17,9.3,9.39,9.25,9.36,38100091.0
2019-09-18,9.31,9.39,9.18,9.38,40604847.0
2019-09-19,9.35,9.5,9.34,9.42,34113056.0
2019-09-20,9.46,9.54,9.34,9.37,58229051.0
2019-09-23,9.22,9.39,9.2,9.34,34041268.0
2019-09-24,9.31,9.35,8.96,8.97,53845891.0
2019-09-25,8.96,9.2,8.94,9.16,43946763.0
2019-09-26,9.18,9.21,8.96,9.02,37596586.0
2019-09-27,9.04,9.17,8.99,9.04,30510133.0
2019-09-30,9.08,9.1,8.94,8.94,35335710.0
2019-10-01,8.96,9.04,8.51,8.61,68927424.0
2019-10-02,8.56,8.62,8.41,8.51,47636253.0
2019-10-03,8.5,8.71,8.25,8.71,58743734.0
2019-10-04,8.61,8.7,8.54,8.57,52492856.0
2019-10-07,8.55,8.65,8.48,8.56,32477616.0
2019-10-08,8.48,8.5,8.27,8.28,45759145.0
2019-10-09,8.31,8.37,8.24,8.35,33176279.0
2019-10-10,8.34,8.52,8.31,8.45,33747888.0
2019-10-11,8.59,8.92,8.58,8.8,56319664.0
2019-10-14,8.84,8.85,8.64,8.72,34257650.0
2019-10-15,8.74,8.92,8.61,8.89,39372618.0
2019-10-16,8.86,9.07,8.84,8.9,58143723.0
2019-10-17,8.92,9.09,8.88,9.04,33299431.0
2019-10-18,9.01,9.1,8.95,8.96,39012896.0
2019-10-21,8.99,9.12,8.76,8.79,63773716.0
2019-10-22,8.77,9.06,8.61,9.06,60158736.0
2019-10-23,8.98,9.15,8.93,9.14,47643559.0
2019-10-24,9.12,9.15,8.88,8.95,37014161.0
2019-10-25,8.92,9.09,8.92,9.0,42142696.0
2019-10-28,9.02,9.12,8.99,9.07,31721516.0
2019-10-29,9.01,9.14,8.93,9.07,45669614.0
2019-10-30,9.78,10.37,9.71,10.11,215875180.0
2019-10-31,10.05,10.21,9.86,9.98,86597533.0
2019-11-01,10.08,10.39,10.06,10.38,81967983.0
2019-11-04,10.42,10.95,10.42,10.93,97721846.0
2019-11-05,10.92,10.97,10.72,10.97,71323412.0
2019-11-06,10.93,11.1,10.79,11.02,77980123.0
2019-11-07,11.1,11.32,11.09,11.29,71042714.0
2019-11-08,11.23,11.55,11.14,11.52,62474585.0
2019-11-11,11.4,11.5,11.24,11.35,45575409.0
2019-11-12,11.32,11.58,11.29,11.42,48898173.0
2019-11-13,11.29,11.36,11.18,11.29,54304186.0
2019-11-14,11.18,11.35,11.18,11.29,30790454.0
2019-11-15,11.34,11.55,11.33,11.52,38235199.0
2019-11-18,11.41,11.5,11.33,11.44,50972354.0
2019-11-19,11.43,11.55,11.26,11.5,46832513.0
2019-11-20,11.44,11.49,11.26,11.39,46683121.0
2019-11-21,11.33,11.62,11.31,11.53,41680986.0
2019-11-22,11.49,11.72,11.49,11.55,38487447.0
2019-11-25,11.66,11.84,11.57,11.58,56710023.0
2019-11-26,11.62,11.67,11.31,11.35,64201615.0
2019-11-27,11.39,11.47,11.26,11.29,45497722.0
2019-11-29,11.28,11.36,11.22,11.27,22739254.0
