date,Open,High,Low,Close,Volume
2019-08-20,87.47,87.52,86.45,86.56,316373.0
2019-08-21,87.24,87.75,86.48,87.71,307651.0
2019-08-22,88.14,88.71,87.34,88.32,387176.0
2019-08-23,88.15,88.72,85.73,86.13,383943.0
2019-08-26,86.9,87.37,86.34,87.12,267445.0
2019-08-27,87.68,87.81,85.95,86.52,331865.0
2019-08-28,85.91,87.25,85.91,87.08,302807.0
2019-08-29,86.92,88.65,86.92,88.07,477187.0
2019-08-30,88.89,89.41,88.54,89.26,658689.0
2019-09-03,88.25,88.57,87.11,88.14,610605.0
2019-09-04,89.02,89.06,88.31,88.76,367587.0
2019-09-05,89.8,91.57,89.8,90.84,367527.0
2019-09-06,90.96,91.93,90.45,91.68,463649.0
2019-09-09,92.23,93.33,91.81,93.1,571707.0
2019-09-10,93.3,94.41,93.24,94.27,533635.0
2019-09-11,94.32,95.14,92.75,95.13,632309.0
2019-09-12,94.76,95.34,94.28,94.73,513772.0
2019-09-13,95.39,96.1,94.71,95.35,581284.0
2019-09-16,94.84,94.93,93.57,93.72,352577.0
2019-09-17,93.39,94.36,93.01,94.34,359580.0
2019-09-18,93.77,95.0,93.22,94.94,382815.0
2019-09-19,94.8,95.35,94.18,94.32,259803.0
2019-09-20,95.68,96.03,94.32,94.65,778233.0
2019-09-23,93.87,95.56,93.68,95.35,319254.0
2019-09-24,96.05,96.09,94.85,95.04,418177.0
2019-09-25,95.02,96.17,94.83,95.44,281483.0
2019-09-26,95.38,96.21,95.1,96.06,266577.0
2019-09-27,96.6,96.92,95.7,96.2,249799.0
2019-09-30,96.36,96.72,95.62,95.76,513856.0
2019-10-01,96.26,96.62,94.21,94.29,328042.0
2019-10-02,93.39,93.67,92.14,92.49,509873.0
2019-10-03,91.99,92.65,90.67,92.65,461242.0
2019-10-04,92.94,94.54,92.75,94.51,244772.0
2019-10-07,94.04,94.55,93.75,93.8,340939.0
2019-10-08,93.13,93.13,92.19,92.36,450471.0
2019-10-09,93.09,93.58,92.65,92.85,341300.0
2019-10-10,92.54,94.0,92.54,93.21,339433.0
2019-10-11,94.79,95.39,94.15,94.25,397120.0
2019-10-14,93.75,94.32,93.46,94.08,248344.0
2019-10-15,95.44,96.0,94.75,95.15,465972.0
2019-10-16,94.81,95.04,93.98,94.27,394775.0
2019-10-17,94.96,95.42,94.34,94.53,286213.0
2019-10-18,94.4,95.07,94.11,94.68,388972.0
2019-10-21,95.4,95.76,94.98,95.68,315723.0
2019-10-22,95.82,96.34,95.61,95.93,384903.0
2019-10-23,95.7,96.51,95.43,95.67,386501.0
2019-10-24,96.73,97.79,96.13,96.47,567255.0
2019-10-25,95.98,96.8,95.1,96.39,440283.0
2019-10-28,96.76,97.68,96.76,96.84,263542.0
2019-10-29,96.57,97.81,96.57,97.8,447437.0
2019-10-30,97.63,97.63,96.34,97.25,268061.0
2019-10-31,96.75,97.36,96.24,97.33,519273.0
2019-11-01,97.64,98.46,97.56,98.1,274930.0
2019-11-04,98.62,98.9,97.17,97.96,603578.0
2019-11-05,97.97,99.29,97.79,98.13,361402.0
2019-11-06,97.93,98.54,97.7,98.52,375562.0
2019-11-07,98.77,99.62,98.77,98.94,312441.0
2019-11-08,98.98,99.2,98.12,98.93,393225.0
2019-11-11,98.41,99.2,98.02,98.71,339058.0
2019-11-12,98.99,99.66,98.52,99.36,298063.0
2019-11-13,98.76,99.6,98.18,99.57,413292.0
2019-11-14,99.3,100.21,99.24,100.14,413484.0
2019-11-15,100.35,100.83,99.12,99.23,804420.0
2019-11-18,98.84,99.57,98.45,99.53,449218.0
2019-11-19,99.81,100.25,99.22,99.39,476808.0
2019-11-20,99.18,100.47,99.0,100.09,605623.0
2019-11-21,100.28,100.53,99.6,100.34,392853.0
2019-11-22,100.67,101.01,100.01,100.94,325492.0
2019-11-25,101.04,101.62,100.7,101.37,405787.0
2019-11-26,101.24,102.4,101.07,102.35,1211523.0
2019-11-27,102.78,103.53,102.42,103.13,440163.0
2019-11-29,103.08,103.28,102.67,102.76,265816.0
2019-12-02,103.31,103.62,102.41,102.41,704365.0
2019-12-03,101.32,101.32,100.23,100.73,486002.0
2019-12-04,100.83,102.0,100.83,101.62,463870.0
2019-12-05,101.64,102.23,101.54,102.09,346179.0
2019-12-06,103.11,103.59,102.85,103.3,360456.0
2019-12-09,104.0,104.28,103.51,103.91,368349.0
2019-12-10,104.41,104.43,103.59,104.35,463892.0
