date,Open,High,Low,Close,Volume
2019-08-20,37.2,37.29,36.92,36.96,4110525.0
2019-08-21,37.36,37.36,37.06,37.12,3793507.0
2019-08-22,37.25,37.505,37.05,37.26,4044319.0
2019-08-23,36.61,37.18,35.9,36.06,7834868.0
2019-08-26,36.49,36.61,36.01,36.25,4838792.0
2019-08-27,36.47,36.58,35.85,35.89,6222856.0
2019-08-28,35.7,36.565,35.58,36.44,7283290.0
2019-08-29,36.8,37.02,36.73,36.91,5123688.0
2019-08-30,37.25,37.34,36.905,37.09,4599033.0
2019-09-03,36.89,37.005,36.54,36.91,6093945.0
2019-09-04,37.31,38.315,37.2401,38.24,8105739.0
2019-09-05,38.62,39.54,38.62,38.73,10746704.0
2019-09-06,38.92,38.93,38.52,38.78,5012699.0
2019-09-09,39.06,39.775,38.95,39.58,7543825.0
2019-09-10,39.2,39.68,38.84,39.58,7233592.0
2019-09-11,39.4,39.54,38.86,39.46,6979231.0
2019-09-12,39.41,39.49,38.9,39.07,6981377.0
2019-09-13,39.47,39.58,38.785,38.86,10133572.0
2019-09-16,37.97,38.16,36.965,37.21,15716361.0
2019-09-17,37.2,38.42,36.85,38.29,11399568.0
2019-09-18,38.15,38.35,37.92,38.18,6019321.0
2019-09-19,38.25,38.35,37.74,37.78,4943519.0
2019-09-20,38.06,38.07,37.29,37.37,18822698.0
2019-09-23,36.79,37.43,36.57,37.24,8231162.0
2019-09-24,37.34,37.49,36.5531,36.77,8020641.0
2019-09-25,36.76,37.25,36.44,37.11,8438257.0
2019-09-26,37.36,37.89,37.17,37.61,8335633.0
2019-09-27,37.84,37.97,36.97,37.42,6879472.0
2019-09-30,37.53,37.58,37.005,37.48,7591572.0
2019-10-01,37.47,37.48,36.035,36.11,10126925.0
2019-10-02,35.77,35.77,34.41,34.68,13086536.0
2019-10-03,34.51,34.99,34.16,34.98,12091999.0
2019-10-04,35.0,35.19,34.58,34.91,7109552.0
2019-10-07,34.6,35.11,34.3,34.75,6865513.0
2019-10-08,34.3135,34.47,33.71,33.88,11213969.0
2019-10-09,33.98,34.34,33.79,34.14,6357719.0
2019-10-10,34.45,35.3,34.21,34.66,10955514.0
2019-10-11,35.22,36.0,35.21,35.57,12239229.0
2019-10-14,35.39,35.56,35.265,35.5,5653992.0
2019-10-15,35.47,36.56,35.17,36.26,10716198.0
2019-10-16,36.49,37.2187,36.45,36.65,13354036.0
2019-10-17,36.81,36.82,35.87,36.19,8734221.0
2019-10-18,36.09,36.37,36.01,36.17,6858819.0
2019-10-21,36.44,36.72,35.63,35.93,7429278.0
2019-10-22,35.77,36.58,35.56,36.31,6770680.0
2019-10-23,36.25,36.64,35.83,36.61,6467064.0
2019-10-24,36.62,36.77,35.745,35.82,6809626.0
2019-10-25,35.78,36.82,35.76,36.74,8729050.0
2019-10-28,37.21,37.3,36.49,36.64,10642891.0
2019-10-29,37.6,38.7,37.6,38.21,18561206.0
2019-10-30,38.26,38.26,37.415,37.91,7392339.0
2019-10-31,37.62,37.91,36.86,37.16,7650751.0
2019-11-01,37.21,38.07,37.21,37.97,7923964.0
2019-11-04,38.35,38.49,38.22,38.39,7781863.0
2019-11-05,38.61,38.89,38.21,38.23,7315255.0
2019-11-06,38.37,38.48,37.76,38.42,7280879.0
2019-11-07,38.6,38.9,38.46,38.49,8070100.0
2019-11-08,38.42,38.67,37.82,38.67,5912950.0
2019-11-11,38.6,38.8,38.38,38.72,3907447.0
2019-11-12,38.74,38.955,38.36,38.59,12680352.0
2019-11-13,38.4,38.4,37.09,37.19,12556189.0
2019-11-14,37.1,37.45,36.69,36.8,13019278.0
2019-11-15,37.0,37.11,36.725,36.89,12358850.0
2019-11-18,36.68,36.83,36.39,36.62,9766573.0
2019-11-19,36.67,36.7,36.005,36.38,10534598.0
2019-11-20,36.21,36.26,35.18,35.28,14055909.0
2019-11-21,35.53,35.58,34.59,34.67,14377191.0
2019-11-22,35.27,35.5,34.93,35.33,13566894.0
2019-11-25,35.45,35.89,35.35,35.81,12208018.0
2019-11-26,35.7,35.93,35.51,35.91,8289916.0
2019-11-27,36.01,36.27,35.85,36.14,5836871.0
