date,Open,High,Low,Close,Volume
2019-08-20,90.05,90.22,89.31,89.55,522200.0
2019-08-21,90.52,90.72,89.08,89.84,512900.0
2019-08-22,90.21,90.5,89.32,89.81,536700.0
2019-08-23,89.37,89.91,87.34,87.73,834500.0
2019-08-26,88.45,88.46,87.26,87.82,516300.0
2019-08-27,88.29,89.03,87.74,87.85,664700.0
2019-08-28,87.52,89.07,87.52,88.6,642400.0
2019-08-29,89.59,90.14,89.11,89.59,994500.0
2019-08-30,90.26,90.92,89.9,90.29,998200.0
2019-09-03,90.06,90.97,89.62,90.8,780600.0
2019-09-04,90.99,91.77,90.99,91.59,607800.0
2019-09-05,91.57,93.76,91.41,93.56,924500.0
2019-09-06,93.65,94.5,92.57,94.33,726500.0
2019-09-09,94.62,95.58,94.45,95.34,621300.0
2019-09-10,95.52,97.18,95.11,97.18,582100.0
2019-09-11,96.99,98.06,96.06,98.05,622300.0
2019-09-12,98.55,98.94,97.33,97.52,686500.0
2019-09-13,98.36,99.13,98.02,98.68,490800.0
2019-09-16,98.02,98.77,97.41,97.89,478600.0
2019-09-17,97.71,98.09,97.0,97.99,408400.0
2019-09-18,97.88,98.23,97.19,98.07,450800.0
2019-09-19,98.25,98.25,96.79,97.02,605400.0
2019-09-20,97.43,98.6,97.26,97.5,1150400.0
2019-09-23,97.2,98.24,97.07,97.77,822000.0
2019-09-24,98.0,98.41,95.9,96.05,1069900.0
2019-09-25,96.44,97.85,96.05,97.72,788000.0
2019-09-26,97.71,97.71,96.25,97.43,558500.0
2019-09-27,98.27,98.93,97.84,98.93,598100.0
2019-09-30,99.14,99.98,98.69,99.59,707800.0
2019-10-01,99.76,100.07,97.22,97.22,1069800.0
2019-10-02,96.64,96.69,93.7,94.36,896100.0
2019-10-03,94.11,94.65,92.88,94.62,457400.0
2019-10-04,94.76,96.12,94.19,95.94,463100.0
2019-10-07,95.63,95.63,94.54,94.54,535500.0
2019-10-08,93.68,93.72,92.41,92.55,663900.0
2019-10-09,93.38,93.59,92.63,93.23,691600.0
2019-10-10,93.34,94.78,93.22,94.52,633400.0
2019-10-11,95.87,97.95,95.81,96.88,638100.0
2019-10-14,96.6,97.4,96.24,96.82,400100.0
2019-10-15,96.89,98.56,96.72,97.94,762800.0
2019-10-16,97.7,98.61,97.47,97.73,867700.0
2019-10-17,97.89,100.91,97.83,98.93,1069100.0
2019-10-18,98.93,101.55,98.4,101.35,917800.0
2019-10-21,101.48,102.22,101.41,101.86,582700.0
2019-10-22,101.87,103.73,101.42,103.31,634800.0
2019-10-23,103.23,104.41,102.39,104.24,682500.0
2019-10-24,104.42,104.63,103.58,104.05,753500.0
2019-10-25,102.55,103.47,101.75,102.51,711600.0
2019-10-28,103.02,103.98,102.91,103.66,381200.0
2019-10-29,103.38,104.12,102.85,103.26,561500.0
2019-10-30,102.99,103.44,102.5,103.19,494800.0
2019-10-31,103.13,103.26,101.53,102.58,930700.0
2019-11-01,103.56,105.0,103.03,104.71,766400.0
2019-11-04,105.15,106.6,104.93,106.39,791100.0
2019-11-05,106.35,107.66,106.34,107.24,545200.0
2019-11-06,107.4,107.76,106.65,107.74,483600.0
2019-11-07,108.24,108.58,106.2,106.42,721100.0
2019-11-08,106.13,106.3,105.35,106.15,543600.0
2019-11-11,105.55,106.5,105.01,106.1,439600.0
2019-11-12,105.7,105.72,104.5,104.7,699900.0
2019-11-13,104.37,104.65,103.28,104.35,512700.0
2019-11-14,103.7,104.43,103.33,103.83,562700.0
2019-11-15,104.43,104.91,103.86,104.83,1044200.0
2019-11-18,104.74,105.5,104.31,105.39,762900.0
2019-11-19,104.98,105.37,104.3,104.57,559000.0
2019-11-20,104.41,104.61,102.75,103.31,923400.0
2019-11-21,103.79,103.94,102.48,102.56,595600.0
2019-11-22,102.88,103.72,102.37,103.71,472100.0
2019-11-25,104.03,104.26,103.25,103.98,544400.0
2019-11-26,104.23,104.57,103.5,104.45,662500.0
2019-11-27,104.58,105.27,104.45,105.21,509100.0
2019-11-29,105.06,105.2,104.17,104.37,304500.0
2019-12-02,104.49,105.37,104.17,104.72,641400.0
2019-12-03,103.37,103.44,102.58,102.71,479300.0
2019-12-04,102.91,104.45,102.91,103.77,573600.0
2019-12-05,103.53,103.93,102.41,102.98,443100.0
2019-12-06,103.77,104.25,103.59,103.7,503600.0
2019-12-09,103.7,104.11,103.18,103.88,640000.0
2019-12-10,104.07,104.6,103.59,103.65,514400.0
2019-12-11,103.85,104.29,103.21,104.25,494100.0
2019-12-12,104.29,105.89,104.03,105.73,818800.0
2019-12-13,105.74,105.84,104.08,105.16,486400.0
2019-12-16,105.97,106.37,105.12,105.35,743000.0
2019-12-17,105.58,107.08,105.49,105.89,642400.0
2019-12-18,106.21,106.38,105.24,106.0,865200.0
2019-12-19,106.3,106.3,104.75,105.19,612000.0
2019-12-20,105.55,106.66,105.18,105.99,1248900.0
2019-12-23,106.48,106.84,105.51,106.53,454100.0
2019-12-24,106.43,106.72,105.38,105.52,242200.0
2019-12-26,105.83,106.0,105.02,106.0,366200.0
2019-12-27,106.34,106.63,105.52,106.24,407300.0
2019-12-30,106.53,106.62,105.7,106.02,297700.0
2019-12-31,105.79,106.4,105.71,106.23,412700.0
2020-01-02,106.6,106.84,104.81,105.81,815100.0
2020-01-03,104.56,104.88,103.06,104.31,799100.0
2020-01-06,103.42,103.76,101.68,102.1,643500.0
2020-01-07,101.72,103.0,100.77,101.71,583100.0
2020-01-08,101.71,102.57,101.37,101.42,597300.0
2020-01-09,101.59,101.77,100.14,100.81,707100.0
2020-01-10,101.2,101.24,98.58,98.9,818500.0
2020-01-13,98.8,99.85,97.87,99.7,711900.0
2020-01-14,99.51,100.16,99.19,100.0,871200.0
2020-01-15,99.99,100.75,98.9,99.3,650900.0
2020-01-16,99.8,101.59,99.55,101.58,714000.0
2020-01-17,102.0,102.84,101.14,102.8,953200.0
2020-01-21,102.09,102.3,101.04,101.42,952400.0
2020-01-22,101.74,102.08,99.95,100.21,447000.0
2020-01-23,99.67,100.36,98.9,100.17,737400.0
2020-01-24,100.28,100.4,97.69,98.07,657100.0
2020-01-27,96.96,97.05,95.68,96.16,754700.0
2020-01-28,96.88,97.22,96.01,96.58,566900.0
2020-01-29,96.87,97.93,96.59,97.16,564400.0
2020-01-30,96.16,97.03,95.55,96.88,533659.0
2020-01-31,96.69,96.91,93.47,93.57,851800.0
2020-02-03,94.17,95.54,93.88,94.3,718200.0
2020-02-04,95.94,97.16,95.36,95.39,674500.0
2020-02-05,96.16,98.25,96.12,98.02,623378.0
2020-02-06,98.6,98.68,95.72,96.15,693300.0
2020-02-07,95.57,95.84,94.92,95.38,516500.0
2020-02-10,95.34,95.56,94.43,95.14,425800.0
2020-02-11,95.21,96.07,94.84,95.71,492300.0
2020-02-12,96.07,96.77,95.71,96.55,457000.0
2020-02-13,96.01,96.97,95.69,96.96,464700.0
2020-02-14,96.98,96.98,95.68,96.47,641800.0
2020-02-18,96.34,97.71,95.91,96.76,1213800.0
2020-02-19,100.0,102.0,98.51,99.35,1383600.0
2020-02-20,98.68,99.93,98.0,99.61,750500.0
2020-02-21,99.02,99.39,96.0,96.21,2780100.0
2020-02-24,94.21,96.79,93.45,95.72,1381200.0
2020-02-25,95.9,95.9,91.98,92.04,1219100.0
2020-02-26,93.1,94.79,90.12,90.18,1313600.0
2020-02-27,88.95,90.9,86.7,86.71,1505900.0
2020-02-28,84.68,87.34,84.41,87.24,1727800.0
2020-03-02,87.61,89.08,84.63,89.04,1371800.0
2020-03-03,88.39,89.7,85.16,86.36,1415900.0
2020-03-04,87.67,89.37,85.67,89.25,963500.0
2020-03-05,85.92,87.0,84.37,85.65,1053500.0
2020-03-06,83.35,84.86,80.78,82.85,1837000.0
2020-03-09,78.55,81.93,77.36,80.15,1892700.0
2020-03-10,83.08,85.99,81.5,85.92,1270900.0
2020-03-11,83.55,85.45,82.7,83.9,1495100.0
2020-03-12,78.66,82.59,75.22,78.45,2101300.0
2020-03-13,81.26,81.88,75.68,79.27,1604700.0
2020-03-16,70.76,74.6,70.0,70.95,1459900.0
2020-03-17,72.05,76.86,70.5,76.85,1462700.0
2020-03-18,72.1,73.27,60.9,66.35,1362900.0
2020-03-19,65.51,66.32,62.33,64.31,1558700.0
2020-03-20,65.16,65.29,55.02,55.35,2418300.0
2020-03-23,55.23,55.45,49.68,50.29,2208100.0
2020-03-24,52.62,61.26,52.31,60.81,1684100.0
2020-03-25,60.94,68.78,59.9,64.78,1845500.0
2020-03-26,65.05,69.26,63.49,68.64,1615300.0
2020-03-27,65.21,66.87,63.28,64.46,1231300.0
2020-03-30,64.46,67.2,63.41,66.08,1100000.0
2020-03-31,65.46,68.04,64.59,67.33,1885900.0
