date,Open,High,Low,Close,Volume
2019-08-20,78.49,78.83,77.83,78.7,834962.0
2019-08-21,79.3,80.28,79.28,80.12,907834.0
2019-08-22,80.41,80.92,80.05,80.28,754636.0
2019-08-23,79.96,80.33,78.19,78.36,1346563.0
2019-08-26,78.91,79.61,78.43,78.96,1029206.0
2019-08-27,79.24,80.04,79.24,79.81,891122.0
2019-08-28,79.71,80.38,79.08,80.35,831056.0
2019-08-29,81.02,81.27,80.5,80.92,649499.0
2019-08-30,81.45,81.86,80.94,81.57,946850.0
2019-09-03,81.14,81.46,80.58,81.21,856114.0
2019-09-04,81.29,82.72,81.2,82.55,1130027.0
2019-09-05,83.71,83.88,82.37,83.05,919305.0
2019-09-06,83.11,83.97,82.82,83.46,872358.0
2019-09-09,83.99,85.97,83.76,85.14,1527606.0
2019-09-10,85.31,85.31,83.65,83.91,1152722.0
2019-09-11,83.82,84.46,83.54,84.16,1217454.0
2019-09-12,84.8,86.25,84.51,85.52,1025894.0
2019-09-13,85.29,85.75,84.8,85.34,599838.0
2019-09-16,85.35,85.72,84.62,85.07,728758.0
2019-09-17,85.06,85.52,84.58,85.21,713253.0
2019-09-18,84.86,85.97,84.86,85.93,722825.0
2019-09-19,86.0,86.29,85.43,85.49,717695.0
2019-09-20,85.78,85.91,84.6,85.03,4981074.0
2019-09-23,85.0,85.27,84.38,84.48,696388.0
2019-09-24,84.59,85.0,83.57,83.8,770770.0
2019-09-25,83.67,84.38,82.59,84.21,1057997.0
2019-09-26,84.25,84.64,83.68,84.36,739361.0
2019-09-27,84.83,85.5,84.44,84.81,700264.0
2019-09-30,84.77,85.09,84.33,84.69,723043.0
2019-10-01,85.19,85.32,84.04,84.49,772788.0
2019-10-02,84.09,84.2,82.27,82.9,679913.0
2019-10-03,83.02,83.63,82.36,83.62,712903.0
2019-10-04,83.43,85.02,83.43,84.97,532933.0
2019-10-07,84.51,84.99,84.05,84.64,517545.0
2019-10-08,84.36,84.36,82.92,83.29,538736.0
2019-10-09,83.62,84.82,83.43,84.61,647463.0
2019-10-10,84.4,85.67,83.9,85.61,733153.0
2019-10-11,86.53,87.91,85.98,87.08,897903.0
2019-10-14,86.97,86.97,86.18,86.62,461171.0
2019-10-15,86.95,87.27,85.02,86.3,636891.0
2019-10-16,86.37,87.4,86.17,87.21,737807.0
2019-10-17,87.41,87.69,86.88,87.49,713247.0
2019-10-18,87.06,87.61,86.69,87.46,834694.0
2019-10-21,87.58,87.78,86.79,87.06,675629.0
2019-10-22,86.95,87.85,86.69,87.42,540874.0
2019-10-23,87.32,87.49,86.31,86.57,536724.0
2019-10-24,86.55,86.83,86.09,86.39,450366.0
2019-10-25,86.3,87.68,86.3,87.23,470718.0
2019-10-28,87.27,88.15,86.84,87.65,705339.0
2019-10-29,87.41,88.34,87.41,87.91,934085.0
2019-10-30,93.85,96.44,91.27,96.35,2908041.0
2019-10-31,95.25,95.8,92.96,93.75,1672566.0
2019-11-01,93.81,95.69,93.3,94.46,1606427.0
2019-11-04,95.22,95.9,93.35,94.23,1480308.0
2019-11-05,94.02,94.58,91.33,93.29,1782937.0
2019-11-06,93.41,93.9,92.77,93.22,1380104.0
2019-11-07,93.74,95.0,93.05,94.96,1565226.0
2019-11-08,95.0,96.0,94.74,95.89,1083759.0
2019-11-11,96.08,97.6,95.87,96.8,1075770.0
2019-11-12,96.99,97.29,95.6,96.11,1199751.0
2019-11-13,95.9,96.67,95.07,95.89,650483.0
2019-11-14,95.73,97.04,95.65,96.75,950317.0
2019-11-15,96.6,96.73,95.56,95.65,940379.0
2019-11-18,95.3,96.18,95.0,96.1,1211007.0
2019-11-19,96.28,97.18,95.49,96.92,765553.0
2019-11-20,96.62,97.08,96.29,96.88,802214.0
2019-11-21,97.03,98.76,96.87,98.08,1538349.0
2019-11-22,98.1,98.43,96.46,97.2,750885.0
2019-11-25,97.94,98.32,97.34,97.66,684067.0
2019-11-26,97.77,98.32,97.23,98.29,1211641.0
2019-11-27,98.67,98.67,97.8,98.14,571948.0
2019-11-29,97.95,98.31,97.4,97.69,524917.0
2019-12-02,98.2,98.44,96.17,96.92,953615.0
2019-12-03,96.13,96.92,95.98,96.49,1103284.0
2019-12-04,96.64,97.08,96.19,96.25,856271.0
2019-12-05,96.31,96.58,95.2,95.6,912983.0
2019-12-06,96.12,96.68,95.89,96.52,725078.0
2019-12-09,96.84,97.49,96.51,97.0,778959.0
2019-12-10,97.21,98.01,96.65,96.71,890985.0
2019-12-11,97.1,97.88,97.1,97.59,905122.0
2019-12-12,97.49,98.75,97.12,97.78,859533.0
2019-12-13,97.28,97.69,96.5,97.43,530477.0
2019-12-16,97.6,98.17,97.3,97.79,856700.0
2019-12-17,97.48,98.0,96.55,97.88,737328.0
2019-12-18,97.85,98.21,97.17,97.47,910687.0
