date,Open,High,Low,Close,Volume
2019-08-20,114.43,115.02,114.21,114.39,422832.0
2019-08-21,115.95,116.61,114.56,115.5,375120.0
2019-08-22,115.39,115.67,112.92,114.35,517643.0
2019-08-23,106.95,108.69,103.76,104.13,2048036.0
2019-08-26,105.49,107.86,104.79,107.2,1026086.0
2019-08-27,107.85,108.55,106.87,107.26,858696.0
2019-08-28,106.78,108.63,103.04,108.27,551605.0
2019-08-29,109.48,110.73,108.93,110.14,505295.0
2019-08-30,111.04,111.34,109.86,110.47,679410.0
2019-09-03,109.82,110.27,108.09,109.39,721598.0
2019-09-04,110.29,110.96,108.79,109.57,620280.0
2019-09-05,111.31,112.43,110.05,110.99,683751.0
2019-09-06,110.77,112.49,110.52,112.4,677607.0
2019-09-09,112.7,114.4,111.79,113.94,580566.0
2019-09-10,114.73,118.68,114.22,116.55,1088695.0
2019-09-11,116.22,117.61,115.01,117.49,755538.0
2019-09-12,117.66,120.99,117.66,119.64,850590.0
2019-09-13,119.68,121.48,119.64,119.78,601393.0
2019-09-16,118.58,120.38,118.13,119.07,433743.0
2019-09-17,120.01,120.01,118.52,119.3,738012.0
2019-09-18,119.31,119.79,118.23,119.65,817501.0
2019-09-19,120.33,121.37,119.72,120.92,1042991.0
2019-09-20,120.1,121.14,117.41,117.63,2512081.0
2019-09-23,117.73,119.37,117.28,118.08,538524.0
2019-09-24,119.1,119.45,116.41,117.0,601117.0
2019-09-25,117.08,119.41,116.62,118.81,531669.0
2019-09-26,118.55,118.62,117.25,117.4,501725.0
2019-09-27,118.44,119.53,117.82,118.82,541879.0
2019-09-30,119.07,119.92,118.63,118.69,679867.0
2019-10-01,118.95,119.93,116.58,117.1,653022.0
2019-10-02,116.51,117.59,113.95,115.31,664463.0
2019-10-03,115.01,116.6,113.94,116.6,497812.0
2019-10-04,116.43,118.47,116.43,118.24,513067.0
2019-10-07,117.8,118.2,116.5,117.66,435935.0
2019-10-08,117.02,118.1,116.65,116.69,604025.0
2019-10-09,117.35,118.89,117.02,118.16,545107.0
2019-10-10,118.17,119.7,117.54,119.45,625801.0
2019-10-11,120.47,122.1,120.03,121.29,611865.0
2019-10-14,120.67,121.64,120.21,120.9,509110.0
2019-10-15,121.6,122.48,121.35,121.96,546760.0
2019-10-16,121.49,122.58,121.11,121.99,647356.0
2019-10-17,122.34,122.97,121.58,122.39,802442.0
2019-10-18,122.3,123.05,121.53,121.96,911320.0
2019-10-21,122.93,122.93,119.4,120.16,2064554.0
2019-10-22,101.01,104.95,98.85,100.02,6950781.0
2019-10-23,100.15,101.75,98.06,99.4,3211851.0
2019-10-24,99.29,99.51,95.6,96.16,2433627.0
2019-10-25,96.15,96.39,94.19,96.01,2250174.0
2019-10-28,96.26,97.26,96.15,96.64,1520434.0
2019-10-29,96.16,98.98,95.64,98.64,2562717.0
2019-10-30,98.22,99.4,97.16,99.29,1366544.0
2019-10-31,98.43,98.94,96.8,97.31,1150111.0
2019-11-01,97.79,98.06,96.29,96.44,1098137.0
2019-11-04,96.58,98.26,96.3,97.7,901954.0
2019-11-05,96.07,99.24,95.78,95.79,2396925.0
2019-11-06,93.34,95.67,92.59,94.86,8408657.0
2019-11-07,95.66,96.67,94.77,95.21,1950851.0
