date,Open,High,Low,Close,Volume
2019-08-20,13.74,13.91,13.56,13.81,4270431.0
2019-08-21,14.01,14.22,13.93,14.0,5053644.0
2019-08-22,14.08,14.25,14.01,14.17,4098110.0
2019-08-23,13.99,14.06,13.57,13.65,7760489.0
2019-08-26,13.72,13.83,13.55,13.73,4604197.0
2019-08-27,13.81,13.85,13.36,13.5,3939875.0
2019-08-28,13.42,13.59,13.36,13.56,3182814.0
2019-08-29,13.64,13.88,13.54,13.66,3326361.0
2019-08-30,13.7,13.99,13.53,13.66,3798884.0
2019-09-03,13.54,13.65,12.9,13.12,6121689.0
2019-09-04,13.3,13.79,13.28,13.62,7002436.0
2019-09-05,13.9,14.54,13.83,14.33,9074496.0
2019-09-06,14.38,14.61,14.03,14.12,4622128.0
2019-09-09,14.15,15.07,14.14,15.06,10022384.0
2019-09-10,14.98,15.54,14.98,15.54,9339051.0
2019-09-11,15.55,16.02,15.08,15.92,7111899.0
2019-09-12,15.95,15.99,15.38,15.91,4683568.0
2019-09-13,16.03,16.17,15.74,15.83,2820616.0
2019-09-16,15.69,15.91,15.53,15.63,4418854.0
2019-09-17,15.6,15.6,14.75,14.83,7074633.0
2019-09-18,14.8,14.98,14.74,14.87,4428823.0
2019-09-19,14.88,14.89,14.43,14.49,3586532.0
2019-09-20,14.55,14.74,14.26,14.33,6892489.0
2019-09-23,14.14,14.65,14.12,14.56,4889846.0
2019-09-24,14.65,14.94,14.56,14.89,5905334.0
2019-09-25,15.0,15.13,14.8,14.88,2731290.0
2019-09-26,14.88,15.09,14.77,15.04,2891791.0
2019-09-27,15.13,15.39,15.04,15.11,3763394.0
2019-09-30,15.08,15.4,14.97,15.32,3619721.0
2019-10-01,15.4,15.57,14.86,14.88,3428311.0
2019-10-02,14.72,14.8,14.28,14.36,5040830.0
2019-10-03,14.35,14.58,13.94,14.58,5651973.0
2019-10-04,14.56,14.84,14.43,14.82,3070158.0
2019-10-07,14.73,15.01,14.66,14.84,3200320.0
2019-10-08,14.6,14.79,14.39,14.61,2909872.0
2019-10-09,14.71,14.74,14.42,14.47,3312817.0
2019-10-10,14.57,14.94,14.47,14.75,5191931.0
2019-10-11,14.9,15.47,14.81,15.26,3424832.0
2019-10-14,15.16,15.36,14.83,15.32,2946226.0
2019-10-15,15.32,15.55,15.17,15.46,3215500.0
2019-10-16,15.44,15.65,15.34,15.49,2970723.0
2019-10-17,15.57,15.91,15.46,15.84,3381496.0
2019-10-18,14.48,15.48,14.47,15.23,8699005.0
2019-10-21,15.39,15.69,15.36,15.65,3986981.0
2019-10-22,15.68,16.34,15.53,16.31,3916784.0
2019-10-23,16.25,16.28,15.85,16.17,2356628.0
2019-10-24,16.21,16.21,15.7,15.95,4097709.0
2019-10-25,15.75,15.94,15.55,15.89,3683543.0
2019-10-28,16.0,16.12,15.97,16.01,4756299.0
2019-10-29,15.98,16.13,15.9,16.05,4005683.0
2019-10-30,16.11,16.12,15.75,16.03,6917284.0
2019-10-31,14.44,15.26,14.03,15.21,15873787.0
2019-11-01,15.38,16.17,15.34,15.48,10706736.0
2019-11-04,15.54,15.82,15.48,15.81,6120202.0
2019-11-05,15.88,16.26,15.63,15.92,5890101.0
2019-11-06,15.94,15.98,15.56,15.89,3631543.0
2019-11-07,16.14,16.25,15.81,15.99,5360692.0
2019-11-08,15.82,15.93,15.52,15.86,3966554.0
2019-11-11,15.81,16.26,15.8,15.99,4240544.0
2019-11-12,16.0,16.02,15.59,15.63,3136564.0
2019-11-13,15.49,15.54,15.1,15.18,4948402.0
2019-11-14,15.12,15.49,15.09,15.25,5299346.0
2019-11-15,15.39,15.71,15.25,15.57,8167401.0
2019-11-18,15.66,15.7,15.29,15.44,7177144.0
2019-11-19,15.35,15.35,14.75,14.97,4733933.0
2019-11-20,14.93,15.14,14.75,15.06,3665280.0
2019-11-21,15.07,15.18,14.77,14.77,3556643.0
2019-11-22,14.83,15.21,14.78,15.03,4591192.0
2019-11-25,15.16,15.25,14.96,15.16,5235896.0
2019-11-26,15.06,15.08,14.15,15.05,11092179.0
