date,Open,High,Low,Close,Volume
2019-08-20,45.55,46.4,45.44,45.8,2046600.0
2019-08-21,46.4,46.91,44.99,45.37,2058200.0
2019-08-22,45.51,46.18,45.3,45.62,1810100.0
2019-08-23,45.2,45.84,43.44,43.63,2384200.0
2019-08-26,44.12,44.45,43.6,43.88,1352200.0
2019-08-27,44.27,44.62,42.9,43.15,3113200.0
2019-08-28,42.87,43.56,42.43,43.34,1444000.0
2019-08-29,43.5,44.69,43.5,44.51,1783100.0
2019-08-30,44.65,44.78,44.03,44.36,1354500.0
2019-09-03,43.54,45.39,43.44,45.17,2150700.0
2019-09-04,45.74,46.02,45.04,45.81,1407100.0
2019-09-05,46.5,47.7,46.44,47.62,3734400.0
2019-09-06,47.9,48.84,47.57,48.64,2449200.0
2019-09-09,48.93,50.47,48.82,50.43,2393800.0
2019-09-10,50.41,51.43,50.12,51.16,2006000.0
2019-09-11,51.44,51.61,50.37,51.26,1895600.0
2019-09-12,50.63,51.26,49.83,50.69,1514500.0
2019-09-13,51.18,51.95,50.79,51.38,1738100.0
2019-09-16,51.29,54.15,50.93,53.78,3484900.0
2019-09-17,53.36,53.9,52.22,53.04,2205400.0
2019-09-18,53.04,53.25,52.13,53.05,1632800.0
2019-09-19,53.29,53.49,52.42,52.78,1494500.0
2019-09-20,52.98,53.22,52.36,52.63,3693600.0
2019-09-23,52.13,53.38,51.83,53.17,1466500.0
2019-09-24,52.97,53.38,51.97,52.25,2018400.0
2019-09-25,52.32,53.75,52.32,53.34,1539400.0
2019-09-26,53.13,53.72,52.54,53.51,1410400.0
2019-09-27,53.6,54.36,53.07,53.58,1890200.0
2019-09-30,53.63,54.1,53.54,53.64,1289100.0
2019-10-01,53.98,53.98,52.83,53.3,1742000.0
2019-10-02,52.8,52.86,51.31,51.63,1673900.0
2019-10-03,51.37,52.89,51.09,52.79,1383400.0
2019-10-04,53.28,53.71,52.76,53.58,838500.0
2019-10-07,53.67,53.87,52.94,52.97,1547200.0
2019-10-08,52.43,52.74,52.04,52.09,1057500.0
2019-10-09,52.8,53.47,52.21,52.26,1200200.0
2019-10-10,52.54,53.49,52.45,53.17,1122700.0
2019-10-11,53.9,54.57,53.82,53.88,1063900.0
2019-10-14,53.64,54.08,53.28,53.67,709400.0
2019-10-15,53.61,55.05,53.05,54.69,1108300.0
2019-10-16,54.56,55.05,53.56,53.64,1293100.0
2019-10-17,54.07,55.16,53.97,55.1,1541700.0
2019-10-18,54.84,55.04,54.27,54.8,1533400.0
2019-10-21,55.21,55.71,54.87,55.25,1462200.0
2019-10-22,55.49,56.51,55.27,55.55,1369200.0
2019-10-23,55.49,56.43,55.39,55.63,1267300.0
2019-10-24,55.95,56.31,55.56,56.04,1616900.0
2019-10-25,56.23,57.62,56.23,57.42,1203100.0
2019-10-28,57.72,58.88,57.72,58.25,1748100.0
2019-10-29,58.08,58.8,57.92,58.0,1361800.0
2019-10-30,58.04,58.04,56.26,56.87,2144300.0
2019-10-31,58.12,58.12,53.34,54.94,2772100.0
2019-11-01,55.15,56.21,54.15,54.34,2566600.0
2019-11-04,55.08,55.77,54.18,54.32,1860600.0
2019-11-05,54.88,55.94,54.58,55.89,2719400.0
2019-11-06,55.57,55.61,53.26,53.42,1882700.0
2019-11-07,53.98,54.78,53.83,54.74,1987500.0
2019-11-08,54.43,54.59,53.23,54.14,1140400.0
2019-11-11,53.68,54.71,53.57,54.13,803300.0
2019-11-12,54.53,55.01,53.24,53.44,1591200.0
2019-11-13,52.99,53.2,52.41,52.59,1137200.0
2019-11-14,53.02,53.91,52.73,53.88,1739800.0
2019-11-15,53.93,53.93,52.24,52.54,1701900.0
2019-11-18,53.33,54.58,52.74,53.91,1979200.0
2019-11-19,53.63,53.74,51.39,52.3,1884100.0
2019-11-20,52.12,52.95,51.41,52.36,2089100.0
