date,Open,High,Low,Close,Volume
2019-08-20,58.89,59.3,58.51,58.54,1634600.0
2019-08-21,58.72,58.95,58.45,58.88,1436900.0
2019-08-22,59.19,59.68,59.01,59.48,1200600.0
2019-08-23,59.36,59.81,57.86,58.1,1856600.0
2019-08-26,58.31,58.6,57.96,58.57,1086800.0
2019-08-27,58.84,59.1,58.27,58.55,1677000.0
2019-08-28,58.3,58.7,58.03,58.41,1225800.0
2019-08-29,58.85,58.89,58.22,58.66,2438400.0
2019-08-30,58.75,58.75,58.06,58.28,1843400.0
2019-09-03,58.15,58.89,58.0,58.85,1794100.0
2019-09-04,59.25,59.76,58.74,59.71,1877000.0
2019-09-05,60.26,60.46,59.75,59.99,2182200.0
2019-09-06,60.04,60.77,59.99,60.32,1889800.0
2019-09-09,60.68,60.68,59.86,60.3,1843300.0
2019-09-10,60.17,60.19,59.13,59.3,2259300.0
2019-09-11,59.27,59.35,58.59,59.04,1537900.0
2019-09-12,59.3,60.05,58.95,59.93,1815800.0
2019-09-13,60.04,60.51,59.69,60.32,1897300.0
2019-09-16,60.06,60.23,59.63,60.03,877800.0
2019-09-17,59.95,60.75,59.75,60.73,1543200.0
2019-09-18,60.71,60.83,60.33,60.82,1396000.0
2019-09-19,60.78,61.23,60.58,60.64,1279000.0
2019-09-20,60.79,60.94,60.18,60.44,2340000.0
2019-09-23,60.25,60.51,60.14,60.19,1558800.0
2019-09-24,60.34,60.78,60.15,60.55,2289100.0
2019-09-25,60.54,60.73,60.17,60.35,1792500.0
2019-09-26,60.5,60.82,60.18,60.61,1480800.0
2019-09-27,60.8,60.8,60.1,60.45,1464600.0
2019-09-30,60.59,60.73,60.27,60.61,1689000.0
2019-10-01,60.76,60.78,59.43,59.45,1416500.0
2019-10-02,59.13,59.2,57.86,58.07,2067400.0
2019-10-03,57.92,58.26,57.41,58.21,1659200.0
2019-10-04,58.25,59.59,58.18,59.51,1274400.0
2019-10-07,59.42,59.53,58.93,58.94,1340700.0
2019-10-08,58.57,58.57,57.81,57.82,2360200.0
2019-10-09,58.17,58.37,57.72,58.08,1389600.0
2019-10-10,58.18,58.77,58.18,58.36,1354900.0
2019-10-11,58.95,59.33,58.59,58.64,2026300.0
2019-10-14,58.64,59.26,58.56,59.17,1525600.0
2019-10-15,59.26,59.73,59.23,59.49,1580600.0
2019-10-16,59.33,59.41,58.43,58.9,2284000.0
2019-10-17,59.34,59.35,58.31,58.63,2592200.0
2019-10-18,58.79,59.33,58.32,59.0,2292200.0
2019-10-21,59.54,59.78,59.21,59.76,1237700.0
2019-10-22,59.26,59.46,57.33,57.5,2923100.0
2019-10-23,57.59,57.96,57.46,57.87,1817200.0
2019-10-24,58.09,58.22,57.3,57.49,1423600.0
2019-10-25,57.5,57.54,56.64,56.8,1770900.0
2019-10-28,56.96,57.06,56.44,56.46,2409100.0
2019-10-29,56.56,57.2,56.37,56.81,2289500.0
2019-10-30,56.8,57.21,56.43,56.94,1663500.0
2019-10-31,56.86,57.08,56.41,57.08,1654100.0
2019-11-01,57.31,57.59,57.06,57.52,1475100.0
2019-11-04,57.7,57.97,57.3,57.53,2523000.0
2019-11-05,59.33,61.22,59.23,60.39,5432200.0
2019-11-06,60.37,61.1,59.54,61.08,2757400.0
2019-11-07,61.14,61.63,60.86,61.0,2051300.0
2019-11-08,60.98,61.17,60.64,61.09,2338300.0
2019-11-11,60.76,61.75,60.7,61.35,1714600.0
2019-11-12,61.34,61.7,61.1,61.65,1781300.0
2019-11-13,61.34,61.72,61.13,61.49,1429400.0
2019-11-14,61.51,61.72,61.28,61.62,1205500.0
2019-11-15,61.91,62.07,61.69,62.0,2519500.0
2019-11-18,61.82,62.06,61.77,62.03,1478800.0
2019-11-19,61.93,62.5,61.92,62.15,1848700.0
2019-11-20,61.98,62.05,61.48,61.9,1624300.0
2019-11-21,61.91,61.95,61.37,61.63,1390300.0
2019-11-22,61.68,61.93,61.4,61.59,1307400.0
2019-11-25,61.73,62.08,61.73,61.85,1315300.0
2019-11-26,62.0,62.6,61.78,62.59,4414200.0
2019-11-27,62.67,62.75,62.25,62.52,1584200.0
2019-11-29,62.16,62.36,61.74,61.86,903900.0
2019-12-02,61.97,62.07,61.42,61.45,1489700.0
2019-12-03,61.09,61.12,60.24,60.3,2121900.0
2019-12-04,60.07,61.17,60.07,60.8,1377200.0
2019-12-05,60.3,60.86,60.3,60.52,1603900.0
2019-12-06,60.92,61.15,60.64,60.84,1758600.0
2019-12-09,60.83,61.22,60.63,61.04,1577600.0
2019-12-10,61.08,61.36,60.88,61.17,1365500.0
2019-12-11,61.09,61.32,60.84,60.92,1642800.0
2019-12-12,60.91,61.69,60.84,61.28,1485500.0
2019-12-13,60.95,61.4,60.74,61.07,1234800.0
2019-12-16,61.42,61.64,60.81,61.06,1745000.0
2019-12-17,61.1,61.6,60.85,60.89,2260200.0
2019-12-18,61.06,61.31,60.64,60.91,1926700.0
2019-12-19,60.77,61.08,60.5,60.78,1724900.0
2019-12-20,61.29,61.45,60.8,60.91,2973600.0
2019-12-23,61.05,61.05,59.89,60.1,1421100.0
2019-12-24,60.03,60.18,59.93,60.06,495300.0
2019-12-26,60.37,60.54,60.07,60.27,1254200.0
2019-12-27,60.37,60.68,60.24,60.56,965500.0
2019-12-30,60.7,60.75,60.44,60.69,771300.0
2019-12-31,60.6,60.87,60.45,60.77,1106200.0
2020-01-02,60.96,61.01,60.23,60.95,1612000.0
2020-01-03,60.3,60.77,60.29,60.64,1326800.0
2020-01-06,60.52,60.83,60.32,60.48,2050400.0
2020-01-07,60.09,60.49,59.84,59.94,1413900.0
2020-01-08,60.06,60.83,59.94,60.26,1656100.0
2020-01-09,60.51,60.63,60.11,60.62,1774900.0
2020-01-10,60.6,60.62,59.74,59.76,2479800.0
2020-01-13,59.82,59.98,59.13,59.5,2715500.0
2020-01-14,59.39,60.23,59.35,59.76,2348600.0
2020-01-15,59.56,60.05,59.54,59.6,1639800.0
2020-01-16,59.83,60.47,59.83,60.27,2772500.0
2020-01-17,60.55,61.22,60.53,61.22,2080500.0
2020-01-21,61.06,61.32,60.39,60.49,1460000.0
2020-01-22,60.49,60.49,59.58,59.9,2218500.0
2020-01-23,59.3,59.31,58.38,58.81,2668400.0
2020-01-24,58.81,59.05,58.49,58.98,2077800.0
2020-01-27,58.24,58.77,58.06,58.09,2261700.0
2020-01-28,58.23,58.96,58.15,58.68,2653800.0
2020-01-29,58.84,59.01,58.33,58.52,1585800.0
2020-01-30,58.23,59.64,58.06,59.52,2759486.0
2020-01-31,59.2,59.64,58.91,59.28,2946600.0
2020-02-03,59.57,60.41,59.41,60.14,2855500.0
2020-02-04,59.39,60.25,57.68,57.72,4980000.0
2020-02-05,58.22,59.81,58.17,59.41,2841242.0
2020-02-06,59.6,59.91,59.2,59.62,2142600.0
2020-02-07,59.43,59.92,59.2,59.81,2156400.0
2020-02-10,59.79,59.87,58.73,59.0,2967500.0
2020-02-11,59.11,59.75,58.97,59.48,1750100.0
2020-02-12,59.6,59.91,58.9,58.9,1927181.0
2020-02-13,58.93,59.33,58.61,59.24,1457400.0
2020-02-14,59.17,59.43,58.78,59.1,2059800.0
2020-02-18,58.8,58.95,58.04,58.53,2071200.0
2020-02-19,58.7,58.71,58.06,58.09,1587600.0
2020-02-20,57.89,58.11,57.34,58.08,2048900.0
2020-02-21,57.91,58.31,57.73,58.05,2380300.0
2020-02-24,57.17,57.82,56.37,56.59,1988400.0
2020-02-25,56.64,56.77,55.04,55.27,2534400.0
2020-02-26,55.55,55.89,54.44,54.45,2869800.0
2020-02-27,53.86,54.48,51.96,51.96,3371000.0
2020-02-28,50.44,51.06,48.93,49.95,4905100.0
2020-03-02,50.12,53.12,49.92,53.12,3819400.0
2020-03-03,54.19,54.23,50.92,51.58,3937800.0
2020-03-04,52.53,54.07,51.76,53.9,2835600.0
2020-03-05,52.05,52.75,51.08,51.7,2488500.0
2020-03-06,49.76,51.21,49.59,50.96,2803900.0
2020-03-09,47.45,48.05,45.28,46.62,2911500.0
2020-03-10,48.54,48.84,46.41,48.3,2534200.0
2020-03-11,46.68,47.03,44.24,45.13,3443500.0
2020-03-12,41.98,43.5,36.57,40.18,3921200.0
2020-03-13,42.59,43.02,38.54,42.52,4190600.0
2020-03-16,36.5,37.12,32.35,33.5,6291700.0
2020-03-17,34.46,35.36,30.91,33.31,7305500.0
2020-03-18,31.21,31.21,19.04,26.25,8205700.0
2020-03-19,25.98,34.24,25.43,33.52,7880300.0
2020-03-20,34.11,35.32,31.22,31.27,6196100.0
2020-03-23,31.43,31.64,28.84,30.71,4187400.0
2020-03-24,31.32,34.71,31.21,34.63,4384700.0
2020-03-25,34.48,35.7,31.54,33.21,5510700.0
2020-03-26,33.7,35.12,32.4,34.94,5248800.0
2020-03-27,33.5,36.36,32.08,35.13,4686500.0
2020-03-30,34.97,36.41,33.0,35.84,3366600.0
2020-03-31,35.3,35.73,34.75,35.24,3949600.0
2020-04-01,34.09,34.73,33.23,33.46,4283900.0
2020-04-02,33.16,34.86,32.79,33.27,4423700.0
2020-04-03,32.9,33.31,32.02,32.15,3300700.0
2020-04-06,34.05,34.27,32.73,33.95,4111900.0
2020-04-07,36.0,37.64,35.17,36.92,6481600.0
2020-04-08,37.27,39.37,37.25,38.7,4295400.0
2020-04-09,39.74,42.05,39.72,41.88,4670700.0
2020-04-13,41.73,41.75,40.2,40.93,3109900.0
2020-04-14,41.9,42.9,40.82,41.23,3887800.0
2020-04-15,39.37,39.83,38.55,38.73,3217900.0
2020-04-16,38.46,38.69,37.33,37.42,4115700.0
2020-04-17,39.05,40.25,38.96,40.01,3062700.0
2020-04-20,38.81,39.31,38.03,38.64,1756300.0
2020-04-21,37.03,38.07,36.66,36.76,2709200.0
2020-04-22,37.74,37.74,35.66,35.68,3066200.0
2020-04-23,36.18,36.94,35.74,35.93,2370800.0
2020-04-24,36.21,36.42,35.39,36.04,2819400.0
2020-04-27,36.02,38.32,36.02,38.03,2666600.0
2020-04-28,39.28,40.67,38.44,39.34,4165500.0
2020-04-29,40.55,41.5,39.87,41.15,3658300.0
2020-04-30,37.21,40.84,36.63,37.99,4924600.0
2020-05-01,36.81,37.24,35.51,35.69,2820800.0
2020-05-04,35.23,35.53,34.26,35.39,3513900.0
2020-05-05,35.74,36.56,35.15,35.16,3239600.0
2020-05-06,35.42,35.53,33.48,33.53,2335500.0
2020-05-07,34.03,35.69,34.03,34.91,2628000.0
2020-05-08,35.71,36.46,35.22,36.35,2099900.0
2020-05-11,36.09,36.09,34.63,34.93,2879800.0
2020-05-12,35.04,35.63,34.13,34.15,2899500.0
2020-05-13,33.64,33.85,31.9,32.07,3783600.0
2020-05-14,31.57,33.34,30.27,33.3,3599200.0
2020-05-15,33.0,33.44,32.32,33.25,4531700.0
2020-05-18,35.12,35.73,34.67,35.25,3159500.0
2020-05-19,34.92,35.2,34.13,34.34,2041400.0
2020-05-20,34.82,35.64,34.54,35.01,2303100.0
2020-05-21,35.01,37.3,35.0,37.11,4453700.0
2020-05-22,37.26,37.63,36.4,36.99,3959700.0
2020-05-26,38.86,39.54,38.5,38.61,3079800.0
2020-05-27,40.2,40.25,38.53,39.27,2863500.0
2020-05-28,39.69,39.83,38.41,39.23,3161400.0
2020-05-29,38.33,39.33,37.8,38.29,7541500.0
2020-06-01,38.6,39.15,37.91,38.87,3344100.0
2020-06-02,39.22,40.62,38.81,40.41,3237200.0
2020-06-03,41.44,42.9,41.12,42.08,5740500.0
2020-06-04,41.85,44.29,41.57,44.28,3732800.0
2020-06-05,47.61,48.59,46.13,46.67,4167900.0
2020-06-08,47.16,48.02,45.99,46.64,3751600.0
2020-06-09,45.0,45.34,44.26,44.98,2381100.0
2020-06-10,44.68,44.68,42.67,42.9,3515600.0
2020-06-11,40.1,41.1,38.94,39.09,3096900.0
2020-06-12,41.19,41.28,38.84,40.03,2229500.0
2020-06-15,38.33,41.13,37.85,40.86,2724100.0
2020-06-16,42.82,43.0,40.91,41.49,2636200.0
2020-06-17,41.34,42.04,40.92,41.07,2271400.0
2020-06-18,40.48,41.53,40.2,41.21,2004300.0
2020-06-19,42.24,42.28,39.87,39.98,9045100.0
2020-06-22,39.4,39.52,38.74,39.13,3470100.0
2020-06-23,39.88,40.1,39.49,39.51,2120800.0
2020-06-24,38.77,38.93,37.47,37.86,2195300.0
2020-06-25,37.46,38.62,37.28,38.36,2370000.0
2020-06-26,37.79,38.06,37.01,37.44,3414600.0
2020-06-29,38.03,38.53,37.44,38.33,1919939.0
2020-06-30,38.14,39.02,38.14,38.55,2473300.0
2020-07-01,38.51,39.03,37.49,37.7,1970400.0
2020-07-02,38.72,39.06,37.35,37.5,2049400.0
2020-07-06,38.61,38.9,37.83,38.3,1456400.0
2020-07-07,37.84,38.01,37.07,37.18,2379400.0
2020-07-08,37.06,37.9,36.93,37.65,1672600.0
2020-07-09,37.47,37.56,35.7,35.81,1702100.0
2020-07-10,35.94,37.56,35.8,37.41,1932000.0
2020-07-13,37.75,38.28,36.63,37.6,2265700.0
2020-07-14,37.76,38.85,37.29,38.74,1926600.0
2020-07-15,39.94,40.6,39.5,40.41,2732400.0
2020-07-16,41.18,43.12,40.76,42.31,3260500.0
2020-07-17,42.29,42.37,41.45,41.95,2265300.0
2020-07-20,41.89,41.89,40.83,41.09,1810500.0
2020-07-21,41.43,42.34,41.43,41.64,1485100.0
2020-07-22,41.16,42.4,40.92,42.12,1396019.0
2020-07-23,41.78,42.51,41.36,42.4,1913903.0
2020-07-24,42.44,42.67,41.3,41.48,1888701.0
2020-07-27,41.21,41.23,40.29,40.84,1770576.0
2020-07-28,40.55,40.99,40.35,40.45,1479862.0
2020-07-29,40.42,41.57,40.06,41.44,1539555.0
2020-07-30,40.28,40.82,39.83,40.5,1574352.0
2020-07-31,42.0,42.8,40.78,42.32,4124624.0
2020-08-03,42.3,42.86,41.67,42.0,3207195.0
2020-08-04,41.83,41.95,40.51,40.57,2641586.0
2020-08-05,41.04,42.33,40.96,42.03,2177474.0
2020-08-06,41.58,42.48,41.38,41.58,1775112.0
2020-08-07,41.38,42.86,41.085,42.8,1345087.0
2020-08-10,42.9,43.77,42.81,43.66,1610905.0
2020-08-11,44.8,45.69,43.76,43.82,2696646.0
2020-08-12,44.6,44.6,42.28,42.8,2364319.0
2020-08-13,42.3,42.48,41.53,42.46,2797141.0
2020-08-14,42.14,43.195,41.975,42.81,2060269.0
2020-08-17,42.58,42.64,41.71,41.83,1539705.0
2020-08-18,41.92,42.13,41.19,41.28,1082532.0
2020-08-19,41.23,41.93,40.73,40.79,1214863.0
2020-08-20,40.31,40.705,40.2,40.29,1538819.0
