date,Open,High,Low,Close,Volume
2019-08-20,93.22,93.735,92.6,92.73,2397549.0
2019-08-21,93.6,93.6,91.265,91.62,1750322.0
2019-08-22,92.02,92.8,91.34,92.41,1616859.0
2019-08-23,92.15,93.185,90.63,91.08,2199812.0
2019-08-26,91.9,92.05,90.815,91.65,1336294.0
2019-08-27,92.23,92.35,90.96,91.13,2376929.0
2019-08-28,91.0,92.14,90.61,91.91,1273820.0
2019-08-29,92.72,93.56,92.46,92.54,945577.0
2019-08-30,93.23,93.68,92.07,92.37,1174021.0
2019-09-03,91.16,91.67,90.72,91.31,1530448.0
2019-09-04,92.03,92.57,91.81,92.3,1003829.0
2019-09-05,93.22,93.82,92.8952,93.47,1084768.0
2019-09-06,93.4,94.24,93.23,93.74,1061645.0
2019-09-09,93.97,94.11,92.05,92.53,1375817.0
2019-09-10,91.76,93.59,90.91,93.58,1880163.0
2019-09-11,94.14,95.61,93.61,95.18,2135551.0
2019-09-12,95.46,96.14,94.65,94.77,1365804.0
2019-09-13,95.29,97.49,94.885,96.05,1567352.0
2019-09-16,95.06,95.1,93.35,93.66,1883048.0
2019-09-17,93.63,95.77,93.63,94.86,954571.0
2019-09-18,94.5,95.42,94.28,95.35,1013470.0
2019-09-19,95.74,96.04,95.45,95.78,1196919.0
2019-09-20,95.96,96.23,95.015,95.22,3108927.0
2019-09-23,94.88,95.74,94.225,94.25,1598026.0
2019-09-24,94.65,94.69,91.88,92.22,2352705.0
2019-09-25,92.05,93.2,91.52,92.77,1194932.0
2019-09-26,92.45,92.84,91.31,92.01,1662141.0
2019-09-27,92.54,92.94,90.98,91.45,1359874.0
2019-09-30,91.8,93.155,91.06,93.11,2016441.0
2019-10-01,93.45,94.34,92.07,92.15,2016294.0
2019-10-02,91.62,91.71,90.6,90.94,2086653.0
2019-10-03,91.13,92.05,90.635,91.99,1856577.0
2019-10-04,92.3,93.765,92.07,93.35,1643536.0
2019-10-07,93.03,93.12,90.95,91.0,2088347.0
2019-10-08,90.19,91.7,88.97,90.7,2153530.0
2019-10-09,91.47,91.76,90.5885,91.5,1723898.0
2019-10-10,91.39,92.97,91.3,91.55,2128264.0
2019-10-11,92.96,94.66,92.96,93.43,2763002.0
2019-10-14,93.01,93.12,91.0,91.53,1315495.0
2019-10-15,91.61,92.4,90.81,91.66,1687865.0
2019-10-16,91.79,92.65,91.615,92.2,1165228.0
2019-10-17,92.42,94.79,91.83,92.2,1862406.0
2019-10-18,90.89,91.74,90.5,91.15,2739465.0
2019-10-21,91.76,92.43,91.52,92.39,1793984.0
2019-10-22,92.25,92.7,90.73,90.73,2224023.0
2019-10-23,91.5,95.95,89.85,95.77,4070021.0
2019-10-24,95.56,97.36,94.81,96.91,2834814.0
