date,Open,High,Low,Close,Volume
2019-08-20,50.54,50.93,49.89,49.95,1056644.0
2019-08-21,50.3,50.645,50.12,50.36,949931.0
2019-08-22,50.47,50.65,49.63,49.85,1291096.0
2019-08-23,49.79,49.83,47.91,48.13,1975775.0
2019-08-26,48.53,48.75,47.99,48.54,2003915.0
2019-08-27,48.79,48.9,48.06,48.26,2124418.0
2019-08-28,48.04,48.635,48.01,48.45,2883103.0
2019-08-29,48.72,49.24,48.49,49.15,1064060.0
2019-08-30,49.27,49.62,49.0075,49.37,1515913.0
2019-09-03,49.14,49.14,47.79,48.46,1404477.0
2019-09-04,48.95,48.95,48.1,48.65,1045373.0
2019-09-05,49.02,49.82,48.79,49.69,1443424.0
2019-09-06,49.91,50.23,49.66,49.71,868630.0
2019-09-09,49.79,49.93,48.85,48.98,1039003.0
2019-09-10,48.86,49.09,47.815,49.07,1216652.0
2019-09-11,49.07,49.71,48.905,49.55,1460293.0
2019-09-12,49.82,50.23,49.68,49.82,1373697.0
2019-09-13,49.84,50.04,49.525,49.72,1137028.0
2019-09-16,49.5,49.81,49.19,49.45,935915.0
2019-09-17,49.42,50.21,49.42,50.0,2159327.0
2019-09-18,50.14,50.29,49.56,49.99,1233197.0
2019-09-19,49.89,50.39,49.89,50.0,1992349.0
2019-09-20,49.96,50.34,49.68,49.95,1915143.0
2019-09-23,49.98,50.32,49.81,50.0,1765434.0
2019-09-24,50.41,50.63,49.72,49.85,1597976.0
2019-09-25,49.8,50.22,49.59,50.0,2802883.0
2019-09-26,50.96,51.44,49.55,49.61,4972873.0
2019-09-27,49.63,50.0,49.04,49.61,2553238.0
2019-09-30,49.79,50.94,49.79,50.49,3600941.0
2019-10-01,50.78,50.97,48.62,48.68,4053175.0
2019-10-02,48.58,48.67,47.57,48.27,2346522.0
2019-10-03,48.33,49.3052,47.87,48.61,1932735.0
2019-10-04,48.65,49.07,48.45,48.8,3246380.0
2019-10-07,48.8,49.53,48.27,49.11,1307429.0
2019-10-08,48.73,48.95,47.97,48.41,1704378.0
2019-10-09,48.81,49.5,48.59,49.46,1159461.0
2019-10-10,49.2,49.2,48.12,48.64,1186776.0
2019-10-11,49.04,49.42,48.76,48.79,1285542.0
2019-10-14,48.82,49.13,48.46,48.5,854406.0
2019-10-15,49.31,49.72,49.045,49.43,1704581.0
2019-10-16,49.27,49.34,48.88,48.97,853983.0
2019-10-17,49.03,49.45,49.01,49.35,1136263.0
2019-10-18,49.38,50.08,49.17,49.925,1735378.0
2019-10-21,50.08,50.295,49.14,49.18,1246871.0
2019-10-22,49.34,49.59,48.35,48.39,1600816.0
2019-10-23,48.32,48.83,47.98,47.99,2089612.0
2019-10-24,48.26,48.26,47.54,47.68,1314057.0
2019-10-25,47.55,47.93,47.48,47.49,941553.0
2019-10-28,47.78,47.98,47.67,47.81,1754212.0
2019-10-29,47.57,48.56,47.38,48.11,2402340.0
2019-10-30,48.04,48.28,47.72,48.22,1890908.0
2019-10-31,48.24,48.51,47.95,48.31,2070596.0
2019-11-01,48.5,49.04,48.4,48.66,2594689.0
2019-11-04,48.93,49.005,48.52,48.69,2257950.0
2019-11-05,48.53,48.77,47.7801,48.105,2382548.0
2019-11-06,48.39,49.06,48.24,48.56,3948557.0
2019-11-07,49.56,49.56,45.17,46.2,7498460.0
2019-11-08,46.18,46.78,46.09,46.56,2275860.0
2019-11-11,46.34,46.52,45.265,45.61,2444354.0
2019-11-12,45.57,46.46,45.32,46.15,3181779.0
2019-11-13,46.14,47.16,45.9,46.88,4816859.0
2019-11-14,46.79,46.94,46.36,46.66,3045464.0
2019-11-15,46.9,47.325,46.75,47.14,5938262.0
2019-11-18,47.33,47.57,46.68,46.77,1518153.0
2019-11-19,46.81,47.34,46.705,47.15,2405901.0
2019-11-20,48.36,49.27,48.11,49.19,5998125.0
2019-11-21,49.08,49.64,48.74,49.5,3500277.0
2019-11-22,49.61,50.25,49.22,50.02,3950151.0
2019-11-25,50.27,51.35,50.24,51.28,2166849.0
2019-11-26,49.49,51.58,49.43,51.4,2324375.0
2019-11-27,51.86,51.86,51.06,51.4,1812842.0
2019-11-29,51.43,51.63,51.05,51.32,1022404.0
2019-12-02,51.14,51.7,50.94,51.54,2127538.0
2019-12-03,50.97,51.82,50.96,51.69,2289133.0
2019-12-04,52.0,52.42,51.805,52.14,2137388.0
2019-12-05,52.29,52.41,51.86,52.28,2247362.0
2019-12-06,52.4,53.0,52.39,52.74,1942119.0
2019-12-09,52.79,52.79,52.08,52.1,1745987.0
2019-12-10,52.05,52.38,51.68,52.2,2462381.0
2019-12-11,52.17,52.72,51.875,52.6,1928433.0
2019-12-12,52.66,53.7399,52.53,53.19,2261169.0
2019-12-13,53.18,53.62,52.9,53.15,1363132.0
2019-12-16,53.45,53.65,53.16,53.56,2408163.0
2019-12-17,53.7,53.7,52.96,53.03,1715224.0
2019-12-18,53.05,53.05,52.47,52.6,2263294.0
2019-12-19,52.56,52.63,51.99,52.23,2696333.0
2019-12-20,52.5,52.54,51.91,52.02,2657157.0
2019-12-23,52.2,52.69,51.975,52.555,1693273.0
2019-12-24,52.62,52.76,52.2184,52.59,374414.0
2019-12-26,52.66,52.66,52.215,52.34,541093.0
2019-12-27,52.59,52.59,52.13,52.36,852717.0
2019-12-30,52.42,52.69,51.805,51.86,892661.0
2019-12-31,51.85,52.24,51.645,52.21,1277198.0
2020-01-02,52.1,52.33,51.39,52.07,1557804.0
2020-01-03,51.24,51.94,51.13,51.89,1626649.0
2020-01-06,51.47,52.47,51.46,52.38,1859587.0
2020-01-07,52.35,52.795,52.15,52.49,1551233.0
2020-01-08,52.38,52.81,52.29,52.29,1928647.0
2020-01-09,52.54,53.43,52.425,53.275,4088854.0
2020-01-10,53.58,53.58,52.92,53.17,1152365.0
2020-01-13,53.37,53.64,52.56,52.91,2837897.0
2020-01-14,52.83,53.995,52.67,53.53,2239066.0
2020-01-15,53.54,54.24,53.465,53.75,1367472.0
2020-01-16,53.85,54.38,53.775,54.22,1779930.0
2020-01-17,54.33,54.73,54.2,54.32,1714479.0
2020-01-21,54.25,54.51,53.98,54.21,1216715.0
2020-01-22,54.29,54.605,54.1,54.24,1517260.0
2020-01-23,54.23,54.3,53.68,53.82,2253890.0
2020-01-24,53.96,54.015,53.35,53.72,4022564.0
