date,Open,High,Low,Close,Volume
2019-08-20,27.63,27.71,27.12,27.21,2089600.0
2019-08-21,27.32,27.36,26.93,27.05,2448200.0
2019-08-22,27.12,27.31,27.02,27.2,2166000.0
2019-08-23,27.13,27.27,26.62,26.71,2912000.0
2019-08-26,26.92,27.35,26.92,27.16,3187500.0
2019-08-27,27.25,27.28,26.61,26.9,3691900.0
2019-08-28,26.8,27.18,26.71,26.88,4137600.0
2019-08-29,25.96,26.04,23.87,24.37,9770100.0
2019-08-30,24.23,24.54,23.9,24.22,5237200.0
2019-09-03,24.11,24.52,24.05,24.26,6135700.0
2019-09-04,24.32,24.38,24.07,24.18,5540900.0
2019-09-05,24.32,24.37,24.08,24.24,3382100.0
2019-09-06,24.34,24.5,24.1,24.14,3506000.0
2019-09-09,24.17,24.29,23.97,24.2,4465300.0
2019-09-10,24.1,24.52,24.0,24.45,5635500.0
2019-09-11,24.35,24.66,24.31,24.64,3696400.0
2019-09-12,24.51,24.64,24.09,24.09,2937000.0
2019-09-13,24.1,24.64,24.1,24.17,2581600.0
2019-09-16,24.02,24.16,23.92,24.06,2278500.0
2019-09-17,24.04,24.23,23.96,24.05,2895600.0
2019-09-18,24.05,24.17,23.81,24.05,3015000.0
2019-09-19,24.11,24.11,23.68,23.75,2260100.0
2019-09-20,23.85,23.89,23.42,23.42,4488200.0
2019-09-23,23.35,23.88,23.25,23.74,2269500.0
2019-09-24,23.82,23.92,23.52,23.7,2314800.0
2019-09-25,23.72,23.85,23.52,23.56,2155400.0
2019-09-26,23.56,23.65,23.42,23.64,2356300.0
2019-09-27,23.74,23.86,23.16,23.33,3382300.0
2019-09-30,23.24,23.71,23.24,23.62,3359100.0
2019-10-01,23.64,23.88,23.37,23.39,2465400.0
2019-10-02,23.29,23.54,23.19,23.43,3909200.0
2019-10-03,23.29,23.56,23.11,23.55,2635300.0
2019-10-04,23.66,23.66,23.11,23.4,2206800.0
2019-10-07,23.32,23.7,23.29,23.56,3130900.0
2019-10-08,23.47,23.47,23.01,23.11,2405300.0
2019-10-09,23.19,23.4,23.09,23.26,2717300.0
2019-10-10,23.26,23.8,23.26,23.63,2906900.0
2019-10-11,23.76,23.9,23.58,23.63,2213100.0
2019-10-14,23.56,23.78,23.51,23.61,2049600.0
2019-10-15,23.66,23.75,22.99,23.44,4009700.0
2019-10-16,23.46,23.66,23.32,23.6,3150800.0
2019-10-17,23.66,23.85,23.55,23.72,1948800.0
2019-10-18,23.66,23.75,23.27,23.28,2109000.0
2019-10-21,23.38,23.8,23.38,23.73,2959900.0
2019-10-22,23.76,24.38,23.74,24.35,2382900.0
2019-10-23,24.35,24.77,24.15,24.61,3094700.0
2019-10-24,24.69,24.88,24.39,24.87,1720300.0
2019-10-25,24.9,25.29,24.8,25.18,2188600.0
2019-10-28,25.21,25.38,24.9,24.93,2043200.0
2019-10-29,24.89,25.06,24.84,24.91,1472200.0
2019-10-30,24.85,25.12,24.71,25.12,1562600.0
2019-10-31,25.14,25.14,24.77,24.99,2739000.0
2019-11-01,25.03,25.18,24.9,24.95,1661300.0
2019-11-04,25.03,25.3,24.92,24.95,2274600.0
2019-11-05,25.11,25.29,25.0,25.02,2794500.0
2019-11-06,25.06,25.13,24.75,25.12,2109100.0
2019-11-07,25.21,25.44,25.1,25.14,2414700.0
2019-11-08,24.76,24.97,23.7,24.42,7359000.0
2019-11-11,24.36,24.64,24.29,24.6,2426300.0
2019-11-12,24.6,24.76,24.48,24.58,1906500.0
2019-11-13,24.57,24.72,24.28,24.32,2587900.0
2019-11-14,24.35,24.76,24.3,24.74,2255300.0
2019-11-15,24.86,25.06,24.6,24.92,2119300.0
2019-11-18,24.85,25.0,24.55,24.86,2797900.0
2019-11-19,24.78,25.04,24.64,24.65,2281900.0
2019-11-20,24.54,24.6,24.35,24.49,3359000.0
2019-11-21,24.48,24.6,24.33,24.34,3012600.0
2019-11-22,24.38,24.63,24.25,24.51,2670500.0
2019-11-25,24.6,24.64,24.31,24.4,3558900.0
2019-11-26,24.41,24.71,24.06,24.41,16600800.0
2019-11-27,24.49,25.0,24.16,24.72,3439800.0
2019-11-29,24.69,24.71,24.32,24.38,1499100.0
2019-12-02,24.39,24.51,24.05,24.07,3363800.0
2019-12-03,23.9,24.0,23.59,23.6,4031000.0
2019-12-04,23.62,23.85,23.39,23.39,5177800.0
2019-12-05,23.46,23.9,22.79,23.36,6549400.0
2019-12-06,23.38,23.81,23.26,23.5,5822700.0
2019-12-09,23.56,23.73,23.11,23.13,5039300.0
2019-12-10,23.15,23.55,23.01,23.16,4794300.0
2019-12-11,23.11,23.16,22.92,23.02,4323000.0
2019-12-12,23.05,23.58,22.97,23.51,5846300.0
2019-12-13,23.57,23.77,23.37,23.49,3571800.0
2019-12-16,23.57,23.8,23.2,23.34,4885000.0
2019-12-17,23.4,23.87,23.34,23.4,3217500.0
2019-12-18,23.39,23.53,23.23,23.46,3879300.0
2019-12-19,23.43,23.71,23.43,23.43,5149000.0
2019-12-20,23.47,23.66,23.33,23.63,4433400.0
2019-12-23,23.75,23.85,23.4,23.4,1995900.0
2019-12-24,23.4,23.47,23.19,23.34,994900.0
2019-12-26,23.43,23.5,23.26,23.39,1825800.0
2019-12-27,23.41,23.51,23.36,23.39,1710600.0
2019-12-30,23.46,23.5,23.28,23.37,2566900.0
2019-12-31,23.32,23.52,23.31,23.48,2812500.0
2020-01-02,23.6,23.6,23.32,23.48,2865700.0
2020-01-03,23.29,23.52,23.19,23.46,2626600.0
2020-01-06,23.36,23.63,23.26,23.53,3233900.0
2020-01-07,23.5,23.62,23.43,23.52,2918800.0
2020-01-08,23.52,23.63,23.34,23.38,2328600.0
2020-01-09,23.46,23.6,23.28,23.45,3105000.0
2020-01-10,23.45,23.67,23.27,23.65,2825300.0
2020-01-13,23.7,23.9,23.58,23.77,2735000.0
2020-01-14,23.79,23.94,23.72,23.94,2522200.0
2020-01-15,24.04,24.72,23.98,24.54,5251100.0
2020-01-16,24.61,25.11,24.61,24.97,4541200.0
2020-01-17,24.98,25.0,24.36,24.47,3794200.0
2020-01-21,24.45,24.6,24.29,24.34,5126500.0
2020-01-22,24.41,24.47,24.22,24.26,3008600.0
2020-01-23,24.16,24.52,24.05,24.36,3064900.0
2020-01-24,24.38,24.51,23.87,23.94,2220900.0
2020-01-27,23.68,24.01,23.6,23.6,3264300.0
2020-01-28,23.69,23.77,23.45,23.72,2278900.0
2020-01-29,23.81,23.97,23.64,23.75,1746500.0
2020-01-30,23.56,23.625,23.07,23.47,3220215.0
2020-01-31,23.53,23.62,23.2,23.2,10591700.0
2020-02-03,23.23,23.45,22.53,22.53,3202200.0
2020-02-04,22.76,22.8,21.98,22.26,4067600.0
2020-02-05,22.4,23.355,22.3,23.28,4242763.0
2020-02-06,23.56,23.8,23.22,23.22,3668600.0
2020-02-07,23.15,23.22,22.26,22.31,2276200.0
2020-02-10,22.22,22.31,21.61,21.67,2303900.0
2020-02-11,21.88,22.21,21.78,22.03,2426200.0
2020-02-12,22.1,22.39,22.06,22.22,2262700.0
2020-02-13,22.15,22.51,22.01,22.48,1853100.0
2020-02-14,22.39,22.53,22.27,22.38,2367800.0
2020-02-18,22.38,22.98,22.36,22.98,2735600.0
2020-02-19,23.0,23.28,22.94,23.1,2141300.0
2020-02-20,23.08,23.71,23.08,23.68,2876500.0
2020-02-21,23.62,23.71,23.2,23.47,2444400.0
2020-02-24,22.97,22.97,22.44,22.88,2695300.0
2020-02-25,22.98,23.0,21.88,21.96,2527100.0
2020-02-26,21.95,22.3,21.49,21.49,3848900.0
2020-02-27,21.15,21.81,20.7,21.27,3803900.0
2020-02-28,20.96,21.05,20.21,20.67,4753500.0
2020-03-02,20.77,21.5,20.14,21.5,5024300.0
2020-03-03,21.5,21.64,20.55,20.82,3715700.0
2020-03-04,21.09,21.88,20.89,21.87,2606100.0
2020-03-05,21.26,21.34,20.55,20.84,3347000.0
2020-03-06,19.11,19.83,17.61,19.79,8120700.0
2020-03-09,18.7,20.59,18.52,20.12,4352000.0
2020-03-10,20.4,20.98,19.93,20.82,5201200.0
2020-03-11,20.34,20.54,18.95,19.06,5073300.0
2020-03-12,18.05,18.6,14.53,15.72,5531100.0
2020-03-13,16.78,18.29,16.77,17.46,9756000.0
2020-03-16,15.84,17.37,14.65,15.72,5754900.0
2020-03-17,16.0,17.71,15.68,17.37,4315500.0
2020-03-18,16.2,16.63,13.61,14.74,4277300.0
2020-03-19,14.76,16.09,13.78,14.75,2831400.0
2020-03-20,15.0,15.39,12.76,13.08,5951800.0
2020-03-23,12.94,12.99,11.29,12.38,3945100.0
2020-03-24,13.11,13.47,12.26,12.9,4423600.0
2020-03-25,13.03,14.17,12.38,13.8,5948600.0
2020-03-26,14.0,16.28,13.64,15.88,8037600.0
2020-03-27,15.14,15.86,14.57,15.08,4778500.0
2020-03-30,14.87,15.04,13.9,14.0,4351300.0
2020-03-31,14.14,14.63,13.93,14.08,4286200.0
2020-04-01,13.33,13.5,12.81,12.98,2894100.0
2020-04-02,12.84,13.49,12.31,12.56,3142500.0
2020-04-03,12.59,12.76,11.86,11.94,3251100.0
2020-04-06,12.81,13.64,12.61,13.56,4427100.0
2020-04-07,14.05,14.73,13.62,13.66,3696700.0
2020-04-08,13.84,14.71,13.7,14.56,2430300.0
2020-04-09,14.99,15.67,14.84,14.99,3924100.0
