date,Open,High,Low,Close,Volume
2019-08-20,41.08,41.45,40.78,40.9,3030134.0
2019-08-21,41.09,41.23,40.63,40.97,3833128.0
2019-08-22,42.25,43.09,41.17,42.95,5667132.0
2019-08-23,42.7,42.75,41.4,42.0,3552285.0
2019-08-26,42.27,42.63,41.73,42.63,3037593.0
2019-08-27,42.61,42.7,42.17,42.41,2555220.0
2019-08-28,42.47,42.68,42.19,42.3,1827450.0
2019-08-29,42.5,42.63,42.07,42.45,1778898.0
2019-08-30,42.73,43.0,42.42,42.61,1643569.0
2019-09-03,42.42,42.89,42.18,42.84,2305187.0
2019-09-04,42.83,43.14,42.33,42.53,2857314.0
2019-09-05,42.87,42.93,42.36,42.55,2391282.0
2019-09-06,42.69,42.76,42.41,42.6,1474583.0
2019-09-09,42.68,42.94,42.39,42.91,1739891.0
2019-09-10,42.47,43.68,42.47,43.67,2444392.0
2019-09-11,43.6,44.57,43.39,44.54,3287403.0
2019-09-12,44.5,44.73,43.85,44.0,3139116.0
2019-09-13,43.72,44.18,42.81,42.98,3139283.0
2019-09-16,42.84,43.0,42.41,42.83,1576161.0
2019-09-17,42.81,43.49,42.71,43.17,1465220.0
2019-09-18,43.39,43.69,42.56,42.96,1831175.0
2019-09-19,43.02,43.24,42.77,42.96,1600587.0
2019-09-20,43.07,43.17,42.73,42.94,2590648.0
2019-09-23,43.03,43.4,42.58,42.6,1721142.0
2019-09-24,42.89,43.04,42.65,42.96,3590712.0
2019-09-25,43.04,43.42,42.99,43.3,2243657.0
2019-09-26,43.49,43.68,43.21,43.54,1757846.0
2019-09-27,43.67,43.73,43.32,43.54,1441285.0
2019-09-30,43.61,43.88,43.48,43.73,1886326.0
2019-10-01,43.78,43.91,43.46,43.62,2030606.0
2019-10-02,43.55,43.99,42.61,42.74,4184638.0
2019-10-03,43.16,43.42,42.84,43.05,1975432.0
2019-10-04,43.15,43.75,42.97,43.74,1877654.0
2019-10-07,43.54,43.88,43.52,43.7,2784809.0
2019-10-08,43.7,43.83,43.06,43.08,2298368.0
2019-10-09,43.07,43.09,42.63,42.84,2828716.0
2019-10-10,42.69,42.79,41.67,41.67,3958741.0
2019-10-11,41.66,41.67,41.12,41.16,3410885.0
2019-10-14,41.27,41.42,40.9,40.97,1979018.0
2019-10-15,41.01,41.16,40.71,41.01,2594354.0
2019-10-16,41.22,41.3,40.48,40.56,1900388.0
2019-10-17,40.45,40.94,40.26,40.86,2544147.0
2019-10-18,40.71,40.93,40.49,40.81,1560998.0
2019-10-21,40.81,40.94,40.6,40.64,1458839.0
2019-10-22,40.72,40.81,40.49,40.53,1526927.0
2019-10-23,40.55,40.82,40.55,40.78,1206100.0
2019-10-24,40.7,40.95,40.56,40.87,997454.0
2019-10-25,40.61,40.78,40.4,40.57,1859162.0
2019-10-28,40.7,40.74,40.24,40.49,1523569.0
2019-10-29,40.55,40.94,40.42,40.84,1732214.0
2019-10-30,40.84,40.94,40.63,40.89,1216476.0
2019-10-31,40.95,41.26,40.73,40.89,2208591.0
2019-11-01,40.87,41.4,40.7,41.26,1761982.0
2019-11-04,41.3,41.71,41.15,41.68,3189394.0
2019-11-05,41.59,41.91,41.44,41.62,1807185.0
2019-11-06,41.72,41.98,41.53,41.6,1707178.0
2019-11-07,41.54,41.87,41.51,41.63,1458266.0
2019-11-08,41.72,41.98,41.6,41.97,1151660.0
2019-11-11,41.91,41.95,41.52,41.62,1477638.0
2019-11-12,41.63,41.79,41.33,41.78,1321952.0
2019-11-13,41.83,42.17,41.75,42.15,1276081.0
2019-11-14,42.22,42.39,42.05,42.23,1251476.0
2019-11-15,42.24,42.41,42.07,42.38,1664843.0
2019-11-18,42.37,42.9,42.31,42.71,1296303.0
2019-11-19,42.63,42.92,42.45,42.74,1786946.0
2019-11-20,42.79,42.9,42.61,42.85,1623530.0
2019-11-21,42.82,43.07,42.58,42.72,1639606.0
2019-11-22,43.02,43.21,42.21,42.31,2174536.0
2019-11-25,42.54,42.81,42.38,42.76,3194525.0
2019-11-26,42.94,44.58,42.36,44.28,10265442.0
2019-11-27,44.28,45.12,43.81,44.88,5040217.0
2019-11-29,44.93,45.21,44.48,44.53,2072940.0
2019-12-02,44.44,45.6,44.31,45.43,4205535.0
2019-12-03,45.18,45.55,44.7,45.54,2095108.0
2019-12-04,45.37,45.79,45.15,45.25,2470597.0
2019-12-05,45.24,45.76,45.13,45.76,3284082.0
2019-12-06,45.79,45.84,45.32,45.34,2126398.0
2019-12-09,45.36,45.57,45.23,45.36,1938921.0
2019-12-10,45.35,45.65,45.11,45.6,2284005.0
2019-12-11,45.71,45.75,45.3,45.56,1204644.0
2019-12-12,45.56,45.77,45.32,45.35,1814219.0
2019-12-13,45.22,45.57,44.85,44.9,1845417.0
2019-12-16,44.93,45.07,44.46,44.87,2537877.0
2019-12-17,44.86,45.2,44.41,44.5,2278347.0
2019-12-18,44.61,44.75,44.15,44.42,1923770.0
2019-12-19,44.62,44.92,44.5,44.7,1884270.0
2019-12-20,45.04,45.17,44.72,44.96,5661511.0
2019-12-23,45.06,45.42,44.86,45.4,1780032.0
2019-12-24,45.29,45.47,45.22,45.35,602339.0
2019-12-26,45.28,45.52,45.24,45.3,2238998.0
2019-12-27,45.36,45.53,45.11,45.26,1676725.0
2019-12-30,45.11,45.44,44.98,45.0,1295714.0
2019-12-31,44.96,45.17,44.8,45.11,1495586.0
2020-01-02,45.14,45.35,44.04,44.31,2405705.0
2020-01-03,44.23,44.57,44.01,44.25,1858701.0
2020-01-06,44.3,44.65,44.22,44.27,2275359.0
2020-01-07,44.2,44.67,44.13,44.54,2076419.0
2020-01-08,44.51,44.77,44.51,44.59,2016735.0
2020-01-09,44.72,44.76,44.3,44.49,2242911.0
2020-01-10,44.4,45.25,44.33,44.9,2356590.0
2020-01-13,45.02,45.91,45.0,45.9,2378972.0
2020-01-14,45.83,45.84,45.04,45.45,2676176.0
2020-01-15,45.57,45.85,45.3,45.3,1558899.0
2020-01-16,45.37,46.15,45.3,46.02,2061050.0
2020-01-17,46.1,46.7,46.0,46.3,3373324.0
2020-01-21,46.34,47.06,46.33,46.95,4061269.0
2020-01-22,46.99,47.37,46.43,46.57,2262106.0
2020-01-23,46.56,47.23,46.37,46.99,2872056.0
2020-01-24,47.16,47.23,46.75,47.23,1667231.0
2020-01-27,47.15,47.49,46.71,46.82,2318901.0
2020-01-28,46.75,47.19,46.69,47.05,1441684.0
2020-01-29,47.08,47.52,46.92,47.32,2281323.0
2020-01-30,47.31,47.98,47.09,47.88,2476425.0
2020-01-31,47.8,48.01,47.14,47.26,3577533.0
2020-02-03,47.41,47.78,47.3,47.43,1898162.0
2020-02-04,47.63,47.98,47.54,47.55,1688688.0
2020-02-05,47.73,47.85,47.36,47.39,2133761.0
2020-02-06,47.06,47.5,46.51,46.89,3810012.0
2020-02-07,46.89,47.24,46.61,47.09,1654485.0
2020-02-10,47.08,47.35,47.0,47.33,1616008.0
2020-02-11,47.4,47.73,47.17,47.48,1512304.0
2020-02-12,47.48,47.85,47.37,47.76,1397147.0
2020-02-13,47.74,48.48,47.5,48.45,1817149.0
2020-02-14,48.47,48.86,48.4,48.58,1466607.0
2020-02-18,48.4,48.52,48.12,48.26,2114743.0
2020-02-19,48.34,48.73,48.24,48.44,2092234.0
2020-02-20,46.94,47.09,44.92,45.53,4520261.0
2020-02-21,45.17,45.49,44.73,44.77,3623496.0
2020-02-24,44.16,44.81,44.07,44.57,3433771.0
2020-02-25,44.7,45.17,44.61,44.72,2521224.0
2020-02-26,44.94,45.35,43.91,43.94,3147882.0
2020-02-27,43.58,43.93,42.52,42.53,2668675.0
2020-02-28,41.65,41.89,40.14,41.6,4121063.0
2020-03-02,41.86,43.21,41.76,43.19,3811931.0
2020-03-03,43.25,44.33,42.62,42.99,4089324.0
2020-03-04,43.84,45.05,43.42,45.05,2005396.0
2020-03-05,44.26,44.5,43.4,43.8,2355632.0
2020-03-06,42.79,44.14,42.68,43.95,2611380.0
2020-03-09,42.18,44.12,42.0,43.41,2570212.0
2020-03-10,43.88,44.34,42.01,43.76,3485842.0
2020-03-11,42.91,43.07,41.91,42.27,3227086.0
2020-03-12,39.64,41.42,39.01,40.08,4249070.0
2020-03-13,41.32,42.45,39.8,42.4,5041162.0
2020-03-16,39.8,43.25,39.31,42.63,6519182.0
2020-03-17,43.31,48.63,42.92,48.53,8303916.0
2020-03-18,45.82,51.53,45.55,48.27,8437630.0
2020-03-19,48.43,49.3,45.56,47.22,5973865.0
2020-03-20,47.33,47.72,44.6,45.12,5160121.0
2020-03-23,45.3,45.3,41.86,42.31,4949995.0
2020-03-24,42.49,45.14,42.46,44.85,3415528.0
2020-03-25,44.01,44.37,41.7,41.94,6298401.0
2020-03-26,42.0,44.98,41.85,44.85,3487284.0
2020-03-27,44.25,46.23,44.11,44.96,2457535.0
2020-03-30,45.73,47.25,45.73,46.78,2387043.0
2020-03-31,46.83,47.32,45.98,46.64,3274065.0
2020-04-01,45.83,46.85,45.3,46.35,2304019.0
2020-04-02,45.68,47.84,45.68,47.58,2861847.0
2020-04-03,47.12,49.17,47.05,48.38,3875557.0
2020-04-06,48.68,49.0,47.53,48.55,2862510.0
2020-04-07,48.16,48.68,47.46,47.91,2748356.0
2020-04-08,47.84,47.99,46.98,47.37,2164228.0
2020-04-09,46.76,48.52,46.57,47.54,2933366.0
2020-04-13,47.62,47.99,46.6,47.1,1954957.0
2020-04-14,48.04,49.06,47.67,48.51,3154514.0
2020-04-15,48.9,49.32,48.28,48.66,2714836.0
2020-04-16,48.85,50.47,48.7,50.21,2705293.0
2020-04-17,50.32,50.75,49.77,50.51,2471522.0
2020-04-20,50.51,50.83,49.88,49.92,1835398.0
2020-04-21,49.89,50.12,48.69,48.93,1734105.0
2020-04-22,48.81,49.23,48.34,48.4,2254269.0
2020-04-23,48.0,48.27,47.17,47.2,3319376.0
2020-04-24,47.41,47.68,46.2,46.61,5055193.0
2020-04-27,47.08,47.1,45.85,46.65,4304939.0
2020-04-28,46.44,47.92,46.4,47.76,3652924.0
2020-04-29,45.96,47.79,45.9,47.6,3791267.0
2020-04-30,47.74,47.87,46.19,46.85,5039365.0
2020-05-01,46.65,47.27,46.27,46.6,1675845.0
2020-05-04,46.55,46.95,46.08,46.46,1433113.0
2020-05-05,46.28,46.91,46.04,46.29,1558913.0
2020-05-06,46.74,46.81,46.4,46.49,1735576.0
2020-05-07,46.88,47.17,46.34,46.59,1857608.0
2020-05-08,47.08,47.39,46.88,47.24,1141316.0
2020-05-11,47.4,48.39,47.2,47.85,1581021.0
2020-05-12,48.07,48.88,48.01,48.25,1999950.0
2020-05-13,48.37,49.39,48.06,48.59,2412368.0
2020-05-14,48.64,48.93,46.9,47.58,1984171.0
2020-05-15,47.44,48.11,47.37,47.92,4107731.0
2020-05-18,48.26,48.41,47.57,48.15,2385552.0
2020-05-19,48.2,48.65,47.35,47.39,1712433.0
2020-05-20,47.5,48.21,47.21,47.99,2133558.0
2020-05-21,47.89,47.89,45.25,46.01,4478849.0
2020-05-22,45.48,47.21,45.41,46.93,2458502.0
2020-05-26,47.0,47.33,45.57,45.73,2994263.0
2020-05-27,45.67,46.95,44.9,46.93,2963612.0
2020-05-28,47.4,48.04,47.16,47.88,4078385.0
2020-05-29,48.0,48.98,47.44,48.83,3201285.0
2020-06-01,48.98,49.29,48.37,48.85,1943789.0
2020-06-02,49.0,49.0,48.46,48.76,2401506.0
2020-06-03,48.72,48.73,47.36,47.67,1935761.0
2020-06-04,47.53,48.19,47.5,47.97,1539083.0
2020-06-05,47.96,48.31,47.43,48.0,2340301.0
2020-06-08,47.52,48.21,47.34,48.11,2191149.0
2020-06-09,47.98,48.34,47.6,47.98,2570756.0
2020-06-10,48.25,48.64,47.84,48.03,1808249.0
2020-06-11,47.59,48.04,46.76,46.84,2097396.0
2020-06-12,47.17,47.38,46.31,46.67,1762659.0
2020-06-15,46.4,47.11,45.93,47.09,1863621.0
2020-06-16,47.62,48.02,47.18,47.8,1561369.0
