date,Open,High,Low,Close,Volume
2019-08-20,15.93,16.02,15.87,15.95,7209246.0
2019-08-21,16.09,16.09,15.865,15.94,5716573.0
2019-08-22,15.91,16.105,15.815,16.09,4361557.0
2019-08-23,16.02,16.08,15.65,15.69,8621640.0
2019-08-26,15.8,15.94,15.71,15.77,4894876.0
2019-08-27,15.84,15.94,15.685,15.74,6957982.0
2019-08-28,15.72,15.91,15.705,15.78,7680819.0
2019-08-29,15.94,16.195,15.94,15.98,5923963.0
2019-08-30,16.01,16.14,15.93,16.04,6300595.0
2019-09-03,15.91,16.04,15.82,16.03,5787826.0
2019-09-04,16.16,16.38,16.16,16.34,10226849.0
2019-09-05,16.43,16.74,16.37,16.72,14782911.0
2019-09-06,16.7,16.815,16.61,16.66,8090693.0
2019-09-09,16.68,17.14,16.59,17.14,6115761.0
2019-09-10,17.13,17.44,17.13,17.43,8803472.0
2019-09-11,17.5,17.59,17.21,17.42,6886861.0
2019-09-12,17.46,17.51,16.95,17.08,8777636.0
2019-09-13,17.21,17.47,17.2,17.32,8476417.0
2019-09-16,17.22,17.47,17.21,17.41,7781200.0
2019-09-17,17.38,17.41,17.21,17.25,7306583.0
2019-09-18,17.28,17.36,17.18,17.3,5597493.0
2019-09-19,17.33,17.44,17.22,17.27,4273786.0
2019-09-20,17.3,17.4,17.165,17.24,10842274.0
2019-09-23,17.04,17.36,17.04,17.22,5433217.0
2019-09-24,17.29,17.35,17.005,17.1,7362624.0
2019-09-25,17.13,17.24,17.05,17.06,9790760.0
2019-09-26,17.11,17.15,16.84,16.9,8984144.0
2019-09-27,16.8,17.11,16.72,17.11,9951974.0
2019-09-30,17.14,17.46,17.13,17.29,8606089.0
2019-10-01,17.37,17.39,16.97,16.98,5150408.0
2019-10-02,16.87,16.99,16.58,16.59,9104574.0
2019-10-03,16.55,16.71,16.32,16.65,8623926.0
2019-10-04,16.67,16.76,16.495,16.62,6033018.0
2019-10-07,16.61,16.925,16.56,16.8,7594866.0
2019-10-08,16.72,16.77,16.43,16.45,6093266.0
2019-10-09,16.53,16.6,16.365,16.43,6882874.0
2019-10-10,16.52,16.655,16.43,16.51,4960917.0
2019-10-11,16.69,17.045,16.63,16.66,8320782.0
2019-10-14,16.59,16.62,16.16,16.31,5529449.0
2019-10-15,16.38,16.56,16.3,16.41,4844241.0
2019-10-16,16.35,16.56,16.23,16.35,4530991.0
2019-10-17,16.42,16.5,16.28,16.42,4753963.0
2019-10-18,16.37,16.5,16.26,16.44,4994686.0
2019-10-21,16.52,16.81,16.49,16.8,5120497.0
2019-10-22,16.79,16.81,16.6,16.78,4302012.0
2019-10-23,16.81,16.92,16.725,16.85,7111509.0
2019-10-24,16.9,16.96,16.69,16.79,4157042.0
2019-10-25,16.66,16.73,16.58,16.68,3780436.0
2019-10-28,16.79,16.83,16.67,16.7,4227421.0
2019-10-29,16.65,16.82,16.585,16.61,4700578.0
2019-10-30,16.56,16.66,16.375,16.66,3658162.0
2019-10-31,16.63,16.655,16.345,16.39,7046019.0
2019-11-01,16.48,16.8,16.47,16.76,8510798.0
2019-11-04,16.85,17.18,16.81,17.13,5774056.0
2019-11-05,17.15,17.57,17.13,17.41,15767567.0
2019-11-06,17.49,17.92,17.32,17.43,12001784.0
2019-11-07,17.45,17.57,16.94,16.95,9107919.0
2019-11-08,16.9,17.2,16.765,17.17,8328537.0
2019-11-11,17.01,17.06,16.815,17.04,6839515.0
2019-11-12,16.97,17.15,16.7825,16.79,6381520.0
2019-11-13,16.7,16.87,16.655,16.85,5902140.0
2019-11-14,16.85,17.07,16.795,17.06,5657447.0
2019-11-15,17.11,17.22,17.07,17.14,3986903.0
2019-11-18,17.15,17.31,17.04,17.22,7176162.0
2019-11-19,17.33,17.395,17.15,17.19,6744498.0
2019-11-20,17.09,17.11,16.785,16.85,12232935.0
2019-11-21,16.77,16.81,16.6051,16.76,6406977.0
2019-11-22,16.83,17.07,16.72,16.91,5481791.0
2019-11-25,16.96,17.205,16.92,17.14,4693640.0
2019-11-26,17.21,17.49,17.13,17.48,10804839.0
2019-11-27,17.46,17.78,17.4,17.75,7736821.0
2019-11-29,17.7,17.705,17.47,17.49,3448415.0
2019-12-02,17.53,17.665,17.44,17.5,5744813.0
2019-12-03,17.37,17.625,17.3,17.54,8414967.0
2019-12-04,17.49,17.775,17.48,17.55,7974678.0
2019-12-05,17.66,17.75,17.545,17.72,8237176.0
2019-12-06,17.88,18.05,17.8,17.89,7816034.0
2019-12-09,17.94,18.035,17.8442,17.95,6663198.0
2019-12-10,17.82,17.965,17.8,17.9,8084778.0
2019-12-11,17.94,18.005,17.775,17.91,5984682.0
2019-12-12,17.51,17.88,17.46,17.86,12552899.0
2019-12-13,17.91,18.0,17.745,17.95,11489495.0
2019-12-16,18.08,18.3,17.92,18.27,12180719.0
2019-12-17,18.34,18.36,18.16,18.34,12707098.0
2019-12-18,18.36,18.57,18.26,18.51,7573671.0
