date,Open,High,Low,Close,Volume
2019-08-20,24.93,25.275,24.72,25.23,1710746.0
2019-08-21,25.56,25.56,25.17,25.2,1449320.0
2019-08-22,25.21,25.43,24.96,25.1,1596307.0
2019-08-23,24.9,25.27,24.11,24.31,7831643.0
2019-08-26,24.57,25.19,24.39,25.05,7312218.0
2019-08-27,25.09,25.48,24.975,25.18,9193244.0
2019-08-28,25.19,25.59,24.77,25.43,6775454.0
2019-08-29,25.75,26.0,25.56,25.81,2766866.0
2019-08-30,26.0,26.08,25.69,25.84,3033893.0
2019-09-03,25.71,26.0,25.51,25.98,2989783.0
2019-09-04,26.09,26.14,25.87,25.98,2503485.0
2019-09-05,26.07,26.2,25.87,26.01,3456922.0
2019-09-06,26.12,26.25,25.84,25.99,2928132.0
2019-09-09,26.1,26.43,25.99,26.3,3060280.0
2019-09-10,26.27,26.74,26.2,26.71,2405273.0
2019-09-11,26.59,26.905,26.4,26.89,3025293.0
2019-09-12,27.0,27.17,26.84,27.02,2240793.0
2019-09-13,27.18,27.245,26.932,27.09,2474226.0
2019-09-16,27.0,27.37,27.0,27.2,2064781.0
2019-09-17,27.1,27.36,26.82,27.24,2868693.0
2019-09-18,27.16,27.34,26.92,27.31,3143697.0
2019-09-19,27.33,27.405,27.07,27.14,2840472.0
2019-09-20,27.23,27.305,26.49,26.72,5955645.0
2019-09-23,26.6,26.8,26.46,26.77,4612731.0
2019-09-24,26.8,27.01,26.49,26.53,3536756.0
2019-09-25,26.48,26.65,26.23,26.49,4061637.0
2019-09-26,26.55,26.6,26.22,26.3,2245316.0
2019-09-27,26.33,26.48,26.055,26.11,2497520.0
2019-09-30,26.1,26.19,25.9,26.0,4983115.0
2019-10-01,26.03,26.12,25.04,25.26,5273282.0
2019-10-02,25.0,25.05,23.97,24.2,4226174.0
2019-10-03,24.17,24.275,23.74,24.25,3366679.0
2019-10-04,24.21,24.5,23.955,24.49,2255768.0
2019-10-07,24.85,24.975,24.54,24.75,2975153.0
2019-10-08,24.65,25.17,24.55,24.87,3732156.0
2019-10-09,25.14,25.69,25.0,25.59,1790148.0
2019-10-10,25.58,26.1,25.41,26.02,1749577.0
2019-10-11,26.35,26.79,26.35,26.45,2504347.0
2019-10-14,26.79,26.99,26.69,26.84,2209871.0
2019-10-15,27.0,27.92,26.91,27.86,3255778.0
2019-10-16,27.84,27.92,27.47,27.51,2876753.0
2019-10-17,27.63,27.78,27.44,27.7,2323376.0
2019-10-18,27.68,27.68,27.0,27.01,3034859.0
2019-10-21,27.13,27.3591,26.95,27.04,2447335.0
2019-10-22,27.07,27.24,26.88,27.08,1988044.0
2019-10-23,27.04,27.36,26.92,27.24,2528019.0
2019-10-24,27.31,27.45,27.06,27.43,2328755.0
2019-10-25,27.43,27.68,27.37,27.64,1776504.0
2019-10-28,27.7,27.93,27.595,27.66,3024046.0
2019-10-29,27.56,27.93,27.5,27.69,1908879.0
2019-10-30,27.6,27.6463,27.2,27.53,1890034.0
2019-10-31,27.49,27.49,27.135,27.47,2031719.0
2019-11-01,27.74,28.54,27.62,28.54,3984946.0
2019-11-04,28.83,28.91,28.63,28.78,4351038.0
2019-11-05,28.27,29.55,27.54,29.51,6324783.0
2019-11-06,29.51,29.51,29.06,29.44,3686775.0
2019-11-07,29.44,29.52,28.83,28.91,3023910.0
2019-11-08,28.95,29.1,28.755,28.97,2089058.0
2019-11-11,29.0,29.55,28.9,29.51,3508285.0
2019-11-12,29.44,29.62,29.31,29.5,3049783.0
2019-11-13,29.28,29.66,29.2,29.5,1689652.0
2019-11-14,29.6,30.32,29.4671,30.22,3895570.0
2019-11-15,30.39,30.895,30.2,30.86,5250001.0
2019-11-18,30.78,31.225,30.64,31.06,4840554.0
2019-11-19,31.04,31.09,30.91,31.01,3608306.0
2019-11-20,30.88,31.03,30.63,30.83,3859202.0
2019-11-21,30.7,31.11,30.56,30.61,2200670.0
2019-11-22,30.68,30.8166,30.45,30.55,2799039.0
2019-11-25,30.68,30.98,30.635,30.96,2275392.0
2019-11-26,30.98,31.3,30.82,31.29,3875171.0
2019-11-27,31.29,31.4,31.08,31.26,1787263.0
2019-11-29,31.2,31.23,30.93,30.96,2335092.0
2019-12-02,31.08,31.19,30.56,30.56,2159792.0
2019-12-03,30.26,30.81,30.01,30.7,3129757.0
2019-12-04,30.86,30.92,30.3,30.32,2593748.0
2019-12-05,30.49,30.545,30.27,30.48,1722147.0
2019-12-06,30.76,31.05,30.62,31.02,2245407.0
2019-12-09,30.81,31.05,30.67,30.79,1650865.0
