date,Open,High,Low,Close,Volume
2019-08-20,135.24,135.28,132.81,133.0,3018934.0
2019-08-21,134.96,135.94,133.8,134.25,2806774.0
2019-08-22,134.69,135.68,133.81,134.32,2695009.0
2019-08-23,133.63,134.26,128.83,129.57,4818759.0
2019-08-26,131.05,131.3,129.16,129.99,2836837.0
2019-08-27,131.2,131.7,130.31,131.17,4728392.0
2019-08-28,130.44,132.89,130.04,132.76,2713251.0
2019-08-29,134.18,135.69,134.04,134.88,2972842.0
2019-08-30,135.58,136.07,134.36,135.53,2960594.0
2019-09-03,134.85,134.9,133.33,134.1,2827919.0
2019-09-04,135.71,136.43,135.15,136.32,2247924.0
2019-09-05,138.3,141.7,138.05,140.97,5011628.0
2019-09-06,141.52,141.53,140.46,140.57,2576441.0
2019-09-09,140.59,143.02,140.46,142.6,4218622.0
2019-09-10,143.0,145.46,142.96,145.05,4979341.0
2019-09-11,144.85,145.12,142.71,143.6,3867963.0
2019-09-12,144.03,144.04,141.88,143.62,2504162.0
2019-09-13,144.32,144.65,143.26,143.67,2206605.0
2019-09-16,142.56,143.64,142.27,142.48,1928269.0
2019-09-17,142.48,142.48,140.66,142.2,2940494.0
2019-09-18,142.05,142.3,140.51,142.22,1994714.0
2019-09-19,142.46,145.03,142.45,142.97,3181790.0
2019-09-20,143.25,143.83,141.82,141.88,5217726.0
2019-09-23,141.19,142.22,140.56,142.07,1849558.0
2019-09-24,142.5,142.89,141.07,141.68,3311403.0
2019-09-25,141.74,143.63,140.86,143.16,2544628.0
2019-09-26,143.17,143.88,141.41,143.55,2313892.0
2019-09-27,144.41,145.09,142.38,143.24,2356682.0
2019-09-30,143.73,146.57,143.73,145.42,4004019.0
2019-10-01,145.59,147.35,143.54,143.66,2973628.0
2019-10-02,142.19,142.27,140.57,141.69,3347129.0
2019-10-03,141.62,142.07,139.18,142.02,3138743.0
2019-10-04,142.06,143.06,141.03,142.99,2447901.0
2019-10-07,142.26,142.7,141.22,141.28,2487737.0
2019-10-08,140.24,140.47,138.25,138.38,3342266.0
2019-10-09,139.77,140.33,138.79,139.67,2631860.0
2019-10-10,139.77,141.78,139.56,141.13,2619287.0
2019-10-11,142.77,144.5,142.61,142.76,3015458.0
2019-10-14,142.31,142.43,141.32,142.04,2325055.0
2019-10-15,142.54,143.72,141.81,143.0,3044933.0
2019-10-16,142.49,142.95,141.39,142.11,5835941.0
2019-10-17,135.0,136.0,132.91,134.26,15824614.0
2019-10-18,134.22,134.49,132.25,134.09,7177468.0
2019-10-21,132.61,133.1,130.9,132.58,6370639.0
2019-10-22,132.55,134.05,131.61,133.96,4193653.0
2019-10-23,133.52,134.57,132.7,134.38,3626724.0
2019-10-24,134.83,135.07,133.3,134.07,2619190.0
2019-10-25,134.12,135.93,134.1,135.44,2577995.0
2019-10-28,136.0,136.63,135.45,135.97,3225692.0
2019-10-29,135.42,135.57,133.44,133.82,4158483.0
2019-10-30,133.83,135.28,133.2,135.25,2252680.0
2019-10-31,135.11,135.25,133.23,133.73,3410851.0
2019-11-01,134.5,135.56,134.09,135.53,3088769.0
2019-11-04,136.24,137.74,136.23,137.67,3333510.0
2019-11-05,137.8,138.76,137.63,137.89,3012926.0
2019-11-06,138.0,138.78,137.55,138.78,4476362.0
2019-11-07,137.87,139.14,137.58,137.69,4073697.0
2019-11-08,137.58,137.61,136.16,137.61,2278446.0
2019-11-11,137.2,137.2,135.0,135.47,2568022.0
2019-11-12,135.87,136.66,135.02,135.59,3046496.0
2019-11-13,135.39,135.58,133.85,134.48,3060919.0
2019-11-14,134.13,134.33,133.33,134.0,4231231.0
2019-11-15,134.39,135.12,134.03,134.4,3262504.0
2019-11-18,134.3,134.48,133.23,134.31,3210383.0
2019-11-19,134.88,135.38,134.46,134.52,2995004.0
2019-11-20,134.06,134.46,132.75,133.2,4138165.0
2019-11-21,133.4,134.17,132.98,133.84,3322158.0
2019-11-22,134.19,134.65,133.59,134.34,3297397.0
2019-11-25,134.47,136.0,134.35,135.97,2590146.0
2019-11-26,136.15,136.15,134.77,135.09,3806859.0
2019-11-27,135.35,135.71,133.62,133.77,3280699.0
2019-11-29,133.6,134.52,133.03,134.45,1825255.0
2019-12-02,134.45,134.5,132.48,132.91,3066813.0
2019-12-03,132.0,132.44,130.69,132.12,3708102.0
2019-12-04,132.86,133.68,131.96,131.99,3530028.0
2019-12-05,132.99,133.24,131.63,131.91,3595312.0
2019-12-06,132.75,133.89,132.7,133.22,3437438.0
2019-12-09,133.35,134.59,133.26,133.92,2968310.0
2019-12-10,133.92,134.84,133.56,133.91,3478362.0
2019-12-11,134.11,134.51,133.67,133.76,3698494.0
2019-12-12,133.7,135.66,133.66,135.32,4824103.0
2019-12-13,134.75,135.5,134.01,134.21,2534970.0
2019-12-16,134.94,135.45,133.85,134.13,3049224.0
2019-12-17,134.28,134.69,133.46,134.22,2907186.0
2019-12-18,134.55,135.0,134.15,134.41,3101819.0
2019-12-19,134.46,134.73,134.19,134.56,3866494.0
2019-12-20,135.74,136.42,134.95,135.59,7111779.0
2019-12-23,135.78,136.15,135.0,135.55,2803158.0
2019-12-24,135.61,135.62,134.61,134.98,1202087.0
2019-12-26,134.98,135.31,134.65,134.91,2129654.0
2019-12-27,135.0,135.75,134.87,135.27,2752185.0
2019-12-30,135.2,135.3,132.5,132.81,4118929.0
2019-12-31,132.53,134.12,132.4,134.04,3777504.0
2020-01-02,135.0,135.92,134.77,135.42,3148461.0
2020-01-03,133.57,134.86,133.56,134.34,2373470.0
2020-01-06,133.42,134.24,133.2,134.1,2421128.0
2020-01-07,133.69,134.96,133.4,134.19,3267592.0
2020-01-08,134.51,135.86,133.92,135.31,4345952.0
2020-01-09,135.74,136.79,135.31,136.74,3730549.0
2020-01-10,137.0,137.87,136.31,136.69,3255398.0
2020-01-13,135.48,136.64,135.07,136.6,3162843.0
2020-01-14,136.28,137.14,135.55,135.82,3680958.0
2020-01-15,136.0,138.06,135.71,136.62,4045591.0
2020-01-16,137.32,138.19,137.01,137.98,4319896.0
2020-01-17,136.54,138.33,136.16,138.31,5622251.0
2020-01-21,137.81,139.35,137.6,139.17,7130819.0
2020-01-22,143.32,145.79,142.55,143.89,16464948.0
2020-01-23,144.2,144.41,142.15,142.87,5654308.0
2020-01-24,143.39,143.92,140.46,140.56,5579292.0
2020-01-27,138.5,140.07,138.1,138.62,4165146.0
2020-01-28,139.5,140.47,138.75,139.55,3449000.0
2020-01-29,139.17,139.58,137.6,137.69,3053189.0
2020-01-30,136.76,136.97,134.97,136.77,5007038.0
2020-01-31,142.9,144.05,140.79,143.73,18987138.0
2020-02-03,144.25,147.28,143.9,146.27,8886414.0
2020-02-04,147.78,149.38,146.88,149.11,5619700.0
2020-02-05,150.21,157.44,150.15,156.33,14379714.0
2020-02-06,156.82,158.75,155.42,156.76,8394374.0
2020-02-07,154.55,155.54,152.92,153.41,6414553.0
2020-02-10,152.97,154.44,151.58,154.43,5237553.0
2020-02-11,155.12,155.22,152.73,153.48,3833574.0
2020-02-12,153.75,155.6,153.52,155.31,4437792.0
2020-02-13,154.37,154.83,153.41,154.31,3819757.0
2020-02-14,154.42,154.56,149.77,150.7,6095081.0
2020-02-18,149.79,151.38,149.64,151.1,3343038.0
2020-02-19,151.54,151.89,150.31,150.86,2732905.0
2020-02-20,150.81,151.62,149.51,151.22,2880483.0
