date,Open,High,Low,Close,Volume
2019-08-20,65.33,65.67,64.82,65.14,1048718.0
2019-08-21,65.49,65.675,64.94,65.13,1321878.0
2019-08-22,65.3,65.34,64.1,64.13,1539262.0
2019-08-23,63.94,64.49,62.48,62.74,1458208.0
2019-08-26,63.22,63.67,62.74,63.51,1221968.0
2019-08-27,63.89,64.47,63.77,64.39,1534155.0
2019-08-28,64.08,64.91,63.78,64.79,1652317.0
2019-08-29,65.66,65.9,65.07,65.62,1219377.0
2019-08-30,66.0,66.0,65.38,65.61,1411028.0
2019-09-03,65.05,66.4,65.05,65.72,1687090.0
2019-09-04,66.04,66.66,66.04,66.48,1488704.0
2019-09-05,67.08,67.62,66.95,67.17,1207110.0
2019-09-06,67.34,68.31,67.08,67.91,2175173.0
2019-09-09,68.49,68.88,67.06,67.29,2754090.0
2019-09-10,67.13,67.29,66.01,66.41,2638085.0
2019-09-11,65.91,66.55,65.57,65.59,2973272.0
2019-09-12,66.26,67.9,66.09,67.57,2829772.0
2019-09-13,67.5,67.99,67.27,67.86,1907773.0
2019-09-16,67.61,68.315,67.57,68.15,1830594.0
2019-09-17,68.22,68.86,67.6,67.93,3111569.0
2019-09-18,68.2,68.28,67.12,67.84,2625542.0
2019-09-19,67.95,68.35,67.62,67.75,1813493.0
2019-09-20,67.83,68.05,66.945,67.36,9563952.0
2019-09-23,67.57,67.85,66.6,66.92,3032208.0
2019-09-24,65.5,66.65,65.25,65.94,4354289.0
2019-09-25,66.04,66.68,65.62,66.24,3417182.0
2019-09-26,66.42,66.725,65.86,66.48,1623194.0
2019-09-27,66.73,66.77,65.29,65.68,2380247.0
2019-09-30,65.91,67.24,65.81,66.88,2846534.0
2019-10-01,67.0,67.05,66.31,66.96,1768062.0
2019-10-02,66.43,66.495,65.52,65.65,2305466.0
2019-10-03,65.54,66.53,64.9,66.52,1246939.0
2019-10-04,66.55,67.537,66.55,67.36,1245731.0
2019-10-07,67.1,67.71,66.98,67.52,1312233.0
2019-10-08,67.09,67.41,66.5,66.59,1092510.0
2019-10-09,67.1,67.83,67.05,67.67,1304678.0
2019-10-10,67.54,68.21,67.43,67.97,954789.0
2019-10-11,68.39,68.9,68.24,68.31,1368579.0
2019-10-14,68.25,68.67,68.02,68.15,837764.0
2019-10-15,68.46,69.34,68.325,69.24,3046378.0
