date,Open,High,Low,Close,Volume
2019-08-20,15.61,15.72,15.43,15.45,4759024.0
2019-08-21,15.62,15.67,15.47,15.57,3783240.0
2019-08-22,15.69,16.04,15.65,15.9,5133402.0
2019-08-23,15.82,15.96,15.56,15.62,5720545.0
2019-08-26,15.8,15.86,15.58,15.68,6812149.0
2019-08-27,15.75,15.89,15.16,15.31,9799529.0
2019-08-28,15.2,15.56,15.16,15.43,5207037.0
2019-08-29,15.65,15.72,15.54,15.62,4262944.0
2019-08-30,15.73,15.87,15.64,15.7,3729784.0
2019-09-03,15.53,15.62,15.3,15.53,6436822.0
2019-09-04,15.66,15.68,15.5,15.6,3454827.0
2019-09-05,15.87,16.28,15.87,16.05,3681904.0
2019-09-06,15.97,16.1,15.73,15.98,4933786.0
2019-09-09,16.15,16.53,16.13,16.41,5045915.0
2019-09-10,16.56,17.07,16.55,17.04,5440448.0
2019-09-11,17.09,17.58,16.76,17.57,6987888.0
2019-09-12,17.1,17.48,16.73,17.26,7180298.0
2019-09-13,17.54,17.59,17.16,17.4,6537972.0
2019-09-16,17.19,17.43,17.15,17.23,5009595.0
2019-09-17,17.09,17.1,16.79,17.04,3853010.0
2019-09-18,16.94,17.13,16.8,16.94,4735317.0
2019-09-19,16.95,17.25,16.94,17.05,3967423.0
2019-09-20,17.11,17.33,16.85,16.87,8067680.0
2019-09-23,16.62,17.15,16.55,17.0,4300926.0
2019-09-24,17.11,17.24,16.62,16.71,5279363.0
2019-09-25,16.72,16.98,16.61,16.95,2890947.0
2019-09-26,16.98,16.98,16.71,16.86,3322236.0
2019-09-27,16.97,17.19,16.89,17.02,4139185.0
2019-09-30,17.1,17.19,16.87,16.94,4297787.0
2019-10-01,16.97,17.0,16.09,16.26,6299683.0
2019-10-02,16.04,16.12,15.67,15.71,5275132.0
2019-10-03,15.63,15.77,15.29,15.77,4566595.0
2019-10-04,15.74,15.89,15.57,15.89,4430051.0
2019-10-07,15.78,15.97,15.56,15.73,2836539.0
2019-10-08,15.53,15.61,15.36,15.38,3738220.0
2019-10-09,15.46,15.54,15.28,15.39,4352385.0
2019-10-10,15.35,15.52,15.24,15.35,6453074.0
2019-10-11,15.67,16.14,15.67,15.84,5396222.0
2019-10-14,15.7,15.76,15.47,15.71,4396990.0
2019-10-15,15.8,16.11,15.61,15.79,5908053.0
2019-10-16,15.78,16.03,15.65,15.65,4531221.0
2019-10-17,15.79,15.85,15.59,15.63,5512312.0
2019-10-18,15.61,15.94,15.61,15.89,5733092.0
2019-10-21,16.16,16.37,16.07,16.15,6079773.0
2019-10-22,16.05,16.33,15.91,16.03,8105588.0
2019-10-23,16.71,17.32,16.46,17.28,9404684.0
2019-10-24,17.39,17.4,16.86,16.94,7776461.0
2019-10-25,16.96,17.18,16.72,17.05,4928917.0
2019-10-28,17.1,17.4,17.1,17.34,4459553.0
2019-10-29,17.26,17.33,16.99,17.05,4228899.0
2019-10-30,17.02,17.17,16.8,16.88,3748474.0
2019-10-31,16.78,16.84,16.55,16.82,3760140.0
2019-11-01,17.0,17.26,16.93,17.21,3450001.0
2019-11-04,17.44,17.82,17.39,17.78,4057556.0
2019-11-05,17.81,18.27,17.81,18.12,4809807.0
2019-11-06,18.32,18.32,17.8,18.04,6008217.0
2019-11-07,18.29,18.4,18.07,18.18,4531734.0
2019-11-08,17.86,17.91,17.61,17.82,3997752.0
2019-11-11,17.64,17.78,17.6,17.64,2776886.0
2019-11-12,17.64,17.73,17.45,17.6,3973274.0
2019-11-13,17.38,17.48,17.19,17.42,4406559.0
2019-11-14,17.35,18.29,17.23,17.28,3214019.0
2019-11-15,17.38,17.51,17.23,17.45,3231190.0
2019-11-18,17.3,17.41,17.16,17.37,2965249.0
2019-11-19,17.46,17.57,17.31,17.52,3269039.0
2019-11-20,17.32,17.38,17.04,17.19,3488577.0
2019-11-21,17.29,17.29,17.05,17.07,2979510.0
2019-11-22,17.13,17.34,17.09,17.33,3237229.0
2019-11-25,17.33,17.77,17.23,17.75,3205969.0
2019-11-26,17.66,17.73,17.41,17.55,4357221.0
2019-11-27,17.65,17.78,17.54,17.7,2862120.0
2019-11-29,17.62,17.71,17.54,17.56,1563378.0
2019-12-02,17.61,17.89,17.25,17.29,4920410.0
2019-12-03,17.0,17.06,16.57,16.69,5864225.0
2019-12-04,16.82,17.01,16.74,16.76,4499511.0
2019-12-05,16.77,16.81,16.55,16.61,3922927.0
2019-12-06,16.86,17.04,16.39,16.79,5783754.0
2019-12-09,16.79,16.83,16.58,16.66,4364441.0
2019-12-10,16.62,16.9,16.55,16.85,6319281.0
2019-12-11,16.82,17.12,16.68,17.09,7196625.0
2019-12-12,17.18,17.8,17.06,17.71,6300428.0
2019-12-13,17.84,18.33,17.6,17.62,9484331.0
2019-12-16,17.85,18.08,17.79,17.9,7401277.0
2019-12-17,17.84,18.25,17.8,18.22,6741441.0
2019-12-18,18.26,18.43,18.11,18.36,5837222.0
2019-12-19,18.4,18.62,18.33,18.43,4993126.0
2019-12-20,18.43,18.48,17.82,17.98,10456198.0
2019-12-23,18.07,18.35,18.07,18.18,3283127.0
2019-12-24,18.18,18.22,17.77,17.79,1385424.0
2019-12-26,17.84,18.03,17.84,17.93,2104053.0
2019-12-27,17.9,17.94,17.77,17.83,2609099.0
2019-12-30,17.92,18.05,17.79,17.93,3211272.0
2019-12-31,17.93,18.09,17.84,17.98,2764102.0
2020-01-02,17.81,18.14,17.77,17.99,5218754.0
2020-01-03,17.54,17.74,17.42,17.67,5457903.0
2020-01-06,17.5,17.8,17.42,17.79,4196903.0
2020-01-07,17.8,17.92,17.61,17.76,2910106.0
2020-01-08,17.83,18.06,17.77,17.82,3765790.0
2020-01-09,18.0,18.02,17.77,18.01,3815638.0
2020-01-10,17.99,18.0,17.66,17.7,4076156.0
2020-01-13,17.75,18.09,17.63,18.06,4162291.0
2020-01-14,18.07,18.14,17.89,17.9,4136579.0
2020-01-15,17.79,18.25,17.79,18.0,6787093.0
2020-01-16,18.11,18.27,18.06,18.26,4295030.0
2020-01-17,18.33,18.54,18.19,18.32,4701201.0
2020-01-21,18.23,18.49,18.13,18.31,4140515.0
2020-01-22,18.3,18.55,18.25,18.51,2963965.0
2020-01-23,18.33,18.53,18.1,18.47,3011753.0
2020-01-24,18.49,18.49,17.99,18.17,5422667.0
2020-01-27,17.67,17.82,17.53,17.7,4935210.0
2020-01-28,17.9,18.18,17.84,17.97,5822430.0
2020-01-29,17.76,18.09,17.36,17.63,6120570.0
2020-01-30,17.4,17.6985,17.185,17.63,6784073.0
2020-01-31,17.46,17.59,17.22,17.3,5048285.0
2020-02-03,17.42,17.75,17.28,17.28,4856921.0
2020-02-04,17.6,17.97,17.59,17.85,4381606.0
2020-02-05,18.13,18.46,18.11,18.39,4051674.0
2020-02-06,18.58,18.65,18.11,18.2,3315701.0
2020-02-07,18.01,18.27,17.93,18.22,2415581.0
2020-02-10,18.11,18.59,18.06,18.58,3638917.0
2020-02-11,18.65,18.93,18.65,18.89,4846981.0
2020-02-12,18.84,19.01,18.57,18.58,4476138.0
2020-02-13,18.43,18.5,18.01,18.01,3750920.0
2020-02-14,18.01,18.04,17.72,17.78,3149378.0
2020-02-18,17.85,18.09,17.57,17.62,4216103.0
2020-02-19,17.65,17.83,17.62,17.69,2973930.0
2020-02-20,17.8,18.23,17.76,18.03,4437622.0
2020-02-21,17.89,17.92,17.37,17.48,6074195.0
2020-02-24,16.8,16.93,16.65,16.78,6245292.0
2020-02-25,16.84,16.84,15.8,15.86,6921880.0
2020-02-26,15.94,16.09,15.46,15.46,6744293.0
2020-02-27,15.06,15.4,14.55,14.6,7319617.0
2020-02-28,14.08,14.49,13.8,14.4,12772032.0
2020-03-02,14.47,14.81,14.02,14.78,9526422.0
2020-03-03,14.69,15.1,14.11,14.29,9125784.0
2020-03-04,14.53,14.63,13.93,14.62,5825968.0
2020-03-05,13.98,14.03,13.26,13.42,7674652.0
2020-03-06,12.75,13.5,12.64,13.12,7989932.0
2020-03-09,11.82,12.42,11.36,11.59,6695026.0
2020-03-10,12.31,12.47,11.48,12.47,7073807.0
2020-03-11,11.93,12.04,10.66,11.16,10177835.0
2020-03-12,10.16,10.18,9.17,9.45,9417293.0
2020-03-13,10.23,10.8,9.01,10.8,12333853.0
2020-03-16,8.84,9.35,8.25,8.75,9197881.0
2020-03-17,8.96,10.36,8.17,10.18,11685846.0
2020-03-18,9.14,11.16,8.95,9.83,12467096.0
2020-03-19,9.45,10.79,9.11,9.84,5466405.0
2020-03-20,9.96,9.96,8.53,8.55,10144426.0
2020-03-23,8.25,8.51,7.38,7.61,7095999.0
2020-03-24,8.34,8.64,7.89,8.52,8102019.0
2020-03-25,8.66,9.46,8.29,8.98,9021811.0
2020-03-26,9.05,10.0,8.92,9.81,10190279.0
2020-03-27,9.4,9.87,8.88,9.37,9454178.0
2020-03-30,9.31,9.66,8.85,9.56,9442165.0
2020-03-31,9.57,9.64,8.9,9.08,7461798.0
2020-04-01,8.51,8.57,7.88,8.01,6952981.0
2020-04-02,8.02,8.55,7.88,8.22,7807266.0
2020-04-03,8.22,8.38,7.67,7.81,8811491.0
2020-04-06,8.46,9.06,8.3,8.96,7120019.0
2020-04-07,9.74,10.13,9.04,9.14,7433470.0
2020-04-08,9.28,9.63,9.17,9.47,4516812.0
2020-04-09,9.85,10.36,9.58,9.86,8473087.0
2020-04-13,9.9,9.93,9.35,9.57,5862755.0
2020-04-14,9.84,9.97,9.45,9.81,5993180.0
2020-04-15,8.83,9.09,8.8,8.96,5318473.0
2020-04-16,8.92,8.92,8.5,8.71,4788602.0
2020-04-17,9.15,9.32,8.9,9.07,7357695.0
2020-04-20,8.82,9.24,8.56,9.09,5052250.0
2020-04-21,8.72,9.2,8.64,8.93,4934844.0
2020-04-22,9.17,9.28,8.93,9.18,5242359.0
2020-04-23,8.67,8.87,7.2,7.24,42313934.0
2020-04-24,7.4,7.85,7.3,7.8,20130597.0
2020-04-27,7.9,8.03,7.71,7.95,11861002.0
2020-04-28,8.14,8.57,8.12,8.51,8448978.0
2020-04-29,8.83,8.99,8.45,8.62,8761624.0
2020-04-30,8.4,8.69,8.18,8.62,7585001.0
2020-05-01,8.27,8.3,7.86,7.99,8259681.0
2020-05-04,7.82,8.14,7.61,8.09,9777088.0
2020-05-05,8.33,8.36,7.84,7.86,5727099.0
2020-05-06,7.92,8.05,7.6,7.62,6451974.0
2020-05-07,7.73,7.99,7.59,7.67,8184035.0
2020-05-08,7.67,7.995,7.66,7.98,6718709.0
2020-05-11,7.84,7.98,7.67,7.82,5526285.0
2020-05-12,7.84,7.9,7.24,7.24,9322423.0
2020-05-13,7.2,7.25,6.71,6.77,11078744.0
2020-05-14,6.57,7.13,6.38,6.99,10159755.0
2020-05-15,6.65,6.86,6.63,6.7,11653822.0
2020-05-18,7.05,7.37,7.04,7.29,9925539.0
2020-05-19,7.28,7.52,7.11,7.24,7247460.0
2020-05-20,7.38,7.5,7.32,7.37,4408864.0
2020-05-21,7.36,7.58,7.31,7.35,5088417.0
2020-05-22,7.36,7.41,7.11,7.27,5223650.0
2020-05-26,7.66,8.26,7.64,8.09,9243285.0
2020-05-27,8.53,8.68,8.12,8.37,7780991.0
2020-05-28,8.56,8.67,8.09,8.13,7192924.0
2020-05-29,7.95,8.15,7.74,7.97,11971151.0
2020-06-01,8.01,8.35,7.92,8.22,6375162.0
2020-06-02,8.37,8.49,8.26,8.37,7551520.0
2020-06-03,8.65,9.22,8.65,9.15,7972466.0
2020-06-04,9.09,9.57,8.88,9.56,9282169.0
2020-06-05,10.3,10.97,9.95,10.41,12689968.0
2020-06-08,11.0,11.56,10.78,11.55,11390031.0
2020-06-09,10.84,11.27,10.61,11.14,9395754.0
2020-06-10,10.99,11.05,10.21,10.32,9017060.0
2020-06-11,9.32,10.05,9.25,9.82,10991612.0
2020-06-12,10.5,10.55,9.85,10.34,6889622.0
2020-06-15,9.93,10.89,9.79,10.74,10796549.0
2020-06-16,11.3,11.39,10.67,11.14,10064844.0
2020-06-17,11.04,11.32,10.97,11.22,10275124.0
2020-06-18,11.04,11.4,10.91,11.33,7117777.0
2020-06-19,11.55,11.56,10.91,11.09,18399949.0
2020-06-22,11.1,11.41,10.91,11.33,8158956.0
2020-06-23,11.57,11.77,11.34,11.41,10622674.0
2020-06-24,11.24,11.35,10.7,10.72,8934271.0
2020-06-25,10.59,10.89,10.49,10.73,7897109.0
2020-06-26,10.49,10.55,9.92,10.0,9051672.0
2020-06-29,10.15,10.41,10.05,10.39,4832186.0
2020-06-30,10.35,10.82,10.26,10.76,6792378.0
2020-07-01,10.74,10.79,10.23,10.26,5046876.0
2020-07-02,10.72,10.76,10.46,10.55,6722598.0
2020-07-06,10.88,10.93,10.61,10.76,7079133.0
2020-07-07,10.62,10.75,10.31,10.34,4839793.0
2020-07-08,10.41,10.65,10.27,10.6,4239992.0
2020-07-09,10.52,10.62,10.01,10.04,5803679.0
2020-07-10,10.01,10.57,9.96,10.53,6875394.0
2020-07-13,10.61,10.8,10.45,10.62,5718230.0
2020-07-14,10.57,10.73,10.29,10.49,5125105.0
2020-07-15,10.73,10.97,10.56,10.93,7411023.0
2020-07-16,10.77,11.08,10.65,10.73,4815883.0
2020-07-17,10.8,10.86,10.48,10.49,5004826.0
2020-07-20,10.42,10.47,10.17,10.29,5181705.0
2020-07-21,10.38,10.77,10.38,10.74,5954202.0
2020-07-22,10.64,10.85,10.53,10.53,5411200.0
