date,Open,High,Low,Close,Volume
2019-08-20,83.84,83.87,82.16,83.57,1070343.0
2019-08-21,84.64,86.13,84.46,86.03,968359.0
2019-08-22,86.5,87.47,86.01,86.55,767158.0
2019-08-23,85.93,87.0,84.66,85.01,987227.0
2019-08-26,85.86,85.95,84.68,85.61,729629.0
2019-08-27,86.11,86.39,84.55,85.02,889348.0
2019-08-28,84.94,85.66,84.04,85.5,690964.0
2019-08-29,86.44,88.26,86.0,87.79,1003469.0
2019-08-30,88.5,88.96,87.98,88.86,774577.0
2019-09-03,88.06,89.3,87.62,89.29,915769.0
2019-09-04,90.01,91.21,89.85,90.87,1082514.0
2019-09-05,91.49,92.25,91.0,91.36,1075579.0
2019-09-06,91.43,92.7,91.43,92.32,859368.0
2019-09-09,92.88,93.93,91.98,92.12,1551712.0
2019-09-10,91.93,92.18,89.33,89.97,1669945.0
2019-09-11,90.0,90.61,89.06,89.8,1409366.0
2019-09-12,90.0,90.76,89.88,90.38,1057700.0
2019-09-13,90.94,91.82,90.77,91.21,1038623.0
2019-09-16,91.16,92.99,90.85,92.67,1370979.0
2019-09-17,92.25,93.9,91.98,93.55,1097737.0
2019-09-18,93.16,94.1,92.58,93.17,1123924.0
2019-09-19,93.13,93.68,91.68,92.24,1057074.0
2019-09-20,92.5,92.99,91.5,91.79,4352915.0
2019-09-23,91.25,91.79,90.27,91.29,1040995.0
2019-09-24,91.34,91.83,89.84,90.42,894530.0
2019-09-25,89.65,91.55,89.61,91.27,586374.0
2019-09-26,91.11,91.7,90.4,90.98,451922.0
2019-09-27,91.14,91.49,90.44,90.69,518829.0
2019-09-30,90.69,91.9,90.69,91.5,666359.0
2019-10-01,92.02,92.38,89.32,89.52,698026.0
2019-10-02,88.74,89.0,86.95,87.89,1336808.0
2019-10-03,87.33,88.16,86.24,88.01,486260.0
2019-10-04,88.07,89.88,87.96,89.82,602132.0
2019-10-07,89.37,90.07,88.9,88.9,492802.0
2019-10-08,88.1,89.41,86.94,88.34,1115827.0
2019-10-09,89.27,89.41,88.44,89.06,556103.0
2019-10-10,89.16,90.65,88.6,89.64,861871.0
2019-10-11,90.66,92.58,90.52,91.85,893116.0
2019-10-14,91.48,92.22,90.97,91.35,435711.0
2019-10-15,91.81,93.01,91.36,92.59,582122.0
2019-10-16,91.86,92.2,91.45,91.81,794930.0
2019-10-17,92.29,93.57,92.07,93.26,748390.0
2019-10-18,92.97,93.15,92.32,92.9,652715.0
2019-10-21,93.75,94.44,93.06,93.11,811839.0
2019-10-22,93.24,94.04,93.03,93.52,563858.0
2019-10-23,93.5,94.0,92.55,92.9,675424.0
2019-10-24,93.23,93.8,93.02,93.37,458230.0
2019-10-25,93.21,94.03,93.21,93.93,405164.0
2019-10-28,94.33,94.74,94.0,94.41,463437.0
2019-10-29,93.8,95.04,93.79,94.29,622484.0
2019-10-30,94.48,94.97,93.98,94.84,467466.0
2019-10-31,94.53,95.0,93.05,93.58,824486.0
2019-11-01,94.25,96.32,94.17,96.07,1123910.0
2019-11-04,96.6,97.56,96.49,96.99,757724.0
2019-11-05,97.36,97.75,96.89,97.33,707822.0
2019-11-06,97.35,97.39,96.32,96.94,832706.0
2019-11-07,97.62,98.08,95.46,95.71,897246.0
2019-11-08,95.25,95.8,94.42,94.6,1546108.0
