date,Open,High,Low,Close,Volume
2019-08-20,42.6,43.15,42.33,42.37,3793880.0
2019-08-21,42.77,43.15,42.67,42.9,4361853.0
2019-08-22,42.99,43.22,41.96,42.13,5080652.0
2019-08-23,41.92,42.37,41.03,41.29,6418355.0
2019-08-26,41.47,41.67,41.23,41.59,4297241.0
2019-08-27,41.91,42.21,41.73,41.99,5574018.0
2019-08-28,41.78,42.57,41.62,42.54,2918476.0
2019-08-29,42.98,43.16,42.35,42.62,5835743.0
2019-08-30,42.9,43.09,42.52,42.69,4049061.0
2019-09-03,42.42,42.42,41.84,42.01,3772552.0
2019-09-04,42.41,42.59,42.29,42.4,4946814.0
2019-09-05,42.76,43.3,42.7,42.85,4681115.0
2019-09-06,43.03,43.21,42.76,42.82,3731564.0
2019-09-09,42.93,42.93,42.3,42.89,4636968.0
2019-09-10,42.98,43.25,42.8,42.97,4191030.0
2019-09-11,43.08,44.12,43.02,44.12,5122030.0
2019-09-12,44.32,44.5,43.98,44.3,3703325.0
2019-09-13,44.31,44.43,43.83,44.04,3659829.0
2019-09-16,43.85,43.98,43.57,43.71,3173281.0
2019-09-17,43.63,44.06,43.51,43.86,4003245.0
2019-09-18,43.9,44.16,43.68,44.11,4369941.0
2019-09-19,44.13,44.5,43.85,44.03,3211350.0
2019-09-20,44.31,44.58,43.8,43.91,9950289.0
2019-09-23,43.72,44.49,43.6,44.24,3299088.0
2019-09-24,44.35,44.65,43.42,43.46,5447107.0
2019-09-25,43.44,43.77,43.27,43.7,3723195.0
2019-09-26,43.8,43.89,43.44,43.59,4250191.0
2019-09-27,43.75,43.75,43.28,43.67,3566895.0
2019-09-30,44.01,44.2,43.82,43.89,3981703.0
2019-10-01,44.11,44.13,42.9,42.95,3900274.0
2019-10-02,42.66,42.68,41.64,41.86,5815225.0
2019-10-03,41.77,42.11,41.34,42.03,6238945.0
2019-10-04,42.24,42.58,42.0,42.44,4432605.0
2019-10-07,42.12,42.65,41.74,42.24,4632967.0
2019-10-08,41.84,42.03,41.29,41.31,4970643.0
2019-10-09,41.7,42.01,41.56,41.6,9306600.0
2019-10-10,41.62,42.39,41.62,41.79,6056116.0
2019-10-11,42.26,43.05,42.18,42.72,5352740.0
2019-10-14,42.61,42.69,42.21,42.24,2636758.0
2019-10-15,42.38,42.67,42.17,42.2,3270885.0
2019-10-16,41.83,42.45,41.74,42.0,6468286.0
2019-10-17,42.19,42.81,42.15,42.58,7747155.0
2019-10-18,42.48,42.61,41.69,41.85,6123489.0
2019-10-21,42.07,42.86,41.92,42.39,8440797.0
2019-10-22,42.35,42.87,42.23,42.69,6131880.0
2019-10-23,42.58,42.66,41.99,42.37,4983259.0
2019-10-24,42.58,42.65,42.23,42.3,4233401.0
2019-10-25,42.35,42.92,42.24,42.56,3821085.0
2019-10-28,42.72,42.84,42.34,42.67,5384529.0
2019-10-29,42.47,43.77,42.32,43.36,4769465.0
2019-10-30,43.29,43.41,42.81,43.21,3598694.0
2019-10-31,43.1,43.47,43.01,43.33,4611737.0
2019-11-01,43.68,43.92,43.41,43.82,4608863.0
2019-11-04,44.23,44.82,44.12,44.46,5980681.0
2019-11-05,44.35,44.41,43.73,43.89,6387806.0
2019-11-06,43.83,44.23,43.8,44.23,4880106.0
2019-11-07,44.28,44.6,42.15,42.29,6062134.0
2019-11-08,42.18,42.52,41.81,42.52,4933389.0
2019-11-11,42.21,42.53,42.13,42.24,3582103.0
2019-11-12,42.43,42.61,42.25,42.56,4000349.0
2019-11-13,42.36,42.47,41.62,41.85,5798373.0
2019-11-14,41.72,42.38,41.51,42.3,4268086.0
2019-11-15,42.63,42.77,42.27,42.39,4104985.0
2019-11-18,42.42,42.62,42.18,42.53,2953215.0
2019-11-19,42.69,42.99,42.56,42.91,5009534.0
2019-11-20,42.83,42.89,42.08,42.41,3449429.0
2019-11-21,42.12,42.33,42.02,42.23,4197469.0
2019-11-22,42.29,42.75,42.23,42.7,3278862.0
2019-11-25,42.8,42.96,42.57,42.62,3916240.0
2019-11-26,42.7,43.0,42.6,42.95,4527468.0
2019-11-27,42.99,43.18,42.86,43.11,3419995.0
2019-11-29,43.21,43.21,42.77,42.83,1855387.0
2019-12-02,42.79,42.88,42.27,42.27,5633570.0
2019-12-03,41.84,42.06,41.61,41.79,4390027.0
2019-12-04,41.89,42.53,41.84,42.13,3924627.0
2019-12-05,42.27,42.38,41.7,41.75,4461807.0
2019-12-06,42.12,42.33,41.94,42.09,3964631.0
2019-12-09,42.04,42.22,41.93,42.0,3669729.0
2019-12-10,42.09,42.31,41.84,42.09,3808954.0
2019-12-11,42.17,42.73,42.14,42.7,3481660.0
2019-12-12,42.05,42.27,41.75,42.01,5562330.0
2019-12-13,41.64,41.64,40.24,40.44,9083998.0
2019-12-16,40.72,40.98,40.46,40.6,9359232.0
2019-12-17,40.58,40.88,40.46,40.68,7422319.0
2019-12-18,40.75,40.87,40.39,40.6,6431467.0
2019-12-19,40.47,40.87,40.32,40.76,5532650.0
2019-12-20,41.2,41.24,40.85,41.22,13167497.0
2019-12-23,41.24,41.39,41.09,41.21,3240651.0
2019-12-24,41.11,41.17,40.89,41.12,983726.0
2019-12-26,41.06,41.21,40.91,41.11,1851602.0
2019-12-27,41.17,41.31,41.02,41.06,1800316.0
2019-12-30,41.04,41.13,40.6,40.65,2029221.0
2019-12-31,40.59,40.8,40.36,40.71,3609608.0
2020-01-02,40.91,41.41,40.73,41.4,4201537.0
2020-01-03,40.81,41.02,40.41,40.66,4206720.0
2020-01-06,41.03,41.43,40.97,41.18,4993635.0
2020-01-07,41.01,41.18,40.63,40.75,5157898.0
2020-01-08,40.83,41.55,40.77,41.08,4994329.0
2020-01-09,41.23,41.59,41.1,41.33,4643857.0
2020-01-10,41.42,41.51,40.9,40.98,3553830.0
2020-01-13,41.0,41.32,40.96,41.16,4860284.0
2020-01-14,41.18,41.23,40.86,40.98,3166317.0
2020-01-15,40.96,41.23,40.81,40.93,3517601.0
2020-01-16,40.99,41.16,40.76,41.04,5733915.0
2020-01-17,40.91,41.36,40.85,40.99,6685809.0
2020-01-21,40.86,41.25,40.82,41.03,4928599.0
2020-01-22,41.2,41.46,41.01,41.37,5673820.0
2020-01-23,41.19,41.77,41.19,41.75,4467342.0
2020-01-24,41.64,41.7,41.11,41.35,4563318.0
2020-01-27,40.85,41.09,40.27,40.3,3765542.0
2020-01-28,40.35,41.03,40.09,40.81,6266946.0
2020-01-29,41.05,41.24,40.47,40.49,3785186.0
2020-01-30,40.29,40.78,40.21,40.51,8702785.0
2020-01-31,41.25,42.34,39.23,39.45,7536793.0
2020-02-03,39.58,39.99,39.27,39.29,4574490.0
2020-02-04,39.69,40.05,39.21,39.24,5920820.0
2020-02-05,39.61,40.02,39.3,39.81,5966888.0
2020-02-06,39.92,40.1,39.7,39.92,3840690.0
2020-02-07,39.76,40.03,39.58,39.81,2991634.0
2020-02-10,39.71,40.64,39.6,40.54,5277219.0
2020-02-11,40.66,40.97,40.6,40.76,3116899.0
2020-02-12,40.93,41.86,40.93,41.79,5993689.0
2020-02-13,41.55,41.56,40.78,41.13,3835676.0
2020-02-14,41.12,41.96,41.01,41.96,4706305.0
2020-02-18,41.98,42.36,41.51,41.99,4339390.0
2020-02-19,42.09,42.44,41.85,41.97,4206059.0
2020-02-20,41.82,42.41,41.68,42.24,4741166.0
2020-02-21,42.06,42.65,41.89,42.45,12196474.0
2020-02-24,41.67,41.84,41.03,41.63,6391996.0
2020-02-25,41.63,41.69,39.43,39.45,7673378.0
2020-02-26,39.85,40.4,39.3,39.31,6226452.0
2020-02-27,38.72,39.42,37.9,37.9,8569123.0
2020-02-28,36.91,37.34,35.58,36.57,13381405.0
2020-03-02,36.81,38.12,36.1,38.07,8790676.0
2020-03-03,37.92,39.47,37.31,37.45,9620037.0
2020-03-04,38.17,39.48,37.58,39.35,8141071.0
2020-03-05,38.48,39.4,38.18,38.82,9336452.0
2020-03-06,37.28,38.48,37.26,38.16,9936103.0
2020-03-09,35.58,36.9,35.23,35.72,13133824.0
2020-03-10,36.83,37.6,35.16,37.55,11199872.0
2020-03-11,36.42,36.77,34.95,35.21,9998246.0
2020-03-12,32.64,33.23,30.52,30.52,9362966.0
2020-03-13,32.04,32.81,30.66,32.81,9801030.0
2020-03-16,28.75,32.85,28.58,30.6,9864586.0
2020-03-17,31.29,31.9,28.72,29.53,9708525.0
2020-03-18,27.67,28.13,23.96,26.32,7359254.0
2020-03-19,25.94,26.63,24.12,26.08,7761651.0
2020-03-20,26.69,26.69,24.11,24.91,12206143.0
2020-03-23,24.44,24.55,22.78,23.5,10134992.0
2020-03-24,24.64,25.64,24.3,25.36,12893298.0
2020-03-25,25.56,27.37,24.78,26.13,13131416.0
2020-03-26,26.41,27.55,25.82,27.0,11994173.0
2020-03-27,26.13,26.67,25.23,25.94,7731262.0
2020-03-30,25.94,26.69,24.66,26.49,8695865.0
2020-03-31,26.2,27.47,25.98,26.96,8473035.0
2020-04-01,25.79,26.22,24.77,25.16,7616649.0
2020-04-02,25.18,26.67,25.15,26.05,8349717.0
2020-04-03,25.98,26.3,25.0,25.47,6786911.0
2020-04-06,26.73,27.96,26.63,27.41,8617676.0
2020-04-07,28.6,29.53,28.1,28.27,5959515.0
2020-04-08,28.52,29.73,28.3,29.31,4418146.0
2020-04-09,29.63,31.34,29.62,30.6,8105494.0
2020-04-13,30.35,30.53,29.0,29.36,4041288.0
2020-04-14,30.0,31.1,29.79,30.8,6660844.0
2020-04-15,29.79,29.81,28.94,29.1,4256170.0
2020-04-16,29.03,29.17,28.1,28.5,5279432.0
2020-04-17,29.22,30.08,29.1,29.54,4144276.0
2020-04-20,28.79,29.07,28.19,28.47,4635892.0
2020-04-21,27.71,28.24,27.49,27.59,4025625.0
2020-04-22,28.3,28.47,27.4,27.75,5615138.0
2020-04-23,28.1,28.29,27.67,27.85,4893944.0
2020-04-24,27.97,28.03,27.29,27.91,7403574.0
2020-04-27,28.16,29.31,28.15,29.05,4649251.0
2020-04-28,29.66,30.4,29.54,29.73,6102686.0
2020-04-29,30.7,31.25,30.32,30.63,5273835.0
2020-04-30,30.15,30.15,29.03,29.11,5628615.0
2020-05-01,28.67,29.16,27.46,27.86,4747852.0
2020-05-04,27.63,28.63,26.92,28.53,5083786.0
2020-05-05,28.8,29.21,28.42,28.65,5869502.0
2020-05-06,28.89,28.96,28.3,28.31,4784369.0
2020-05-07,28.54,28.94,28.36,28.52,5134060.0
2020-05-08,28.99,29.89,28.97,29.8,4212686.0
2020-05-11,29.43,29.43,28.4,28.56,4188459.0
2020-05-12,28.68,28.85,27.85,27.91,5765423.0
2020-05-13,27.71,27.9,26.78,27.22,6449496.0
2020-05-14,27.26,28.8,26.23,28.59,5778532.0
2020-05-15,28.37,28.92,28.03,28.46,8629225.0
2020-05-18,29.58,30.08,29.28,29.53,5082134.0
2020-05-19,29.58,29.74,28.99,29.0,4633602.0
2020-05-20,29.19,29.31,28.58,28.74,6842452.0
2020-05-21,28.61,29.54,28.61,29.41,6587148.0
2020-05-22,29.41,29.56,29.08,29.53,3649530.0
2020-05-26,30.49,31.48,30.42,31.07,4874814.0
2020-05-27,32.0,32.53,31.47,31.87,6167644.0
2020-05-28,32.2,32.3,31.36,31.53,4835016.0
2020-05-29,31.15,31.77,31.03,31.41,6992661.0
2020-06-01,31.45,31.85,31.17,31.77,3187331.0
2020-06-02,32.0,32.38,32.0,32.35,4552855.0
2020-06-03,32.74,33.72,32.56,33.57,3561831.0
2020-06-04,33.34,34.48,33.29,34.41,5904569.0
2020-06-05,35.72,36.46,35.56,36.05,5939953.0
2020-06-08,36.18,37.07,36.18,36.81,4902687.0
2020-06-09,36.08,36.27,35.49,35.74,4352362.0
2020-06-10,35.5,35.5,34.39,34.43,6759281.0
2020-06-11,33.02,33.77,32.81,33.62,12949461.0
2020-06-12,34.86,35.06,33.67,34.45,12188096.0
