date,Open,High,Low,Close,Volume
2019-08-20,16.39,16.46,16.23,16.26,7070400.0
2019-08-21,16.42,16.5,16.25,16.38,7137100.0
2019-08-22,16.5,16.62,16.36,16.57,5797700.0
2019-08-23,16.43,16.63,15.9,15.98,8863600.0
2019-08-26,15.95,16.02,15.77,15.96,5911600.0
2019-08-27,16.05,16.08,15.68,15.81,5616600.0
2019-08-28,15.69,16.19,15.69,16.15,6138700.0
2019-08-29,16.34,16.58,16.3,16.45,8255800.0
2019-08-30,16.58,16.76,16.52,16.6,6857700.0
2019-09-03,16.46,16.47,16.11,16.22,7514200.0
2019-09-04,16.4,16.51,16.32,16.4,5454200.0
2019-09-05,16.76,17.18,16.68,17.04,10042800.0
2019-09-06,17.0,17.13,16.79,16.8,9037500.0
2019-09-09,17.03,17.76,16.95,17.67,16367800.0
2019-09-10,17.8,18.19,17.79,18.12,11007800.0
2019-09-11,18.14,18.2,17.78,18.0,10971500.0
2019-09-12,17.88,18.11,17.62,18.03,13998600.0
2019-09-13,18.25,18.49,18.13,18.27,10433700.0
2019-09-16,18.01,18.35,17.95,18.34,8598000.0
2019-09-17,18.24,18.26,17.92,18.13,7369900.0
2019-09-18,18.06,18.35,17.91,18.21,8227300.0
2019-09-19,18.21,18.32,18.0,18.05,4896900.0
2019-09-20,17.96,18.07,17.68,17.77,19468200.0
2019-09-23,17.61,17.91,17.49,17.79,8438200.0
2019-09-24,17.83,17.93,17.51,17.65,10337600.0
2019-09-25,17.68,18.04,17.66,17.9,8337000.0
2019-09-26,17.83,17.97,17.76,17.78,6539500.0
2019-09-27,17.95,18.2,17.76,17.86,8897000.0
2019-09-30,17.92,18.02,17.74,17.84,6264700.0
2019-10-01,18.0,18.04,17.33,17.38,7923700.0
2019-10-02,17.2,17.23,16.88,17.05,9314200.0
2019-10-03,16.96,17.12,16.59,17.11,10452700.0
2019-10-04,17.19,17.28,16.95,17.27,10538500.0
2019-10-07,17.26,17.47,17.17,17.28,6438500.0
2019-10-08,16.98,17.06,16.73,16.74,9732800.0
2019-10-09,16.89,16.94,16.72,16.79,7921000.0
2019-10-10,16.89,17.24,16.89,17.19,8274700.0
2019-10-11,17.62,17.69,17.39,17.4,10613700.0
2019-10-14,17.29,17.67,17.26,17.59,10850100.0
2019-10-15,17.66,17.93,17.58,17.78,6499900.0
2019-10-16,17.85,17.97,17.6,17.69,10037500.0
2019-10-17,17.96,18.03,17.46,17.51,12328000.0
2019-10-18,17.46,17.84,17.46,17.77,11816900.0
2019-10-21,18.0,18.19,17.96,18.13,8371400.0
2019-10-22,18.11,18.41,17.95,18.13,10148500.0
2019-10-23,18.09,18.27,18.05,18.23,8038800.0
2019-10-24,18.23,18.31,18.04,18.18,8605200.0
2019-10-25,18.04,18.34,18.04,18.2,7527000.0
2019-10-28,18.3,18.47,18.25,18.38,7811900.0
2019-10-29,18.25,18.6,18.23,18.45,10149700.0
2019-10-30,18.4,18.41,18.07,18.27,7147500.0
2019-10-31,18.12,18.27,17.8,17.97,10307500.0
2019-11-01,18.19,18.35,18.06,18.29,9137200.0
2019-11-04,18.44,18.97,18.44,18.96,13251700.0
2019-11-05,19.0,19.34,18.96,19.19,12142900.0
2019-11-06,19.03,19.13,18.9,19.13,8437500.0
2019-11-07,19.3,19.48,19.23,19.3,8827900.0
2019-11-08,19.24,19.41,19.16,19.36,6438800.0
2019-11-11,19.2,19.38,19.18,19.2,8868800.0
2019-11-12,19.2,19.32,19.1,19.2,8172200.0
2019-11-13,18.97,19.04,18.76,18.88,8260600.0
2019-11-14,18.81,18.89,18.68,18.87,6861100.0
2019-11-15,18.96,19.02,18.85,18.97,6025900.0
2019-11-18,18.89,19.02,18.82,18.97,6098800.0
2019-11-19,19.05,19.12,18.84,19.11,9031200.0
2019-11-20,19.07,19.13,18.87,19.08,9272500.0
2019-11-21,19.15,19.19,18.89,19.1,7159800.0
2019-11-22,19.14,19.4,19.12,19.26,6092600.0
2019-11-25,19.3,19.5,19.25,19.42,9302200.0
2019-11-26,19.31,19.4,19.22,19.29,7815500.0
2019-11-27,19.4,19.49,19.29,19.45,6084000.0
2019-11-29,19.42,19.54,19.37,19.39,3809000.0
2019-12-02,19.33,19.43,19.05,19.06,8836000.0
2019-12-03,18.79,18.82,18.54,18.77,7457900.0
2019-12-04,18.88,19.18,18.8,19.09,7785000.0
2019-12-05,19.18,19.32,19.07,19.3,7038500.0
