date,Open,High,Low,Close,Volume
2019-08-20,87.11,88.47,86.24,87.3,2137691.0
2019-08-21,88.55,89.225,88.16,89.14,2499332.0
2019-08-22,94.44,101.58,91.601,100.35,11178645.0
2019-08-23,97.48,98.67,92.6,93.18,5116717.0
2019-08-26,94.17,95.66,93.26,95.17,2643405.0
2019-08-27,95.23,95.875,93.88,94.51,1907846.0
2019-08-28,94.36,96.58,93.05,96.09,1954582.0
2019-08-29,97.35,97.78,95.17,96.82,1521821.0
2019-08-30,97.08,97.88,95.78,96.86,1304755.0
2019-09-03,96.0,96.295,93.73,94.79,1404781.0
2019-09-04,96.07,96.94,95.17,95.84,1223468.0
2019-09-05,96.58,99.97,96.58,99.3,2596061.0
2019-09-06,99.03,99.03,97.6,98.05,1183356.0
2019-09-09,99.21,100.53,97.78,98.63,2059398.0
2019-09-10,97.65,98.47,95.535,98.44,1671360.0
2019-09-11,98.46,98.8,97.2001,98.53,1111621.0
2019-09-12,98.86,99.69,97.875,99.04,1334131.0
2019-09-13,99.04,100.88,98.24,99.58,1618949.0
2019-09-16,99.05,99.69,98.57,98.98,847383.0
2019-09-17,99.35,101.75,99.02,101.38,2049998.0
2019-09-18,101.16,101.93,99.92,101.34,1367159.0
2019-09-19,101.3,102.0,99.9521,100.01,957311.0
2019-09-20,100.44,100.72,98.59,98.77,2018631.0
2019-09-23,99.04,100.47,98.15,99.87,1167888.0
2019-09-24,100.9,101.48,97.85,98.1,1433074.0
2019-09-25,98.0,99.73,96.66,99.6,846724.0
2019-09-26,99.6,99.82,97.58,99.28,805869.0
2019-09-27,99.95,100.3099,95.37,96.29,1378299.0
2019-09-30,96.74,98.0,96.36,97.25,1168705.0
2019-10-01,97.86,98.6417,95.7,95.92,1608706.0
2019-10-02,94.76,95.15,93.06,94.8,1465038.0
2019-10-03,94.92,95.83,92.92,95.46,1679902.0
2019-10-04,95.46,96.7,94.83,96.58,903209.0
2019-10-07,96.28,97.0,95.51,96.21,1458274.0
2019-10-08,96.02,96.02,91.42,91.42,2504726.0
2019-10-09,92.74,95.16,92.625,94.61,1694549.0
2019-10-10,94.33,95.83,94.2,94.43,1056351.0
2019-10-11,96.56,96.93,94.68,95.0,1347768.0
2019-10-14,94.75,95.6,94.63,95.48,1180683.0
2019-10-15,96.05,97.98,96.0,97.73,754223.0
2019-10-16,97.5,97.5,95.415,95.59,1005638.0
2019-10-17,96.41,97.185,96.1,97.04,862354.0
2019-10-18,97.92,99.53,96.94,98.26,1818015.0
2019-10-21,98.9,103.63,98.89,102.97,3133185.0
2019-10-22,102.75,103.61,101.87,102.5,1784361.0
2019-10-23,102.05,103.52,100.64,103.43,1478800.0
2019-10-24,103.5,103.9456,100.73,100.73,1667789.0
2019-10-25,100.6,102.1,100.17,101.28,916704.0
2019-10-28,102.3,103.16,102.1166,102.43,1178730.0
2019-10-29,102.42,104.54,102.03,104.39,1685301.0
2019-10-30,104.05,104.05,102.2601,103.28,1386867.0
2019-10-31,103.2,103.4512,99.9,100.91,1643530.0
2019-11-01,101.55,102.02,100.56,101.9,1183885.0
2019-11-04,103.43,104.69,103.17,104.3,1000783.0
2019-11-05,104.9,105.62,103.85,104.12,1580344.0
2019-11-06,104.37,104.54,101.8,103.38,1007306.0
2019-11-07,104.0,104.88,103.44,103.72,673277.0
2019-11-08,103.74,105.36,103.17,105.25,737008.0
2019-11-11,104.49,106.04,104.425,105.62,820390.0
2019-11-12,106.43,107.18,106.0,107.06,989838.0
2019-11-13,106.35,106.68,104.78,106.65,992306.0
2019-11-14,106.0,106.86,105.59,106.83,743780.0
2019-11-15,107.62,109.13,107.17,109.08,1223517.0
2019-11-18,110.0,110.0,107.11,107.37,1546361.0
2019-11-19,107.51,108.475,106.57,108.13,769554.0
2019-11-20,107.66,108.76,106.91,107.51,1099929.0
2019-11-21,107.17,108.0,105.595,105.75,1096732.0
2019-11-22,106.0,106.24,103.42,103.66,1857092.0
2019-11-25,104.84,106.585,104.11,106.3,2076897.0
2019-11-26,107.29,107.45,105.2,105.73,2470208.0
2019-11-27,107.46,109.8,104.31,108.04,4266982.0
2019-11-29,106.74,107.8,105.5,107.03,893046.0
2019-12-02,107.07,107.33,102.87,103.29,1594141.0
2019-12-03,101.39,102.5,100.44,101.74,1402260.0
2019-12-04,102.41,104.24,102.41,103.16,1361530.0
2019-12-05,103.5,103.97,100.66,100.77,1675471.0
2019-12-06,102.23,104.85,102.11,103.2,1708430.0
2019-12-09,102.54,103.03,101.56,101.72,1428828.0
2019-12-10,101.48,102.89,101.38,101.6,1164288.0
2019-12-11,101.9,103.32,101.6,103.24,1028955.0
2019-12-12,103.47,107.41,103.34,107.3,1705122.0
2019-12-13,106.76,108.8,106.13,107.81,1629378.0
2019-12-16,108.05,108.44,104.91,105.17,1720996.0
2019-12-17,105.17,105.5796,103.11,103.94,1380852.0
2019-12-18,104.89,104.97,103.73,103.93,994046.0
2019-12-19,103.92,104.61,103.22,103.86,1203410.0
2019-12-20,104.44,105.19,102.7,103.12,2113733.0
2019-12-23,103.12,104.73,102.9696,103.96,1058900.0
2019-12-24,104.0,104.42,102.605,103.22,487363.0
2019-12-26,104.0,104.9221,103.04,103.65,948673.0
2019-12-27,103.95,104.36,102.6441,103.23,814801.0
2019-12-30,103.12,103.65,100.77,102.18,1094049.0
2019-12-31,101.72,102.8883,101.72,102.63,727125.0
2020-01-02,103.84,104.265,102.21,104.19,1231241.0
2020-01-03,102.41,102.85,101.004,101.88,1124022.0
2020-01-06,100.88,100.88,99.63,100.14,1193684.0
2020-01-07,100.57,101.29,100.31,100.78,1259799.0
2020-01-08,100.6,102.05,100.5264,101.07,1233684.0
2020-01-09,102.0,102.75,101.22,101.61,1048434.0
2020-01-10,102.0,102.18,100.1,100.36,1051700.0
2020-01-13,100.44,101.97,100.42,101.8,1475535.0
2020-01-14,102.46,102.53,100.67,101.39,1954150.0
2020-01-15,101.12,101.63,100.51,101.06,1218738.0
2020-01-16,102.0,103.43,101.82,103.37,1328906.0
2020-01-17,103.87,105.6003,103.755,105.37,1852978.0
2020-01-21,105.3,106.31,104.77,104.87,2088819.0
2020-01-22,105.76,106.57,105.46,105.51,1332726.0
2020-01-23,106.14,106.82,103.11,104.16,1822864.0
2020-01-24,104.84,105.3,102.63,102.98,1553437.0
2020-01-27,100.69,101.16,99.15,100.01,1291882.0
2020-01-28,100.62,103.36,100.1,102.14,1346732.0
2020-01-29,102.73,102.96,95.1,95.66,3420465.0
2020-01-30,94.98,96.695,93.23,95.29,2429068.0
2020-01-31,95.18,95.466,92.57,92.99,2237223.0
2020-02-03,93.85,94.99,92.82,93.21,1976466.0
2020-02-04,94.87,95.98,93.96,94.67,1907515.0
2020-02-05,95.55,96.809,95.13,95.4,1728024.0
2020-02-06,96.74,97.9811,95.84,96.49,1553750.0
2020-02-07,96.0,96.284,93.66,94.5,1259114.0
2020-02-10,94.25,94.84,93.93,94.55,1494147.0
2020-02-11,95.5,97.96,95.48,96.15,1316528.0
2020-02-12,96.82,98.7,96.82,98.47,1670313.0
2020-02-13,97.83,98.343,96.38,96.61,1844588.0
2020-02-14,97.0,98.29,96.86,98.16,1460431.0
2020-02-18,98.0,98.128,97.0,97.6,1563167.0
2020-02-19,97.85,99.085,97.72,98.48,1386377.0
2020-02-20,98.48,99.03,96.89,98.46,1509835.0
2020-02-21,97.89,98.311,95.65,96.18,1966160.0
2020-02-24,93.0,93.229,90.35,90.89,2727427.0
2020-02-25,99.79,99.85,93.19,93.66,4298944.0
2020-02-26,94.68,97.17,93.26,94.07,3640190.0
2020-02-27,91.36,96.01,90.6,92.4,3432382.0
2020-02-28,89.5,95.0,89.36,94.76,3521364.0
2020-03-02,94.94,97.48,93.45,97.42,2516510.0
2020-03-03,97.0,99.77,92.74,93.51,2656388.0
2020-03-04,95.44,98.06,93.67,97.93,2133694.0
2020-03-05,95.41,98.92,95.0,98.6,2861864.0
2020-03-06,95.81,96.86,93.62,96.01,2477164.0
2020-03-09,90.2,92.26,87.71,89.2,3520211.0
2020-03-10,91.79,94.98,88.84,94.83,1991648.0
2020-03-11,92.37,94.21,90.27,91.8,2404195.0
2020-03-12,85.71,88.55,82.33,82.36,3435739.0
2020-03-13,87.09,92.03,85.11,92.03,2416973.0
2020-03-16,80.78,89.3815,80.0,83.78,2764985.0
2020-03-17,85.4,94.5,80.2001,94.19,2944312.0
2020-03-18,86.63,91.11,82.42,86.0,3052761.0
2020-03-19,85.16,86.49,79.87,85.97,2721370.0
2020-03-20,86.18,86.49,81.14,83.09,3254473.0
2020-03-23,82.66,83.9,79.0,81.17,2061276.0
2020-03-24,84.76,86.85,81.89,85.06,2161962.0
2020-03-25,84.18,85.0,80.59,81.96,2286688.0
2020-03-26,82.1,86.25,81.71,84.21,1930187.0
2020-03-27,82.98,82.98,77.93,78.28,2366616.0
2020-03-30,79.39,86.49,78.96,85.66,1935107.0
2020-03-31,85.18,86.58,83.19,83.68,2273542.0
2020-04-01,81.19,83.38,80.07,80.89,1279454.0
2020-04-02,79.89,83.88,79.405,83.75,1440326.0
2020-04-03,83.6,84.94,80.67,82.52,1300968.0
2020-04-06,85.56,91.53,85.0,90.73,1981570.0
2020-04-07,93.31,94.63,89.0,89.21,2201389.0
2020-04-08,90.11,91.74,88.3011,91.0,1283025.0
2020-04-09,91.06,93.27,90.38,92.1,1040007.0
2020-04-13,91.41,92.86,90.7157,92.55,1018624.0
2020-04-14,93.64,96.15,93.5987,94.86,1026069.0
2020-04-15,93.29,93.48,91.86,92.97,900694.0
2020-04-16,93.13,96.88,92.585,96.58,1100885.0
2020-04-17,97.65,98.57,94.86,95.84,1652831.0
2020-04-20,95.37,97.09,94.7,95.31,1063289.0
2020-04-21,94.47,94.47,91.2829,91.6,1006454.0
2020-04-22,93.61,95.83,93.359,95.27,723475.0
2020-04-23,95.59,97.28,95.1,95.76,1155633.0
