date,Open,High,Low,Close,Volume
2019-08-20,18.94,18.97,18.43,18.44,2635500.0
2019-08-21,18.56,18.68,18.43,18.53,2760700.0
2019-08-22,18.46,18.7,18.37,18.6,4113000.0
2019-08-23,18.52,18.7,18.12,18.15,4576800.0
2019-08-26,18.3,18.46,18.18,18.38,3972900.0
2019-08-27,18.52,18.61,18.21,18.21,3760500.0
2019-08-28,18.15,18.36,18.03,18.27,3095600.0
2019-08-29,18.32,18.55,18.29,18.43,3493400.0
2019-08-30,18.45,18.55,18.38,18.38,3112800.0
2019-09-03,18.36,18.73,18.26,18.73,3733300.0
2019-09-04,18.62,18.98,18.62,18.82,4915800.0
2019-09-05,18.8,18.95,18.67,18.91,4472500.0
2019-09-06,18.94,19.38,18.91,19.35,4803500.0
2019-09-09,19.34,19.81,19.24,19.76,5826200.0
2019-09-10,19.7,20.13,19.64,20.11,5970500.0
2019-09-11,20.13,20.2,19.86,20.19,4746100.0
2019-09-12,20.35,20.4,20.16,20.39,7918400.0
2019-09-13,20.37,20.45,19.93,20.12,6289500.0
2019-09-16,20.17,20.18,19.93,20.01,3505200.0
2019-09-17,20.03,20.13,19.9,20.08,2621300.0
2019-09-18,20.13,20.22,20.01,20.17,3496500.0
2019-09-19,20.29,20.31,20.16,20.22,2399000.0
2019-09-20,20.19,20.38,20.16,20.27,5314800.0
2019-09-23,20.09,20.34,20.09,20.2,3682200.0
2019-09-24,20.23,20.29,20.08,20.2,2683900.0
2019-09-25,20.2,20.4,20.17,20.29,3424500.0
2019-09-26,20.37,20.79,20.25,20.78,3913500.0
2019-09-27,20.78,20.86,20.64,20.85,3817500.0
2019-09-30,20.86,20.95,20.85,20.88,4857400.0
2019-10-01,20.6,20.71,20.16,20.49,5729900.0
2019-10-02,20.42,20.53,20.34,20.46,3444100.0
2019-10-03,20.43,20.6,20.2,20.37,4380100.0
2019-10-04,20.33,20.52,20.28,20.5,3184200.0
2019-10-07,20.44,20.65,20.42,20.63,2396400.0
2019-10-08,20.62,20.7,20.48,20.55,4719400.0
2019-10-09,20.62,20.7,20.41,20.47,2783500.0
2019-10-10,20.52,20.61,20.43,20.54,3301000.0
2019-10-11,20.64,20.94,20.58,20.74,3665500.0
2019-10-14,20.76,20.8,20.57,20.77,1977300.0
2019-10-15,20.69,20.78,20.6,20.69,2976300.0
2019-10-16,20.68,20.76,20.58,20.7,2744100.0
2019-10-17,20.71,20.77,20.54,20.59,2854200.0
2019-10-18,20.57,20.93,20.55,20.92,3092000.0
2019-10-21,20.95,21.24,20.88,21.23,4624400.0
2019-10-22,21.28,21.44,21.21,21.39,3137800.0
2019-10-23,21.35,21.48,21.08,21.26,4902100.0
2019-10-24,21.2,21.4,20.88,21.16,3824400.0
2019-10-25,21.18,21.21,20.93,21.15,3355900.0
2019-10-28,21.17,21.18,20.92,20.96,3340500.0
2019-10-29,20.97,21.2,20.92,21.12,4721900.0
2019-10-30,21.18,21.74,21.12,21.74,4070000.0
2019-10-31,21.77,21.82,21.45,21.56,4045500.0
2019-11-01,21.6,21.73,21.49,21.73,2428600.0
2019-11-04,21.66,21.7,21.39,21.4,2680600.0
2019-11-05,21.26,21.46,21.12,21.28,3646800.0
2019-11-06,21.32,21.57,21.25,21.39,2228700.0
2019-11-07,21.37,21.37,20.86,20.89,3224900.0
2019-11-08,20.84,21.01,20.8,20.85,2187700.0
2019-11-11,20.83,20.98,20.78,20.89,3887000.0
2019-11-12,20.96,21.1,20.66,20.73,3763300.0
2019-11-13,20.75,21.16,20.73,21.05,3670900.0
2019-11-14,21.14,21.58,21.12,21.56,4981800.0
2019-11-15,21.59,21.63,21.44,21.53,2843000.0
2019-11-18,21.56,21.86,21.49,21.77,2988800.0
2019-11-19,21.77,21.79,21.57,21.67,2499800.0
2019-11-20,21.61,21.66,21.25,21.44,4267600.0
