date,Open,High,Low,Close,Volume
2019-08-20,140.26,142.13,139.21,140.37,1157399.0
2019-08-21,141.62,142.75,140.38,141.9,836245.0
2019-08-22,142.65,144.52,141.28,143.57,1333394.0
2019-08-23,142.26,144.32,138.56,139.16,1888894.0
2019-08-26,141.0,141.92,139.89,141.29,1020813.0
2019-08-27,142.46,142.93,140.61,142.42,1230330.0
2019-08-28,141.16,144.05,140.05,143.56,991537.0
2019-08-29,145.66,147.47,145.1,146.37,1155594.0
2019-08-30,147.98,148.78,147.09,147.9,1820618.0
2019-09-03,149.46,150.39,147.41,149.93,2218899.0
2019-09-04,151.58,152.0,149.97,150.65,1982503.0
2019-09-05,153.68,155.33,150.92,151.0,2581984.0
2019-09-06,150.85,152.52,150.59,150.98,1985381.0
2019-09-09,151.99,152.76,148.53,150.51,2245848.0
2019-09-10,149.77,149.77,146.06,148.75,1885753.0
2019-09-11,150.0,150.77,148.63,150.65,2790205.0
2019-09-12,152.43,152.77,149.39,149.61,2282125.0
2019-09-13,149.58,151.65,147.8,150.32,1879788.0
2019-09-16,148.76,151.92,148.06,151.19,1192212.0
2019-09-17,153.21,155.78,150.16,152.6,2144300.0
2019-09-18,152.59,158.09,151.7,157.98,2735174.0
2019-09-19,158.61,159.3,156.46,157.22,1393878.0
2019-09-20,158.01,158.54,154.37,155.5,3188169.0
2019-09-23,155.2,158.63,155.2,157.58,1122836.0
2019-09-24,159.31,160.55,155.53,156.5,1726008.0
2019-09-25,156.35,160.93,156.17,160.59,1232245.0
2019-09-26,160.88,162.68,159.94,161.95,1281045.0
2019-09-27,160.16,161.32,157.48,158.48,1459134.0
2019-09-30,159.46,160.3,157.65,159.45,1139849.0
2019-10-01,160.79,162.41,157.73,158.29,919702.0
2019-10-02,156.28,157.5,153.63,155.05,1588944.0
2019-10-03,155.47,157.69,153.69,156.96,1300268.0
2019-10-04,157.64,161.29,157.47,161.11,1194290.0
2019-10-07,160.7,162.68,160.2,161.05,975599.0
2019-10-08,158.76,159.03,154.33,154.52,1485100.0
2019-10-09,157.17,158.81,156.11,157.48,1027582.0
2019-10-10,158.02,159.26,156.6,157.4,894800.0
2019-10-11,160.97,162.49,158.93,160.22,1180240.0
2019-10-14,159.62,160.95,158.31,159.0,1140563.0
2019-10-15,160.08,163.54,159.58,162.56,885626.0
2019-10-16,160.8,161.97,159.08,159.64,1299884.0
2019-10-17,162.71,167.95,161.04,161.51,1614062.0
2019-10-18,160.63,162.02,158.32,159.69,1186923.0
2019-10-21,160.31,164.29,159.87,164.0,1776437.0
2019-10-22,163.88,164.85,162.34,162.82,1235371.0
2019-10-23,161.14,162.22,158.27,158.72,1141315.0
2019-10-24,164.0,168.95,163.46,168.74,1838377.0
2019-10-25,167.69,170.29,166.8,169.94,1101685.0
2019-10-28,171.02,175.25,171.02,174.78,1580130.0
2019-10-29,174.1,175.32,170.19,170.28,1693582.0
2019-10-30,171.82,173.94,169.21,172.96,1706475.0
2019-10-31,167.67,170.25,160.4,169.04,2595772.0
2019-11-01,170.13,173.14,169.27,172.42,1462541.0
2019-11-04,174.78,175.43,172.46,174.02,1046885.0
2019-11-05,174.17,175.32,171.43,171.98,1715519.0
2019-11-06,171.22,172.76,168.33,172.52,1397973.0
2019-11-07,173.58,174.0,171.52,171.95,960518.0
2019-11-08,170.33,174.28,170.33,174.21,648901.0
2019-11-11,173.63,175.34,171.46,174.43,630955.0
2019-11-12,175.13,176.23,173.65,174.42,888868.0
2019-11-13,174.2,177.35,173.14,176.35,930489.0
2019-11-14,175.97,176.97,174.33,176.6,824109.0
2019-11-15,178.83,179.95,177.11,177.86,1570163.0
2019-11-18,177.59,178.17,176.73,177.0,1064583.0
2019-11-19,177.04,178.0,173.5,175.99,1284992.0
2019-11-20,176.13,177.15,172.86,173.67,1131421.0
2019-11-21,165.86,166.58,159.62,161.59,3498115.0
2019-11-22,160.47,162.65,157.84,158.49,2274694.0
2019-11-25,160.34,164.22,160.3,163.35,1905886.0
2019-11-26,163.85,164.22,161.11,162.13,2035318.0
2019-11-27,163.3,166.26,162.14,165.65,1378622.0
2019-11-29,165.09,165.57,163.69,163.86,705434.0
