date,Open,High,Low,Close,Volume
2019-08-20,143.1,143.11,139.93,140.15,2087600.0
2019-08-21,140.96,142.32,140.67,141.91,1144300.0
2019-08-22,142.21,142.81,141.02,141.78,989200.0
2019-08-23,141.52,142.06,137.57,138.41,1427500.0
2019-08-26,139.39,140.82,138.91,140.25,1111500.0
2019-08-27,141.18,141.58,140.34,141.14,1346500.0
2019-08-28,141.18,142.17,140.6,141.95,860400.0
2019-08-29,142.79,142.99,140.43,141.84,1057800.0
2019-08-30,142.54,142.57,140.58,141.11,1316700.0
2019-09-03,141.02,141.85,139.69,141.51,1526900.0
2019-09-04,141.76,142.72,141.54,142.68,1295100.0
2019-09-05,141.75,142.66,139.28,139.48,2360100.0
2019-09-06,139.67,140.04,137.38,138.05,2134500.0
2019-09-09,138.86,138.86,132.06,133.27,3430900.0
2019-09-10,132.12,132.42,130.54,131.15,3040400.0
2019-09-11,131.04,131.96,129.21,131.91,2624700.0
2019-09-12,132.83,134.72,132.4,133.58,1728600.0
2019-09-13,132.09,133.87,131.8,132.41,1672000.0
2019-09-16,131.54,131.93,128.29,128.78,2265600.0
2019-09-17,128.66,132.07,128.66,131.92,1925700.0
2019-09-18,132.44,133.33,131.59,133.09,1547900.0
2019-09-19,133.34,134.94,133.04,134.12,1501400.0
2019-09-20,134.56,135.33,134.0,135.04,2773500.0
2019-09-23,136.91,137.7,136.01,136.83,2271100.0
2019-09-24,137.48,138.83,136.63,137.8,1518800.0
2019-09-25,137.95,138.89,136.89,137.58,1894100.0
2019-09-26,138.14,140.34,137.97,140.11,1684000.0
2019-09-27,142.03,142.39,140.8,142.06,1546000.0
2019-09-30,141.62,143.5,141.54,142.05,1399800.0
2019-10-01,141.67,142.34,140.2,141.66,1169600.0
2019-10-02,141.51,142.34,137.9,139.79,1864000.0
2019-10-03,140.12,140.72,138.83,139.72,1098900.0
2019-10-04,139.75,141.62,139.75,141.6,1294500.0
2019-10-07,141.49,141.73,140.02,140.16,1212500.0
2019-10-08,139.73,140.13,136.99,137.11,1593200.0
2019-10-09,137.71,138.14,136.37,137.35,1409400.0
2019-10-10,136.92,138.5,136.39,137.89,1140500.0
2019-10-11,137.74,138.59,137.02,137.63,1154600.0
2019-10-14,137.9,137.9,134.59,135.1,1275600.0
2019-10-15,135.56,135.78,133.13,133.87,1621500.0
2019-10-16,134.26,134.73,133.11,134.7,1513900.0
2019-10-17,134.64,135.9,134.64,135.62,1082000.0
2019-10-18,135.46,137.78,134.46,137.22,1765800.0
2019-10-21,136.99,139.55,136.68,139.19,2447100.0
2019-10-22,137.0,137.25,129.38,129.38,4576800.0
2019-10-23,130.56,134.61,129.91,134.29,2992700.0
2019-10-24,134.7,136.07,134.51,135.19,1761100.0
2019-10-25,135.2,136.23,134.18,134.2,1891900.0
2019-10-28,134.43,135.0,131.25,131.88,1940600.0
2019-10-29,131.69,133.65,131.07,132.94,1252300.0
2019-10-30,134.2,134.84,132.62,133.67,1122200.0
2019-10-31,133.32,134.05,132.07,132.88,1477900.0
2019-11-01,132.91,133.68,131.63,132.04,1008400.0
2019-11-04,131.9,132.57,129.01,129.36,1697800.0
2019-11-05,129.31,131.05,129.19,130.37,1557600.0
2019-11-06,130.98,132.42,130.83,131.72,1602300.0
2019-11-07,131.59,132.35,130.8,131.76,1224600.0
2019-11-08,131.79,133.04,130.64,131.46,1092500.0
2019-11-11,131.48,132.12,130.88,131.2,610400.0
