date,Open,High,Low,Close,Volume
2019-08-20,20.42,20.45,20.11,20.14,11233674.0
2019-08-21,20.41,20.55,20.31,20.39,14030082.0
2019-08-22,20.4,20.41,20.14,20.2,12004297.0
2019-08-23,20.05,20.18,19.5,19.57,16649213.0
2019-08-26,19.77,20.02,19.67,19.92,9681227.0
2019-08-27,20.05,20.13,19.82,20.04,17853893.0
2019-08-28,20.14,20.33,20.02,20.26,10081041.0
2019-08-29,20.43,20.49,20.16,20.4,9894851.0
2019-08-30,20.43,20.47,20.16,20.27,13755667.0
2019-09-03,20.06,20.13,19.9,20.12,12318074.0
2019-09-04,20.28,20.46,20.21,20.33,7697405.0
2019-09-05,20.44,20.65,20.41,20.51,10107798.0
2019-09-06,20.49,20.56,20.33,20.41,7077398.0
2019-09-09,20.51,20.56,20.24,20.41,10243749.0
2019-09-10,20.32,20.38,20.02,20.23,16417749.0
2019-09-11,20.29,20.5,20.24,20.45,9577396.0
2019-09-12,20.47,20.54,20.35,20.42,10130440.0
2019-09-13,20.44,20.55,20.31,20.47,21171293.0
2019-09-16,20.83,20.99,20.57,20.67,20360343.0
2019-09-17,20.64,20.91,20.55,20.74,15630110.0
2019-09-18,20.65,20.73,20.58,20.67,7013942.0
2019-09-19,20.8,20.84,20.59,20.69,9057038.0
2019-09-20,20.78,20.96,20.63,20.92,14750915.0
2019-09-23,20.79,20.96,20.77,20.78,7630056.0
2019-09-24,20.78,20.86,20.42,20.57,10465328.0
2019-09-25,20.57,20.66,20.47,20.51,7521265.0
2019-09-26,20.49,20.58,20.3,20.52,6737673.0
2019-09-27,20.56,20.76,20.47,20.67,7434761.0
2019-09-30,20.6,20.71,20.55,20.61,7118762.0
2019-10-01,20.7,20.74,20.24,20.29,9735086.0
2019-10-02,20.25,20.32,20.11,20.17,10058089.0
2019-10-03,20.14,20.47,19.93,20.38,8899823.0
2019-10-04,20.4,20.54,20.31,20.52,6384032.0
2019-10-07,20.54,20.57,20.29,20.3,7056540.0
2019-10-08,20.19,20.27,19.97,20.01,10445446.0
2019-10-09,20.12,20.29,20.1,20.18,8005487.0
2019-10-10,20.2,20.31,20.11,20.24,8559007.0
2019-10-11,20.39,20.42,20.2,20.23,10397143.0
2019-10-14,20.11,20.17,19.99,20.14,12573892.0
2019-10-15,20.1,20.32,20.04,20.18,13824353.0
2019-10-16,20.13,20.18,20.0,20.02,17065449.0
2019-10-17,19.95,20.13,19.63,20.07,14555819.0
2019-10-18,20.05,20.18,19.95,20.02,13167555.0
2019-10-21,20.16,20.35,20.07,20.16,10851646.0
2019-10-22,20.2,20.56,20.15,20.32,10614732.0
2019-10-23,20.29,20.41,20.18,20.4,8433166.0
2019-10-24,20.46,20.71,20.41,20.44,10432993.0
2019-10-25,20.24,20.47,20.09,20.42,10813447.0
2019-10-28,20.5,20.53,20.17,20.18,10190758.0
2019-10-29,20.16,20.38,20.07,20.17,11716950.0
2019-10-30,19.92,20.15,19.85,20.0,13622166.0
2019-10-31,19.99,20.04,19.83,19.98,16191245.0
2019-11-01,20.08,20.5,20.05,20.5,10812132.0
2019-11-04,20.54,20.73,20.47,20.56,12401383.0
2019-11-05,20.58,20.67,20.22,20.52,12322853.0
2019-11-06,20.5,20.56,20.18,20.21,10076765.0
2019-11-07,20.34,20.34,19.99,20.04,11991093.0
2019-11-08,20.0,20.11,19.88,20.03,11920093.0
2019-11-11,19.9,20.05,19.86,19.94,9692887.0
2019-11-12,19.98,20.18,19.91,20.07,11715639.0
2019-11-13,20.04,20.43,20.04,20.35,18084995.0
2019-11-14,20.37,20.51,20.12,20.22,15853612.0
2019-11-15,20.35,20.52,20.29,20.44,23108233.0
2019-11-18,20.3,20.43,20.09,20.14,11151996.0
2019-11-19,20.15,20.17,19.98,20.01,11201026.0
2019-11-20,20.0,20.17,19.96,20.06,12223523.0
2019-11-21,20.1,20.2,20.04,20.16,11342249.0
2019-11-22,20.2,20.23,19.95,19.96,9725884.0
2019-11-25,20.05,20.09,19.9,19.96,14192051.0
2019-11-26,19.95,20.05,19.61,19.7,23962512.0
2019-11-27,19.75,19.8,19.51,19.73,12139492.0
2019-11-29,19.72,19.72,19.5,19.61,7196191.0
2019-12-02,19.61,19.64,19.4,19.4,10745669.0
2019-12-03,19.33,19.35,19.13,19.15,13683868.0
2019-12-04,19.25,19.34,19.14,19.3,11295982.0
2019-12-05,19.33,19.7,19.31,19.68,17301843.0
2019-12-06,19.71,19.87,19.67,19.75,11642320.0
2019-12-09,19.62,19.97,19.6,19.94,12346840.0
2019-12-10,19.88,20.22,19.87,20.12,12784802.0
2019-12-11,20.12,20.22,20.08,20.2,9462561.0
2019-12-12,20.2,20.46,20.09,20.15,15906236.0
2019-12-13,20.15,20.37,20.08,20.2,13741313.0
2019-12-16,20.34,20.59,20.27,20.58,11817633.0
2019-12-17,20.58,20.71,20.47,20.51,10447206.0
2019-12-18,20.49,20.79,20.47,20.72,14375077.0
2019-12-19,20.72,20.85,20.68,20.84,8582869.0
2019-12-20,21.0,21.01,20.79,20.97,19257563.0
2019-12-23,20.95,21.26,20.88,21.2,9969655.0
2019-12-24,21.18,21.19,21.05,21.13,3476415.0
2019-12-26,21.19,21.36,21.17,21.2,7086845.0
2019-12-27,21.26,21.31,21.06,21.08,8172517.0
2019-12-30,21.1,21.19,20.95,21.03,7926495.0
2019-12-31,21.0,21.18,20.95,21.17,10033532.0
2020-01-02,21.25,21.25,20.99,21.04,10373077.0
2020-01-03,21.07,21.21,21.02,21.2,10148742.0
2020-01-06,21.1,21.46,21.06,21.28,13970177.0
2020-01-07,21.34,21.35,21.09,21.33,14736877.0
2020-01-08,21.27,21.36,21.14,21.16,10651477.0
2020-01-09,21.17,21.55,21.06,21.55,16251449.0
2020-01-10,21.43,21.68,21.32,21.51,16032382.0
2020-01-13,21.51,21.65,21.33,21.55,12536520.0
2020-01-14,21.5,21.57,21.23,21.46,12631500.0
2020-01-15,21.37,21.5,21.3,21.41,9683512.0
2020-01-16,21.5,21.55,21.31,21.37,11522406.0
2020-01-17,21.39,21.41,21.27,21.36,10242001.0
2020-01-21,21.27,21.34,20.92,20.93,14430385.0
2020-01-22,20.99,21.12,20.93,20.96,10218132.0
2020-01-23,21.38,21.88,21.22,21.76,25957930.0
2020-01-24,21.77,21.77,21.43,21.56,16731849.0
2020-01-27,21.3,21.53,21.24,21.29,14225973.0
2020-01-28,21.41,21.57,21.36,21.46,9144867.0
2020-01-29,21.44,21.53,21.14,21.19,12419855.0
2020-01-30,21.0,21.46,21.0,21.42,19969703.0
2020-01-31,21.02,21.16,20.76,20.87,20695579.0
2020-02-03,20.86,21.04,20.71,20.81,13293354.0
2020-02-04,21.04,21.22,20.95,21.0,13538159.0
2020-02-05,21.15,21.38,21.15,21.29,12061370.0
2020-02-06,21.31,21.48,21.21,21.33,8196833.0
