date,Open,High,Low,Close,Volume
2019-08-20,86.05,86.05,83.18,83.34,1179440.0
2019-08-21,84.07,84.07,82.58,83.17,1333498.0
2019-08-22,83.5,84.0003,82.99,83.72,935792.0
2019-08-23,82.48,82.98,80.62,80.83,1773548.0
2019-08-26,81.2,81.48,80.15,80.61,1264619.0
2019-08-27,80.82,81.05,79.46,79.53,1522918.0
2019-08-28,79.48,81.54,79.37,81.27,1145054.0
2019-08-29,81.9,83.7,81.9,82.79,863174.0
2019-08-30,83.49,84.51,82.89,83.28,1077531.0
2019-09-03,81.81,83.055,81.81,82.56,1352684.0
2019-09-04,83.2,85.27,83.2,84.97,1471033.0
2019-09-05,85.93,87.36,85.87,86.73,1255286.0
2019-09-06,86.5,87.35,85.54,86.0,1090193.0
2019-09-09,86.45,87.29,86.1,86.59,1044767.0
2019-09-10,86.27,87.3,85.11,87.3,1520570.0
2019-09-11,86.44,86.94,83.63,85.32,1629642.0
2019-09-12,85.49,87.5,85.37,86.53,1452993.0
2019-09-13,86.77,87.3,86.37,86.75,970182.0
2019-09-16,85.5,85.78,83.96,84.26,1031823.0
2019-09-17,83.5,86.34,83.11,86.08,1223150.0
2019-09-18,85.94,86.12,84.46,85.53,1271305.0
2019-09-19,85.86,86.55,85.04,86.31,1227803.0
2019-09-20,86.6,87.11,84.63,84.63,1666355.0
2019-09-23,84.5,87.21,84.26,86.9,2725910.0
2019-09-24,90.24,90.33,84.45,86.74,6396142.0
2019-09-25,86.62,87.63,85.29,86.08,1541767.0
2019-09-26,86.13,86.67,85.29,86.38,892408.0
2019-09-27,86.86,87.52,86.61,87.48,1072374.0
2019-09-30,87.29,88.3464,87.105,88.0,1214198.0
2019-10-01,88.58,90.9,88.34,88.69,1761569.0
2019-10-02,88.23,88.42,85.05,85.6,1257741.0
2019-10-03,84.91,85.27,83.39,84.65,1008810.0
2019-10-04,84.52,85.66,84.31,85.6,875431.0
2019-10-07,85.43,87.07,85.37,86.31,1111804.0
2019-10-08,85.37,85.97,85.09,85.1,939374.0
2019-10-09,85.96,87.05,85.48,86.6,908293.0
2019-10-10,86.4,88.03,86.36,87.41,955401.0
2019-10-11,88.53,91.06,88.53,90.53,1755390.0
2019-10-14,90.0,90.44,89.43,90.03,683488.0
2019-10-15,90.75,93.05,90.75,92.42,1491329.0
2019-10-16,92.42,92.58,91.33,92.44,936489.0
2019-10-17,92.87,93.363,92.11,92.73,792860.0
2019-10-18,93.1,94.7,92.81,94.28,1695717.0
2019-10-21,95.0,96.36,94.7401,96.02,1261351.0
2019-10-22,95.02,95.615,93.13,94.18,1659539.0
