date,Open,High,Low,Close,Volume
2019-08-20,121.45,122.99,120.99,122.05,745900.0
2019-08-21,123.94,124.56,123.18,124.33,909600.0
2019-08-22,124.73,124.73,121.58,123.2,826600.0
2019-08-23,122.97,123.33,118.93,119.5,877200.0
2019-08-26,120.53,121.15,118.94,120.88,665500.0
2019-08-27,121.64,122.37,120.79,121.21,675600.0
2019-08-28,120.54,123.0,119.66,122.95,661100.0
2019-08-29,123.72,125.7,123.72,124.59,817100.0
2019-08-30,125.22,125.98,124.25,125.8,966800.0
2019-09-03,124.88,127.1,124.74,126.37,1058600.0
2019-09-04,126.84,127.82,126.58,127.5,574900.0
2019-09-05,128.99,130.54,128.82,129.92,832000.0
2019-09-06,129.56,130.3,128.48,128.91,769000.0
2019-09-09,129.81,132.73,129.5,131.86,1179500.0
2019-09-10,131.74,133.39,130.05,133.09,1060900.0
2019-09-11,133.26,133.55,131.6,132.66,1312500.0
2019-09-12,133.55,133.74,131.16,132.48,781000.0
2019-09-13,133.39,133.74,132.34,133.09,947400.0
2019-09-16,132.19,134.09,132.19,132.75,793000.0
2019-09-17,132.37,132.5,130.85,132.0,669300.0
2019-09-18,131.44,132.91,131.08,132.88,506000.0
2019-09-19,132.71,133.47,132.07,132.3,645900.0
2019-09-20,132.85,133.51,131.69,132.04,779500.0
2019-09-23,131.9,133.18,131.32,131.61,765300.0
2019-09-24,132.21,134.7,131.97,132.56,974700.0
2019-09-25,132.37,133.05,131.7,132.58,544300.0
2019-09-26,132.64,133.83,131.91,133.25,426000.0
2019-09-27,133.79,134.47,132.19,132.52,478800.0
2019-09-30,133.1,133.41,132.21,133.01,606800.0
2019-10-01,133.56,133.68,128.45,129.01,727600.0
2019-10-02,127.72,128.12,125.19,126.58,834500.0
2019-10-03,126.24,127.54,124.52,127.04,543800.0
2019-10-04,127.51,128.37,126.6,127.8,835100.0
2019-10-07,127.33,129.28,126.8,128.13,643600.0
2019-10-08,126.52,128.16,125.95,126.73,841200.0
2019-10-09,127.86,129.35,127.44,129.06,480500.0
