date,Open,High,Low,Close,Volume
2019-08-20,49.08,49.17,48.65,48.68,1273000.0
2019-08-21,49.0,49.1,48.5,48.84,1286900.0
2019-08-22,49.03,49.26,48.37,48.62,971100.0
2019-08-23,48.32,48.95,46.97,47.24,1429600.0
2019-08-26,47.5,47.97,47.23,47.95,1336800.0
2019-08-27,48.14,48.32,47.31,47.45,1444900.0
2019-08-28,47.3,47.93,47.17,47.7,1018200.0
2019-08-29,48.1,48.44,48.03,48.08,760300.0
2019-08-30,48.39,48.44,47.82,48.07,1076200.0
2019-09-03,47.68,48.0,47.63,47.98,927300.0
2019-09-04,48.28,48.74,48.18,48.65,869200.0
2019-09-05,49.19,49.55,48.89,48.96,674300.0
2019-09-06,48.96,49.62,48.92,49.28,1170700.0
2019-09-09,49.57,49.65,49.18,49.61,778000.0
2019-09-10,49.74,49.96,49.46,49.91,852700.0
2019-09-11,49.88,50.03,49.3,50.03,737200.0
2019-09-12,50.08,50.5,49.81,50.39,924800.0
2019-09-13,50.69,50.97,50.44,50.8,948900.0
2019-09-16,50.65,51.03,50.37,51.01,932500.0
2019-09-17,50.94,51.57,50.77,51.37,991000.0
2019-09-18,51.13,51.36,50.87,51.28,743300.0
2019-09-19,51.25,51.42,50.95,51.05,606700.0
2019-09-20,51.17,51.32,50.7,50.97,2581400.0
2019-09-23,50.61,51.61,50.51,51.58,925200.0
2019-09-24,51.7,52.31,51.32,51.65,1283800.0
2019-09-25,51.54,51.81,51.02,51.02,939100.0
2019-09-26,51.01,51.31,50.91,51.15,557100.0
2019-09-27,51.31,51.51,51.02,51.51,820300.0
2019-09-30,51.58,51.77,51.45,51.48,833100.0
2019-10-01,51.65,51.68,50.12,50.12,809400.0
2019-10-02,49.84,49.9,48.67,48.87,1220500.0
2019-10-03,48.81,49.18,48.4,49.17,782000.0
2019-10-04,49.19,50.08,49.15,49.99,1094200.0
2019-10-07,49.94,50.17,49.58,49.58,906800.0
2019-10-08,49.17,49.19,48.69,48.69,855400.0
2019-10-09,49.08,49.39,48.81,49.1,586200.0
2019-10-10,49.24,49.93,49.21,49.54,677700.0
2019-10-11,50.26,50.93,50.24,50.48,758400.0
2019-10-14,50.15,50.55,50.14,50.41,603700.0
2019-10-15,50.54,51.24,50.54,51.07,561300.0
2019-10-16,50.97,51.02,50.65,50.95,753400.0
2019-10-17,51.28,51.5,50.8,50.85,773500.0
2019-10-18,50.74,51.4,50.74,50.96,624100.0
2019-10-21,51.33,51.52,51.2,51.46,510700.0
2019-10-22,51.2,51.2,50.68,50.89,626300.0
2019-10-23,50.92,51.23,50.87,51.1,754700.0
2019-10-24,51.25,51.32,50.8,50.84,680300.0
2019-10-25,50.73,51.02,50.66,51.0,986000.0
2019-10-28,50.37,51.24,49.1,49.42,1482400.0
2019-10-29,49.16,49.57,48.5,49.39,1730600.0
2019-10-30,49.39,49.39,48.86,49.2,911000.0
2019-10-31,48.87,49.02,48.37,49.0,1505500.0
2019-11-01,49.26,50.04,48.99,49.79,1166600.0
2019-11-04,50.14,50.29,49.66,49.8,827400.0
2019-11-05,49.81,50.71,49.81,50.49,1195200.0
2019-11-06,50.47,50.93,50.22,50.87,991600.0
2019-11-07,51.14,51.49,50.89,51.03,1034500.0
2019-11-08,50.86,51.03,50.57,51.0,536900.0
2019-11-11,50.64,50.84,50.3,50.52,630700.0
2019-11-12,50.5,50.82,50.27,50.65,633000.0
2019-11-13,50.35,50.56,50.08,50.36,598300.0
2019-11-14,50.28,50.32,49.89,50.09,945800.0
2019-11-15,50.26,50.42,50.09,50.16,937300.0
2019-11-18,50.0,50.38,49.86,50.27,713900.0
2019-11-19,50.35,50.43,50.14,50.18,652100.0
2019-11-20,49.98,50.55,49.91,50.35,800300.0
2019-11-21,50.26,50.58,49.95,50.45,789500.0
2019-11-22,50.62,50.9,50.43,50.65,741300.0
2019-11-25,50.66,51.01,50.66,50.8,982400.0
2019-11-26,50.71,50.98,50.51,50.55,1468400.0
2019-11-27,50.59,51.24,50.59,51.02,684800.0
2019-11-29,50.91,51.23,50.78,50.9,437500.0
2019-12-02,50.97,50.97,50.14,50.17,840900.0
2019-12-03,49.73,49.74,48.5,48.5,1527400.0
2019-12-04,48.32,49.16,48.32,48.88,1454900.0
2019-12-05,49.17,49.24,48.88,49.15,927900.0
2019-12-06,49.54,50.36,49.42,50.16,1178600.0
2019-12-09,50.08,50.62,50.05,50.33,1030500.0
2019-12-10,50.2,50.68,50.02,50.07,1063300.0
2019-12-11,50.12,50.42,49.89,49.99,1013400.0
2019-12-12,50.08,51.18,50.03,51.09,1020700.0
2019-12-13,50.94,51.36,50.6,50.61,1186400.0
2019-12-16,50.99,51.38,50.82,51.07,928900.0
2019-12-17,51.13,51.74,51.11,51.4,961200.0
2019-12-18,51.54,51.54,51.16,51.32,1113800.0
2019-12-19,51.24,51.34,50.96,51.17,1013300.0
2019-12-20,51.38,51.92,51.31,51.66,2273600.0
2019-12-23,51.54,51.83,51.28,51.4,764800.0
2019-12-24,51.37,51.62,51.31,51.45,400800.0
2019-12-26,51.61,52.01,51.38,51.94,454700.0
2019-12-27,52.07,52.18,51.86,51.89,835800.0
2019-12-30,52.15,52.15,51.86,52.01,749000.0
2019-12-31,52.04,52.51,51.97,52.49,806100.0
2020-01-02,52.72,53.0,52.46,52.96,1081400.0
2020-01-03,52.45,52.81,52.28,52.76,829300.0
2020-01-06,52.38,52.54,52.02,52.08,786600.0
2020-01-07,51.97,52.3,51.81,51.84,759500.0
2020-01-08,52.05,52.58,51.8,51.85,904800.0
2020-01-09,52.2,52.72,52.03,52.71,699400.0
2020-01-10,52.71,52.93,51.97,52.07,656300.0
2020-01-13,52.07,52.25,51.82,52.1,742900.0
2020-01-14,51.99,52.29,51.84,52.03,889000.0
2020-01-15,51.88,52.16,51.61,51.68,892300.0
2020-01-16,51.91,52.35,51.82,52.14,688100.0
2020-01-17,52.29,52.67,52.21,52.39,1064000.0
2020-01-21,52.22,52.36,51.47,51.5,1155200.0
2020-01-22,51.62,51.92,51.54,51.88,1085300.0
2020-01-23,51.47,51.74,50.8,51.46,1009100.0
2020-01-24,51.47,51.6,51.06,51.35,650500.0
2020-01-27,50.42,51.15,50.25,50.79,745200.0
2020-01-28,50.99,51.87,50.99,51.49,841500.0
2020-01-29,51.61,51.99,51.43,51.67,679500.0
2020-01-30,51.2,52.47,51.2,52.38,880916.0
2020-01-31,51.99,52.26,51.26,51.45,1024300.0
2020-02-03,51.71,52.76,51.64,52.4,824100.0
2020-02-04,53.0,53.54,52.68,52.73,773400.0
2020-02-05,53.52,53.87,53.25,53.58,1405181.0
2020-02-06,53.79,53.98,53.27,53.31,679300.0
2020-02-07,53.08,53.55,52.83,53.25,800000.0
2020-02-10,56.88,56.88,54.6,55.81,1263300.0
2020-02-11,55.88,56.12,54.64,54.72,917900.0
2020-02-12,54.82,54.95,53.88,53.93,767200.0
2020-02-13,53.78,54.13,53.59,54.06,838100.0
2020-02-14,54.01,54.23,53.66,54.19,930300.0
2020-02-18,53.96,54.06,53.34,53.7,681800.0
2020-02-19,53.84,54.1,53.7,53.71,704200.0
2020-02-20,53.53,54.12,53.53,53.89,751000.0
2020-02-21,53.65,53.86,53.14,53.63,1096200.0
2020-02-24,52.31,52.84,52.22,52.33,1106700.0
2020-02-25,52.33,52.33,50.28,50.36,1200400.0
2020-02-26,50.75,51.02,48.88,48.95,1616300.0
2020-02-27,48.12,48.33,46.21,46.21,1911700.0
2020-02-28,44.88,45.65,43.97,45.63,3377400.0
2020-03-02,45.67,48.71,45.55,48.69,1988900.0
2020-03-03,48.26,49.05,46.86,47.08,1682300.0
2020-03-04,47.9,48.58,46.82,48.5,1052100.0
2020-03-05,46.79,47.15,45.18,45.53,1604800.0
2020-03-06,43.73,44.66,43.21,44.18,1821300.0
2020-03-09,41.25,41.94,38.63,39.39,1965200.0
2020-03-10,40.87,43.24,40.26,43.18,1895600.0
2020-03-11,41.74,41.95,39.49,39.73,2214800.0
2020-03-12,36.52,37.31,33.18,33.19,2844000.0
2020-03-13,35.41,37.04,34.17,37.01,2900100.0
2020-03-16,32.59,37.96,32.22,33.42,2949100.0
2020-03-17,34.36,37.7,32.25,36.72,2852000.0
2020-03-18,33.32,34.9,31.66,34.59,2518400.0
2020-03-19,34.0,38.23,32.0,37.31,2331800.0
2020-03-20,37.54,37.97,30.87,31.26,3513800.0
2020-03-23,31.24,32.0,28.52,29.74,1796900.0
2020-03-24,31.66,33.99,30.51,33.74,1846200.0
2020-03-25,33.78,35.17,32.24,33.29,2509900.0
2020-03-26,33.63,35.7,32.72,35.41,1160100.0
2020-03-27,33.85,34.97,33.03,33.7,1097900.0
2020-03-30,33.72,35.57,32.9,35.43,1361700.0
2020-03-31,34.84,35.36,34.37,34.83,1932400.0
2020-04-01,32.83,33.2,31.87,32.63,1277700.0
2020-04-02,32.4,34.61,32.15,33.18,1380000.0
2020-04-03,32.63,33.72,32.38,32.7,1425100.0
2020-04-06,34.52,36.0,34.24,35.7,1301500.0
2020-04-07,37.63,38.05,36.18,36.27,1372300.0
2020-04-08,36.64,38.23,35.98,37.97,1046500.0
2020-04-09,38.43,40.47,38.43,39.42,1474500.0
2020-04-13,39.41,39.41,36.98,37.42,842400.0
2020-04-14,38.29,38.52,36.82,37.42,1110900.0
2020-04-15,36.07,36.29,34.41,34.56,1296600.0
2020-04-16,34.51,34.59,32.99,34.0,1792000.0
2020-04-17,35.24,36.38,34.86,36.14,1686700.0
2020-04-20,35.39,35.95,34.45,34.97,1118600.0
2020-04-21,33.78,34.49,33.56,33.71,867000.0
2020-04-22,34.54,34.67,33.7,33.77,778300.0
2020-04-23,33.99,34.3,32.87,32.92,1440000.0
2020-04-24,33.56,33.56,32.16,32.4,2221000.0
2020-04-27,32.16,32.69,31.38,32.56,2479700.0
2020-04-28,33.66,34.71,33.33,34.11,1336900.0
2020-04-29,35.17,36.94,35.16,36.7,2207400.0
2020-04-30,36.01,36.18,34.53,34.66,1451300.0
2020-05-01,33.79,33.89,31.54,31.62,1850000.0
2020-05-04,31.11,31.86,30.13,31.76,2092100.0
2020-05-05,32.03,32.31,30.7,30.79,1418100.0
2020-05-06,30.93,30.93,29.53,29.68,1492100.0
2020-05-07,30.03,31.71,29.9,30.34,1186000.0
2020-05-08,30.99,31.34,30.36,31.02,920900.0
2020-05-11,30.55,30.55,29.5,30.01,1447700.0
2020-05-12,30.1,30.13,29.33,29.6,1556700.0
2020-05-13,29.16,29.42,28.24,28.8,2390200.0
2020-05-14,28.25,29.44,27.33,29.09,1463500.0
2020-05-15,28.71,29.89,28.16,29.81,4071300.0
2020-05-18,31.45,32.09,31.26,31.65,1705600.0
2020-05-19,31.53,31.73,31.05,31.06,1197200.0
2020-05-20,31.54,32.44,31.54,32.19,1045100.0
2020-05-21,32.07,32.46,31.83,32.09,1144400.0
2020-05-22,32.24,32.28,31.31,31.91,846300.0
2020-05-26,33.28,33.65,32.91,33.04,1011400.0
2020-05-27,34.38,34.75,33.81,34.24,1070200.0
2020-05-28,34.69,34.8,33.6,33.78,1021300.0
2020-05-29,33.27,33.64,32.66,33.24,2610600.0
2020-06-01,33.16,33.89,32.75,33.77,1000600.0
2020-06-02,34.23,35.09,34.02,34.64,1668300.0
2020-06-03,35.36,35.9,35.28,35.48,1131000.0
2020-06-04,35.31,36.52,34.55,36.5,1176200.0
2020-06-05,38.73,39.82,38.18,39.08,1478700.0
2020-06-08,39.79,40.07,39.1,39.95,1403000.0
2020-06-09,38.69,38.91,37.85,38.26,1150300.0
2020-06-10,37.88,37.88,36.01,36.17,1699100.0
2020-06-11,34.22,34.56,32.15,32.19,2472400.0
2020-06-12,33.75,33.77,31.71,33.02,1933900.0
2020-06-15,31.34,33.82,31.18,33.58,1399300.0
2020-06-16,35.4,35.4,33.33,33.92,1275900.0
2020-06-17,34.03,34.03,33.14,33.4,1505900.0
2020-06-18,32.93,34.03,32.51,33.88,1521700.0
2020-06-19,34.63,34.85,33.89,34.73,4982900.0
2020-06-22,34.36,34.36,33.55,34.06,1525000.0
2020-06-23,34.65,35.0,34.3,34.34,1273800.0
2020-06-24,33.78,33.78,32.42,33.17,1110900.0
2020-06-25,32.88,33.9,32.71,33.84,1062500.0
2020-06-26,33.32,33.49,32.29,32.81,2485900.0
2020-06-29,33.2,33.82,32.84,33.69,871594.0
2020-06-30,33.54,34.55,33.34,34.29,1014200.0
2020-07-01,34.18,34.56,33.46,33.54,984500.0
2020-07-02,34.44,34.97,33.56,33.69,992000.0
2020-07-06,34.53,35.17,34.37,34.52,852100.0
2020-07-07,34.17,34.3,33.56,33.67,727300.0
2020-07-08,33.38,34.25,33.38,33.92,880700.0
2020-07-09,33.66,33.97,32.35,32.82,1066900.0
2020-07-10,32.92,34.53,32.73,34.5,1003900.0
2020-07-13,34.71,35.23,34.45,34.67,920500.0
