date,Open,High,Low,Close,Volume
2019-08-20,39.0,39.1,38.49,38.56,930343.0
2019-08-21,39.1,39.4,38.72,38.85,1064402.0
2019-08-22,39.0,39.3,38.56,39.08,801909.0
2019-08-23,38.83,38.84,36.73,36.86,1252128.0
2019-08-26,37.41,37.49,36.71,36.85,953303.0
2019-08-27,37.16,37.16,36.26,36.33,706045.0
2019-08-28,36.11,36.78,35.9,36.64,739271.0
2019-08-29,37.1,37.54,37.02,37.26,983713.0
2019-08-30,37.54,37.98,37.05,37.19,832643.0
2019-09-03,36.84,36.84,35.92,36.47,1080843.0
2019-09-04,36.76,37.05,36.54,36.77,789114.0
2019-09-05,37.36,38.46,37.21,38.3,1142305.0
2019-09-06,38.57,39.02,38.5,38.98,1069901.0
2019-09-09,39.27,40.5,39.1,40.42,1291085.0
2019-09-10,40.39,41.88,40.23,41.86,1565616.0
2019-09-11,41.65,42.09,41.02,42.04,1288375.0
2019-09-12,41.88,42.36,41.19,42.18,1458014.0
2019-09-13,42.18,42.83,41.98,42.13,966217.0
2019-09-16,41.8,42.11,41.61,41.87,687486.0
2019-09-17,41.74,41.95,41.21,41.87,504982.0
2019-09-18,41.6,42.11,41.36,41.96,883530.0
2019-09-19,42.07,42.07,41.2,41.28,842809.0
2019-09-20,41.35,41.45,40.69,40.81,2105602.0
2019-09-23,40.51,41.34,40.41,41.06,730238.0
2019-09-24,41.15,41.36,40.44,40.51,902020.0
2019-09-25,40.53,40.82,39.98,40.68,941603.0
2019-09-26,40.74,41.05,40.6,40.83,641879.0
2019-09-27,40.99,41.13,40.61,40.92,730106.0
2019-09-30,41.12,41.31,40.83,40.94,831329.0
2019-10-01,41.05,41.79,40.06,40.1,929734.0
2019-10-02,39.9,39.9,38.67,38.98,990579.0
2019-10-03,38.76,39.02,37.91,39.01,1068177.0
2019-10-04,39.01,39.52,38.75,39.5,826379.0
2019-10-07,39.31,39.73,39.0,39.27,664850.0
2019-10-08,38.72,39.06,38.44,38.45,858172.0
2019-10-09,38.91,38.91,38.33,38.73,860073.0
2019-10-10,38.88,39.43,38.79,39.33,646321.0
2019-10-11,39.88,41.34,39.8,40.88,1011812.0
2019-10-14,40.59,41.56,40.53,41.26,1057895.0
2019-10-15,41.34,42.13,41.14,42.02,813736.0
2019-10-16,42.14,42.9,42.09,42.56,959537.0
2019-10-17,42.66,43.1,42.38,43.04,1054832.0
2019-10-18,42.89,43.93,42.71,43.61,1282435.0
2019-10-21,43.92,44.32,43.83,44.01,867999.0
2019-10-22,44.03,44.77,43.94,44.62,1091950.0
2019-10-23,44.62,44.97,44.41,44.87,1072605.0
2019-10-24,44.72,44.74,43.93,44.26,1063443.0
2019-10-25,44.35,45.34,44.2,45.25,1651190.0
2019-10-28,45.57,46.35,45.34,46.16,2300677.0
2019-10-29,47.73,51.73,47.73,51.57,4972644.0
2019-10-30,51.28,52.14,50.7,51.88,2053210.0
2019-10-31,51.73,51.76,50.47,51.3,3696806.0
2019-11-01,51.58,51.89,51.1,51.28,1682576.0
2019-11-04,51.44,52.84,51.24,52.47,1745144.0
2019-11-05,52.58,54.09,52.52,54.0,1734121.0
2019-11-06,54.0,54.69,53.51,54.54,1914351.0
2019-11-07,54.82,55.23,54.29,55.05,1649661.0
2019-11-08,55.01,55.42,54.73,55.18,1132681.0
2019-11-11,54.99,55.35,54.2,54.32,1132900.0
2019-11-12,54.3,54.42,53.64,54.3,1182886.0
2019-11-13,53.87,53.95,53.29,53.62,1420296.0
2019-11-14,53.47,53.63,53.05,53.21,1313742.0
2019-11-15,53.59,53.6,52.84,53.37,1088966.0
2019-11-18,53.36,53.67,52.97,53.57,886168.0
2019-11-19,52.88,53.21,52.35,52.71,947143.0
2019-11-20,52.59,52.76,52.1,52.37,1028559.0
2019-11-21,52.3,52.45,51.76,52.02,1052903.0
2019-11-22,52.09,52.35,52.02,52.33,688720.0
2019-11-25,52.54,52.97,52.38,52.83,685590.0
2019-11-26,52.95,53.24,52.58,53.09,1818404.0
2019-11-27,53.09,53.09,52.23,52.62,1626260.0
2019-11-29,52.62,52.77,52.25,52.32,492629.0
2019-12-02,52.41,52.61,51.5,52.21,1512183.0
2019-12-03,51.65,52.0,51.2,51.75,1455545.0
2019-12-04,51.89,52.21,51.67,51.83,1198060.0
2019-12-05,51.83,52.26,51.79,52.16,507312.0
2019-12-06,52.45,53.13,52.45,53.07,805349.0
2019-12-09,52.86,53.02,52.13,52.15,1061104.0
2019-12-10,51.31,51.82,51.27,51.37,983953.0
2019-12-11,51.49,51.9,51.4,51.55,918725.0
2019-12-12,51.38,51.93,51.27,51.86,1257917.0
2019-12-13,51.74,51.99,50.6,50.72,1520325.0
2019-12-16,51.03,51.51,50.71,51.18,1377640.0
2019-12-17,50.96,51.6,50.8,51.53,1101137.0
2019-12-18,51.5,51.67,50.93,51.52,924569.0
2019-12-19,51.55,51.65,51.13,51.26,1242800.0
2019-12-20,51.34,51.54,50.75,51.48,4345074.0
2019-12-23,51.4,51.66,50.72,50.76,676462.0
2019-12-24,50.72,50.95,50.2,50.9,629569.0
2019-12-26,50.78,50.96,50.3,50.96,2191315.0
2019-12-27,51.11,51.37,50.85,51.17,714705.0
2019-12-30,51.17,51.38,50.94,51.05,762015.0
2019-12-31,50.94,51.3,50.76,50.83,691594.0
2020-01-02,51.07,51.3,49.94,50.34,1453644.0
2020-01-03,49.59,50.13,49.44,49.78,1174168.0
2020-01-06,49.46,50.0,49.04,50.0,921127.0
2020-01-07,50.25,50.25,49.12,49.33,912780.0
2020-01-08,49.3,50.02,49.22,49.58,936932.0
2020-01-09,49.83,49.85,49.12,49.67,977086.0
2020-01-10,49.71,49.84,49.37,49.45,842701.0
2020-01-13,49.56,50.57,49.44,50.51,880339.0
2020-01-14,50.54,50.92,50.29,50.67,958751.0
2020-01-15,50.6,51.21,50.54,50.99,799303.0
2020-01-16,51.4,51.74,51.24,51.58,816896.0
2020-01-17,51.68,51.76,50.99,51.2,971988.0
